iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
100,         31.863,0.738956,0.721455,0.00154114,0.102615,0,99.4265
200,        234.375,2.95373,2.8125,0.330414,1.00735,0.0318298,95.8193
300,        462.226,2.02079,1.97492,0.412384,1.00182,0.0732422,96.5051
400,        645.110,1.74755,1.65441,0.427292,1.00137,0.0918732,96.7939
500,        785.078,1.27535,1.24823,0.337006,1.00156,0.0791321,96.8382
600,        902.264,1.14264,1.13208,0.320648,1.00084,0.0827942,96.9615
700,       1009.848,1.06168,1.01521,0.303833,1.00067,0.0882874,97.0638
800,       1110.938,0.999309,0.96875,0.269073,1.00058,0.0960388,97.1703
900,       1206.563,0.948612,0.9375,0.244019,1.0005,0.100571,97.263
1000,       1298.198,0.908584,0.908425,0.232544,1.0004,0.111374,97.3711
1100,       1385.217,0.871415,0.869565,0.227295,1.0004,0.123367,97.4002
1200,       1469.262,0.83814,0.830748,0.228256,1.0004,0.140671,97.4574
1300,       1550.117,0.806456,0.760232,0.26445,1.00041,0.184326,97.5029
1400,       1627.692,0.77311,0.769231,0.274658,1.00041,0.211655,97.5411
1500,       1702.240,0.742116,0.740385,0.264771,1.0004,0.223038,97.5829
1600,       1774.383,0.716451,0.711596,0.244141,1.00032,0.218521,97.6411
1700,       1843.931,0.696087,0.669561,0.228912,1.00026,0.215668,97.6762
1800,       1911.618,0.67984,0.644761,0.302811,1.00018,0.213654,97.7045
1900,       1978.012,0.668637,0.662534,0.434875,1.00014,0.214066,97.7332
2000,       2043.956,0.661918,0.659342,0.36499,1.00008,0.216492,97.7799
2100,       2109.131,0.658201,0.652174,0.335587,1.00003,0.220932,97.8114
2200,       2174.348,0.656136,0.652174,0.370682,1.00003,0.225723,97.8547
2300,       2239.565,0.654925,0.652174,0.400665,1.00002,0.230362,97.9026
2400,       2304.783,0.654286,0.652174,0.396439,1,0.238327,97.9515
2500,       2370.000,0.653887,0.652173,0.386459,1.00002,0.242004,97.9999
2600,       2435.217,0.653598,0.652174,0.383301,1,0.244186,98.0471
2700,       2500.435,0.653448,0.652174,0.381546,1,0.245392,98.0927
2800,       2565.652,0.653348,0.652174,0.3806,1,0.246017,98.1364
2900,       2630.870,0.653279,0.652174,0.380096,1,0.246399,98.1783
3000,       2696.087,0.653229,0.652173,0.379791,1,0.246674,98.2184
3100,       2761.304,0.653199,0.652174,0.379608,0.999985,0.246857,98.2567
3200,       2826.522,0.653209,0.652174,0.379456,1,0.246918,98.2933
3300,       2891.739,0.653229,0.652174,0.379425,1,0.246857,98.3282
3400,       2956.957,0.653279,0.652175,0.379425,1,0.246765,98.3614
3500,       3022.174,0.653388,0.652174,0.379456,1,0.246475,98.393
3600,       3087.391,0.653518,0.652174,0.379745,1,0.246033,98.4228
3700,       3152.609,0.653667,0.652174,0.380081,1,0.245514,98.451
3800,       3217.826,0.653917,0.652174,0.380447,0.999985,0.244736,98.4774
3900,       3283.044,0.654216,0.652173,0.381149,1,0.243622,98.5018
4000,       3348.261,0.654536,0.652174,0.382095,1,0.24231,98.5245
4100,       3413.478,0.654866,0.652174,0.38327,1,0.24086,98.5453
4200,       3478.696,0.655265,0.652174,0.38446,0.999985,0.239487,98.5643
4300,       3543.913,0.655735,0.652173,0.386108,0.999985,0.2379,98.5814
4400,       3609.130,0.656236,0.652174,0.390274,0.999985,0.235764,98.5965
4500,       3674.348,0.656787,0.652174,0.38974,0.999985,0.233444,98.6097
4600,       3739.565,0.657449,0.652174,0.38887,0.999985,0.230698,98.6208
4700,       3804.783,0.658151,0.652174,0.388107,0.999985,0.227646,98.6298
4800,       3870.000,0.658875,0.652175,0.385696,0.999985,0.223663,98.6367
4900,       3935.218,0.659529,0.652174,0.383408,0.999985,0.21991,98.6416
5000,       4000.879,0.660173,0.659341,0.380569,1,0.216232,98.6559
5100,       4066.813,0.660808,0.659341,0.352524,0.999985,0.211273,98.6749
5200,       4132.747,0.661464,0.659341,0.318237,0.999985,0.206314,98.6917
5300,       4198.682,0.662181,0.659342,0.313049,1,0.201218,98.7063
5400,       4264.616,0.662939,0.659341,0.311188,0.999985,0.196106,98.7188
5500,       4330.550,0.663718,0.659341,0.309036,0.999985,0.194122,98.7292
5600,       4396.484,0.664519,0.659341,0.306244,0.999985,0.191925,98.7374
5700,       4462.418,0.6653,0.659338,0.303818,0.999985,0.18924,98.7437
5800,       4528.352,0.666102,0.659341,0.300964,0.999985,0.186371,98.7481
5900,       4594.286,0.666906,0.659341,0.298279,0.999985,0.183487,98.7506
6000,       4660.667,0.667456,0.666667,0.296738,1,0.180023,98.7612
6100,       4727.333,0.667955,0.666667,0.299606,1,0.176987,98.7765
6200,       4794.000,0.668373,0.666668,0.304581,0.999985,0.173599,98.7904
6300,       4860.667,0.668781,0.666667,0.308319,1,0.170334,98.803
6400,       4927.333,0.669261,0.666667,0.310898,1,0.168137,98.8145
6500,       4994.000,0.669772,0.666667,0.313171,1,0.164841,98.8246
6600,       5060.667,0.670324,0.666668,0.316055,0.999985,0.161926,98.8335
6700,       5127.334,0.670815,0.666667,0.317398,1,0.15831,98.841
6800,       5194.000,0.671204,0.666667,0.319839,1,0.154831,98.8476
6900,       5260.667,0.671542,0.666667,0.320526,1,0.151276,98.8533
7000,       5327.334,0.671849,0.666667,0.32132,0.999985,0.148026,98.8583
7100,       5394.000,0.672096,0.666664,0.322266,1,0.145065,98.8626
7200,       5460.667,0.672321,0.666667,0.323105,1,0.142471,98.8664
7300,       5527.333,0.672516,0.666667,0.324081,0.999985,0.139984,98.8698
7400,       5594.000,0.672711,0.666667,0.325012,1,0.137924,98.8727
7500,       5660.667,0.672896,0.666668,0.325897,1,0.13649,98.8752
7600,       5727.333,0.67306,0.666667,0.326889,0.999985,0.134415,98.8774
7700,       5794.000,0.673235,0.666667,0.327682,1,0.132645,98.8792
7800,       5860.667,0.673451,0.666667,0.328232,1,0.130875,98.8807
7900,       5927.333,0.673687,0.666667,0.329193,1,0.129105,98.8818
8000,       5994.000,0.673944,0.666668,0.33078,1,0.127167,98.8824
8100,       6060.674,0.674212,0.674157,0.331711,0.999985,0.124985,98.8827
8200,       6128.090,0.6745,0.674157,0.388016,0.999985,0.12236,98.8947
8300,       6195.506,0.674808,0.674157,0.415695,0.999985,0.119583,98.9059
8400,       6262.922,0.675138,0.674154,0.412598,1,0.116577,98.9164
8500,       6330.337,0.675457,0.674157,0.409424,1,0.112732,98.9261
8600,       6397.753,0.675695,0.674157,0.406891,1,0.111343,98.9352
8700,       6465.169,0.675921,0.674157,0.404297,1,0.110855,98.9438
8800,       6532.584,0.676107,0.674157,0.40213,1,0.110397,98.9519
8900,       6600.000,0.676324,0.674159,0.399628,1,0.110626,98.9595
9000,       6667.416,0.67653,0.674157,0.397812,1,0.109955,98.9666
9100,       6734.832,0.676747,0.674157,0.39534,1,0.107773,98.9732
9200,       6802.247,0.676933,0.674157,0.393082,1,0.107513,98.9795
9300,       6869.663,0.677109,0.674159,0.391174,1,0.10643,98.9853
9400,       6937.079,0.677253,0.674157,0.38945,0.999985,0.105286,98.9909
9500,       7004.495,0.677398,0.674157,0.387787,1,0.104706,98.9961
9600,       7071.910,0.677553,0.674157,0.386032,0.999985,0.102921,99.001
9700,       7139.326,0.677739,0.674157,0.383972,1,0.10141,99.0055
9800,       7206.742,0.677936,0.674157,0.381668,1,0.100372,99.0098
9900,       7274.157,0.678132,0.674157,0.378922,1,0.0986481,99.0136
10000,       7341.573,0.678349,0.674157,0.375824,1,0.0970001,99.0172
10100,       7408.989,0.678567,0.674157,0.372787,1,0.0951996,99.0203
10200,       7476.405,0.678805,0.674164,0.36937,1,0.0931854,99.0232
10300,       7543.821,0.678992,0.674157,0.366302,0.999985,0.0912476,99.0257
10400,       7611.237,0.679188,0.674157,0.363052,1,0.0892181,99.0278
10500,       7678.652,0.679354,0.674157,0.359909,0.999985,0.0874481,99.0298
10600,       7746.068,0.67952,0.674154,0.35675,0.999985,0.0858612,99.0314
10700,       7813.483,0.679728,0.674157,0.352814,1,0.0843048,99.0329
10800,       7880.899,0.679935,0.674157,0.348648,1,0.0830536,99.034
10900,       7948.315,0.680163,0.674157,0.343765,0.999985,0.0815277,99.0348
11000,       8015.731,0.680412,0.674157,0.338425,1,0.0792847,99.0354
11100,       8083.146,0.680682,0.674154,0.333206,0.999985,0.0778961,99.0356
11200,       8150.562,0.680984,0.674157,0.327255,1,0.0751495,99.0355
11300,       8217.978,0.681275,0.674157,0.321259,1,0.0730896,99.035
11400,       8285.393,0.681556,0.674157,0.31485,1,0.0715332,99.0342
11500,       8352.809,0.681826,0.674164,0.307999,0.999985,0.0685272,99.033
11600,       8420.455,0.682107,0.681818,0.301132,1,0.0665131,99.0343
11700,       8488.637,0.682378,0.681818,0.294144,1,0.0650635,99.0416
11800,       8556.819,0.682638,0.681818,0.287445,1,0.0636749,99.0484
11900,       8625.001,0.682888,0.681818,0.280975,0.999985,0.0624847,99.0548
12000,       8693.182,0.683149,0.681815,0.274155,1,0.0613251,99.0609
