iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
8500,       6247.334,0.673384,0.666663,0.325302,0.999985,0.135773,98.8288
8600,       6314.000,0.673755,0.666667,0.327011,1,0.132889,98.8304
8700,       6380.667,0.674012,0.666667,0.329727,1,0.129745,98.8314
8800,       6447.640,0.674258,0.674157,0.331284,1,0.127029,98.8368
8900,       6515.056,0.674454,0.674157,0.333237,1,0.123062,98.8485
9000,       6582.472,0.67468,0.674159,0.416824,1,0.119614,98.8597
9100,       6649.888,0.674907,0.674157,0.414551,0.999985,0.116943,98.8703
9200,       6717.304,0.675154,0.674157,0.412262,1,0.113419,98.8803
9300,       6784.719,0.675371,0.674157,0.409958,1,0.112015,98.8898
9400,       6852.135,0.675556,0.674159,0.407959,1,0.111282,98.8988
9500,       6919.551,0.675731,0.674157,0.406128,1,0.111084,98.9074
9600,       6986.967,0.675886,0.674157,0.404373,1,0.110764,98.9156
9700,       7054.382,0.676041,0.674157,0.402542,1,0.111191,98.9234
9800,       7121.798,0.676247,0.674157,0.400269,1,0.110779,98.9308
9900,       7189.214,0.676464,0.674154,0.3983,1,0.109726,98.9378
10000,       7256.629,0.676701,0.674157,0.396149,1,0.107971,98.9443
10100,       7324.045,0.676959,0.674157,0.392975,1,0.107819,98.9504
10200,       7391.461,0.677228,0.674157,0.390137,1,0.106384,98.9561
10300,       7458.877,0.677497,0.674164,0.387054,0.999985,0.105133,98.9612
10400,       7526.293,0.677735,0.674157,0.384308,1,0.103912,98.9659
10500,       7593.708,0.677952,0.674157,0.381668,1,0.101593,98.9703
10600,       7661.124,0.678138,0.674157,0.378952,1,0.0996399,98.9743
10700,       7728.540,0.678314,0.674157,0.376343,1,0.0974884,98.978
10800,       7795.955,0.6785,0.674154,0.373749,1,0.0955048,98.9815
10900,       7863.371,0.678738,0.674157,0.370361,1,0.0936737,98.9845
11000,       7930.787,0.678997,0.674157,0.366516,1,0.0917816,98.9873
11100,       7998.203,0.679277,0.674157,0.362076,1,0.0895081,98.9896
11200,       8065.618,0.679588,0.674154,0.356827,1,0.087677,98.9916
11300,       8133.034,0.67991,0.674157,0.35083,1,0.085495,98.9931
11400,       8200.449,0.680252,0.674157,0.343887,1,0.0834198,98.9942
11500,       8267.865,0.680553,0.674157,0.337173,1,0.0811768,98.995
11600,       8335.281,0.680865,0.674157,0.330368,0.999985,0.0785828,98.9953
11700,       8402.697,0.681166,0.674157,0.32402,0.999985,0.0757599,98.9953
11800,       8470.113,0.681478,0.674157,0.3172,0.999985,0.0743561,98.9949
11900,       8537.529,0.68178,0.674157,0.31012,1,0.0728149,98.9942
12000,       8605.228,0.682071,0.681818,0.302628,1,0.0711212,98.9964
12100,       8673.410,0.682352,0.681815,0.295135,0.999985,0.0701752,99.0039
12200,       8741.591,0.682602,0.681818,0.288345,1,0.0682983,99.0109
12300,       8809.773,0.682831,0.681818,0.282455,1,0.0667267,99.0175
12400,       8877.955,0.683029,0.681818,0.276993,1,0.0650177,99.0238
12500,       8946.137,0.683206,0.681815,0.271744,1,0.063324,99.0298
12600,       9014.318,0.683363,0.681818,0.267548,1,0.0620117,99.0355
12700,       9082.500,0.683509,0.681818,0.263489,1,0.060379,99.041
12800,       9150.682,0.683634,0.681818,0.259903,1,0.0588074,99.0462
12900,       9218.864,0.683759,0.681818,0.256607,1,0.057312,99.0512
13000,       9287.046,0.683874,0.681825,0.253342,1,0.055954,99.056
13100,       9355.228,0.683978,0.681818,0.250259,1,0.0552673,99.0607
13200,       9423.410,0.684083,0.681818,0.255508,1,0.0538635,99.0651
13300,       9491.591,0.684166,0.681818,0.25531,1,0.0526276,99.0694
13400,       9559.773,0.68425,0.681815,0.247971,1,0.051239,99.0736
13500,       9627.955,0.684312,0.681818,0.24823,1,0.0496368,99.0776
13600,       9696.137,0.684375,0.681818,0.247528,1,0.048111,99.0815
13700,       9764.318,0.684427,0.681818,0.246597,1,0.0467072,99.0852
13800,       9832.500,0.684469,0.681818,0.247574,1,0.0453796,99.0889
13900,       9900.682,0.684511,0.681818,0.246368,1,0.0441437,99.0925
14000,       9968.864,0.684553,0.681818,0.245331,1,0.0431213,99.096
14100,      10037.045,0.684584,0.681818,0.246002,1,0.0419769,99.0994
14200,      10105.227,0.684615,0.681818,0.245819,1,0.0409088,99.1027
14300,      10173.409,0.684647,0.681825,0.245651,1,0.039917,99.106
14400,      10241.591,0.684668,0.681818,0.245895,1,0.0388336,99.1092
14500,      10309.773,0.684688,0.681818,0.245209,0.999985,0.037735,99.1123
14600,      10377.955,0.68472,0.681818,0.244553,1,0.03685,99.1154
14700,      10446.137,0.684741,0.681815,0.243927,1,0.036026,99.1184
14800,      10514.318,0.684762,0.681818,0.243362,1,0.0352631,99.1213
14900,      10582.500,0.684783,0.681818,0.242798,1,0.0345306,99.1242
15000,      10650.682,0.684793,0.681818,0.242264,1,0.033844,99.127
15100,      10718.864,0.684814,0.681818,0.241745,1,0.0331879,99.1298
15200,      10787.046,0.684835,0.681815,0.241241,1,0.0325623,99.1325
