Simulation Time,1D (%),2D (%),Other (%)
         0.0833,     0,    91,        9
         0.1667,     0,    93,        7
         0.2500,     0,    93,        7
         0.3333,     0,    94,        6
         0.4167,     0,    94,        6
         0.5000,     0,    94,        6
         0.5833,     0,    95,        5
         0.6667,     0,    95,        5
         0.7500,     0,    95,        5
         0.8333,     0,    95,        5
         0.9167,     0,    95,        5
         1.0000,     0,    95,        5
         1.0833,     0,    96,        4
         1.1667,     0,    96,        4
         1.2500,     0,    96,        4
         1.3333,     0,    96,        4
         1.4167,     0,    96,        4
         1.5000,     0,    96,        4
         1.5833,     0,    96,        4
         1.6667,     0,    96,        4
         1.7500,     0,    96,        4
         1.8333,     0,    96,        4
         1.9167,     0,    96,        4
         2.0000,     0,    96,        4
         2.0833,     0,    96,        4
         2.1667,     0,    96,        4
         2.2500,     0,    96,        4
         2.3333,     0,    96,        4
         2.4167,     0,    96,        4
         2.5000,     0,    96,        4
         2.5833,     0,    96,        4
         2.6667,     0,    96,        4
         2.7500,     0,    96,        4
         2.8333,     0,    96,        4
         2.9167,     0,    96,        4
         3.0000,     0,    96,        4
