"EG02_019","Location","Gauge Level"
"e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG02_019.tcf","Time","Gauge1"
"e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\results\EG02\EG02_019_POMM.csv","Maximum (Extracted from Time Series)",         43.2173
"","Time of Maximum",          1.1833
"","Minimum (Extracted From Time Series)",          0.0000
"","Time of Minimum",          0.0000
