"EG02_011","Location","Structure Flow","U/S Structure Water Level","D/S Structure Water Level"
"e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG02_011.tcf","Time","Bridge","Bridge","Bridge"
,        1.900000,         25.6189,         39.7682,         39.7311
,        1.916667,         24.9057,         39.7376,         39.6998
,        1.933333,         24.2749,         39.7076,         39.6704
,        1.950000,         23.6404,         39.6795,         39.6418
,        1.966667,         23.0465,         39.6526,         39.6147
,        1.983333,         22.5995,         39.6275,         39.5890
,        2.000000,         22.1430,         39.6009,         39.5649
,        2.016667,         21.6084,         39.5779,         39.5423
,        2.033333,         21.1579,         39.5566,         39.5207
,        2.050000,         20.6916,         39.5367,         39.5005
,        2.066667,         20.3546,         39.5182,         39.4820
,        2.083333,         19.9741,         39.5009,         39.4645
,        2.100000,         19.6503,         39.4843,         39.4489
,        2.116667,         19.3394,         39.4693,         39.4339
,        2.133333,         19.0319,         39.4547,         39.4194
,        2.150000,         18.7214,         39.4406,         39.4052
,        2.166667,         18.3907,         39.4261,         39.3907
,        2.183333,         18.0748,         39.4118,         39.3762
,        2.200000,         17.7671,         39.3972,         39.3615
,        2.216667,         17.4261,         39.3819,         39.3461
,        2.233333,         17.0900,         39.3662,         39.3307
,        2.250000,         16.7021,         39.3487,         39.3134
,        2.266667,         16.3157,         39.3307,         39.2957
,        2.283333,         15.9281,         39.3114,         39.2772
,        2.300000,         15.5323,         39.2924,         39.2579
,        2.316667,         15.1561,         39.2730,         39.2381
,        2.333333,         14.7968,         39.2536,         39.2182
,        2.350000,         14.4634,         39.2345,         39.1989
,        2.366667,         14.1816,         39.2171,         39.1809
,        2.383333,         13.8671,         39.1990,         39.1625
,        2.400000,         13.5817,         39.1862,         39.1424
,        2.416667,         13.2579,         39.1693,         39.1245
,        2.433333,         13.0137,         39.1532,         39.1073
,        2.450000,         12.7333,         39.1361,         39.0897
,        2.466667,         12.4945,         39.1198,         39.0730
,        2.483333,         12.2575,         39.1045,         39.0572
,        2.500000,         12.0306,         39.0894,         39.0416
,        2.516667,         11.8172,         39.0750,         39.0266
,        2.533333,         11.6333,         39.0609,         39.0125
,        2.550000,         11.4210,         39.0480,         38.9987
,        2.566667,         11.2222,         39.0345,         38.9841
,        2.583333,         11.0373,         39.0186,         38.9669
,        2.600000,         10.8122,         39.0020,         38.9496
,        2.616667,         10.5842,         38.9866,         38.9336
,        2.633333,         10.3606,         38.9716,         38.9176
,        2.650000,         10.1492,         38.9562,         38.9015
,        2.666667,          9.9329,         38.9406,         38.8853
,        2.683333,          9.7237,         38.9251,         38.8690
,        2.700000,          9.5065,         38.9089,         38.8522
,        2.716667,          9.2919,         38.8925,         38.8351
,        2.733333,          9.1139,         38.8766,         38.8181
,        2.750000,          8.8763,         38.8594,         38.7999
,        2.766667,          8.7273,         38.8428,         38.7840
,        2.783333,          8.5273,         38.8271,         38.7651
,        2.800000,          8.2545,         38.8052,         38.7403
,        2.816667,          8.0310,         38.7865,         38.7195
,        2.833333,          7.8445,         38.7687,         38.6997
,        2.850000,          7.6755,         38.7523,         38.6812
,        2.866667,          7.4954,         38.7343,         38.6626
,        2.883333,          7.3138,         38.7126,         38.6437
,        2.900000,          7.0905,         38.6933,         38.6228
,        2.916667,          6.8919,         38.6747,         38.6025
,        2.933333,          6.7195,         38.6572,         38.5829
,        2.950000,          6.5101,         38.6420,         38.5626
,        2.966667,          6.3109,         38.6234,         38.5414
,        2.983333,          6.1431,         38.6071,         38.5224
,        3.000000,          5.9286,         38.5881,         38.5002

