"","Time","OC_001 Status","OC_001 Trigger","OC_001 Gate Opening","OC_001 Flow"
       1,          0.000000,"Closed      ",          40.999001,    0.000,              0.000
       2,          0.016667,"Closed      ",          40.999001,    0.000,              0.000
       3,          0.033333,"Closed      ",          40.999001,    0.000,              0.000
       4,          0.050000,"Closed      ",          40.999001,    0.000,              0.000
       5,          0.066667,"Closed      ",          40.999001,    0.000,              0.000
       6,          0.083333,"Closed      ",          40.999001,    0.000,              0.000
       7,          0.100000,"Closed      ",          40.999001,    0.000,              0.000
       8,          0.116667,"Closed      ",          40.999001,    0.000,              0.000
       9,          0.133333,"Closed      ",          40.999001,    0.000,              0.000
      10,          0.150000,"Closed      ",          40.999001,    0.000,              0.000
      11,          0.166667,"Closed      ",          40.999001,    0.000,              0.000
      12,          0.183333,"Closed      ",          40.999001,    0.000,              0.000
      13,          0.200000,"Closed      ",          40.999001,    0.000,              0.000
      14,          0.216667,"Closed      ",          40.999001,    0.000,              0.000
      15,          0.233333,"Closed      ",          40.999001,    0.000,              0.000
      16,          0.250000,"Closed      ",          40.999001,    0.000,              0.000
      17,          0.266667,"Closed      ",          40.999001,    0.000,              0.000
      18,          0.283333,"Closed      ",          40.999001,    0.000,              0.000
      19,          0.300000,"Closed      ",          40.999001,    0.000,              0.000
      20,          0.316667,"Closed      ",          40.999001,    0.000,              0.000
      21,          0.333333,"Closed      ",          40.999001,    0.000,              0.000
      22,          0.350000,"Closed      ",          40.999001,    0.000,              0.000
      23,          0.366667,"Closed      ",          40.999001,    0.000,              0.000
      24,          0.383333,"Closed      ",          40.999001,    0.000,              0.000
      25,          0.400000,"Closed      ",          40.999001,    0.000,              0.000
      26,          0.416667,"Closed      ",          40.999001,    0.000,              0.000
      27,          0.433333,"Closed      ",          40.999001,    0.000,              0.000
      28,          0.450000,"Closed      ",          40.999001,    0.000,              0.000
      29,          0.466667,"Closed      ",          40.999001,    0.000,              0.000
      30,          0.483333,"Closed      ",          40.999001,    0.000,              0.000
      31,          0.500000,"Closed      ",          40.999001,    0.000,              0.000
      32,          0.516667,"Closed      ",          40.999001,    0.000,              0.000
      33,          0.533333,"Closed      ",          40.999001,    0.000,              0.000
      34,          0.550000,"Closed      ",          40.999001,    0.000,              0.000
      35,          0.566667,"Closed      ",          40.999001,    0.000,              0.000
      36,          0.583333,"Closed      ",          40.999001,    0.000,              0.000
      37,          0.600000,"Closed      ",          40.999001,    0.000,              0.000
      38,          0.616667,"Closed      ",          40.999001,    0.000,              0.000
      39,          0.633333,"Closed      ",          40.999001,    0.000,              0.000
      40,          0.650000,"Closed      ",          40.999001,    0.000,              0.000
      41,          0.666667,"Closed      ",          40.999001,    0.000,              0.000
      42,          0.683333,"Closed      ",          40.999001,    0.000,              0.000
      43,          0.700000,"Closed      ",          41.178978,    0.000,              0.000
      44,          0.716667,"Closed      ",          41.339485,    0.000,              0.000
      45,          0.733333,"Closed      ",          41.484848,    0.000,              0.000
      46,          0.750000,"Closed      ",          41.622421,    0.000,              0.000
      47,          0.766667,"Closed      ",          41.755211,    0.000,              0.000
      48,          0.783333,"Closed      ",          41.890015,    0.000,              0.000
      49,          0.800000,"Opening     ",          42.028305,    0.014,              0.550
      50,          0.816667,"Opening     ",          42.164009,    0.081,              3.452
      51,          0.833333,"Opening     ",          42.290783,    0.147,              6.654
      52,          0.850000,"Opening     ",          42.404888,    0.214,             10.091
      53,          0.866667,"Opening     ",          42.506199,    0.281,             13.710
      54,          0.883333,"Opening     ",          42.594452,    0.347,             17.462
      55,          0.900000,"Opening     ",          42.671715,    0.414,             21.317
      56,          0.916667,"Opening     ",          42.738960,    0.481,             25.246
      57,          0.933333,"Steady      ",          42.803215,    0.500,             26.763
      58,          0.950000,"Steady      ",          42.863075,    0.500,             27.204
      59,          0.966667,"Steady      ",          42.919521,    0.500,             27.613
      60,          0.983333,"Steady      ",          42.972294,    0.500,             27.990
      61,          1.000000,"Opening     ",          43.022774,    0.532,             30.129
      62,          1.016667,"Opening     ",          43.072048,    0.599,             34.320
      63,          1.033333,"Opening     ",          43.113266,    0.665,             38.523
      64,          1.050000,"Steady      ",          43.154526,    0.700,             40.958
      65,          1.066667,"Steady      ",          43.194420,    0.700,             41.335
      66,          1.083333,"Steady      ",          43.233944,    0.700,             41.706
      67,          1.100000,"Steady      ",          43.271080,    0.700,             42.051
      68,          1.116667,"Steady      ",          43.307934,    0.700,             42.391
      69,          1.133333,"Steady      ",          43.342224,    0.700,             42.705
      70,          1.150000,"Steady      ",          43.376411,    0.700,             43.016
      71,          1.166667,"Steady      ",          43.408394,    0.700,             43.304
      72,          1.183333,"Steady      ",          43.439056,    0.700,             43.579
      73,          1.200000,"Steady      ",          43.468140,    0.700,             43.838
      74,          1.216667,"Steady      ",          43.495567,    0.700,             44.082
      75,          1.233333,"Steady      ",          43.521515,    0.700,             44.310
      76,          1.250000,"Steady      ",          43.546120,    0.700,             44.526
      77,          1.266667,"Steady      ",          43.569057,    0.700,             44.726
      78,          1.283333,"Steady      ",          43.590729,    0.700,             44.915
      79,          1.300000,"Steady      ",          43.610909,    0.700,             45.089
      80,          1.316667,"Steady      ",          43.629734,    0.700,             45.252
      81,          1.333333,"Steady      ",          43.647003,    0.700,             45.400
      82,          1.350000,"Steady      ",          43.662785,    0.700,             45.535
      83,          1.366667,"Steady      ",          43.677074,    0.700,             45.657
      84,          1.383333,"Steady      ",          43.689857,    0.700,             45.766
      85,          1.400000,"Steady      ",          43.701130,    0.700,             45.862
      86,          1.416667,"Steady      ",          43.710945,    0.700,             45.946
      87,          1.433333,"Steady      ",          43.719437,    0.700,             46.018
      88,          1.450000,"Steady      ",          43.726677,    0.700,             46.079
      89,          1.466667,"Steady      ",          43.732727,    0.700,             46.130
      90,          1.483333,"Steady      ",          43.737587,    0.700,             46.171
      91,          1.500000,"Steady      ",          43.741455,    0.700,             46.204
      92,          1.516667,"Steady      ",          43.744492,    0.700,             46.230
      93,          1.533333,"Steady      ",          43.746452,    0.700,             46.246
      94,          1.550000,"Steady      ",          43.747406,    0.700,             46.254
      95,          1.566667,"Steady      ",          43.747478,    0.700,             46.255
      96,          1.583333,"Steady      ",          43.746891,    0.700,             46.250
      97,          1.600000,"Steady      ",          43.745937,    0.700,             46.242
      98,          1.616667,"Steady      ",          43.744537,    0.700,             46.230
      99,          1.633333,"Steady      ",          43.742847,    0.700,             46.216
     100,          1.650000,"Steady      ",          43.740936,    0.700,             46.200
     101,          1.666667,"Steady      ",          43.738716,    0.700,             46.181
     102,          1.683333,"Steady      ",          43.736179,    0.700,             46.160
     103,          1.700000,"Steady      ",          43.733299,    0.700,             46.136
     104,          1.716667,"Steady      ",          43.730095,    0.700,             46.108
     105,          1.733333,"Steady      ",          43.726566,    0.700,             46.079
     106,          1.750000,"Steady      ",          43.722511,    0.700,             46.044
     107,          1.766667,"Steady      ",          43.718056,    0.700,             46.007
     108,          1.783333,"Steady      ",          43.712997,    0.700,             45.964
     109,          1.800000,"Steady      ",          43.707489,    0.700,             45.917
     110,          1.816667,"Steady      ",          43.701397,    0.700,             45.866
     111,          1.833333,"Steady      ",          43.694618,    0.700,             45.808
     112,          1.850000,"Steady      ",          43.687260,    0.700,             45.746
     113,          1.866667,"Steady      ",          43.679173,    0.700,             45.677
     114,          1.883333,"Steady      ",          43.670368,    0.700,             45.602
     115,          1.900000,"Steady      ",          43.660862,    0.700,             45.521
     116,          1.916667,"Steady      ",          43.650482,    0.700,             45.432
     117,          1.933333,"Steady      ",          43.639198,    0.700,             45.335
     118,          1.950000,"Steady      ",          43.627113,    0.700,             45.231
     119,          1.966667,"Steady      ",          43.614166,    0.700,             45.120
     120,          1.983333,"Steady      ",          43.600479,    0.700,             45.001
     121,          2.000000,"Steady      ",          43.586102,    0.700,             44.877
     122,          2.016667,"Steady      ",          43.571228,    0.700,             44.748
     123,          2.033334,"Steady      ",          43.556076,    0.700,             44.616
     124,          2.050000,"Steady      ",          43.540527,    0.700,             44.480
     125,          2.066667,"Steady      ",          43.524437,    0.700,             44.339
     126,          2.083333,"Steady      ",          43.508080,    0.700,             44.195
     127,          2.100000,"Steady      ",          43.491432,    0.700,             44.048
     128,          2.116667,"Steady      ",          43.474510,    0.700,             43.898
     129,          2.133333,"Steady      ",          43.457237,    0.700,             43.745
     130,          2.150000,"Steady      ",          43.439625,    0.700,             43.588
     131,          2.166667,"Steady      ",          43.421761,    0.700,             43.428
     132,          2.183333,"Steady      ",          43.403610,    0.700,             43.265
     133,          2.200000,"Steady      ",          43.385147,    0.700,             43.098
     134,          2.216667,"Steady      ",          43.366264,    0.700,             42.928
     135,          2.233333,"Steady      ",          43.347084,    0.700,             42.753
     136,          2.250000,"Steady      ",          43.327526,    0.700,             42.575
     137,          2.266667,"Steady      ",          43.307533,    0.700,             42.392
