"","Time","OC_001 Status","OC_001 t","OC_001 Gate Opening","OC_001 Flow"
      98,          1.616667,"Fully Open  ",           1.616757,    1.000,             62.911
      99,          1.633333,"Fully Open  ",           1.633424,    1.000,             62.751
     100,          1.650000,"Fully Open  ",           1.650091,    1.000,             62.587
     101,          1.666667,"Fully Open  ",           1.666757,    1.000,             62.419
     102,          1.683333,"Fully Open  ",           1.683424,    1.000,             62.246
     103,          1.700000,"Fully Open  ",           1.700091,    1.000,             62.069
     104,          1.716667,"Fully Open  ",           1.716757,    1.000,             61.886
     105,          1.733333,"Fully Open  ",           1.733424,    1.000,             61.698
     106,          1.750000,"Fully Open  ",           1.750091,    1.000,             61.503
     107,          1.766667,"Fully Open  ",           1.766758,    1.000,             61.301
     108,          1.783333,"Fully Open  ",           1.783425,    1.000,             61.091
     109,          1.800000,"Fully Open  ",           1.800092,    1.000,             60.873
     110,          1.816667,"Fully Open  ",           1.816758,    1.000,             60.645
     111,          1.833333,"Fully Open  ",           1.833425,    1.000,             60.408
     112,          1.850000,"Fully Open  ",           1.850092,    1.000,             60.160
     113,          1.866667,"Fully Open  ",           1.866758,    1.000,             59.900
     114,          1.883333,"Fully Open  ",           1.883426,    1.000,             59.628
     115,          1.900000,"Fully Open  ",           1.900093,    1.000,             59.344
     116,          1.916667,"Fully Open  ",           1.916759,    1.000,             59.045
     117,          1.933333,"Fully Open  ",           1.933426,    1.000,             58.732
     118,          1.950000,"Fully Open  ",           1.950093,    1.000,             58.401
     119,          1.966667,"Fully Open  ",           1.966759,    1.000,             58.056
     120,          1.983333,"Fully Open  ",           1.983427,    1.000,             57.694
     121,          2.000000,"Closing     ",           2.000094,    0.999,             57.313
     122,          2.016667,"Closing     ",           2.016854,    0.932,             53.256
     123,          2.033334,"Closing     ",           2.033521,    0.866,             49.244
     124,          2.050000,"Closing     ",           2.050187,    0.799,             45.281
     125,          2.066667,"Closing     ",           2.066854,    0.732,             41.368
     126,          2.083333,"Closing     ",           2.083427,    0.666,             37.523
     127,          2.100000,"Closing     ",           2.100095,    0.599,             33.694
     128,          2.116667,"Closing     ",           2.116761,    0.533,             29.900
     129,          2.133333,"Steady      ",           2.133428,    0.500,             27.970
     130,          2.150000,"Steady      ",           2.150095,    0.500,             27.904
     131,          2.166667,"Steady      ",           2.166761,    0.500,             27.842
     132,          2.183333,"Steady      ",           2.183428,    0.500,             27.772
     133,          2.200000,"Steady      ",           2.200095,    0.500,             27.703
     134,          2.216667,"Steady      ",           2.216761,    0.500,             27.631
     135,          2.233333,"Steady      ",           2.233428,    0.500,             27.555
     136,          2.250000,"Steady      ",           2.250095,    0.500,             27.474
     137,          2.266667,"Steady      ",           2.266856,    0.500,             27.392
     138,          2.283334,"Steady      ",           2.283523,    0.500,             27.308
     139,          2.300000,"Steady      ",           2.300192,    0.500,             27.219
     140,          2.316667,"Steady      ",           2.316858,    0.500,             27.130
     141,          2.333333,"Steady      ",           2.333429,    0.500,             27.038
     142,          2.350000,"Steady      ",           2.350096,    0.500,             26.943
     143,          2.366667,"Steady      ",           2.366763,    0.500,             26.846
     144,          2.383333,"Steady      ",           2.383429,    0.500,             26.747
     145,          2.400000,"Steady      ",           2.400096,    0.500,             26.645
     146,          2.416667,"Steady      ",           2.416763,    0.500,             26.541
     147,          2.433333,"Steady      ",           2.433429,    0.500,             26.435
     148,          2.450000,"Steady      ",           2.450097,    0.500,             26.326
