"","Time","OC_001 Status","OC_001 Trigger1","OC_001 Trigger2","OC_001 Flow"
      98,          1.616667,"Off         ",          42.459496,          43.631859,              0.000
      99,          1.633333,"Off         ",          42.430378,          43.630966,              0.000
     100,          1.650000,"Off         ",          42.400398,          43.631733,              0.000
     101,          1.666667,"Off         ",          42.369625,          43.631302,              0.000
     102,          1.683333,"Off         ",          42.337967,          43.631214,              0.000
     103,          1.700000,"Off         ",          42.305466,          43.631798,              0.000
     104,          1.716667,"Off         ",          42.272034,          43.630890,              0.000
     105,          1.733333,"Off         ",          42.237595,          43.631924,              0.000
     106,          1.750000,"Off         ",          42.201950,          43.631058,              0.000
     107,          1.766667,"Off         ",          42.164673,          43.631493,              0.000
     108,          1.783333,"Off         ",          42.125893,          43.631577,              0.000
     109,          1.800000,"Off         ",          42.085392,          43.631020,              0.000
     110,          1.816667,"Off         ",          42.042942,          43.631844,              0.000
     111,          1.833333,"Off         ",          41.998276,          43.630959,              0.000
     112,          1.850000,"Off         ",          41.950943,          43.631767,              0.000
     113,          1.866667,"Off         ",          41.900421,          43.631248,              0.000
     114,          1.883333,"Off         ",          41.846306,          43.631340,              0.000
     115,          1.900000,"Off         ",          41.788155,          43.631718,              0.000
     116,          1.916667,"Off         ",          41.725502,          43.630959,              0.000
     117,          1.933333,"Off         ",          41.658173,          43.631836,              0.000
     118,          1.950000,"Off         ",          41.586220,          43.631058,              0.000
     119,          1.966667,"Off         ",          41.508720,          43.631615,              0.000
     120,          1.983333,"Off         ",          41.424553,          43.631401,              0.000
     121,          2.000000,"Off         ",          41.333214,          43.631218,              0.000
     122,          2.016667,"Off         ",          41.233002,          43.631763,              0.000
     123,          2.033334,"Off         ",          41.124878,          43.630970,              0.000
     124,          2.050000,"Off         ",          41.007877,          43.631821,              0.000
     125,          2.066667,"Off         ",          40.885132,          43.631111,              0.000
     126,          2.083333,"Off         ",          40.760681,          43.631508,              0.000
     127,          2.100000,"Off         ",          40.633823,          43.631561,              0.000
     128,          2.116667,"Off         ",          40.508270,          43.631065,              0.000
     129,          2.133333,"Off         ",          40.385391,          43.631874,              0.000
     130,          2.150000,"Off         ",          40.267578,          43.630959,              0.000
     131,          2.166667,"Off         ",          40.157921,          43.631752,              0.000
     132,          2.183333,"Off         ",          40.059002,          43.631279,              0.000
     133,          2.200000,"Off         ",          39.969681,          43.631290,              0.000
     134,          2.216667,"Off         ",          39.891068,          43.631737,              0.000
     135,          2.233333,"Off         ",          39.823887,          43.630951,              0.000
     136,          2.250000,"Off         ",          39.764534,          43.631859,              0.000
     137,          2.266667,"Off         ",          39.715492,          43.631104,              0.000
