"","Time","OC_001 Status","OC_001 Trigger1","OC_001 Trigger2","OC_001 Flow"
       1,          0.000000,"Unknown     ",           0.000000,           0.000000,              0.000
       2,          0.016667,"Off         ",          38.807381,          42.202000,              0.000
       3,          0.033333,"Off         ",          38.807381,          42.202000,              0.000
       4,          0.050000,"Off         ",          38.807381,          42.202000,              0.000
       5,          0.066667,"Off         ",          38.807381,          42.202000,              0.000
       6,          0.083333,"Off         ",          38.807381,          42.202000,              0.000
       7,          0.100000,"Off         ",          38.807381,          42.202000,              0.000
       8,          0.116667,"Off         ",          38.807381,          42.202000,              0.000
       9,          0.133333,"Off         ",          38.807381,          42.202000,              0.000
      10,          0.150000,"Off         ",          38.807381,          42.202000,              0.000
      11,          0.166667,"Off         ",          38.807381,          42.202000,              0.000
      12,          0.183333,"Off         ",          38.807381,          42.202000,              0.000
      13,          0.200000,"Off         ",          38.807381,          42.202000,              0.000
      14,          0.216667,"Off         ",          38.807381,          42.202000,              0.000
      15,          0.233333,"Off         ",          38.807381,          42.202000,              0.000
      16,          0.250000,"Off         ",          38.807381,          42.202000,              0.000
      17,          0.266667,"Off         ",          38.807381,          42.202000,              0.000
      18,          0.283333,"Off         ",          38.807381,          42.202000,              0.000
      19,          0.300000,"Off         ",          38.807381,          42.202000,              0.000
      20,          0.316667,"Off         ",          38.807381,          42.202000,              0.000
      21,          0.333333,"Off         ",          38.807381,          42.202000,              0.000
      22,          0.350000,"Off         ",          38.807381,          42.202000,              0.000
      23,          0.366667,"Off         ",          38.807381,          42.202000,              0.000
      24,          0.383333,"Off         ",          38.807381,          42.202000,              0.000
      25,          0.400000,"Off         ",          38.807381,          42.202000,              0.000
      26,          0.416667,"Off         ",          38.807381,          42.202000,              0.000
      27,          0.433333,"Off         ",          38.807381,          42.202000,              0.000
      28,          0.450000,"Off         ",          38.807381,          42.202000,              0.000
      29,          0.466667,"Off         ",          38.807381,          42.202000,              0.000
      30,          0.483333,"Off         ",          38.807381,          42.202000,              0.000
      31,          0.500000,"Off         ",          38.807381,          42.202000,              0.000
      32,          0.516667,"Off         ",          39.263161,          42.202000,              0.000
      33,          0.533333,"Off         ",          39.393463,          42.202000,              0.000
      34,          0.550000,"Off         ",          39.494293,          42.202000,              0.000
      35,          0.566667,"Off         ",          39.579102,          42.202000,              0.000
      36,          0.583333,"Off         ",          39.659126,          42.202000,              0.000
      37,          0.600000,"Off         ",          39.744846,          42.202000,              0.000
      38,          0.616667,"Off         ",          39.821175,          42.202000,              0.000
      39,          0.633333,"Off         ",          39.888058,          42.202000,              0.000
      40,          0.650000,"Off         ",          39.944862,          42.202000,              0.000
      41,          0.666667,"Starting    ",          40.005577,          42.203098,              0.009
      42,          0.683333,"Starting    ",          40.058891,          42.256763,              0.109
      43,          0.700000,"Starting    ",          40.112736,          42.310768,              0.209
      44,          0.716667,"Starting    ",          40.165249,          42.373539,              0.309
      45,          0.733333,"Starting    ",          40.220131,          42.450405,              0.409
      46,          0.750000,"Starting    ",          40.277168,          42.526821,              0.508
      47,          0.766667,"Starting    ",          40.357643,          42.596336,              0.609
      48,          0.783333,"Starting    ",          40.468712,          42.660080,              0.709
      49,          0.800000,"Starting    ",          40.613018,          42.719067,              0.809
      50,          0.816667,"Starting    ",          40.799740,          42.779037,              0.909
      51,          0.833333,"Constant    ",          41.006348,          42.836979,              1.000
      52,          0.850000,"Constant    ",          41.212040,          42.891594,              1.000
      53,          0.866667,"Constant    ",          41.400459,          42.941486,              1.000
      54,          0.883333,"Constant    ",          41.561722,          42.988518,              1.000
      55,          0.900000,"Constant    ",          41.695679,          43.032478,              1.000
      56,          0.916667,"Constant    ",          41.808380,          43.072430,              1.000
      57,          0.933333,"Constant    ",          41.904190,          43.108242,              1.000
      58,          0.950000,"Constant    ",          41.986355,          43.139572,              1.000
      59,          0.966667,"Constant    ",          42.057549,          43.166882,              1.000
      60,          0.983333,"Constant    ",          42.120289,          43.198082,              1.000
      61,          1.000000,"Constant    ",          42.177002,          43.231522,              1.000
      62,          1.016667,"Constant    ",          42.228054,          43.260071,              1.000
      63,          1.033333,"Constant    ",          42.274132,          43.292332,              1.000
      64,          1.050000,"Constant    ",          42.316452,          43.320404,              1.000
      65,          1.066667,"Constant    ",          42.357147,          43.351009,              1.000
      66,          1.083333,"Constant    ",          42.397285,          43.378445,              1.000
      67,          1.100000,"Constant    ",          42.434509,          43.407806,              1.000
      68,          1.116667,"Constant    ",          42.469131,          43.434582,              1.000
      69,          1.133333,"Constant    ",          42.501198,          43.463196,              1.000
      70,          1.150000,"Constant    ",          42.530895,          43.489098,              1.000
      71,          1.166667,"Stopping    ",          42.558010,          43.516521,              0.940
      72,          1.183333,"Stopping    ",          42.582836,          43.539413,              0.840
      73,          1.200000,"Stopping    ",          42.605148,          43.560997,              0.740
      74,          1.216667,"Stopping    ",          42.625126,          43.578556,              0.640
      75,          1.233333,"Stopping    ",          42.642784,          43.593990,              0.540
      76,          1.250000,"Stopping    ",          42.658207,          43.606945,              0.440
      77,          1.266667,"Stopping    ",          42.671463,          43.616207,              0.340
      78,          1.283333,"Stopping    ",          42.682625,          43.624519,              0.240
      79,          1.300000,"Stopping    ",          42.691856,          43.628483,              0.140
      80,          1.316667,"Stopping    ",          42.699146,          43.631397,              0.040
      81,          1.333333,"Off         ",          42.704308,          43.631512,              0.000
      82,          1.350000,"Off         ",          42.707287,          43.631233,              0.000
      83,          1.366667,"Off         ",          42.707947,          43.631992,              0.000
      84,          1.383333,"Off         ",          42.706402,          43.630947,              0.000
      85,          1.400000,"Off         ",          42.702644,          43.631981,              0.000
      86,          1.416667,"Off         ",          42.696716,          43.631252,              0.000
      87,          1.433333,"Off         ",          42.688694,          43.631493,              0.000
      88,          1.450000,"Off         ",          42.678486,          43.631744,              0.000
      89,          1.466667,"Off         ",          42.666161,          43.631138,              0.000
      90,          1.483333,"Off         ",          42.651733,          43.631962,              0.000
      91,          1.500000,"Off         ",          42.635307,          43.631065,              0.000
      92,          1.516667,"Off         ",          42.616940,          43.631802,              0.000
      93,          1.533333,"Off         ",          42.596695,          43.631351,              0.000
      94,          1.550000,"Off         ",          42.574615,          43.631416,              0.000
      95,          1.566667,"Off         ",          42.550804,          43.631828,              0.000
      96,          1.583333,"Off         ",          42.525299,          43.631027,              0.000
      97,          1.600000,"Off         ",          42.498383,          43.632008,              0.000
      98,          1.616667,"Off         ",          42.470329,          43.631111,              0.000
      99,          1.633333,"Off         ",          42.441406,          43.631691,              0.000
     100,          1.650000,"Off         ",          42.411674,          43.631531,              0.000
     101,          1.666667,"Off         ",          42.381130,          43.631210,              0.000
     102,          1.683333,"Off         ",          42.349728,          43.631966,              0.000
     103,          1.700000,"Off         ",          42.317509,          43.630989,              0.000
     104,          1.716667,"Off         ",          42.284416,          43.631927,              0.000
     105,          1.733333,"Off         ",          42.250359,          43.631275,              0.000
     106,          1.750000,"Off         ",          42.215103,          43.631481,              0.000
     107,          1.766667,"Off         ",          42.178268,          43.631752,              0.000
     108,          1.783333,"Off         ",          42.139969,          43.631069,              0.000
     109,          1.800000,"Off         ",          42.099983,          43.631966,              0.000
     110,          1.816667,"Off         ",          42.058132,          43.631088,              0.000
     111,          1.833333,"Off         ",          42.014168,          43.631737,              0.000
     112,          1.850000,"Off         ",          41.967644,          43.631432,              0.000
     113,          1.866667,"Off         ",          41.918007,          43.631374,              0.000
     114,          1.883333,"Off         ",          41.864914,          43.631844,              0.000
     115,          1.900000,"Off         ",          41.807922,          43.631046,              0.000
     116,          1.916667,"Off         ",          41.746754,          43.631947,              0.000
     117,          1.933333,"Off         ",          41.681236,          43.631184,              0.000
     118,          1.950000,"Off         ",          41.611122,          43.631599,              0.000
     119,          1.966667,"Off         ",          41.535713,          43.631580,              0.000
     120,          1.983333,"Off         ",          41.453930,          43.631248,              0.000
     121,          2.000000,"Off         ",          41.365170,          43.631912,              0.000
     122,          2.016667,"Off         ",          41.268478,          43.631031,              0.000
     123,          2.033334,"Off         ",          41.163029,          43.631893,              0.000
     124,          2.050000,"Off         ",          41.047997,          43.631271,              0.000
     125,          2.066667,"Off         ",          40.927830,          43.631474,              0.000
     126,          2.083333,"Off         ",          40.804138,          43.631771,              0.000
     127,          2.100000,"Off         ",          40.680592,          43.631062,              0.000
     128,          2.116667,"Off         ",          40.560001,          43.632011,              0.000
     129,          2.133333,"Off         ",          40.445248,          43.631111,              0.000
     130,          2.150000,"Off         ",          40.340660,          43.631699,              0.000
     131,          2.166667,"Off         ",          40.252609,          43.631523,              0.000
     132,          2.183333,"Off         ",          40.181129,          43.631290,              0.000
     133,          2.200000,"Off         ",          40.128098,          43.631859,              0.000
     134,          2.216667,"Off         ",          40.091362,          43.631084,              0.000
     135,          2.233333,"Off         ",          40.062939,          43.631912,              0.000
     136,          2.250000,"Off         ",          40.042713,          43.631256,              0.000
     137,          2.266667,"Off         ",          40.027267,          43.631561,              0.000
     138,          2.283334,"Off         ",          40.014355,          43.631649,              0.000
     139,          2.300000,"Off         ",          40.003265,          43.631226,              0.000
     140,          2.316667,"Off         ",          39.992870,          43.631882,              0.000
     141,          2.333333,"Off         ",          39.983536,          43.631107,              0.000
     142,          2.350000,"Off         ",          39.975212,          43.631832,              0.000
     143,          2.366667,"Off         ",          39.967545,          43.631336,              0.000
     144,          2.383333,"Off         ",          39.961185,          43.631466,              0.000
     145,          2.400000,"Off         ",          39.952991,          43.631771,              0.000
     146,          2.416667,"Off         ",          39.945686,          43.631134,              0.000
     147,          2.433333,"Off         ",          39.938789,          43.631962,              0.000
     148,          2.450000,"Off         ",          39.931755,          43.631134,              0.000
     149,          2.466667,"Off         ",          39.925247,          43.631695,              0.000
     150,          2.483333,"Off         ",          39.919117,          43.631516,              0.000
     151,          2.500000,"Off         ",          39.913239,          43.631298,              0.000
     152,          2.516667,"Off         ",          39.906857,          43.631886,              0.000
     153,          2.533334,"Off         ",          39.900513,          43.631092,              0.000
     154,          2.550000,"Off         ",          39.895329,          43.631920,              0.000
     155,          2.566667,"Off         ",          39.889946,          43.631252,              0.000
     156,          2.583333,"Off         ",          39.883846,          43.631523,              0.000
     157,          2.600000,"Off         ",          39.877811,          43.631706,              0.000
     158,          2.616667,"Off         ",          39.871761,          43.631157,              0.000
     159,          2.633333,"Off         ",          39.865746,          43.631920,              0.000
     160,          2.650000,"Off         ",          39.859573,          43.631165,              0.000
     161,          2.666667,"Off         ",          39.853539,          43.631741,              0.000
     162,          2.683333,"Off         ",          39.847187,          43.631424,              0.000
     163,          2.700000,"Off         ",          39.840652,          43.631420,              0.000
     164,          2.716667,"Off         ",          39.833733,          43.631748,              0.000
     165,          2.733334,"Off         ",          39.827820,          43.631161,              0.000
     166,          2.750000,"Off         ",          39.819946,          43.631908,              0.000
     167,          2.766667,"Off         ",          39.809166,          43.631184,              0.000
     168,          2.783334,"Off         ",          39.806011,          43.631668,              0.000
     169,          2.800000,"Off         ",          39.796764,          43.631538,              0.000
     170,          2.816667,"Off         ",          39.786747,          43.631294,              0.000
     171,          2.833333,"Off         ",          39.778618,          43.631859,              0.000
     172,          2.850000,"Off         ",          39.770336,          43.631096,              0.000
     173,          2.866667,"Off         ",          39.763447,          43.631874,              0.000
     174,          2.883333,"Off         ",          39.755466,          43.631275,              0.000
     175,          2.900000,"Off         ",          39.745686,          43.631508,              0.000
     176,          2.916667,"Off         ",          39.735260,          43.631714,              0.000
     177,          2.933333,"Off         ",          39.724831,          43.631161,              0.000
     178,          2.950000,"Off         ",          39.714905,          43.631924,              0.000
