"","Time","OC_999 Status","OC_999 Trigger","OC_999 Period_no_change","OC_999 Delay","OC_999 Gate Opening","OC_999 Flow"
      72,          1.183333,"Steady      ",          43.642761,           0.133261,           0.150000,   40.000,             35.256
      73,          1.200000,"Steady      ",          43.674313,           0.149930,           0.150000,   40.000,             35.445
      74,          1.216667,"Opening     ",          43.693176,           0.016578,           0.150000,   46.649,             41.724
      75,          1.233333,"Opening     ",          43.708820,           0.033245,           0.150000,   53.316,             47.665
      76,          1.250000,"Opening     ",          43.720551,           0.049911,           0.150000,   59.983,             53.527
      77,          1.266667,"Steady      ",          43.738483,           0.066578,           0.150000,   60.000,             53.746
      78,          1.283333,"Steady      ",          43.753258,           0.083245,           0.150000,   60.000,             53.879
      79,          1.300000,"Steady      ",          43.765724,           0.099910,           0.150000,   60.000,             53.991
      80,          1.316667,"Steady      ",          43.777576,           0.116577,           0.150000,   60.000,             54.098
      81,          1.333333,"Steady      ",          43.787842,           0.133244,           0.150000,   60.000,             54.191
      82,          1.350000,"Steady      ",          43.797470,           0.149910,           0.150000,   60.000,             54.277
      83,          1.366667,"Opening     ",          43.791687,           0.016491,           0.150000,   66.615,             60.459
      84,          1.383333,"Opening     ",          43.783760,           0.033158,           0.150000,   73.283,             66.249
      85,          1.400000,"Opening     ",          43.771736,           0.049824,           0.150000,   79.951,             71.980
      86,          1.416667,"Steady      ",          43.768589,           0.066491,           0.150000,   80.000,             72.024
      87,          1.433333,"Steady      ",          43.762722,           0.083158,           0.150000,   80.000,             71.954
      88,          1.450000,"Steady      ",          43.754330,           0.099826,           0.150000,   80.000,             71.853
      89,          1.466667,"Steady      ",          43.745605,           0.116492,           0.150000,   80.000,             71.749
      90,          1.483333,"Steady      ",          43.735138,           0.133159,           0.150000,   80.000,             71.623
      91,          1.500000,"Steady      ",          43.724220,           0.149825,           0.150000,   80.000,             71.492
      92,          1.516667,"Opening     ",          43.695900,           0.016489,           0.150000,   86.614,             77.295
      93,          1.533333,"Opening     ",          43.665070,           0.033156,           0.150000,   93.280,             82.698
      94,          1.550000,"Opening     ",          43.630993,           0.049823,           0.150000,   99.947,             87.884
      95,          1.566667,"Fully Open  ",          43.607933,           0.066490,           0.150000,  100.000,             87.619
      96,          1.583333,"Fully Open  ",          43.582661,           0.083157,           0.150000,  100.000,             87.241
      97,          1.600000,"Fully Open  ",          43.555710,           0.099824,           0.150000,  100.000,             86.837
      98,          1.616667,"Fully Open  ",          43.528831,           0.116490,           0.150000,  100.000,             86.433
      99,          1.633333,"Fully Open  ",          43.501301,           0.133157,           0.150000,  100.000,             86.020
     100,          1.650000,"Fully Open  ",          43.473816,           0.149825,           0.150000,  100.000,             85.608
     101,          1.666667,"Fully Open  ",          43.445847,           0.016486,           0.150000,  100.000,             85.189
     102,          1.683333,"Fully Open  ",          43.417053,           0.033152,           0.150000,  100.000,             84.758
     103,          1.700000,"Fully Open  ",          43.388199,           0.049819,           0.150000,  100.000,             84.325
     104,          1.716667,"Fully Open  ",          43.358749,           0.066486,           0.150000,  100.000,             83.883
     105,          1.733333,"Fully Open  ",          43.328930,           0.083153,           0.150000,  100.000,             83.433
