"","Time","OC_002 Status","OC_002 Trigger","OC_002 Gate Opening","OC_002 Flow"
      99,          1.633333,"Steady      ",          43.468895,    1.000,             59.147
     100,          1.650000,"Steady      ",          43.459267,    1.000,             58.566
     101,          1.666667,"Steady      ",          43.449554,    1.000,             57.983
     102,          1.683333,"Steady      ",          43.439865,    1.000,             57.402
     103,          1.700000,"Steady      ",          43.430164,    1.000,             56.823
     104,          1.716667,"Steady      ",          43.420368,    1.000,             56.241
     105,          1.733333,"Steady      ",          43.410561,    1.000,             55.659
     106,          1.750000,"Steady      ",          43.400551,    1.000,             55.068
     107,          1.766667,"Steady      ",          43.390350,    1.000,             54.467
     108,          1.783333,"Steady      ",          43.379967,    1.000,             53.858
     109,          1.800000,"Steady      ",          43.369324,    1.000,             53.237
     110,          1.816667,"Steady      ",          43.358429,    1.000,             52.603
     111,          1.833333,"Steady      ",          43.347210,    1.000,             51.953
     112,          1.850000,"Steady      ",          43.335617,    1.000,             51.284
     113,          1.866667,"Steady      ",          43.323704,    1.000,             50.599
     114,          1.883333,"Steady      ",          43.311325,    1.000,             49.892
     115,          1.900000,"Steady      ",          43.298595,    1.000,             49.167
     116,          1.916667,"Steady      ",          43.285397,    1.000,             48.420
     117,          1.933333,"Steady      ",          43.271606,    1.000,             47.643
     118,          1.950000,"Steady      ",          43.257313,    1.000,             46.842
     119,          1.966667,"Steady      ",          43.242554,    1.000,             46.020
     120,          1.983333,"Steady      ",          43.227409,    1.000,             45.182
     121,          2.000000,"Steady      ",          43.211990,    1.000,             44.333
     122,          2.016667,"Steady      ",          43.196510,    1.000,             43.486
     123,          2.033334,"Steady      ",          43.180897,    1.000,             42.638
     124,          2.050000,"Steady      ",          43.165314,    1.000,             41.797
     125,          2.066667,"Steady      ",          43.149765,    1.000,             40.964
     126,          2.083333,"Steady      ",          43.134483,    1.000,             40.150
     127,          2.100000,"Steady      ",          43.119225,    1.000,             39.342
     128,          2.116667,"Steady      ",          43.104141,    1.000,             38.550
     129,          2.133333,"Steady      ",          43.089214,    1.000,             37.771
     130,          2.150000,"Steady      ",          43.074348,    1.000,             37.000
     131,          2.166667,"Steady      ",          43.059708,    1.000,             36.247
     132,          2.183333,"Steady      ",          43.045135,    1.000,             35.502
     133,          2.200000,"Steady      ",          43.030720,    1.000,             34.770
     134,          2.216667,"Steady      ",          43.016415,    1.000,             34.048
     135,          2.233333,"Steady      ",          43.002129,    1.000,             33.333
     136,          2.250000,"Closing     ",          42.987942,    0.943,             32.628
     137,          2.266667,"Closing     ",          42.973808,    0.876,             31.930
     138,          2.283334,"Closing     ",          42.959885,    0.810,             31.248
     139,          2.300000,"Closing     ",          42.946110,    0.743,             30.578
     140,          2.316667,"Closing     ",          42.932499,    0.676,             29.920
     141,          2.333333,"Closing     ",          42.919083,    0.610,             29.277
     142,          2.350000,"Closing     ",          42.905754,    0.543,             28.642
     143,          2.366667,"Steady      ",          42.895233,    0.500,             26.612
     144,          2.383333,"Steady      ",          42.882561,    0.500,             26.463
     145,          2.400000,"Steady      ",          42.869850,    0.500,             26.312
     146,          2.416667,"Steady      ",          42.856884,    0.500,             26.158
     147,          2.433333,"Steady      ",          42.844746,    0.500,             25.798
     148,          2.450000,"Steady      ",          42.832451,    0.500,             25.237
     149,          2.466667,"Steady      ",          42.820286,    0.500,             24.685
     150,          2.483333,"Steady      ",          42.808182,    0.500,             24.141
     151,          2.500000,"Steady      ",          42.796146,    0.500,             23.604
     152,          2.516667,"Steady      ",          42.784710,    0.500,             23.097
     153,          2.533334,"Steady      ",          42.773182,    0.500,             22.590
     154,          2.550000,"Steady      ",          42.761932,    0.500,             22.099
     155,          2.566667,"Steady      ",          42.750874,    0.500,             21.619
     156,          2.583333,"Steady      ",          42.740044,    0.500,             21.153
     157,          2.600000,"Steady      ",          42.729378,    0.500,             20.698
     158,          2.616667,"Steady      ",          42.718781,    0.500,             20.248
     159,          2.633333,"Steady      ",          42.708221,    0.500,             19.804
     160,          2.650000,"Steady      ",          42.697861,    0.500,             19.371
     161,          2.666667,"Steady      ",          42.687580,    0.500,             18.944
     162,          2.683333,"Steady      ",          42.677429,    0.500,             18.526
     163,          2.700000,"Steady      ",          42.667419,    0.500,             18.117
     164,          2.716667,"Steady      ",          42.657433,    0.500,             17.712
     165,          2.733334,"Steady      ",          42.647579,    0.500,             17.315
     166,          2.750000,"Steady      ",          42.637817,    0.500,             16.926
     167,          2.766667,"Steady      ",          42.628231,    0.500,             16.545
     168,          2.783334,"Steady      ",          42.618698,    0.500,             16.170
     169,          2.800000,"Steady      ",          42.609314,    0.500,             15.804
     170,          2.816667,"Steady      ",          42.600002,    0.500,             15.443
     171,          2.833333,"Steady      ",          42.590843,    0.500,             15.091
     172,          2.850000,"Steady      ",          42.581783,    0.500,             14.745
     173,          2.866667,"Steady      ",          42.572853,    0.500,             14.407
     174,          2.883333,"Steady      ",          42.563942,    0.500,             14.072
     175,          2.900000,"Steady      ",          42.555145,    0.500,             13.744
     176,          2.916667,"Steady      ",          42.546417,    0.500,             13.421
     177,          2.933333,"Steady      ",          42.537796,    0.500,             13.105
     178,          2.950000,"Steady      ",          42.529095,    0.500,             12.788
     179,          2.966667,"Steady      ",          42.520401,    0.500,             12.474
     180,          2.983334,"Steady      ",          42.511787,    0.500,             12.166
     181,          3.000000,"Steady      ",          42.503273,    0.500,             11.863
