"","Time","OC_001 Status","OC_001 Hup","OC_001 SGate1_Status","OC_001 Flow","SGate1 Status","SGate1 t","SGate1 Gate Opening","SGate1 Flow"
      56,          0.916667,"Off         ",          42.786186,           3.000000,              0.000,"Opening     ",           0.916745,    0.347,             18.437
      57,          0.933333,"Off         ",          42.852650,           3.000000,              0.000,"Opening     ",           0.933412,    0.414,             22.375
      58,          0.950000,"Off         ",          42.912003,           3.000000,              0.000,"Opening     ",           0.950079,    0.480,             26.377
      59,          0.966667,"Off         ",          42.967430,           5.000000,              0.000,"Steady      ",           0.966745,    0.500,             27.871
      60,          0.983333,"Off         ",          43.018391,           5.000000,              0.000,"Steady      ",           0.983412,    0.500,             28.230
      61,          1.000000,"Off         ",          43.073410,           3.000000,              0.000,"Opening     ",           1.000079,    0.500,             28.618
      62,          1.016667,"Off         ",          43.125168,           3.000000,              0.000,"Opening     ",           1.016745,    0.567,             32.803
      63,          1.033333,"Off         ",          43.170967,           3.000000,              0.000,"Opening     ",           1.033413,    0.634,             37.022
      64,          1.050000,"Off         ",          43.212101,           5.000000,              0.000,"Steady      ",           1.050079,    0.700,             41.262
      65,          1.066667,"Off         ",          43.252480,           5.000000,              0.000,"Steady      ",           1.066747,    0.700,             41.651
      66,          1.083333,"Off         ",          43.291267,           5.000000,              0.000,"Steady      ",           1.083413,    0.700,             42.012
      67,          1.100000,"Off         ",          43.327278,           5.000000,              0.000,"Steady      ",           1.100081,    0.700,             42.344
      68,          1.116667,"Off         ",          43.363708,           5.000000,              0.000,"Steady      ",           1.116749,    0.700,             42.677
      69,          1.133333,"Off         ",          43.397213,           5.000000,              0.000,"Steady      ",           1.133417,    0.700,             42.982
      70,          1.150000,"Off         ",          43.430756,           5.000000,              0.000,"Steady      ",           1.150084,    0.700,             43.284
      71,          1.166667,"Off         ",          43.462029,           5.000000,              0.000,"Steady      ",           1.166753,    0.700,             43.565
      72,          1.183333,"Off         ",          43.492149,           5.000000,              0.000,"Steady      ",           1.183420,    0.700,             43.833
      73,          1.200000,"Off         ",          43.520611,           3.000000,              0.000,"Opening     ",           1.200089,    0.701,             44.090
      74,          1.216667,"Off         ",          43.543720,           3.000000,              0.000,"Opening     ",           1.216756,    0.767,             48.454
      75,          1.233333,"Off         ",          43.564114,           3.000000,              0.000,"Opening     ",           1.233423,    0.834,             52.825
      76,          1.250000,"Off         ",          43.580959,           3.000000,              0.000,"Opening     ",           1.250090,    0.901,             57.177
      77,          1.266667,"Off         ",          43.593170,           3.000000,              0.000,"Opening     ",           1.266756,    0.967,             61.486
      78,          1.283333,"Off         ",          43.604233,           7.000000,              0.000,"Fully Open  ",           1.283423,    1.000,             63.709
      79,          1.300000,"Off         ",          43.612434,           7.000000,              0.000,"Fully Open  ",           1.300090,    1.000,             63.811
      80,          1.316667,"Off         ",          43.619167,           7.000000,              0.000,"Fully Open  ",           1.316756,    1.000,             63.896
      81,          1.333333,"Off         ",          43.625229,           7.000000,              0.000,"Fully Open  ",           1.333423,    1.000,             63.971
      82,          1.350000,"Off         ",          43.629074,           7.000000,              0.000,"Fully Open  ",           1.350090,    1.000,             64.019
      83,          1.366667,"Off         ",          43.632099,           7.000000,              0.000,"Fully Open  ",           1.366756,    1.000,             64.056
      84,          1.383333,"Off         ",          43.633762,           7.000000,              0.000,"Fully Open  ",           1.383423,    1.000,             64.077
      85,          1.400000,"Off         ",          43.633678,           7.000000,              0.000,"Fully Open  ",           1.400090,    1.000,             64.076
      86,          1.416667,"Off         ",          43.632729,           7.000000,              0.000,"Fully Open  ",           1.416756,    1.000,             64.065
      87,          1.433333,"Off         ",          43.630417,           7.000000,              0.000,"Fully Open  ",           1.433423,    1.000,             64.036
      88,          1.450000,"Off         ",          43.626900,           7.000000,              0.000,"Fully Open  ",           1.450090,    1.000,             63.992
      89,          1.466667,"Off         ",          43.622490,           7.000000,              0.000,"Fully Open  ",           1.466756,    1.000,             63.938
      90,          1.483333,"Off         ",          43.616646,           7.000000,              0.000,"Fully Open  ",           1.483423,    1.000,             63.865
      91,          1.500000,"Off         ",          43.609848,           7.000000,              0.000,"Fully Open  ",           1.500090,    1.000,             63.780
      92,          1.516667,"Off         ",          43.601887,           7.000000,              0.000,"Fully Open  ",           1.516756,    1.000,             63.681
      93,          1.533333,"Off         ",          43.592918,           7.000000,              0.000,"Fully Open  ",           1.533423,    1.000,             63.569
      94,          1.550000,"Off         ",          43.583057,           7.000000,              0.000,"Fully Open  ",           1.550090,    1.000,             63.446
      95,          1.566667,"Off         ",          43.572227,           7.000000,              0.000,"Fully Open  ",           1.566756,    1.000,             63.310
      96,          1.583333,"Off         ",          43.560749,           7.000000,              0.000,"Fully Open  ",           1.583423,    1.000,             63.166
      97,          1.600000,"Off         ",          43.548729,           7.000000,              0.000,"Fully Open  ",           1.600090,    1.000,             63.015
      98,          1.616667,"Off         ",          43.536354,           7.000000,              0.000,"Fully Open  ",           1.616757,    1.000,             62.858
      99,          1.633333,"Off         ",          43.523746,           7.000000,              0.000,"Fully Open  ",           1.633424,    1.000,             62.699
     100,          1.650000,"Off         ",          43.510803,           7.000000,              0.000,"Fully Open  ",           1.650091,    1.000,             62.535
     101,          1.666667,"Off         ",          43.497608,           7.000000,              0.000,"Fully Open  ",           1.666757,    1.000,             62.367
     102,          1.683333,"Off         ",          43.484070,           7.000000,              0.000,"Fully Open  ",           1.683424,    1.000,             62.194
     103,          1.700000,"Off         ",          43.470165,           7.000000,              0.000,"Fully Open  ",           1.700091,    1.000,             62.016
     104,          1.716667,"Off         ",          43.455902,           7.000000,              0.000,"Fully Open  ",           1.716757,    1.000,             61.833
