"","Time","OC_999 Status","OC_999 Trigger","OC_999 Gate Opening","OC_999 Flow"
       1,          0.000000,"Closed      ",          37.598999,    0.000,              0.000
       2,          0.016667,"Closed      ",          37.598999,    0.000,              0.000
       3,          0.033333,"Closed      ",          37.598999,    0.000,              0.000
       4,          0.050000,"Closed      ",          37.598999,    0.000,              0.000
       5,          0.066667,"Closed      ",          37.598999,    0.000,              0.000
       6,          0.083333,"Closed      ",          37.598999,    0.000,              0.000
       7,          0.100000,"Closed      ",          37.598999,    0.000,              0.000
       8,          0.116667,"Closed      ",          37.598999,    0.000,              0.000
       9,          0.133333,"Closed      ",          37.598999,    0.000,              0.000
      10,          0.150000,"Closed      ",          37.598999,    0.000,              0.000
      11,          0.166667,"Closed      ",          37.598999,    0.000,              0.000
      12,          0.183333,"Closed      ",          37.598999,    0.000,              0.000
      13,          0.200000,"Closed      ",          37.598999,    0.000,              0.000
      14,          0.216667,"Closed      ",          37.598999,    0.000,              0.000
      15,          0.233333,"Closed      ",          37.598999,    0.000,              0.000
      16,          0.250000,"Closed      ",          37.598999,    0.000,              0.000
      17,          0.266667,"Closed      ",          37.598999,    0.000,              0.000
      18,          0.283333,"Closed      ",          37.598999,    0.000,              0.000
      19,          0.300000,"Closed      ",          37.598999,    0.000,              0.000
      20,          0.316667,"Closed      ",          37.598999,    0.000,              0.000
      21,          0.333333,"Closed      ",          37.598999,    0.000,              0.000
      22,          0.350000,"Closed      ",          37.598999,    0.000,              0.000
      23,          0.366667,"Closed      ",          37.598999,    0.000,              0.000
      24,          0.383333,"Closed      ",          37.598999,    0.000,              0.000
      25,          0.400000,"Closed      ",          37.598999,    0.000,              0.000
      26,          0.416667,"Closed      ",          37.598999,    0.000,              0.000
      27,          0.433333,"Closed      ",          37.598999,    0.000,              0.000
      28,          0.450000,"Closed      ",          37.598999,    0.000,              0.000
      29,          0.466667,"Closed      ",          37.598999,    0.000,              0.000
      30,          0.483333,"Closed      ",          37.598999,    0.000,              0.000
