"","Time","OC_002 Status","OC_002 t","OC_002 wday","OC_002 Gate Opening","OC_002 Flow"
      83,          1.366667,"Steady      ",           1.366754,           1.000000,    0.600,             43.152
      84,          1.383333,"Steady      ",           1.383420,           1.000000,    0.600,             43.288
      85,          1.400000,"Steady      ",           1.400087,           1.000000,    0.600,             43.408
      86,          1.416667,"Steady      ",           1.416754,           1.000000,    0.600,             43.517
      87,          1.433333,"Steady      ",           1.433420,           1.000000,    0.600,             43.613
      88,          1.450000,"Steady      ",           1.450087,           1.000000,    0.600,             43.696
      89,          1.466667,"Steady      ",           1.466754,           1.000000,    0.600,             43.767
      90,          1.483333,"Steady      ",           1.483420,           1.000000,    0.600,             43.825
      91,          1.500000,"Steady      ",           1.500087,           1.000000,    0.600,             43.873
      92,          1.516667,"Steady      ",           1.516753,           1.000000,    0.600,             43.911
      93,          1.533333,"Steady      ",           1.533420,           1.000000,    0.600,             43.939
      94,          1.550000,"Steady      ",           1.550087,           1.000000,    0.600,             43.958
      95,          1.566667,"Steady      ",           1.566754,           1.000000,    0.600,             43.969
      96,          1.583333,"Steady      ",           1.583420,           1.000000,    0.600,             43.974
      97,          1.600000,"Steady      ",           1.600087,           1.000000,    0.600,             43.975
      98,          1.616667,"Steady      ",           1.616753,           1.000000,    0.600,             43.972
      99,          1.633333,"Steady      ",           1.633420,           1.000000,    0.600,             43.967
     100,          1.650000,"Steady      ",           1.650087,           1.000000,    0.600,             43.959
     101,          1.666667,"Steady      ",           1.666754,           1.000000,    0.600,             43.948
     102,          1.683333,"Steady      ",           1.683420,           1.000000,    0.600,             43.934
     103,          1.700000,"Steady      ",           1.700087,           1.000000,    0.600,             43.918
     104,          1.716667,"Steady      ",           1.716754,           1.000000,    0.600,             43.898
     105,          1.733333,"Steady      ",           1.733420,           1.000000,    0.600,             43.875
     106,          1.750000,"Steady      ",           1.750087,           1.000000,    0.600,             43.848
     107,          1.766667,"Steady      ",           1.766753,           1.000000,    0.600,             43.817
