"M11_5m_002 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_11\Complete_Model\TUFLOW\runs\M11_5m_002.tcf]","Time (h)","H Loc1_P [M11_5m_002]"
       1,          0.000000,     39.0013
       2,          0.016667, -99999.0000
       3,          0.033333, -99999.0000
       4,          0.050000, -99999.0000
       5,          0.066667, -99999.0000
       6,          0.083333, -99999.0000
       7,          0.100000, -99999.0000
       8,          0.116667, -99999.0000
       9,          0.133333, -99999.0000
      10,          0.150000, -99999.0000
      11,          0.166667, -99999.0000
      12,          0.183333, -99999.0000
      13,          0.200000, -99999.0000
      14,          0.216667, -99999.0000
      15,          0.233333, -99999.0000
      16,          0.250000, -99999.0000
      17,          0.266667, -99999.0000
      18,          0.283333, -99999.0000
      19,          0.300000, -99999.0000
      20,          0.316667, -99999.0000
      21,          0.333333, -99999.0000
      22,          0.350000, -99999.0000
      23,          0.366667, -99999.0000
      24,          0.383333, -99999.0000
      25,          0.400000,     39.0256
      26,          0.416667,     39.1823
      27,          0.433333,     39.5144
      28,          0.450000,     39.7798
      29,          0.466667,     39.9459
      30,          0.483333,     40.0920
      31,          0.500000,     40.2208
      32,          0.516667,     40.3409
      33,          0.533333,     40.4563
      34,          0.550000,     40.5713
      35,          0.566667,     40.6912
      36,          0.583333,     40.8274
      37,          0.600000,     40.9879
      38,          0.616667,     41.1497
      39,          0.633333,     41.3022
      40,          0.650000,     41.4815
      41,          0.666667,     41.6708
      42,          0.683333,     41.8304
      43,          0.700000,     41.9539
      44,          0.716667,     42.0500
      45,          0.733333,     42.1279
      46,          0.750000,     42.1925
      47,          0.766667,     42.2455
      48,          0.783333,     42.2797
      49,          0.800000,     42.3191
      50,          0.816667,     42.3494
      51,          0.833333,     42.3761
      52,          0.850000,     42.3980
      53,          0.866667,     42.4171
      54,          0.883333,     42.4349
      55,          0.900000,     42.4505
      56,          0.916667,     42.4664
      57,          0.933333,     42.4804
      58,          0.950000,     42.4932
      59,          0.966667,     42.5051
      60,          0.983333,     42.5156
      61,          1.000000,     42.5246
      62,          1.016667,     42.5328
      63,          1.033333,     42.5398
      64,          1.050000,     42.5460
      65,          1.066667,     42.5512
      66,          1.083333,     42.5556
      67,          1.100000,     42.5594
      68,          1.116667,     42.5624
      69,          1.133333,     42.5641
      70,          1.150000,     42.5650
      71,          1.166667,     42.5651
      72,          1.183333,     42.5646
      73,          1.200000,     42.5630
      74,          1.216667,     42.5602
      75,          1.233333,     42.5569
      76,          1.250000,     42.5523
      77,          1.266667,     42.5471
      78,          1.283333,     42.5405
      79,          1.300000,     42.5334
      80,          1.316667,     42.5251
      81,          1.333333,     42.5153
      82,          1.350000,     42.5046
      83,          1.366667,     42.4927
      84,          1.383333,     42.4800
      85,          1.400000,     42.4656
      86,          1.416667,     42.4503
      87,          1.433333,     42.4337
      88,          1.450000,     42.4162
      89,          1.466667,     42.3966
      90,          1.483333,     42.3764
      91,          1.500000,     42.3549
      92,          1.516667,     42.3328
      93,          1.533333,     42.3099
      94,          1.550000,     42.2864
      95,          1.566667,     42.2623
      96,          1.583333,     42.2380
      97,          1.600000,     42.2159
      98,          1.616667,     42.1921
      99,          1.633333,     42.1676
     100,          1.650000,     42.1406
     101,          1.666667,     42.1130
     102,          1.683333,     42.0859
     103,          1.700000,     42.0592
     104,          1.716667,     42.0330
     105,          1.733333,     42.0077
     106,          1.750000,     41.9835
     107,          1.766667,     41.9595
     108,          1.783333,     41.9358
     109,          1.800000,     41.9123
     110,          1.816667,     41.8891
     111,          1.833333,     41.8663
     112,          1.850000,     41.8437
     113,          1.866667,     41.8218
