"M11_5m_001 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_11\Complete_Model\TUFLOW\runs\M11_5m_001.tcf]","Time(h)","F ds1 [M11_5m_001]","F ds2 [M11_5m_001]","F ds3 [M11_5m_001]","F ds4 [M11_5m_001]","F ds5 [M11_5m_001]","F ds_weir [M11_5m_001]","F FC01.01 [M11_5m_001]","F FC01.02 [M11_5m_001]","F FC01.03 [M11_5m_001]","F FC01.04 [M11_5m_001]","F FC01.05 [M11_5m_001]","F FC01.06 [M11_5m_001]","F FC01.07 [M11_5m_001]","F FC01.08 [M11_5m_001]","F FC01.09 [M11_5m_001]","F FC01.12 [M11_5m_001]","F FC01.13 [M11_5m_001]","F FC01.14 [M11_5m_001]","F FC01.15 [M11_5m_001]","F FC01.16 [M11_5m_001]","F FC01.17 [M11_5m_001]","F FC01.18 [M11_5m_001]","F FC01.19 [M11_5m_001]","F FC01.1_R [M11_5m_001]","F FC01.20 [M11_5m_001]","F FC01.21 [M11_5m_001]","F FC01.22 [M11_5m_001]","F FC01.23 [M11_5m_001]","F FC01.24 [M11_5m_001]","F FC01.25 [M11_5m_001]","F FC01.26 [M11_5m_001]","F FC01.27 [M11_5m_001]","F FC01.28A [M11_5m_001]","F FC01.28B [M11_5m_001]","F FC01.29 [M11_5m_001]","F FC01.2_R [M11_5m_001]","F FC01.30 [M11_5m_001]","F FC01.31 [M11_5m_001]","F FC01.32 [M11_5m_001]","F FC01.33 [M11_5m_001]","F FC01.34 [M11_5m_001]","F FC01.36 [M11_5m_001]","F FC01.37 [M11_5m_001]","F FC01.38 [M11_5m_001]","F FC01.39 [M11_5m_001]","F FC01.40 [M11_5m_001]","F FC02.01 [M11_5m_001]","F FC02.02 [M11_5m_001]","F FC02.03 [M11_5m_001]","F FC02.04 [M11_5m_001]","F FC02.05 [M11_5m_001]","F FC02.06 [M11_5m_001]","F FC04.1_C [M11_5m_001]","F FC_weir1 [M11_5m_001]"
      23,          0.366667,,,,,,E,,,,,,,,,,,E,E,E,E,E,E,E,A,E,E,,,,,,,,,,A,,,,,,,,,,*,A,E,E,E,,,G,E
      24,          0.383333,,,,,,E,,,,,,,,,,,E,E,E,E,E,E,*,A,,A,,,,,,,,,,A,,,,,,,,,,*,A,A,E,E,,,G,E
      25,          0.400000,,,,,,E,,,,,,,,,,,E,E,E,E,E,,,A,,A,,,,,,,,,,A,,,,,,,,,,*,A,A,E,E,,,G,
      26,          0.416667,,,,,,E,,,,,,,,,,,E,E,E,*,,,,A,,A,,,,,,,,,,A,,,,,,,,,,*,,,E,E,,,G,
      27,          0.433333,,,,,,E,,,,,,,,,,,E,E,,,,,,A,,A,,,,,,,,,,A,,,,,,,,,,*,A,A,E,E,,,G,
      28,          0.450000,,,,,,E,,,,,,,,,,,N,,,,,,,A,,A,,,,,,,,,,A,,,,,,,,,,*,A,A,T,*,,,G,
      29,          0.466667,,,,,,E,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,,,,,,,*,A,A,T,*,,,G,
      30,          0.483333,,,,,,E,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,,,,,,,*,A,,T,*,,,G,
      31,          0.500000,,,,,,E,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A,,,,,,,,,,*,A,,T,*,,,G,
      32,          0.516667,,,,,,E,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,A L,,,,,,,,,,*,,,T,*,,,G,
      33,          0.533333,,,,,,E,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,,,,,,,,,,T,*,,,G,
      34,          0.550000,,,,,,E,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,,,,,,,,,,T,,,,G,
      35,          0.566667,,,,,,E,,,,,,,,,,,,,,,,,,B,,A,,,,,,,,,,D L,,,,,,,,,,,,,,,,,G,
      36,          0.583333,,,,,,E,,,,,,,,,,,,,,,,,,B,,A,,,,,,,,,,D L,,,,,,,,,,,,,T,,,,G,
      37,          0.600000,,,,,,E,,,,,,,,,,,,,,,,,,B,,A,,,,,,,,,,D L,,,,,,F,,,,,,,T,,,,G,
      38,          0.616667,,,,,,E,,,,,,,,,,,,,,,,,,B,,A,,,,,,,,,,F L,,,,,,F,,,,,,,T,,,,G,
      39,          0.633333,,,,,,E,,,,,,,,,,,,,,,,,,L,,A,,,,,,,,,,F L,,,,,,F,F,,,,,,T,,,,G,
      40,          0.650000,,,,,,E,,,,,,,,,,,,,,,,,,L,,A,,,,,,,,,,F,,,,,,F,F,,,,,,T,,,,G,
      41,          0.666667,,,,,,E,,,,,,,,,,,,,,,,,,L,,A,,,,,,,,,,F,,,,,,F,F,,,,,,T,,,,G,
      42,          0.683333,,,,,,E,,,,,,,,,,,,,,,,,,L,,A,,,,,,,,,,F,,,,,,F,F,,,,,,T,,,,A,
      43,          0.700000,,,,,,E,,,,,,,,,,,,,,,,,,L,,A,,,,,,,,,,F,,,,,,F,F,,,,,,T,,,,A,
      44,          0.716667,,,,,,,,,,,,,,,,,,,,,,,,L,,A,,,,,,,,,,F,,,,,,F,F,,,,,,T,,,,A,
      45,          0.733333,,,,,,,,,,,,,,,,,,,,,,,,L,,A,,,,,,,,,,F,,,,,,F,F,,,,,,T,,,,A,F
      46,          0.750000,,,,,,,,,,,,,,,,,,,,,F,F,,L,,A,,,,,,,,,,F,,,,,,F,F,,,,,,T,,,,A,F
      47,          0.766667,,,,,,,,,,,,,,,,,,,,F,F,F,,L,,A,,,,,,,,,,F,,,,,,F,F,,,,,,T,,,,A,F
      48,          0.783333,,,,,,,,,,,,,,,,,,,,F,F,F,F,L,,A,,,,,,,,,,F,,,,,,F,F,,,,,,T,,,,A,F
      49,          0.800000,,,,,,,,,,,,,,,,,,,,F,F,F,F,L,,A,,,,,,,,,,F,,,,,,F,F,,,,A,A,,,,,A,F
      50,          0.816667,,,,,,,,,,,,,,,,,,,F,F,F,F,F,L,,A,,,,,,,,,,F,,,,,,F,F,,,,,A,A,,,,A,F
      51,          0.833333,,,,,,,,,,,,,,,,F,,,F,F,F,F,F,L,F,A,,,,,,,,,,F,,,,,,F,F,F,,,,,,,,,A,F
      52,          0.850000,,,,,,,,,,,,,,,,F,,,F,F,F,F,F,L,F,A,,,,,,,,,,F,,,,,,F,F,F,,,,,,,,,A,F
      53,          0.866667,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,F,,,,,,F,F,F,,,,,,,,,A,F
      54,          0.883333,,,,,,,,,,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,F,,,,,,F,F,F,,,,,,,,,A,F
      55,          0.900000,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,F,,,,,,F,F,F,,,,,,,,,A,F
      56,          0.916667,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,F,,,,,,F,F,F,,,,,,,,,A,F
      57,          0.933333,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,F,,,,,,F,F,F,,,,,,,,,A,F
      58,          0.950000,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L L,,,,,,F,F,F,,,,,,,,,A,F
      59,          0.966667,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L L,,,,,,F,F,F,,,,,,,,,B,F
      60,          0.983333,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L L,,,,,,F,F,F,,,,,,,,,B,F
      61,          1.000000,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L L,,,,,,F,F,F,,,,,,,,,B,F
      62,          1.016667,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L L,,,,,,F,F,F,,,,,,,,,B,F
      63,          1.033333,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L L,,,,,,F,F,F,,,,,,,,,B,F
      64,          1.050000,,,,,,,F,,,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L L,,,,,,F,F,F,,,,,,,,,B,F
      65,          1.066667,,,,,,,F,,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L L,,,,,,F,F,F,,,,,,,,,B,F
      66,          1.083333,,,,,,,F,F,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L L,,,,,,F,F,F,,,,,,,,,B,F
      67,          1.100000,,,,,,,F,F,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L L,,,,,,F,F,F,,,,,,,,,B,F
      68,          1.116667,,,,,,,F,F,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L L,,,,,,F,F,,,,,,,,,,B,F
      69,          1.133333,,,,,,,F,F,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L L,,,,,,F,F,,,,,,,,,,B,F
      70,          1.150000,,,,,,,F,F,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L L,,,,,,F,F,,,,,,,,,,B,F
      71,          1.166667,,,,,,,F,F,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L L,,,,,,F,F,,,,,,,,,,B,F
      72,          1.183333,,,,,,,F,F,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L L,,,,,,F,F,,,,,,,,,,B,F
      73,          1.200000,,,,,,,F,F,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L L,,,,,,F,F,,,,,,,,,,B,F
      74,          1.216667,,,,,,,F,F,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L L,,,,,,F,F,,,,,,,,,,B,F
      75,          1.233333,,,,,,,F,F,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L L,,,,,,F,F,,,,,,,,,,B,F
      76,          1.250000,,,,,,,F,F,F,,,,,,,F,F,F,F,F,F,F,F,L,F,F,,,,,,,,,,L L,,,,,,F,F,,,,,,,,,,B,F
      77,          1.266667,,,,,,,F,F,F,,,,,,,F,F,F,F,F,F,F,F,L,F,F,,,,,,,,,,L L,,,,,,F,F,,,,,,,,,,B,F
      78,          1.283333,,,,,,,F,F,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L L,,,,,,F,F,,,,,,,,,,B,F
      79,          1.300000,,,,,,,F,F,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L L,,,,,,F,F,,,,,,,,,,B,F
      80,          1.316667,,,,,,,F,F,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L L,,,,,,F,F,,,,,,,,,,B,F
      81,          1.333333,,,,,,,F,F,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L L,,,,,,F,F,,,,,,,,,,B,F
      82,          1.350000,,,,,,,F,F,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L L,,,,,,F,F,,,,,,,,,,B,F
      83,          1.366667,,,,,,,F,F,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L L,,,,,,F,F,,,,,,,,,,B,F
      84,          1.383333,,,,,,,F,F,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L L,,,,,,F,F,,,,,,,,,,B,F
      85,          1.400000,,,,,,,F,F,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L L,,,,,,F,F,,,,,,,,,,B,F
      86,          1.416667,,,,,,,F,F,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L L,,,,,,F,F,,,,,,,,,,B,F
      87,          1.433333,,,,,,,F,F,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L L,,,,,,F,F,,,,,,,,,,B,F
      88,          1.450000,,,,,,,F,F,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L L,,,,,,F,F,,,,,,,,,,B,F
      89,          1.466667,,,,,,,F,F,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L L,,,,,,F,F,,,,,,,,,,B,F
      90,          1.483333,,,,,,,F,F,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L L,,,,,,F,F,,,,,,,,,,B,F
      91,          1.500000,,,,,,,F,F,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L L,,,,,,F,F,,,,,,,,,,B,
      92,          1.516667,,,,,,,F,F,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L L,,,,,,F,F,,,,,,,,,,B,
      93,          1.533333,,,,,,,F,F,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L L,,,,,,F,F,,,,,,,,,,B,
      94,          1.550000,,,,,,,F,F,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L L,,,,,,F,F,,,,,,,,,,B,
      95,          1.566667,,,,,,,F,F,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L L,,,,,,F,F,,,,,,,,,,B,
      96,          1.583333,,,,,,,F,F,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L L,,,,,,F,F,,,,,,,,,,B,
      97,          1.600000,,,,,,,F,F,F,,,,,,,F,F,F,F,F,F,F,F,L,F,A,,,,,,,,,,L L,,,,,,F,F,,,,,,,,,,B,
