"M11_5m_001 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_11\Complete_Model\TUFLOW\runs\M11_5m_001.tcf]","Chan ID","Qmax","Time Qmax","Vmax","Time Vmax"
     1,"ds1",          63.431,          1.3059,      1.6174,          0.7277
     2,"ds2",          98.552,          1.3328,      1.4427,          0.8934
     3,"ds3",          97.930,          1.3874,      1.8651,          1.2229
     4,"ds4",          97.925,          1.4005,      1.6732,          0.7613
     5,"ds5",          97.763,          1.4250,      1.2830,          1.3895
     6,"ds_weir",          97.561,          1.4508,      2.3054,          1.4508
     7,"FC01.01",          60.213,          1.2571,      1.2727,          0.6793
     8,"FC01.02",          65.810,          1.2615,      1.1086,          0.9245
     9,"FC01.03",          68.340,          1.2547,      1.2118,          0.9384
    10,"FC01.04",          77.418,          1.2962,      1.9630,          1.2146
    11,"FC01.05",          77.651,          1.2989,      1.5352,          1.2297
    12,"FC01.06",          78.781,          1.2936,      1.2462,          1.2644
    13,"FC01.07",          78.495,          1.2913,      1.0441,          1.2587
    14,"FC01.08",          78.487,          1.2892,      1.2326,          1.2489
    15,"FC01.09",          76.565,          1.2839,      1.3196,          1.2556
    16,"FC01.12",          58.778,          1.2813,      1.4735,          0.6061
    17,"FC01.13",          64.208,          0.8336,      1.5690,          0.7750
    18,"FC01.14",          69.624,          0.8498,      1.9149,          0.8123
    19,"FC01.15",          69.027,          0.8619,      1.7181,          0.8231
    20,"FC01.16",          52.478,          0.8682,      1.2996,          0.8433
    21,"FC01.17",          40.064,          0.8932,      1.1805,          0.8413
    22,"FC01.18",          55.294,          0.9182,      0.8664,          0.8900
    23,"FC01.19",          64.607,          0.9309,      0.9400,          0.8964
    24,"FC01.1_R",          48.069,          0.9644,      8.2423,          0.9644
    25,"FC01.20",          47.274,          0.9163,      1.2782,          0.8230
    26,"FC01.21",          51.277,          0.9418,      0.8740,          0.8209
    27,"FC01.22",          45.870,          0.8109,      0.9143,          0.3769
    28,"FC01.23",          43.692,          0.8103,      1.6861,          0.6071
    29,"FC01.24",          34.984,          0.8235,      1.7802,          0.5893
    30,"FC01.25",          35.196,          0.8255,      2.0461,          0.6167
    31,"FC01.26",          34.700,          0.8210,      2.0071,          0.7703
    32,"FC01.27",          38.347,          0.9849,      2.8454,          0.8313
    33,"FC01.28A",          38.355,          0.9848,      2.1767,          0.7675
    34,"FC01.28B",          33.435,          0.9760,      1.7257,          0.5798
    35,"FC01.29",          33.865,          0.9814,      1.5045,          0.5684
    36,"FC01.2_R",          80.808,          1.1751,      7.4824,          1.1751
    37,"FC01.30",          79.446,          0.9909,      2.3627,          0.9866
    38,"FC01.31",          82.933,          0.9787,      2.2667,          0.9683
    39,"FC01.32",          84.176,          0.9783,      2.1179,          0.9674
    40,"FC01.33",          19.156,          0.9673,      0.9641,          0.4091
    41,"FC01.34",          79.779,          0.9623,      1.7825,          0.7291
    42,"FC01.36",          46.944,          0.9635,      1.0176,          0.5233
    43,"FC01.37",          58.022,          0.9452,      1.3142,          0.5906
    44,"FC01.38",          74.248,          0.9396,      1.3536,          0.6137
    45,"FC01.39",          91.921,          0.9362,      1.6657,          0.5908
    46,"FC01.40",          92.177,          0.9323,      3.2283,          0.9257
    47,"FC02.01",          17.097,          0.8091,      0.5103,          0.8091
    48,"FC02.02",          16.210,          0.8156,      0.5513,          0.8156
    49,"FC02.03",          29.573,          0.8043,      2.0309,          0.8120
    50,"FC02.04",          10.764,          0.7999,      1.4467,          0.7985
    51,"FC02.05",          12.927,          0.8215,      0.3341,          0.8215
    52,"FC02.06",           9.455,          0.8263,      0.6023,          0.8262
    53,"FC04.1_C",           9.460,          1.3228,      2.7982,          1.3228
    54,"FC_weir1",          68.257,          0.9838,      1.3190,          0.5639
