"M11_5m_002 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_11\Complete_Model\TUFLOW\runs\M11_5m_002.tcf]","Chan ID","Qmax","Time Qmax","Vmax","Time Vmax"
     1,"ds1",          66.715,          1.2336,      1.6446,          0.7221
     2,"ds2",         111.396,          1.2605,      1.4671,          0.7834
     3,"ds3",         111.265,          1.2817,      1.8690,          1.0064
     4,"ds4",         111.256,          1.2970,      1.6818,          0.7551
     5,"ds5",         111.138,          1.3233,      1.3126,          1.2947
     6,"ds_weir",         111.035,          1.3456,      2.3741,          1.3456
     7,"FC01.01",          60.646,          1.0737,      1.2696,          0.6890
     8,"FC01.02",          66.075,          1.0827,      1.1118,          0.8856
     9,"FC01.03",          68.142,          1.0437,      1.2179,          0.8878
    10,"FC01.04",          79.157,          1.2000,      1.9643,          0.9698
    11,"FC01.05",          80.026,          1.2078,      1.5360,          0.9781
    12,"FC01.06",          81.788,          1.2048,      1.2545,          1.1593
    13,"FC01.07",          81.137,          1.2011,      1.0516,          1.1469
    14,"FC01.08",          81.061,          1.1988,      1.2379,          1.0992
    15,"FC01.09",          77.963,          1.1939,      1.3401,          0.7349
    16,"FC01.10_W",          30.073,          1.2043,      1.2541,          1.2043
    17,"FC01.11_B",          81.074,          1.1805,      4.3275,          1.1805
    18,"FC01.12",          74.188,          1.1936,      1.2537,          0.5981
    19,"FC01.13",          63.406,          0.8020,      1.5920,          0.7395
    20,"FC01.14",          67.354,          0.8271,      1.8932,          0.7689
    21,"FC01.15",          66.729,          0.8408,      1.6812,          0.7914
    22,"FC01.16",          50.818,          0.8748,      1.2692,          0.6757
    23,"FC01.17",          39.717,          1.0769,      1.1791,          0.6503
    24,"FC01.18",          56.236,          1.1079,      0.8560,          1.0647
    25,"FC01.19",          65.852,          1.1127,      0.9335,          1.0795
    26,"FC01.20",          47.913,          1.1101,      1.2626,          0.8175
    27,"FC01.21",          52.421,          1.1099,      0.8680,          0.8155
    28,"FC01.22",          45.862,          0.8145,      0.8945,          0.3524
    29,"FC01.23",          43.460,          0.8139,      1.6930,          0.6117
    30,"FC01.24",          34.568,          0.8180,      1.7936,          0.5904
    31,"FC01.25",          34.743,          0.8200,      2.1203,          0.6402
    32,"FC01.26",          34.148,          0.8244,      2.0423,          0.6651
    33,"FC01.27",          38.139,          1.0674,      2.8122,          1.0512
    34,"FC01.28A",          38.143,          1.0714,      2.1908,          0.6226
    35,"FC01.28B",          33.295,          1.0369,      1.7296,          0.5774
    36,"FC01.29",          33.681,          1.0410,      1.5017,          0.5698
    37,"FC01.30",          78.743,          1.0680,      2.3528,          1.0602
    38,"FC01.31",          82.376,          1.0555,      2.2621,          1.0463
    39,"FC01.32",          83.702,          1.0531,      2.1161,          1.0463
    40,"FC01.33",          19.141,          1.0499,      0.9612,          0.4051
    41,"FC01.34",          90.824,          1.0445,      1.9285,          1.0309
    42,"FC01.35_B",          94.500,          1.0438,      5.5861,          1.0411
    43,"FC01.36",          58.086,          0.7408,      1.7040,          0.5432
    44,"FC01.37",          77.077,          0.7942,      1.6739,          0.6025
    45,"FC01.38",          87.005,          0.8637,      1.5834,          0.7001
    46,"FC01.39",          92.077,          0.9404,      1.8305,          0.7620
    47,"FC01.40",          92.225,          0.9305,      3.3502,          0.8349
    48,"FC02.01",          16.778,          0.8127,      0.4900,          0.8127
    49,"FC02.02",          16.478,          0.8102,      0.5551,          0.8017
    50,"FC02.03",          29.762,          0.7903,      2.0288,          0.7982
    51,"FC02.04",          11.024,          0.8120,      1.4479,          0.7665
    52,"FC02.05",          13.300,          0.7989,      0.3440,          0.7989
    53,"FC02.06",           9.368,          0.8033,      0.5998,          0.8210
    54,"FC04.1_C",           9.460,          1.3227,      2.7982,          1.3227
    55,"FC_weir1",          68.208,          1.0491,      1.3259,          0.5645
