"M11_5m_002 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_11\Complete_Model\TUFLOW\runs\M11_5m_002.tcf]","Time(h)","F ds1 [M11_5m_002]","F ds2 [M11_5m_002]","F ds3 [M11_5m_002]","F ds4 [M11_5m_002]","F ds5 [M11_5m_002]","F ds_weir [M11_5m_002]","F FC01.01 [M11_5m_002]","F FC01.02 [M11_5m_002]","F FC01.03 [M11_5m_002]","F FC01.04 [M11_5m_002]","F FC01.05 [M11_5m_002]","F FC01.06 [M11_5m_002]","F FC01.07 [M11_5m_002]","F FC01.08 [M11_5m_002]","F FC01.09 [M11_5m_002]","F FC01.10_W [M11_5m_002]","F FC01.11_B [M11_5m_002]","F FC01.12 [M11_5m_002]","F FC01.13 [M11_5m_002]","F FC01.14 [M11_5m_002]","F FC01.15 [M11_5m_002]","F FC01.16 [M11_5m_002]","F FC01.17 [M11_5m_002]","F FC01.18 [M11_5m_002]","F FC01.19 [M11_5m_002]","F FC01.20 [M11_5m_002]","F FC01.21 [M11_5m_002]","F FC01.22 [M11_5m_002]","F FC01.23 [M11_5m_002]","F FC01.24 [M11_5m_002]","F FC01.25 [M11_5m_002]","F FC01.26 [M11_5m_002]","F FC01.27 [M11_5m_002]","F FC01.28A [M11_5m_002]","F FC01.28B [M11_5m_002]","F FC01.29 [M11_5m_002]","F FC01.30 [M11_5m_002]","F FC01.31 [M11_5m_002]","F FC01.32 [M11_5m_002]","F FC01.33 [M11_5m_002]","F FC01.34 [M11_5m_002]","F FC01.35_B [M11_5m_002]","F FC01.36 [M11_5m_002]","F FC01.37 [M11_5m_002]","F FC01.38 [M11_5m_002]","F FC01.39 [M11_5m_002]","F FC01.40 [M11_5m_002]","F FC02.01 [M11_5m_002]","F FC02.02 [M11_5m_002]","F FC02.03 [M11_5m_002]","F FC02.04 [M11_5m_002]","F FC02.05 [M11_5m_002]","F FC02.06 [M11_5m_002]","F FC04.1_C [M11_5m_002]","F FC_weir1 [M11_5m_002]"
      18,          0.283333,,,,,,E,,,,,,,,,,E,,,E,E,E,E,E,E,E,E,E,E,E,E,E,,,,,,,,,,,,,,,,*,E,E,E,E,,,G,E
      19,          0.300000,,,,,,E,,,,,,,,,,E,,N,E,E,E,E,E,E,E,E,E,E,,E,,,,,,,,,,,,,,,,,*,E,E,E,E,,,G,E
      20,          0.316667,,,,,,E,,,,,,,,,,E,,,E,E,E,E,E,E,E,E,E,,,,,,,,,,,,,,,,,,,,*,E,E,E,E,,,G,E
      21,          0.333333,,,,,,E,,,,,,,,,,E,,N,E,E,E,E,E,E,E,E,E,,,,,,,,,,,,,,,,,,,,*,A,E,E,E,,,G,E
      22,          0.350000,,,,,,E,,,,,,,,,,E,,,E,E,E,E,E,E,E,E,E,,,,,,,,,,,,,,,,,,,,*,A,E,E,E,,,G,E
      23,          0.366667,,,,,,E,,,,,,,,,,E,,,E,E,E,E,E,*,,,A,,,,,,,,,,,,,,,,,,,,*,A,A,E,E,,,G,E
      24,          0.383333,,,,,,E,,,,,,,,,,E,,,E,E,E,E,*,,,,A,,,,,,,,,,,,,,,,,,,,*,A,A,E,E,,,G,E
      25,          0.400000,,,,,,E,,,,,,,,,,E,,,E,E,E,,,,,,A,,,,,,,,,,,,,,,,,,,,*,A,A,E,E,,,G,
      26,          0.416667,,,,,,E,,,,,,,,,,E,,,E,*,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,A,A,E,E,,,G,
      27,          0.433333,,,,,,E,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,A,A,E,E,,,G,
      28,          0.450000,,,,,,E,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,A,A,T,*,,,G,
      29,          0.466667,,,,,,E,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,A,A,T,*,,,G,
      30,          0.483333,,,,,,E,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,A,A,T,*,,,G,
      31,          0.500000,,,,,,E,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,A,,T,*,,,G,
      32,          0.516667,,,,,,E,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,*,,,G,
      33,          0.533333,,,,,,E,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,T,*,,,G,
      34,          0.550000,,,,,,E,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,T,,,,G,
      35,          0.566667,,,,,,E,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,T,,,,G,
      36,          0.583333,,,,,,E,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,T,,,,G,
      37,          0.600000,,,,,,E,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,T,,,,G,
      38,          0.616667,,,,,,E,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,T,,,,G,
      39,          0.633333,,,,,,E,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,F,,,,,,,T,,,,G,
      40,          0.650000,,,,,,E,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,F,,,,,,,T,,,,G,
      41,          0.666667,,,,,,E,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,F,,,,,,,T,,,,G,F
      42,          0.683333,,,,,,E,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,F,,,,,,,T,,,,A,F
      43,          0.700000,,,,,,E,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,F,,,,,,,T,,,,A,F
      44,          0.716667,,,,,,,,,,,,,,,,E,,,,,,F,F,F,,,A,,,,,,,,,,,,,,,,F,F,,,,,,T,,,,A,F
      45,          0.733333,,,,,,,,,,,,,,,,E,,,,,,F,F,F,F,,A,,,,,,,,,,,,,,,,F,F,,,,,,T,,,,A,F
      46,          0.750000,,,,,,,,,,,,,,,,E,P,,,,,F,F,F,F,,A,,,,,,,,,,,,,,,,F,F,,,,,,T,,,,A,F
      47,          0.766667,,,,,,,,,,,,,,,,E,D,,,,F,F,F,F,F,,A,,,,,,,,,,,,,,,,F,F,,,,,A,A,,,,A,F
      48,          0.783333,,,,,,,,,,,,,,,,E,D,,,,F,F,F,F,F,,A,,,,,,,,,,,,,,,,F,F,,,,,,A,,,,A,F
      49,          0.800000,,,,,,,,,,,,,,,,E,D,F,,,F,F,F,F,F,,A,,,,,,,,,,,,,,,,F,F,,,,,,A,,,,A,F
      50,          0.816667,,,,,,,,,,,,,,,,E,D,F,,,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,F,,,,A,,A,,,,A,F
      51,          0.833333,,,,,,,,,,,,,,,,E,D,F,,,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,F,,,,,,,,,,A,F
      52,          0.850000,,,,,,,,,,,,,,,,E,D,F,F,,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,F,,,,,,,,,,A,F
      53,          0.866667,,,,,,,F,,,,,,,,,,D,F,F,F,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,F,,,,,,,,,,A,F
      54,          0.883333,,,,,,,F,,,,,,,,,F,D,F,F,F,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,F,,,,,,,,,,A,F
      55,          0.900000,,,,,,,F,,,,,,,,,F,D,F,F,F,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,F,,,,,,,,,,A,F
      56,          0.916667,,,,,,,F,,,,,,,,,F,D,F,F,F,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,F,,,,,,,,,,A,F
      57,          0.933333,,,,,,,F,,,,,,,,,F,D,F,F,F,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,F,,,,,,,,,,A,F
      58,          0.950000,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,F,,,,,,,,,,A,F
      59,          0.966667,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,F,,,,,,,,,,B,F
      60,          0.983333,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,F,,,,,,,,,,B,F
      61,          1.000000,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,F,,,,,,,,,,B,F
      62,          1.016667,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,F,,,,,,,,,,B,F
      63,          1.033333,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,F,,,,,,,,,,B,F
      64,          1.050000,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,F,,,,,,,,,,B,F
      65,          1.066667,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,F,,,,,,,,,,B,F
      66,          1.083333,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,F,,,,,,,,,,B,F
      67,          1.100000,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,F,,,,,,,,,,B,F
      68,          1.116667,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,F,,,,,,,,,,B,F
      69,          1.133333,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,F,,,,,,,,,,B,F
      70,          1.150000,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,F,,,,,,,,,,B,F
      71,          1.166667,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,F,,,,,,,,,,B,F
      72,          1.183333,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,F,,,,,,,,,,B,F
      73,          1.200000,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,F,,,,,,,,,,B,F
      74,          1.216667,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,F,,,,,,,,,,B,F
      75,          1.233333,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,F,,,,,,,,,,B,F
      76,          1.250000,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,F,,,,,,,,,,B,F
      77,          1.266667,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,F,,,,,,,,,,B,F
      78,          1.283333,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,F,,,,,,,,,,B,F
      79,          1.300000,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,F,,,,,,,,,,B,F
      80,          1.316667,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,F,,,,,,,,,,B,F
      81,          1.333333,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,F,,,,,,,,,,B,F
      82,          1.350000,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,F,,,,,,,,,,B,F
      83,          1.366667,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,,,,,,,,,,,B,F
      84,          1.383333,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,,,,,,,,,,,B,F
      85,          1.400000,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,,,,,,,,,,,B,F
      86,          1.416667,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,,,,,,,,,,,B,F
      87,          1.433333,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,,,,,,,,,,,B,F
      88,          1.450000,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,,,,,,,,,,,B,F
      89,          1.466667,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,F,A,,,,,,,,,,,,,,,,F,,,,,,,,,,,B,F
      90,          1.483333,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,B,F
      91,          1.500000,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,B,F
      92,          1.516667,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,B,
      93,          1.533333,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,B,
      94,          1.550000,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,B,
      95,          1.566667,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,B,
      96,          1.583333,,,,,,,F,F,F,,,,,,,F,D,F,F,F,F,F,F,F,F,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,B,
      97,          1.600000,,,,,,,F,F,F,,,,,,,,D,F,F,F,F,F,F,F,F,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,B,
      98,          1.616667,,,,,,,F,F,F,,,,,,,,D,F,F,,F,F,F,F,F,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,B,
      99,          1.633333,,,,,,,F,F,F,,,,,,,,D,F,F,,F,F,F,F,F,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,B,
     100,          1.650000,,,,,,,F,F,F,,,,,,,E,D,F,F,,F,F,F,F,F,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,B,
     101,          1.666667,,,,,,,F,F,F,,,,,,,E,D,F,,,F,F,F,F,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,B,
     102,          1.683333,,,,,,,F,,,,,,,,,E,D,F,,,,F,F,F,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,B,
     103,          1.700000,,,,,,,F,,,,,,,,,E,D,F,,,,F,F,F,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,B,
     104,          1.716667,,,,,,,F,,,,,,,,,E,D,F,,,,F,F,F,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,B,
     105,          1.733333,,,,,,,F,,,,,,,,,E,D,F,,,,F,F,F,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,B,
     106,          1.750000,,,,,,,F,,,,,,,,,E,D,F,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,B,
     107,          1.766667,,,,,,,F,,,,,,,,,E,D,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,,,,,A,
     108,          1.783333,,,,,,,F,,,,,,,,,E,D,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,,,,,A,
     109,          1.800000,,,,,,,F,,,,,,,,,E,D,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,,,,,A,
     110,          1.816667,,,,,,,F,,,,,,,,,E,D,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,,,,,A,
     111,          1.833333,,,,,,,F,,,,,,,,,E,D,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,,,,,A,
     112,          1.850000,,,,,,,F,,,,,,,,,E,D,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,,,,,A,
     113,          1.866667,,,,,,,,,,,,,,,,E,D,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,,,,,A,
     114,          1.883333,,,,,,,,,,,,,,,,E,D,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     115,          1.900000,,,,,,,,,,,,,,,,E,D,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     116,          1.916667,,,,,,,,,,,,,,,,E,P,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     117,          1.933333,,,,,,,,,,,,,,,,E,P,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     118,          1.950000,,,,,,,,,,,,,,,,E,  L,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     119,          1.966667,,,,,,,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     120,          1.983333,,,,,,,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     121,          2.000000,,,,,,,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     122,          2.016667,,,,,,,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     123,          2.033334,,,,,,,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     124,          2.050000,,,,,,,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     125,          2.066667,,,,,,,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     126,          2.083333,,,,,,,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     127,          2.100000,,,,,,,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     128,          2.116667,,,,,,,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     129,          2.133333,,,,,,,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     130,          2.150000,,,,,,,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     131,          2.166667,,,,,,,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     132,          2.183333,,,,,,,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     133,          2.200000,,,,,,,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     134,          2.216667,,,,,,,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     135,          2.233333,,,,,,,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     136,          2.250000,,,,,,,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     137,          2.266667,,,,,,,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     138,          2.283334,,,,,,,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     139,          2.300000,,,,,,,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     140,          2.316667,,,,,,,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     141,          2.333333,,,,,,,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     142,          2.350000,,,,,,,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     143,          2.366667,,,,,,,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     144,          2.383333,,,,,,,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     145,          2.400000,,,,,,,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     146,          2.416667,,,,,,,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     147,          2.433333,,,,,,,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     148,          2.450000,,,,,,,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     149,          2.466667,,,,,,,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     150,          2.483333,,,,,,,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     151,          2.500000,,,,,,,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     152,          2.516667,,,,,,,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
     153,          2.533334,,,,,,,,,,,,,,,,E,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,*,,,T,,,,A,
