"M11_5m_001 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_11\Complete_Model\TUFLOW\runs\M11_5m_001.tcf]","ID (Lowest)","Q Below","Q Above","Q Total","A Below","A Above","A Total","V Below","V Above","V Combined","h U/S","h D/S","dh","Time"
       1,"FC01.1_R",            48.1,             0.0,            48.1,             5.8,             0.0,             5.8,     8.242,     0.000,     8.242,    49.943,    47.160,     2.783,     0.964
       2,"FC04.1_C",             9.5,             0.0,             9.5,             3.4,             0.0,             3.4,     2.798,     0.000,     2.798,    44.924,    43.514,     1.409,     1.322
       3,"FC01.2_R",            80.6,             0.0,            80.6,            10.8,             0.0,            10.8,     7.463,     0.000,     7.463,    42.900,    40.762,     2.138,     1.282
       4,"FC_weir1",             0.0,            68.3,            68.3,             0.0,            53.1,            53.1,     0.000,     1.285,     1.285,    46.846,    46.812,     0.034,     0.984
       5,"ds_weir",             0.0,            97.6,            97.6,             0.0,            42.3,            42.3,     0.000,     2.305,     2.305,    34.461,    33.534,     0.928,     1.446
