"M11_5m_002 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_11\Complete_Model\TUFLOW\runs\M11_5m_002.tcf]","Time (h)","Q ds1 [M11_5m_002]","Q ds2 [M11_5m_002]","Q ds3 [M11_5m_002]","Q ds4 [M11_5m_002]","Q ds5 [M11_5m_002]","Q ds_weir [M11_5m_002]","Q FC01.01 [M11_5m_002]","Q FC01.02 [M11_5m_002]","Q FC01.03 [M11_5m_002]","Q FC01.04 [M11_5m_002]","Q FC01.05 [M11_5m_002]","Q FC01.06 [M11_5m_002]","Q FC01.07 [M11_5m_002]","Q FC01.08 [M11_5m_002]","Q FC01.09 [M11_5m_002]","Q FC01.10_W [M11_5m_002]","Q FC01.11_B [M11_5m_002]","Q FC01.12 [M11_5m_002]","Q FC01.13 [M11_5m_002]","Q FC01.14 [M11_5m_002]","Q FC01.15 [M11_5m_002]","Q FC01.16 [M11_5m_002]","Q FC01.17 [M11_5m_002]","Q FC01.18 [M11_5m_002]","Q FC01.19 [M11_5m_002]","Q FC01.20 [M11_5m_002]","Q FC01.21 [M11_5m_002]","Q FC01.22 [M11_5m_002]","Q FC01.23 [M11_5m_002]","Q FC01.24 [M11_5m_002]","Q FC01.25 [M11_5m_002]","Q FC01.26 [M11_5m_002]","Q FC01.27 [M11_5m_002]","Q FC01.28A [M11_5m_002]","Q FC01.28B [M11_5m_002]","Q FC01.29 [M11_5m_002]","Q FC01.30 [M11_5m_002]","Q FC01.31 [M11_5m_002]","Q FC01.32 [M11_5m_002]","Q FC01.33 [M11_5m_002]","Q FC01.34 [M11_5m_002]","Q FC01.35_B [M11_5m_002]","Q FC01.36 [M11_5m_002]","Q FC01.37 [M11_5m_002]","Q FC01.38 [M11_5m_002]","Q FC01.39 [M11_5m_002]","Q FC01.40 [M11_5m_002]","Q FC02.01 [M11_5m_002]","Q FC02.02 [M11_5m_002]","Q FC02.03 [M11_5m_002]","Q FC02.04 [M11_5m_002]","Q FC02.05 [M11_5m_002]","Q FC02.06 [M11_5m_002]","Q FC04.1_C [M11_5m_002]","Q FC_weir1 [M11_5m_002]"
      79,          1.300000,          66.323,         111.008,         111.186,         111.253,         111.003,         110.556,          59.894,          65.334,          66.720,          78.568,          79.363,          80.971,          80.284,          80.157,          76.759,          27.981,          80.640,          72.503,          50.174,          55.091,          59.855,          47.258,          37.734,          53.458,          62.438,          46.071,          50.512,          43.486,          41.552,          33.138,          33.106,          33.063,          36.400,          36.359,          32.087,          32.123,          71.800,          75.509,          75.903,          16.955,          79.715,          81.081,          54.591,          66.634,          70.730,          69.179,          67.883,          14.493,           7.824,           6.786,           6.728,           6.628,           6.502,           9.453,          61.331
      80,          1.316667,          66.082,         110.612,         110.965,         111.158,         111.128,         110.872,          59.717,          65.158,          66.584,          78.350,          79.100,          80.648,          79.976,          79.843,          76.353,          27.224,          80.505,          71.932,          49.922,          54.844,          59.466,          46.909,          37.410,          52.966,          61.871,          45.719,          50.128,          43.321,          41.384,          33.030,          32.995,          32.946,          36.112,          36.067,          31.893,          31.879,          70.603,          74.359,          74.642,          16.607,          77.971,          79.057,          54.327,          65.334,          68.682,          66.866,          65.526,          14.360,           7.611,           6.580,           6.516,           6.412,           6.282,           9.460,          60.208
      81,          1.333333,          65.794,         110.076,         110.598,         110.913,         111.101,         111.021,          59.518,          64.951,          66.428,          78.092,          78.787,          80.269,          79.614,          79.475,          75.888,          26.361,          80.351,          71.281,          49.653,          54.584,          59.049,          46.502,          37.028,          52.308,          61.025,          45.187,          49.593,          43.422,          41.442,          33.211,          33.150,          33.099,          35.788,          35.746,          31.684,          31.616,          69.290,          73.086,          73.262,          16.228,          76.081,          76.883,          54.072,          63.956,          66.577,          64.548,          63.149,          14.205,           7.393,           6.372,           6.302,           6.195,           6.062,           9.458,          58.980
      82,          1.350000,          65.453,         109.402,         110.100,         110.534,         110.929,         111.014,          59.289,          64.720,          66.256,          77.794,          78.428,          79.834,          79.190,          79.045,          75.358,          25.370,          80.174,          70.525,          49.329,          54.264,          58.557,          46.052,          36.644,          51.741,          60.393,          44.868,          49.249,          43.271,          41.265,          33.078,          33.038,          32.979,          35.431,          35.377,          31.452,          31.334,          67.856,          71.692,          71.754,          15.816,          74.025,          74.551,          53.747,          62.342,          64.304,          62.269,          60.877,          14.065,           7.166,           6.167,           6.093,           5.986,           5.854,           9.448,          57.622
      83,          1.366667,          65.053,         108.598,         109.473,         110.019,         110.612,         110.859,          59.032,          64.456,          66.064,          77.454,          78.028,          79.339,          78.719,          78.568,          74.765,          24.263,          79.976,          69.693,          49.011,          53.968,          58.063,          45.579,          36.265,          51.066,          59.617,          44.411,          48.789,          43.074,          41.063,          32.922,          32.874,          32.809,          35.043,          34.983,          31.209,          31.030,          66.298,          70.169,          70.117,          15.373,          71.828,          72.090,          53.400,          60.753,          62.074,          60.050,          58.655,          13.923,           6.951,           5.971,           5.892,           5.784,           5.649,           9.430,          56.154
      84,          1.383333,          64.611,         107.657,         108.714,         109.372,         110.159,         110.564,          58.745,          64.159,          65.847,          77.065,          77.567,          78.778,          78.185,          78.026,          74.113,          23.042,          79.755,          68.780,          48.666,          53.654,          57.537,          45.089,          35.828,          50.188,          58.758,          43.938,          48.283,          42.855,          40.848,          32.748,          32.696,          32.624,          34.635,          34.570,          30.945,          30.711,          64.611,          68.533,          68.368,          14.901,          69.494,          69.537,          52.923,          58.987,          59.800,          57.855,          56.442,          13.785,           6.738,           5.777,           5.691,           5.578,           5.441,           9.405,          54.576
      85,          1.400000,          64.132,         106.596,         107.825,         108.588,         109.566,         110.124,          58.448,          63.854,          65.629,          76.647,          77.065,          78.163,          77.592,          77.433,          73.405,          21.714,          79.513,          67.779,          48.281,          53.299,          56.963,          44.561,          35.356,          49.458,          57.861,          43.446,          47.735,          42.620,          40.613,          32.540,          32.485,          32.410,          34.181,          34.109,          30.670,          30.372,          62.821,          66.771,          66.497,          14.400,          67.018,          66.884,          52.301,          57.162,          57.484,          55.644,          54.227,          13.655,           6.578,           5.568,           5.486,           5.374,           5.236,           9.373,          52.878
      86,          1.416667,          63.568,         105.455,         106.828,         107.687,         108.847,         109.555,          58.108,          63.505,          65.371,          76.177,          76.516,          77.487,          76.942,          76.777,          72.639,          20.278,          79.245,          66.708,          47.887,          52.949,          56.375,          44.024,          34.798,          48.759,          57.044,          42.927,          47.136,          42.348,          40.336,          32.311,          32.247,          32.157,          33.666,          33.590,          30.392,          30.017,          60.931,          64.880,          64.511,          13.878,          64.422,          64.157,          51.505,          55.313,          55.232,          53.429,          52.039,          13.479,           6.340,           5.372,           5.280,           5.169,           5.027,           9.333,          51.074
      87,          1.433333,          62.967,         104.119,         105.719,         106.672,         108.008,         108.864,          57.736,          63.120,          65.092,          75.659,          75.915,          76.757,          76.237,          76.066,          71.820,          18.749,          78.955,          65.549,          47.450,          52.571,          55.749,          43.453,          34.210,          48.005,          56.077,          42.383,          46.513,          42.053,          40.032,          32.029,          31.964,          31.878,          33.130,          33.050,          30.090,          29.664,          58.972,          62.860,          62.411,          13.336,          61.748,          61.408,          50.650,          53.503,          53.010,          51.288,          49.946,          13.326,           6.117,           5.175,           5.074,           4.963,           4.827,           9.287,          49.168
      88,          1.450000,          62.346,         102.698,         104.487,         105.530,         107.041,         108.042,          57.354,          62.715,          64.793,          75.088,          75.253,          75.963,          75.471,          75.294,          70.953,          17.126,          78.640,          64.336,          46.985,          52.160,          55.081,          42.852,          33.635,          47.114,          54.955,          41.780,          45.777,          41.677,          39.656,          31.643,          31.573,          31.471,          32.416,          32.320,          29.841,          29.326,          56.966,          60.753,          60.247,          12.789,          59.060,          58.688,          49.700,          51.690,          50.875,          49.210,          47.899,          13.180,           5.903,           4.983,           4.869,           4.759,           4.627,           9.234,          47.225
      89,          1.466667,          61.729,         101.169,         103.147,         104.274,         105.956,         107.104,          56.972,          62.307,          64.453,          74.465,          74.548,          75.106,          74.638,          74.457,          70.033,          15.416,          78.295,          63.037,          46.496,          51.705,          54.333,          42.168,          33.023,          46.169,          53.805,          41.122,          45.058,          41.288,          39.270,          31.303,          31.229,          31.126,          31.848,          31.757,          29.517,          28.957,          54.943,          58.583,          58.041,          12.236,          56.397,          56.017,          48.669,          49.802,          48.788,          47.153,          45.851,          12.987,           5.646,           4.773,           4.667,           4.558,           4.427,           9.175,          45.246
      90,          1.483333,          61.072,          99.532,         101.732,         102.920,         104.754,         106.055,          56.557,          61.867,          64.087,          73.789,          73.781,          74.191,          73.746,          73.557,          69.067,          13.631,          77.921,          61.686,          45.946,          51.243,          53.579,          41.508,          32.369,          45.206,          52.620,          40.539,          44.340,          40.894,          38.861,          30.947,          30.873,          30.766,          31.291,          31.201,          29.181,          28.570,          52.894,          56.320,          55.781,          11.689,          53.817,          53.440,          47.632,          47.783,          46.700,          45.099,          43.804,          12.773,           5.409,           4.580,           4.470,           4.363,           4.230,           9.109,          43.264
      91,          1.500000,          60.394,          97.986,         100.261,         101.470,         103.444,         104.899,          56.128,          61.389,          63.691,          73.050,          72.984,          73.216,          72.794,          72.601,          68.066,          11.789,          77.519,          60.282,          45.364,          50.738,          52.783,          40.816,          31.782,          44.307,          51.510,          39.928,          43.640,          40.516,          38.468,          30.560,          30.480,          30.369,          30.732,          30.638,          28.835,          28.180,          50.855,          54.007,          53.495,          11.166,          51.328,          50.950,          46.489,          45.772,          44.663,          43.046,          41.757,          12.604,           5.169,           4.379,           4.271,           4.164,           4.031,           9.038,          41.322
      92,          1.516667,          59.837,          96.055,          98.828,         100.011,         102.054,         103.647,          55.630,          60.832,          63.234,          72.241,          72.132,          72.173,          71.770,          71.577,          67.028,           9.906,          77.082,          58.833,          44.817,          50.249,          52.010,          40.152,          31.221,          43.372,          50.310,          39.286,          42.889,          40.069,          38.003,          30.141,          30.058,          29.941,          30.174,          30.084,          28.481,          27.800,          48.882,          51.702,          51.236,          10.667,          48.907,          48.504,          45.107,          43.765,          42.631,          41.080,          39.856,          12.393,           4.919,           4.180,           4.070,           3.970,           3.852,           8.961,          39.443
      93,          1.533333,          59.257,          93.979,          97.028,          98.414,         100.585,         102.318,          55.365,          60.446,          62.888,          71.434,          71.265,          71.092,          70.701,          70.501,          65.972,           8.032,          76.612,          57.374,          44.275,          49.744,          51.220,          39.489,          30.660,          42.445,          49.135,          38.638,          42.142,          39.604,          37.529,          29.696,          29.612,          29.493,          29.619,          29.523,          28.111,          27.411,          46.887,          49.327,          48.930,          10.168,          46.530,          46.171,          44.016,          41.715,          40.750,          39.231,          38.041,          12.190,           4.667,           3.981,           3.873,           3.784,           3.672,           8.878,          37.580
      94,          1.550000,          58.494,          92.147,          95.343,          96.696,          99.013,         100.893,          54.877,          59.897,          62.432,          70.546,          70.331,          69.995,          69.616,          69.402,          64.922,           6.182,          76.107,          55.923,          43.739,          49.212,          50.417,          38.827,          30.095,          41.537,          47.940,          38.001,          41.386,          39.098,          37.012,          29.234,          29.140,          29.023,          29.069,          28.976,          27.733,          27.049,          45.111,          47.345,          47.134,           9.863,          45.868,          45.815,          42.916,          39.839,          38.845,          37.394,          36.231,          11.981,           4.432,           3.781,           3.677,           3.595,           3.492,           8.791,          36.631
      95,          1.566667,          57.689,          90.146,          93.662,          94.986,          97.371,          99.355,          54.377,          59.323,          61.922,          69.638,          69.349,          68.876,          68.501,          68.274,          63.880,           4.403,          75.560,          54.499,          43.223,          48.658,          49.603,          38.180,          29.543,          40.654,          46.743,          37.381,          40.655,          38.630,          36.540,          28.813,          28.732,          28.635,          28.653,          28.592,          27.521,          26.914,          44.167,          46.153,          45.846,           9.690,          43.640,          43.237,          41.952,          38.690,          37.352,          35.586,          34.417,          11.744,           4.175,           3.575,           3.483,           3.407,           3.313,           8.699,          35.087
      96,          1.583333,          56.913,          88.160,          91.988,          93.273,          95.673,          97.725,          53.916,          58.766,          61.400,          68.652,          68.312,          67.758,          67.387,          67.152,          62.868,           2.728,          74.959,          53.118,          42.725,          48.068,          48.796,          37.518,          29.434,          39.861,          45.784,          36.806,          39.949,          38.143,          36.068,          28.482,          28.406,          28.300,          28.274,          28.191,          27.156,          26.478,          42.205,          43.750,          43.379,           9.071,          40.743,          40.307,          39.343,          36.516,          35.456,          33.842,          32.612,          11.477,           4.155,           3.368,           3.317,           3.236,           3.141,           8.603,          33.022
      97,          1.600000,          56.223,          86.184,          90.363,          91.630,          93.998,          96.065,          53.493,          58.234,          60.867,          67.611,          67.264,          66.656,          66.301,          66.069,          61.940,           1.323,          74.282,          51.948,          42.447,          47.656,          48.189,          37.089,          29.079,          39.188,          44.862,          36.323,          39.285,          37.661,          35.580,          27.997,          27.913,          27.790,          27.728,          27.625,          26.693,          26.000,          40.084,          41.280,          40.916,           8.545,          38.348,          37.954,          37.215,          34.545,          33.668,          32.403,          31.581,          11.292,           3.902,           3.246,           3.154,           3.104,           3.057,           8.503,          31.115
      98,          1.616667,          55.709,          84.217,          88.836,          90.034,          92.332,          94.362,          53.145,          57.756,          60.368,          66.607,          66.251,          65.662,          65.335,          65.118,          61.202,           0.393,          73.479,          51.048,          42.311,          47.262,          47.520,          36.538,          28.553,          38.296,          43.705,          35.725,          38.569,          37.192,          35.123,          27.396,          27.323,          27.198,          27.116,          27.013,          26.221,          25.555,          38.092,          39.023,          38.701,           8.134,          36.420,          36.098,          35.600,          33.102,          32.426,          31.441,          30.795,          11.265,           4.106,           3.165,           3.031,           3.014,           2.976,           8.404,          29.447
      99,          1.633333,          55.385,          82.275,          87.472,          88.545,          90.742,          92.727,          52.937,          57.384,          59.953,          65.673,          65.344,          64.815,          64.521,          64.323,          60.637,           0.005,          72.462,          50.426,          42.334,          46.892,          46.827,          36.031,          27.920,          37.540,          42.510,          35.137,          37.769,          36.495,          34.411,          26.842,          26.744,          26.611,          26.526,          26.431,          25.770,          25.169,          36.393,          37.152,          36.886,           7.840,          34.993,          34.729,          34.318,          31.999,          31.425,          30.579,          30.009,          10.905,           3.763,           2.941,           2.933,           2.928,           2.881,           8.303,          28.113
     100,          1.650000,          54.917,          80.218,          84.505,          86.824,          89.201,          91.120,          52.749,          57.065,          59.602,          64.866,          64.570,          64.093,          63.827,          63.650,          60.151,           0.000,          71.181,          49.855,          42.486,          46.476,          46.017,          35.450,          27.363,          36.814,          41.569,          34.580,          37.087,          36.012,          33.951,          26.304,          26.209,          26.091,          26.014,          25.933,          25.376,          24.850,          34.984,          35.611,          35.386,           7.612,          33.783,          33.557,          33.228,          31.024,          30.510,          29.743,          29.209,          10.805,           3.682,           2.871,           2.811,           2.794,           2.801,           8.201,          26.981
     101,          1.666667,          54.822,          77.832,          80.853,          83.705,          87.218,          89.450,          52.658,          56.779,          59.253,          64.093,          63.806,          63.350,          63.079,          62.895,          59.540,           0.000,          69.656,          49.100,          42.714,          46.103,          45.219,          34.904,          26.930,          36.061,          40.539,          34.048,          36.411,          35.499,          33.468,          25.833,          25.745,          25.639,          25.574,          25.505,          25.038,          24.569,          33.790,          34.315,          34.122,           7.420,          32.734,          32.533,          32.230,          30.117,          29.640,          28.914,          28.403,          10.641,           3.572,           2.776,           2.711,           2.710,           2.719,           8.099,          26.015
     102,          1.683333,          54.080,          76.397,          78.365,          80.594,          84.651,          87.408,          52.311,          56.339,          58.778,          63.260,          62.984,          62.519,          62.231,          62.031,          58.830,           0.000,          67.987,          47.803,          42.878,          45.780,          44.560,          34.468,          26.545,          35.392,          39.670,          33.585,          35.805,          35.013,          33.017,          25.423,          25.344,          25.247,          25.188,          25.131,          24.738,          24.314,          32.747,          33.183,          33.008,           7.246,          31.754,          31.567,          31.279,          29.247,          28.775,          28.031,          27.464,          10.469,           3.445,           2.670,           2.617,           2.621,           2.617,           7.995,          25.140
     103,          1.700000,          53.577,          74.629,          76.519,          78.162,          81.973,          85.022,          51.922,          55.827,          58.197,          62.325,          62.036,          61.554,          61.237,          61.020,          57.974,           0.000,          66.041,          47.300,          43.356,          45.546,          43.962,          34.084,          26.240,          34.818,          38.912,          33.210,          35.214,          34.562,          32.590,          25.051,          24.976,          24.886,          24.831,          24.776,          24.451,          24.070,          31.786,          32.142,          31.978,           7.076,          30.775,          30.589,          30.291,          28.309,          27.790,          26.966,          26.355,          10.281,           3.305,           2.564,           2.518,           2.516,           2.512,           7.889,          24.304
     104,          1.716667,          53.127,          72.686,          74.481,          76.061,          79.488,          82.535,          51.564,          55.273,          57.551,          61.305,          60.978,          60.459,          60.101,          59.855,          56.998,           0.000,          63.893,          45.852,          43.649,          45.261,          43.453,          33.756,          25.943,          34.270,          38.160,          32.860,          34.677,          34.134,          32.197,          24.711,          24.636,          24.548,          24.496,          24.442,          24.166,          23.816,          30.847,          31.123,          30.957,           6.894,          29.733,          29.538,          29.225,          27.288,          26.727,          25.846,          25.231,          10.105,           3.176,           2.462,           2.419,           2.413,           2.406,           7.781,          23.453
     105,          1.733333,          52.497,          70.990,          72.652,          74.122,          77.219,          80.125,          51.052,          54.568,          56.748,          60.131,          59.788,          59.239,          58.842,          58.563,          55.912,           0.000,          61.608,          44.438,          43.689,          44.905,          42.911,          33.413,          25.667,          33.789,          37.434,          32.501,          34.145,          33.695,          31.789,          24.368,          24.297,          24.212,          24.160,          24.107,          23.873,          23.548,          29.896,          30.098,          29.930,           6.708,          28.676,          28.451,          28.078,          26.227,          25.615,          24.715,          24.109,           9.925,           3.048,           2.359,           2.319,           2.311,           2.299,           7.671,          22.598
     106,          1.750000,          51.962,          68.979,          70.776,          72.299,          75.151,          77.870,          50.521,          53.803,          55.850,          58.840,          58.463,          57.873,          57.436,          57.130,          54.706,           0.000,          59.167,          42.806,          43.525,          44.442,          42.354,          33.099,          25.404,          33.277,          36.726,          32.124,          33.616,          33.262,          31.391,          24.037,          23.965,          23.882,          23.831,          23.778,          23.556,          23.250,          28.886,          29.002,          28.820,           6.497,          27.501,          27.297,          26.992,          25.132,          24.544,          23.589,          22.988,           9.739,           2.919,           2.258,           2.220,           2.207,           2.191,           7.559,          21.664
     107,          1.766667,          51.115,          67.124,          68.869,          70.432,          73.208,          75.766,          49.812,          52.900,          54.821,          57.430,          57.020,          56.382,          55.901,          55.567,          53.398,           0.000,          56.654,          41.117,          43.149,          43.897,          41.808,          32.855,          25.165,          32.809,          36.026,          31.751,          33.108,          32.816,          30.988,          23.692,          23.621,          23.536,          23.483,          23.426,          23.216,          22.927,          27.850,          27.893,          27.704,           6.297,          26.338,          26.132,          25.862,          24.135,          23.611,          22.847,          22.493,           9.564,           2.806,           2.166,           2.131,           2.135,           2.142,           7.446,          20.723
     108,          1.783333,          50.147,          65.120,          66.912,          68.549,          71.318,          73.778,          49.025,          51.903,          53.692,          55.908,          55.470,          54.798,          54.283,          53.934,          52.045,           0.000,          54.175,          39.499,          42.583,          43.219,          41.187,          32.573,          24.899,          32.330,          35.349,          31.380,          32.615,          32.386,          30.605,          23.328,          23.256,          23.169,          23.115,          23.059,          22.860,          22.589,          26.829,          26.824,          26.647,           6.126,          25.377,          25.197,          24.981,          23.389,          22.966,          22.353,          22.054,           9.427,           2.709,           2.092,           2.055,           2.074,           2.092,           7.333,          19.881
     109,          1.800000,          49.213,          63.064,          64.889,          66.604,          69.417,          71.851,          48.214,          50.860,          52.494,          54.316,          53.857,          53.161,          52.625,          52.259,          50.643,           0.000,          51.763,          38.007,          41.783,          42.424,          40.497,          32.260,          24.614,          31.822,          34.646,          30.979,          32.090,          31.912,          30.185,          22.952,          22.882,          22.797,          22.742,          22.690,          22.520,          22.284,          25.913,          25.869,          25.713,           6.002,          24.605,          24.454,          24.281,          22.772,          22.422,          21.898,          21.628,           9.263,           2.610,           2.022,           1.989,           2.014,           2.046,           7.222,          19.150
     110,          1.816667,          48.351,          60.989,          62.819,          64.604,          67.494,          69.926,          47.385,          49.779,          51.242,          52.680,          52.209,          51.489,          50.939,          50.558,          49.190,           0.000,          49.436,          36.626,          40.826,          41.513,          39.747,          31.921,          24.313,          31.346,          33.954,          30.600,          31.578,          31.446,          29.781,          22.597,          22.529,          22.447,          22.396,          22.346,          22.194,          21.994,          25.128,          25.064,          24.928,           5.912,          23.963,          23.835,          23.686,          22.241,          21.929,          21.460,          21.207,           9.104,           2.518,           1.960,           1.931,           1.963,           1.999,           7.111,          18.526
     111,          1.833333,          47.578,          58.930,          60.733,          62.558,          65.551,          68.005,          46.549,          48.663,          49.942,          51.024,          50.539,          49.804,          49.239,          48.851,          47.696,           0.000,          47.252,          35.374,          39.806,          40.514,          38.935,          31.557,          24.059,          30.857,          33.299,          30.227,          31.093,          31.010,          29.408,          22.271,          22.207,          22.130,          22.085,          22.042,          21.911,          21.743,          24.451,          24.372,          24.252,           5.841,          23.404,          23.290,          23.153,          21.756,          21.470,          21.029,          20.788,           8.956,           2.443,           1.906,           1.878,           1.914,           1.956,           7.001,          17.980
     112,          1.850000,          46.946,          57.007,          58.681,          60.472,          63.562,          66.063,          45.717,          47.536,          48.618,          49.362,          48.864,          48.126,          47.556,          47.162,          46.177,           0.000,          45.224,          34.258,          38.773,          39.464,          38.093,          31.189,          23.776,          30.393,          32.691,          29.894,          30.640,          30.605,          29.067,          21.980,          21.924,          21.854,          21.812,          21.774,          21.659,          21.514,          23.848,          23.764,          23.656,           5.780,          22.894,          22.788,          22.659,          21.311,          21.045,          20.645,          20.440,           8.820,           2.359,           1.858,           1.833,           1.874,           1.923,           6.892,          17.488
     113,          1.866667,          45.932,          55.088,          56.725,          58.448,          61.551,          64.094,          44.839,          46.397,          47.277,          47.722,          47.220,          46.477,          45.912,          45.523,          44.648,           0.000,          43.343,          33.272,          37.762,          38.395,          37.244,          30.834,          23.551,          29.998,          32.134,          29.588,          30.233,          30.233,          28.746,          21.722,          21.666,          21.600,          21.562,          21.528,          21.427,          21.302,          23.304,          23.214,          23.114,           5.723,          22.421,          22.327,          22.214,          20.910,          20.673,          20.313,          20.124,           8.662,           2.309,           1.819,           1.796,           1.841,           1.893,           6.784,          17.037
     114,          1.883333,          44.774,          52.256,          54.387,          56.382,          59.550,          62.108,          43.847,          45.218,          45.915,          46.121,          45.617,          44.879,          44.322,          43.938,          43.131,           0.000,          41.629,          32.409,          36.792,          37.363,          36.427,          30.502,          23.337,          29.615,          31.598,          29.296,          29.843,          29.877,          28.453,          21.486,          21.432,          21.374,          21.341,          21.310,          21.222,          21.113,          22.808,          22.718,          22.628,           5.676,          22.001,          21.917,          21.812,          20.550,          20.330,          19.995,          19.814,           8.537,           2.261,           1.814,           1.818,           1.843,           1.871,           6.677,          16.630
     115,          1.900000,          43.543,          49.904,          51.913,          54.066,          57.469,          60.104,          42.718,          43.933,          44.478,          44.535,          44.059,          43.349,          42.802,          42.423,          41.645,           0.000,          40.069,          31.657,          35.886,          36.391,          35.654,          30.200,          23.157,          29.290,          31.138,          29.042,          29.512,          29.582,          28.213,          21.271,          21.225,          21.171,          21.141,          21.112,          21.036,          20.934,          22.359,          22.269,          22.189,           5.635,          21.619,          21.540,          21.444,          20.213,          20.003,          19.679,          19.505,           8.448,           2.267,           1.836,           1.838,           1.849,           1.852,           6.571,          16.261
     116,          1.916667,          42.357,          47.760,          49.646,          51.731,          55.286,          58.033,          41.610,          42.676,          43.075,          43.003,          42.543,          41.832,          41.250,          40.841,          39.966,           0.000,          38.158,          30.743,          35.087,          35.508,          34.940,          29.913,          22.987,          29.003,          30.729,          28.805,          29.203,          29.300,          27.978,          21.073,          21.029,          20.980,          20.951,          20.924,          20.856,          20.762,          21.954,          21.864,          21.790,           5.598,          21.255,          21.183,          21.092,          19.887,          19.684,          19.367,          19.195,           8.351,           2.250,           1.841,           1.840,           1.837,           1.829,           6.466,          15.916
     117,          1.933333,          41.216,          45.736,          47.420,          49.459,          53.062,          55.897,          40.390,          41.265,          41.507,          41.314,          40.794,          39.987,          39.356,          38.920,          38.020,           0.000,          36.356,          29.704,          34.267,          34.652,          34.214,          29.599,          22.852,          28.737,          30.349,          28.589,          28.915,          29.026,          27.750,          20.890,          20.847,          20.799,          20.770,          20.744,          20.677,          20.585,          21.577,          21.488,          21.415,           5.563,          20.910,          20.841,          20.754,          19.574,          19.373,          19.065,          18.907,           8.249,           2.226,           1.833,           1.830,           1.821,           1.809,           6.362,          15.591
     118,          1.950000,          39.899,          43.718,          45.285,          47.251,          50.840,          53.715,          39.054,          39.748,          39.850,          39.599,          39.158,          38.625,          38.343,          38.157,          37.818,           0.000,          37.586,          30.254,          33.544,          33.852,          33.533,          29.332,          22.704,          28.463,          29.969,          28.358,          28.616,          28.737,          27.510,          20.704,          20.663,          20.617,          20.589,          20.563,          20.499,          20.409,          21.222,          21.134,          21.062,           5.530,          20.573,          20.504,          20.417,          19.271,          19.084,          18.795,          18.647,           8.135,           2.195,           1.818,           1.816,           1.803,           1.786,           6.259,          15.277
     119,          1.966667,          38.802,          41.917,          43.299,          45.153,          48.666,          51.531,          38.197,          38.911,          38.997,          38.807,          38.465,          37.913,          37.469,          37.154,          36.476,           0.000,          35.154,          29.419,          33.010,          33.165,          32.893,          29.047,          22.542,          28.169,          29.586,          28.130,          28.325,          28.451,          27.271,          20.524,          20.483,          20.439,          20.411,          20.385,          20.322,          20.230,          20.865,          20.755,          20.653,           5.464,          19.863,          19.711,          19.569,          19.237,          18.852,          18.535,          18.394,           8.021,           2.160,           1.800,           1.798,           1.784,           1.766,           6.158,          14.795
     120,          1.983333,          37.857,          40.550,          41.697,          43.258,          46.578,          49.376,          37.260,          37.809,          37.788,          37.531,          37.095,          36.437,          35.924,          35.568,          34.833,           0.000,          33.760,          28.677,          32.391,          32.531,          32.299,          28.766,          22.399,          27.915,          29.225,          27.877,          28.019,          28.159,          27.025,          20.333,          20.291,          20.241,          20.207,          20.174,          20.086,          19.952,          20.294,          20.159,          20.054,           5.356,          19.328,          19.232,          19.130,          18.914,          18.660,          18.299,          18.142,           7.911,           2.125,           1.781,           1.778,           1.763,           1.743,           6.057,          14.316
     121,          2.000000,          36.740,          39.085,          40.209,          41.612,          44.653,          47.313,          36.114,          36.544,          36.456,          36.185,          35.767,          35.155,          34.689,          34.363,          33.699,           0.000,          32.838,          28.146,          31.803,          31.911,          31.709,          28.474,          22.250,          27.636,          28.851,          27.614,          27.690,          27.832,          26.740,          20.081,          20.038,          19.981,          19.942,          19.906,          19.812,          19.670,          19.802,          19.675,          19.579,           5.332,          18.931,          18.851,          18.768,          18.580,          18.364,          18.042,          17.889,           7.816,           2.105,           1.762,           1.759,           1.742,           1.720,           5.957,          13.908
     122,          2.016667,          35.639,          37.635,          38.720,          40.085,          42.887,          45.363,          35.030,          35.349,          35.234,          34.988,          34.617,          34.079,          33.669,          33.384,          32.801,           0.000,          32.098,          27.746,          31.224,          31.286,          31.095,          28.144,          22.096,          27.354,          28.467,          27.330,          27.336,          27.478,          26.428,          19.811,          19.766,          19.707,          19.668,          19.631,          19.536,          19.391,          19.381,          19.263,          19.174,           5.328,          18.584,          18.511,          18.432,          18.268,          18.065,          17.738,          17.549,           7.717,           2.072,           1.738,           1.733,           1.710,           1.681,           5.858,          13.534
     123,          2.033334,          34.664,          36.332,          37.328,          38.644,          41.274,          43.572,          34.079,          34.309,          34.182,          33.967,          33.614,          33.133,          32.802,          32.573,          32.132,           0.000,          31.635,          27.092,          30.670,          30.689,          30.510,          27.802,          21.927,          27.038,          28.048,          27.021,          26.967,          27.106,          26.100,          19.537,          19.491,          19.432,          19.393,          19.355,          19.260,          19.114,          19.011,          18.895,          18.811,           5.330,          18.252,          18.180,          18.100,          17.929,          17.710,          17.353,          17.139,           7.597,           2.027,           1.698,           1.692,           1.667,           1.639,           5.759,          13.186
