"M11_5m_001 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_11\Complete_Model\TUFLOW\runs\M11_5m_001.tcf]","Node ID","Hmax","Time Hmax"
     1,"ds1.1",     39.2283,      1.3752
     2,"ds1.2",     39.1526,      1.3795
     3,"ds2.2",     38.8133,      1.3920
     4,"ds3.2",     37.4938,      1.3976
     5,"ds4.2",     36.0427,      1.4235
     6,"ds5.2",     34.4613,      1.4508
     7,"ds_weir.2",     33.5337,      1.4509
     8,"FC01.01.1",     39.3160,      1.3689
     9,"FC01.02.1",     39.3411,      1.3674
    10,"FC01.03.1",     39.3880,      1.3667
    11,"FC01.04.1",     39.7591,      1.3451
    12,"FC01.05.1",     40.0988,      1.3275
    13,"FC01.06.1",     40.3019,      1.3178
    14,"FC01.07.1",     40.3393,      1.3154
    15,"FC01.08.1",     40.4463,      1.3136
    16,"FC01.09.1",     40.7628,      1.2978
    17,"FC01.12.1",     42.9043,      1.2862
    18,"FC01.12.2",     42.8996,      1.2864
    19,"FC01.13.1",     42.9113,      1.2847
    20,"FC01.14.1",     42.9214,      1.2832
    21,"FC01.15.1",     42.9388,      1.2818
    22,"FC01.16.1",     42.9668,      1.2733
    23,"FC01.17.1",     42.9989,      1.2676
    24,"FC01.18.1",     43.0103,      1.2625
    25,"FC01.19.1",     43.0205,      1.2641
    26,"FC01.1_R.1",     49.9425,      0.9643
    27,"FC01.1_R.2",     47.1601,      0.9816
    28,"FC01.20.1",     43.0808,      1.2563
    29,"FC01.21.1",     43.1041,      1.2534
    30,"FC01.22.1",     43.1153,      1.2546
    31,"FC01.23.1",     43.1516,      1.2537
    32,"FC01.24.1",     43.1952,      1.2493
    33,"FC01.25.1",     43.3700,      1.2389
    34,"FC01.26.1",     43.6791,      1.1886
    35,"FC01.27.1",     44.0867,      1.0848
    36,"FC01.28A.1",     44.8538,      1.0214
    37,"FC01.28B.1",     45.1596,      1.0125
    38,"FC01.29.1",     45.5273,      1.0016
    39,"FC01.30.1",     46.1562,      0.9956
    40,"FC01.31.1",     46.5824,      0.9902
    41,"FC01.32.1",     46.8120,      0.9882
    42,"FC01.33.1",     46.8460,      0.9845
    43,"FC01.36.1",     49.9570,      0.9664
    44,"FC01.37.1",     49.9943,      0.9652
    45,"FC01.38.1",     50.0959,      0.9645
    46,"FC01.39.1",     50.5833,      0.9473
    47,"FC01.40.1",     53.2299,      0.9325
    48,"FC02.01.1",     43.1579,      1.2524
    49,"FC02.02.1",     43.1629,      1.2539
    50,"FC02.03.1",     43.1728,      1.2511
    51,"FC02.04.1",     43.2807,      0.8152
    52,"FC02.05.1",     43.2779,      0.8102
    53,"FC02.06.1",     43.3378,      0.8051
    54,"FC04.1_C.1",     44.9236,      1.3227
    55,"FC04.1_C.2",     43.5144,      1.3110
