"M11_5m_001 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_11\Complete_Model\TUFLOW\runs\M11_5m_001.tcf]","Time (h)","H ds1.1 [M11_5m_001]","H ds1.2 [M11_5m_001]","H ds2.2 [M11_5m_001]","H ds3.2 [M11_5m_001]","H ds4.2 [M11_5m_001]","H ds5.2 [M11_5m_001]","H ds_weir.2 [M11_5m_001]","H FC01.01.1 [M11_5m_001]","H FC01.02.1 [M11_5m_001]","H FC01.03.1 [M11_5m_001]","H FC01.04.1 [M11_5m_001]","H FC01.05.1 [M11_5m_001]","H FC01.06.1 [M11_5m_001]","H FC01.07.1 [M11_5m_001]","H FC01.08.1 [M11_5m_001]","H FC01.09.1 [M11_5m_001]","H FC01.12.1 [M11_5m_001]","H FC01.12.2 [M11_5m_001]","H FC01.13.1 [M11_5m_001]","H FC01.14.1 [M11_5m_001]","H FC01.15.1 [M11_5m_001]","H FC01.16.1 [M11_5m_001]","H FC01.17.1 [M11_5m_001]","H FC01.18.1 [M11_5m_001]","H FC01.19.1 [M11_5m_001]","H FC01.1_R.1 [M11_5m_001]","H FC01.1_R.2 [M11_5m_001]","H FC01.20.1 [M11_5m_001]","H FC01.21.1 [M11_5m_001]","H FC01.22.1 [M11_5m_001]","H FC01.23.1 [M11_5m_001]","H FC01.24.1 [M11_5m_001]","H FC01.25.1 [M11_5m_001]","H FC01.26.1 [M11_5m_001]","H FC01.27.1 [M11_5m_001]","H FC01.28A.1 [M11_5m_001]","H FC01.28B.1 [M11_5m_001]","H FC01.29.1 [M11_5m_001]","H FC01.30.1 [M11_5m_001]","H FC01.31.1 [M11_5m_001]","H FC01.32.1 [M11_5m_001]","H FC01.33.1 [M11_5m_001]","H FC01.36.1 [M11_5m_001]","H FC01.37.1 [M11_5m_001]","H FC01.38.1 [M11_5m_001]","H FC01.39.1 [M11_5m_001]","H FC01.40.1 [M11_5m_001]","H FC02.01.1 [M11_5m_001]","H FC02.02.1 [M11_5m_001]","H FC02.03.1 [M11_5m_001]","H FC02.04.1 [M11_5m_001]","H FC02.05.1 [M11_5m_001]","H FC02.06.1 [M11_5m_001]","H FC04.1_C.1 [M11_5m_001]","H FC04.1_C.2 [M11_5m_001]"
      46,          0.750000,     38.0349,     37.5850,     37.0252,     36.4516,     34.2405,     33.0137,     32.5790,     38.3328,     38.3655,     38.4225,     38.8405,     39.1508,     39.3136,     39.3406,     39.4344,     39.8491,     40.2580,     40.1011,     40.9771,     41.3926,     41.7297,     41.9825,     42.0952,     42.1170,     42.1346,     49.8519,     46.9575,     42.2825,     42.3158,     42.3464,     42.4320,     42.5463,     42.9485,     43.4515,     43.8618,     44.6338,     44.9874,     45.3859,     45.9177,     46.3428,     46.5592,     46.5928,     49.8660,     49.9015,     50.0024,     50.4697,     53.1246,     42.4392,     42.4520,     42.6583,     43.2221,     43.2273,     43.3025,     44.1951,     43.2520
      47,          0.766667,     38.1387,     37.7231,     37.1685,     36.5734,     34.4236,     33.1182,     32.5790,     38.4272,     38.4618,     38.5218,     38.9451,     39.2569,     39.4220,     39.4497,     39.5437,     39.9397,     40.3820,     40.2726,     41.0535,     41.4816,     41.8216,     42.0708,     42.1818,     42.2054,     42.2246,     49.8829,     47.0287,     42.3723,     42.4063,     42.4355,     42.5171,     42.6260,     43.0137,     43.5107,     43.9272,     44.7026,     45.0382,     45.4293,     46.0012,     46.4270,     46.6480,     46.6815,     49.8965,     49.9327,     50.0333,     50.5042,     53.1475,     42.5240,     42.5353,     42.6647,     43.2265,     43.2317,     43.3075,     44.2968,     43.3003
      48,          0.783333,     38.2308,     37.8478,     37.3059,     36.7011,     34.5642,     33.2076,     32.5790,     38.5100,     38.5463,     38.6092,     39.0383,     39.3525,     39.5214,     39.5502,     39.6458,     40.0301,     40.5389,     40.4626,     41.1468,     41.5798,     41.9190,     42.1596,     42.2717,     42.2959,     42.3165,     49.9013,     47.0749,     42.4631,     42.4984,     42.5264,     42.6035,     42.7063,     43.0744,     43.5602,     43.9837,     44.7589,     45.0811,     45.4610,     46.0579,     46.4826,     46.7058,     46.7393,     49.9164,     49.9525,     50.0526,     50.5248,     53.1622,     42.6102,     42.6199,     42.6685,     43.2293,     43.2346,     43.3111,     44.3808,     43.3340
      49,          0.800000,     38.3116,     37.9617,     37.4391,     36.8132,     34.7077,     33.2882,     32.5790,     38.5850,     38.6234,     38.6899,     39.1235,     39.4432,     39.6166,     39.6465,     39.7439,     40.1209,     40.7297,     40.6785,     41.2495,     41.6767,     42.0115,     42.2429,     42.3527,     42.3777,     42.3993,     49.9126,     47.1010,     42.5449,     42.5847,     42.6162,     42.6935,     42.7836,     43.1190,     43.5902,     44.0178,     44.7922,     45.1084,     45.4831,     46.0924,     46.5170,     46.7420,     46.7754,     49.9279,     49.9641,     50.0647,     50.5398,     53.1759,     42.6861,     42.5698,     42.7803,     43.2296,     43.2687,     43.3158,     44.4459,     43.3572
      50,          0.816667,     38.3893,     38.0693,     37.5640,     36.8952,     34.8798,     33.3622,     32.5790,     38.6541,     38.6947,     38.7651,     39.2010,     39.5284,     39.7077,     39.7388,     39.8385,     40.2094,     40.9499,     40.9141,     41.3581,     41.7645,     42.0795,     42.3062,     42.4265,     42.4500,     42.4672,     49.9198,     47.1201,     42.5845,     42.6180,     42.6580,     42.7431,     42.8022,     43.1513,     43.6150,     44.0356,     44.8131,     45.1252,     45.4974,     46.1132,     46.5377,     46.7638,     46.7973,     49.9358,     49.9725,     50.0732,     50.5515,     53.1900,     42.8096,     42.7320,     42.6808,     43.2558,     43.2350,     43.3242,     44.4915,     43.3735
      51,          0.833333,     38.4636,     38.1766,     37.6743,     36.9487,     35.0452,     33.4413,     32.5790,     38.7192,     38.7614,     38.8353,     39.2713,     39.6079,     39.7921,     39.8243,     39.9258,     40.2887,     41.1785,     41.1543,     41.4704,     41.8434,     42.1401,     42.3570,     42.4706,     42.4971,     42.5206,     49.9254,     47.1313,     42.6621,     42.6977,     42.7223,     42.7881,     42.8699,     43.1817,     43.6146,     44.0472,     44.8264,     45.1357,     45.5066,     46.1266,     46.5514,     46.7785,     46.8122,     49.9412,     49.9786,     50.0799,     50.5618,     53.2039,     42.7949,     42.7949,     42.8599,     43.2279,     43.2122,     43.3097,     44.5232,     43.3846
      52,          0.850000,     38.5337,     38.2750,     37.7746,     36.9931,     35.1812,     33.5270,     32.5790,     38.7783,     38.8215,     38.8973,     39.3352,     39.6787,     39.8667,     39.8998,     40.0023,     40.3559,     41.3937,     41.3758,     41.5923,     41.9143,     42.1873,     42.3989,     42.5052,     42.5310,     42.5529,     49.9315,     47.1405,     42.6910,     42.7275,     42.7528,     42.8185,     42.8985,     43.1928,     43.6248,     44.0582,     44.8335,     45.1429,     45.5127,     46.1355,     46.5607,     46.7886,     46.8224,     49.9461,     49.9834,     50.0848,     50.5684,     53.2113,     42.8261,     42.8321,     42.8708,     43.2084,     43.2136,     43.2985,     44.5499,     43.3936
      53,          0.866667,     38.5947,     38.3609,     37.8649,     37.0344,     35.2895,     33.6138,     32.5790,     38.8304,     38.8739,     38.9505,     39.3904,     39.7387,     39.9293,     39.9630,     40.0661,     40.4095,     41.5824,     41.5671,     41.7149,     41.9787,     42.2245,     42.4264,     42.5309,     42.5566,     42.5786,     49.9347,     47.1465,     42.7154,     42.7508,     42.7752,     42.8391,     42.9168,     43.2066,     43.6310,     44.0645,     44.8392,     45.1478,     45.5172,     46.1419,     46.5674,     46.7958,     46.8297,     49.9494,     49.9866,     50.0881,     50.5725,     53.2158,     42.8478,     42.8559,     42.8892,     43.2032,     43.2107,     43.2951,     44.5765,     43.4023
      54,          0.883333,     38.6449,     38.4321,     37.9427,     37.0728,     35.3782,     33.6952,     32.6154,     38.8726,     38.9162,     38.9932,     39.4356,     39.7870,     39.9794,     40.0134,     40.1168,     40.4518,     41.7437,     41.7332,     41.8335,     42.0392,     42.2572,     42.4481,     42.5514,     42.5767,     42.5985,     49.9369,     47.1506,     42.7339,     42.7692,     42.7931,     42.8559,     42.9324,     43.2164,     43.6356,     44.0690,     44.8432,     45.1513,     45.5203,     46.1464,     46.5720,     46.8008,     46.8347,     49.9516,     49.9889,     50.0904,     50.5757,     53.2198,     42.8645,     42.8733,     42.9049,     43.2030,     43.2090,     43.2947,     44.6020,     43.4106
      55,          0.900000,     38.6874,     38.4912,     38.0113,     37.1048,     35.4541,     33.7679,     32.6950,     38.9069,     38.9502,     39.0272,     39.4712,     39.8249,     40.0188,     40.0532,     40.1567,     40.4850,     41.8844,     41.8789,     41.9477,     42.1003,     42.2895,     42.4687,     42.5693,     42.5951,     42.6169,     49.9384,     47.1535,     42.7492,     42.7846,     42.8083,     42.8702,     42.9452,     43.2243,     43.6391,     44.0722,     44.8462,     45.1537,     45.5224,     46.1494,     46.5752,     46.8042,     46.8382,     49.9533,     49.9906,     50.0924,     50.5786,     53.2239,     42.8785,     42.8876,     42.9178,     43.2036,     43.2094,     43.2952,     44.6258,     43.4183
      56,          0.916667,     38.7240,     38.5422,     38.0685,     37.1318,     35.5176,     33.8334,     32.7682,     38.9343,     38.9773,     39.0541,     39.4995,     39.8549,     40.0498,     40.0844,     40.1880,     40.5111,     42.0065,     42.0005,     42.0518,     42.1672,     42.3250,     42.4892,     42.5864,     42.6111,     42.6326,     49.9398,     47.1557,     42.7632,     42.7981,     42.8214,     42.8828,     42.9564,     43.2311,     43.6420,     44.0754,     44.8492,     45.1558,     45.5240,     46.1517,     46.5776,     46.8068,     46.8408,     49.9547,     49.9921,     50.0939,     50.5813,     53.2280,     42.8907,     42.9002,     42.9295,     43.2047,     43.2105,     43.2964,     44.6486,     43.4256
      57,          0.933333,     38.7608,     38.5956,     38.1076,     37.1521,     35.5693,     33.8916,     32.8343,     38.9586,     39.0008,     39.0768,     39.5220,     39.8786,     40.0743,     40.1092,     40.2130,     40.5324,     42.1106,     42.1028,     42.1451,     42.2318,     42.3633,     42.5119,     42.6053,     42.6290,     42.6496,     49.9411,     47.1576,     42.7771,     42.8112,     42.8340,     42.8945,     42.9668,     43.2372,     43.6443,     44.0773,     44.8508,     45.1572,     45.5252,     46.1534,     46.5795,     46.8089,     46.8429,     49.9560,     49.9935,     50.0954,     50.5832,     53.2299,     42.9033,     42.9116,     42.9402,     43.2059,     43.2118,     43.2973,     44.6705,     43.4325
      58,          0.950000,     38.8107,     38.6554,     38.1483,     37.1684,     35.6095,     33.9420,     32.8924,     38.9865,     39.0265,     39.0996,     39.5395,     39.8956,     40.0908,     40.1254,     40.2282,     40.5412,     42.2004,     42.1935,     42.2273,     42.2940,     42.4036,     42.5369,     42.6253,     42.6482,     42.6683,     49.9417,     47.1591,     42.7918,     42.8254,     42.8477,     42.9070,     42.9780,     43.2437,     43.6467,     44.0790,     44.8521,     45.1583,     45.5262,     46.1549,     46.5811,     46.8107,     46.8447,     49.9568,     49.9942,     50.0959,     50.5832,     53.2286,     42.9153,     42.9239,     42.9513,     43.2070,     43.2128,     43.2980,     44.6913,     43.4390
      59,          0.966667,     38.8581,     38.7170,     38.2032,     37.1911,     35.6428,     33.9846,     32.9422,     39.0172,     39.0548,     39.1243,     39.5526,     39.9052,     40.0993,     40.1338,     40.2360,     40.5454,     42.2827,     42.2775,     42.3039,     42.3553,     42.4454,     42.5637,     42.6469,     42.6690,     42.6885,     49.9419,     47.1598,     42.8076,     42.8405,     42.8621,     42.9202,     42.9897,     43.2503,     43.6490,     44.0805,     44.8530,     45.1591,     45.5270,     46.1559,     46.5821,     46.8117,     46.8457,     49.9570,     49.9943,     50.0959,     50.5826,     53.2266,     42.9284,     42.9369,     42.9631,     43.2083,     43.2141,     43.2989,     44.7111,     43.4452
      60,          0.983333,     38.8923,     38.7616,     38.2523,     37.2186,     35.6751,     34.0220,     32.9860,     39.0404,     39.0764,     39.1432,     39.5621,     39.9115,     40.1044,     40.1388,     40.2403,     40.5475,     42.3579,     42.3531,     42.3749,     42.4151,     42.4893,     42.5932,     42.6710,     42.6920,     42.7108,     49.9418,     47.1600,     42.8249,     42.8569,     42.8779,     42.9346,     43.0023,     43.2576,     43.6514,     44.0818,     44.8536,     45.1595,     45.5273,     46.1562,     46.5824,     46.8120,     46.8460,     49.9567,     49.9940,     50.0955,     50.5816,     53.2247,     42.9426,     42.9509,     42.9759,     43.2098,     43.2155,     43.2999,     44.7301,     43.4510
      61,          1.000000,     38.9168,     38.7934,     38.2917,     37.2441,     35.7071,     34.0568,     33.0272,     39.0576,     39.0925,     39.1574,     39.5699,     39.9174,     40.1102,     40.1448,     40.2467,     40.5554,     42.4256,     42.4204,     42.4399,     42.4726,     42.5343,     42.6255,     42.6976,     42.7173,     42.7352,     49.9414,     47.1596,     42.8440,     42.8750,     42.8953,     42.9503,     43.0162,     43.2655,     43.6539,     44.0829,     44.8538,     45.1596,     45.5273,     46.1561,     46.5822,     46.8117,     46.8457,     49.9563,     49.9936,     50.0950,     50.5805,     53.2227,     42.9582,     42.9662,     42.9900,     43.2119,     43.2175,     43.3013,     44.7482,     43.4567
      62,          1.016667,     38.9364,     38.8169,     38.3228,     37.2649,     35.7372,     34.0898,     33.0668,     39.0719,     39.1060,     39.1698,     39.5788,     39.9256,     40.1185,     40.1531,     40.2552,     40.5640,     42.4868,     42.4819,     42.4991,     42.5263,     42.5782,     42.6588,     42.7245,     42.7444,     42.7618,     49.9408,     47.1590,     42.8646,     42.8946,     42.9142,     42.9674,     43.0313,     43.2743,     43.6565,     44.0839,     44.8538,     45.1595,     45.5271,     46.1557,     46.5817,     46.8111,     46.8451,     49.9557,     49.9929,     50.0941,     50.5778,     53.2163,     42.9751,     42.9828,     43.0052,     43.2140,     43.2196,     43.3020,     44.7655,     43.4621
      63,          1.033333,     38.9519,     38.8353,     38.3475,     37.2810,     35.7637,     34.1208,     33.1043,     39.0839,     39.1175,     39.1805,     39.5876,     39.9338,     40.1270,     40.1617,     40.2640,     40.5724,     42.5429,     42.5382,     42.5537,     42.5766,     42.6211,     42.6920,     42.7535,     42.7714,     42.7877,     49.9396,     47.1578,     42.8860,     42.9149,     42.9336,     42.9852,     43.0471,     43.2836,     43.6594,     44.0849,     44.8535,     45.1592,     45.5266,     46.1550,     46.5808,     46.8102,     46.8441,     49.9544,     49.9913,     50.0919,     50.5727,     53.2065,     42.9927,     43.0003,     43.0212,     43.2164,     43.2218,     43.3030,     44.7819,     43.4672
      64,          1.050000,     38.9653,     38.8523,     38.3683,     37.2935,     35.7857,     34.1489,     33.1383,     39.0943,     39.1276,     39.1901,     39.5958,     39.9417,     40.1350,     40.1698,     40.2722,     40.5803,     42.5947,     42.5901,     42.6044,     42.6240,     42.6624,     42.7253,     42.7824,     42.7994,     42.8149,     49.9373,     47.1555,     42.9081,     42.9358,     42.9537,     43.0035,     43.0633,     43.2933,     43.6621,     44.0857,     44.8529,     45.1585,     45.5259,     46.1536,     46.5791,     46.8081,     46.8419,     49.9522,     49.9890,     50.0892,     50.5669,     53.1960,     43.0110,     43.0183,     43.0376,     43.2193,     43.2246,     43.3043,     44.7975,     43.4721
      65,          1.066667,     38.9784,     38.8675,     38.3889,     37.3049,     35.8037,     34.1735,     33.1685,     39.1046,     39.1375,     39.1992,     39.6034,     39.9491,     40.1425,     40.1773,     40.2798,     40.5875,     42.6427,     42.6383,     42.6514,     42.6686,     42.7021,     42.7582,     42.8114,     42.8275,     42.8421,     49.9348,     47.1525,     42.9313,     42.9614,     42.9755,     43.0229,     43.0800,     43.3035,     43.6652,     44.0862,     44.8518,     45.1574,     45.5245,     46.1514,     46.5765,     46.8051,     46.8389,     49.9496,     49.9862,     50.0860,     50.5609,     53.1855,     43.0299,     43.0372,     43.0552,     43.2231,     43.2283,     43.3064,     44.8122,     43.4769
      66,          1.083333,     38.9867,     38.8749,     38.4029,     37.3153,     35.8189,     34.1947,     33.1944,     39.1124,     39.1452,     39.2068,     39.6104,     39.9560,     40.1497,     40.1846,     40.2873,     40.5952,     42.6875,     42.6831,     42.6954,     42.7108,     42.7407,     42.7911,     42.8410,     42.8565,     42.8707,     49.9321,     47.1490,     42.9553,     42.9815,     42.9981,     43.0442,     43.0992,     43.3146,     43.6684,     44.0867,     44.8503,     45.1559,     45.5228,     46.1486,     46.5733,     46.8015,     46.8352,     49.9468,     49.9832,     50.0826,     50.5545,     53.1744,     43.0515,     43.0582,     43.0750,     43.2284,     43.2334,     43.3092,     44.8262,     43.4814
      67,          1.100000,     38.9959,     38.8869,     38.4151,     37.3223,     35.8313,     34.2127,     33.2169,     39.1191,     39.1516,     39.2126,     39.6169,     39.9631,     40.1576,     40.1927,     40.2959,     40.6052,     42.7287,     42.7243,     42.7361,     42.7500,     42.7766,     42.8219,     42.8686,     42.8833,     42.8967,     49.9291,     47.1453,     42.9768,     43.0031,     43.0174,     43.0622,     43.1157,     43.3245,     43.6713,     44.0867,     44.8483,     45.1539,     45.5208,     46.1454,     46.5697,     46.7975,     46.8310,     49.9435,     49.9796,     50.0779,     50.5435,     53.1520,     43.0689,     43.0752,     43.0910,     43.2331,     43.2379,     43.3110,     44.8393,     43.4858
      68,          1.116667,     39.0037,     38.8938,     38.4278,     37.3300,     35.8415,     34.2278,     33.2355,     39.1275,     39.1600,     39.2210,     39.6254,     39.9724,     40.1679,     40.2034,     40.3076,     40.6197,     42.7654,     42.7609,     42.7726,     42.7854,     42.8097,     42.8510,     42.8947,     42.9090,     42.9219,     49.9241,     47.1397,     42.9978,     43.0238,     43.0369,     43.0801,     43.1316,     43.3343,     43.6739,     44.0865,     44.8461,     45.1519,     45.5185,     46.1416,     46.5651,     46.7923,     46.8257,     49.9383,     49.9739,     50.0710,     50.5286,     53.1246,     43.0862,     43.0925,     43.1071,     43.2374,     43.2419,     43.3123,     44.8514,     43.4899
      69,          1.133333,     39.0120,     38.9026,     38.4378,     37.3362,     35.8504,     34.2405,     33.2514,     39.1351,     39.1676,     39.2287,     39.6364,     39.9852,     40.1825,     40.2186,     40.3239,     40.6396,     42.7969,     42.7924,     42.8041,     42.8163,     42.8391,     42.8775,     42.9189,     42.9325,     42.9450,     49.9177,     47.1322,     43.0176,     43.0397,     43.0559,     43.0968,     43.1467,     43.3433,     43.6760,     44.0851,     44.8423,     45.1488,     45.5154,     46.1361,     46.5587,     46.7849,     46.8181,     49.9317,     49.9669,     50.0627,     50.5124,     53.0960,     43.1030,     43.1092,     43.1227,     43.2420,     43.2464,     43.3139,     44.8625,     43.4937
      70,          1.150000,     39.0232,     38.9145,     38.4512,     37.3429,     35.8584,     34.2513,     33.2650,     39.1458,     39.1784,     39.2396,     39.6504,     40.0013,     40.2006,     40.2371,     40.3436,     40.6621,     42.8234,     42.8189,     42.8308,     42.8425,     42.8641,     42.9002,     42.9398,     42.9530,     42.9651,     49.9105,     47.1231,     43.0349,     43.0566,     43.0722,     43.1120,     43.1604,     43.3516,     43.6777,     44.0833,     44.8380,     45.1447,     45.5111,     46.1290,     46.5505,     46.7756,     46.8086,     49.9243,     49.9589,     50.0536,     50.4955,     53.0672,     43.1181,     43.1241,     43.1368,     43.2467,     43.2509,     43.3158,     44.8727,     43.4974
      71,          1.166667,     39.0399,     38.9339,     38.4725,     37.3529,     35.8668,     34.2611,     33.2773,     39.1604,     39.1928,     39.2536,     39.6663,     40.0189,     40.2202,     40.2572,     40.3647,     40.6855,     42.8454,     42.8408,     42.8526,     42.8641,     42.8848,     42.9191,     42.9571,     42.9700,     42.9817,     49.9029,     47.1132,     43.0491,     43.0719,     43.0857,     43.1247,     43.1717,     43.3584,     43.6787,     44.0808,     44.8330,     45.1400,     45.5061,     46.1207,     46.5412,     46.7652,     46.7979,     49.9164,     49.9505,     50.0441,     50.4781,     53.0382,     43.1311,     43.1367,     43.1487,     43.2512,     43.2553,     43.3175,     44.8820,     43.5007
      72,          1.183333,     39.0578,     38.9535,     38.4972,     37.3672,     35.8776,     34.2711,     33.2898,     39.1768,     39.2089,     39.2692,     39.6828,     40.0360,     40.2388,     40.2761,     40.3841,     40.7056,     42.8631,     42.8584,     42.8703,     42.8814,     42.9013,     42.9342,     42.9709,     42.9836,     42.9949,     49.8950,     47.1023,     43.0605,     43.0840,     43.0963,     43.1347,     43.1807,     43.3636,     43.6791,     44.0778,     44.8276,     45.1349,     45.5009,     46.1118,     46.5312,     46.7540,     46.7864,     49.9087,     49.9424,     50.0344,     50.4594,     53.0061,     43.1406,     43.1466,     43.1581,     43.2546,     43.2585,     43.3181,     44.8904,     43.5037
      73,          1.200000,     39.0779,     38.9754,     38.5247,     37.3837,     35.8917,     34.2827,     33.3043,     39.1946,     39.2262,     39.2854,     39.6978,     40.0509,     40.2549,     40.2924,     40.4008,     40.7224,     42.8770,     42.8723,     42.8842,     42.8951,     42.9144,     42.9461,     42.9816,     42.9939,     43.0050,     49.8872,     47.0907,     43.0691,     43.0917,     43.1044,     43.1422,     43.1874,     43.3672,     43.6788,     44.0741,     44.8216,     45.1293,     45.4951,     46.1020,     46.5203,     46.7419,     46.7741,     49.9000,     49.9330,     50.0233,     50.4384,     52.9693,     43.1485,     43.1540,     43.1650,     43.2564,     43.2601,     43.3173,     44.8978,     43.5064
      74,          1.216667,     39.0985,     38.9979,     38.5543,     37.4019,     35.9087,     34.2967,     33.3220,     39.2125,     39.2435,     39.3014,     39.7111,     40.0636,     40.2685,     40.3061,     40.4146,     40.7360,     42.8876,     42.8829,     42.8947,     42.9055,     42.9243,     42.9549,     42.9894,     43.0016,     43.0124,     49.8773,     47.0776,     43.0752,     43.0946,     43.1104,     43.1472,     43.1919,     43.3693,     43.6778,     44.0700,     44.8150,     45.1233,     45.4889,     46.0918,     46.5088,     46.7290,     46.7609,     49.8901,     49.9226,     50.0112,     50.4159,     52.9311,     43.1533,     43.1590,     43.1695,     43.2568,     43.2604,     43.3154,     44.9043,     43.5087
      75,          1.233333,     39.1184,     39.0206,     38.5879,     37.4179,     35.9277,     34.3134,     33.3431,     39.2295,     39.2599,     39.3164,     39.7227,     40.0741,     40.2794,     40.3171,     40.4257,     40.7465,     42.8952,     42.8906,     42.9024,     42.9129,     42.9314,     42.9611,     42.9947,     43.0066,     43.0173,     49.8669,     47.0632,     43.0790,     43.0978,     43.1137,     43.1503,     43.1944,     43.3700,     43.6761,     44.0653,     44.8079,     45.1169,     45.4824,     46.0804,     46.4961,     46.7149,     46.7465,     49.8795,     49.9113,     49.9983,     50.3928,     52.8920,     43.1567,     43.1619,     43.1721,     43.2560,     43.2595,     43.3124,     44.9099,     43.5106
      76,          1.250000,     39.1395,     39.0461,     38.6297,     37.4259,     35.9443,     34.3313,     33.3658,     39.2464,     39.2759,     39.3308,     39.7325,     40.0826,     40.2881,     40.3258,     40.4342,     40.7543,     42.9004,     42.8957,     42.9075,     42.9178,     42.9359,     42.9649,     42.9978,     43.0093,     43.0199,     49.8559,     47.0479,     43.0805,     43.1023,     43.1140,     43.1516,     43.1952,     43.3696,     43.6739,     44.0601,     44.8004,     45.1102,     45.4755,     46.0682,     46.4824,     46.6997,     46.7310,     49.8682,     49.8994,     49.9849,     50.3691,     52.8524,     43.1573,     43.1629,     43.1728,     43.2540,     43.2574,     43.3084,     44.9146,     43.5121
      77,          1.266667,     39.1607,     39.0714,     38.6710,     37.4346,     35.9578,     34.3482,     33.3875,     39.2634,     39.2919,     39.3451,     39.7410,     40.0892,     40.2944,     40.3321,     40.4403,     40.7594,     42.9033,     42.8986,     42.9103,     42.9206,     42.9383,     42.9666,     42.9989,     43.0101,     43.0204,     49.8442,     47.0317,     43.0801,     43.1021,     43.1140,     43.1508,     43.1944,     43.3679,     43.6712,     44.0544,     44.7923,     45.1029,     45.4682,     46.0551,     46.4679,     46.6837,     46.7147,     49.8565,     49.8870,     49.9704,     50.3426,     52.8046,     43.1571,     43.1621,     43.1716,     43.2503,     43.2535,     43.3021,     44.9184,     43.5132
      78,          1.283333,     39.1804,     39.0947,     38.7089,     37.4452,     35.9700,     34.3635,     33.4070,     39.2791,     39.3067,     39.3582,     39.7479,     40.0940,     40.2988,     40.3364,     40.4441,     40.7622,     42.9043,     42.8996,     42.9113,     42.9214,     42.9388,     42.9664,     42.9978,     43.0090,     43.0191,     49.8315,     47.0143,     43.0783,     43.0968,     43.1122,     43.1484,     43.1919,     43.3651,     43.6678,     44.0483,     44.7838,     45.0953,     45.4608,     46.0412,     46.4525,     46.6666,     46.6972,     49.8431,     49.8728,     49.9538,     50.3119,     52.7501,     43.1544,     43.1595,     43.1685,     43.2449,     43.2480,     43.2944,     44.9211,     43.5140
      79,          1.300000,     39.1974,     39.1148,     38.7418,     37.4570,     35.9826,     34.3779,     33.4255,     39.2927,     39.3195,     39.3695,     39.7533,     40.0971,     40.3012,     40.3387,     40.4461,     40.7628,     42.9035,     42.8989,     42.9104,     42.9204,     42.9375,     42.9646,     42.9954,     43.0063,     43.0162,     49.8170,     46.9937,     43.0743,     43.0966,     43.1071,     43.1446,     43.1880,     43.3612,     43.6640,     44.0414,     44.7750,     45.0874,     45.4529,     46.0252,     46.4350,     46.6473,     46.6774,     49.8285,     49.8572,     49.9356,     50.2796,     52.6928,     43.1503,     43.1553,     43.1640,     43.2384,     43.2412,     43.2856,     44.9228,     43.5143
      80,          1.316667,     39.2113,     39.1312,     38.7688,     37.4685,     35.9958,     34.3920,     33.4438,     39.3036,     39.3298,     39.3786,     39.7570,     40.0986,     40.3019,     40.3392,     40.4462,     40.7615,     42.9012,     42.8966,     42.9080,     42.9179,     42.9347,     42.9611,     42.9913,     43.0020,     43.0117,     49.8018,     46.9721,     43.0693,     43.0874,     43.1029,     43.1391,     43.1827,     43.3561,     43.6590,     44.0335,     44.7649,     45.0783,     45.4439,     46.0072,     46.4151,     46.6255,     46.6553,     49.8125,     49.8406,     49.9163,     50.2458,     52.6332,     43.1453,     43.1498,     43.1582,     43.2308,     43.2335,     43.2758,     44.9236,     43.5143
      81,          1.333333,     39.2207,     39.1426,     38.7891,     37.4787,     36.0084,     34.4060,     33.4618,     39.3109,     39.3366,     39.3845,     39.7590,     40.0986,     40.3010,     40.3382,     40.4447,     40.7584,     42.8975,     42.8929,     42.9042,     42.9139,     42.9304,     42.9562,     42.9857,     42.9962,     43.0057,     49.7842,     46.9480,     43.0624,     43.0840,     43.0950,     43.1324,     43.1759,     43.3497,     43.6530,     44.0243,     44.7536,     45.0685,     45.4343,     45.9877,     46.3937,     46.6019,     46.6313,     49.7955,     49.8225,     49.8957,     50.2110,     52.5720,     43.1380,     43.1428,     43.1508,     43.2221,     43.2247,     43.2652,     44.9234,     43.5140
      82,          1.350000,     39.2257,     39.1486,     38.8020,     37.4863,     36.0202,     34.4198,     33.4796,     39.3146,     39.3399,     39.3872,     39.7588,     40.0970,     40.2986,     40.3355,     40.4416,     40.7538,     42.8924,     42.8878,     42.8990,     42.9085,     42.9247,     42.9500,     42.9789,     42.9890,     42.9984,     49.7663,     46.9228,     43.0546,     43.0731,     43.0875,     43.1242,     43.1679,     43.3421,     43.6461,     44.0144,     44.7413,     45.0580,     45.4242,     45.9670,     46.3711,     46.5770,     46.6059,     49.7771,     49.8034,     49.8743,     50.1763,     52.5129,     43.1304,     43.1345,     43.1423,     43.2127,     43.2151,     43.2539,     44.9222,     43.5133
