"M11_5m_001 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_11\Complete_Model\TUFLOW\runs\M11_5m_001.tcf]","Time (h)","Q ds1 [M11_5m_001]","Q ds2 [M11_5m_001]","Q ds3 [M11_5m_001]","Q ds4 [M11_5m_001]","Q ds5 [M11_5m_001]","Q ds_weir [M11_5m_001]","Q FC01.01 [M11_5m_001]","Q FC01.02 [M11_5m_001]","Q FC01.03 [M11_5m_001]","Q FC01.04 [M11_5m_001]","Q FC01.05 [M11_5m_001]","Q FC01.06 [M11_5m_001]","Q FC01.07 [M11_5m_001]","Q FC01.08 [M11_5m_001]","Q FC01.09 [M11_5m_001]","Q FC01.12 [M11_5m_001]","Q FC01.13 [M11_5m_001]","Q FC01.14 [M11_5m_001]","Q FC01.15 [M11_5m_001]","Q FC01.16 [M11_5m_001]","Q FC01.17 [M11_5m_001]","Q FC01.18 [M11_5m_001]","Q FC01.19 [M11_5m_001]","Q FC01.1_R [M11_5m_001]","Q FC01.20 [M11_5m_001]","Q FC01.21 [M11_5m_001]","Q FC01.22 [M11_5m_001]","Q FC01.23 [M11_5m_001]","Q FC01.24 [M11_5m_001]","Q FC01.25 [M11_5m_001]","Q FC01.26 [M11_5m_001]","Q FC01.27 [M11_5m_001]","Q FC01.28A [M11_5m_001]","Q FC01.28B [M11_5m_001]","Q FC01.29 [M11_5m_001]","Q FC01.2_R [M11_5m_001]","Q FC01.30 [M11_5m_001]","Q FC01.31 [M11_5m_001]","Q FC01.32 [M11_5m_001]","Q FC01.33 [M11_5m_001]","Q FC01.34 [M11_5m_001]","Q FC01.36 [M11_5m_001]","Q FC01.37 [M11_5m_001]","Q FC01.38 [M11_5m_001]","Q FC01.39 [M11_5m_001]","Q FC01.40 [M11_5m_001]","Q FC02.01 [M11_5m_001]","Q FC02.02 [M11_5m_001]","Q FC02.03 [M11_5m_001]","Q FC02.04 [M11_5m_001]","Q FC02.05 [M11_5m_001]","Q FC02.06 [M11_5m_001]","Q FC04.1_C [M11_5m_001]","Q FC_weir1 [M11_5m_001]"
      68,          1.116667,          57.037,          78.441,          77.889,          77.243,          75.871,          74.276,          55.918,          60.697,          63.623,          69.312,          69.508,          69.723,          69.950,          70.118,          67.861,          54.224,          30.297,          32.603,          40.468,          35.744,          33.160,          50.439,          60.122,          47.941,          43.319,          49.366,          40.656,          39.555,          32.661,          32.714,          32.781,          37.997,          37.999,          33.186,          33.541,          80.370,          78.154,          81.569,          82.578,          18.685,          78.299,          45.753,          56.262,          71.765,          87.408,          87.082,          13.965,           9.205,           8.110,           8.215,           8.262,           8.309,           8.816,          66.794
      69,          1.133333,          57.472,          79.317,          78.562,          77.995,          76.815,          75.452,          56.382,          61.303,          64.294,          70.235,          70.471,          70.818,          71.126,          71.347,          69.254,          55.049,          30.246,          32.126,          39.728,          34.939,          32.668,          49.989,          59.621,          47.896,          42.864,          48.946,          40.309,          39.311,          32.473,          32.531,          32.586,          37.846,          37.840,          33.115,          33.427,          80.636,          77.667,          81.064,          81.990,          18.512,          77.756,          45.356,          55.696,          71.025,          86.117,          85.727,          13.911,           9.193,           7.978,           8.072,           8.123,           8.172,           8.914,          66.258
      70,          1.150000,          58.116,          80.553,          79.514,          78.786,          77.663,          76.464,          57.000,          62.082,          65.131,          71.410,          71.685,          72.165,          72.504,          72.754,          70.774,          55.858,          30.380,          31.848,          39.224,          34.308,          32.262,          49.592,          59.243,          47.847,          42.474,          48.652,          40.073,          39.097,          32.291,          32.344,          32.392,          37.684,          37.677,          33.001,          33.288,          80.770,          77.045,          80.432,          81.261,          18.305,          77.138,          44.890,          55.107,          70.255,          84.796,          84.362,          13.893,           9.153,           7.853,           7.941,           7.993,           8.042,           9.004,          65.620
      71,          1.166667,          58.689,          82.700,          81.053,          79.862,          78.513,          77.377,          57.589,          62.891,          65.993,          72.693,          72.989,          73.601,          73.931,          74.192,          72.307,          56.595,          30.539,          31.659,          38.817,          33.752,          31.885,          49.236,          58.872,          47.793,          42.145,          48.414,          39.943,          38.944,          32.123,          32.162,          32.203,          37.496,          37.481,          32.863,          33.114,          80.806,          76.319,          79.725,          80.458,          18.082,          76.484,          44.421,          54.507,          69.499,          83.461,          83.004,          13.910,           9.146,           7.752,           7.823,           7.868,           7.910,           9.087,          64.954
      72,          1.183333,          59.636,          84.719,          82.874,          81.398,          79.578,          78.325,          58.351,          63.792,          66.849,          73.946,          74.193,          74.917,          75.173,          75.407,          73.532,          57.219,          30.657,          31.525,          38.476,          33.263,          31.538,          48.831,          58.504,          47.738,          41.839,          48.214,          39.833,          38.821,          31.963,          31.996,          32.024,          37.293,          37.276,          32.722,          32.943,          80.804,          75.549,          78.978,          79.607,          17.852,          75.788,          43.917,          53.857,          68.657,          82.050,          81.518,          13.949,           9.135,           7.663,           7.713,           7.736,           7.760,           9.161,          64.205
      73,          1.200000,          60.697,          87.116,          84.927,          83.251,          80.940,          79.429,          59.016,          64.529,          67.460,          75.006,          75.191,          76.039,          76.202,          76.396,          74.523,          57.732,          30.766,          31.374,          38.155,          32.814,          31.198,          48.504,          58.083,          47.684,          41.542,          47.964,          39.737,          38.715,          31.819,          31.841,          31.857,          37.072,          37.051,          32.569,          32.752,          80.784,          74.698,          78.175,          78.717,          17.611,          75.079,          43.403,          53.161,          67.727,          80.429,          79.843,          13.976,           9.101,           7.550,           7.590,           7.597,           7.602,           9.228,          63.464
      74,          1.216667,          61.740,          89.614,          87.187,          85.367,          82.616,          80.777,          59.581,          65.114,          67.900,          75.858,          76.011,          76.969,          77.027,          77.175,          75.312,          58.148,          30.834,          31.238,          37.858,          32.396,          30.863,          48.156,          57.628,          47.614,          41.239,          47.687,          39.578,          38.626,          31.680,          31.696,          31.702,          36.838,          36.813,          32.410,          32.555,          80.754,          73.812,          77.318,          77.765,          17.355,          74.224,          42.821,          52.406,          66.725,          78.716,          78.117,          13.982,           9.048,           7.434,           7.457,           7.457,           7.443,           9.286,          62.627
      75,          1.233333,          62.534,          91.824,          88.360,          87.364,          84.535,          82.395,          60.024,          65.558,          68.211,          76.508,          76.655,          77.693,          77.659,          77.763,          75.893,          58.455,          30.855,          31.090,          37.555,          32.002,          30.534,          47.780,          57.171,          47.541,          40.936,          47.532,          39.330,          38.554,          31.551,          31.562,          31.560,          36.590,          36.561,          32.239,          32.344,          80.717,          72.841,          76.391,          76.737,          17.076,          73.267,          42.203,          51.618,          65.693,          76.992,          76.377,          13.987,           8.979,           7.318,           7.328,           7.310,           7.281,           9.336,          61.732
      76,          1.250000,          62.909,          93.340,          89.339,          88.574,          86.311,          84.155,          60.201,          65.779,          68.333,          76.977,          77.145,          78.224,          78.100,          78.167,          76.290,          58.655,          30.834,          30.930,          37.264,          31.620,          30.209,          47.378,          56.688,          47.464,          40.629,          47.362,          39.222,          38.448,          31.440,          31.439,          31.429,          36.328,          36.297,          32.062,          32.124,          80.677,          71.801,          75.396,          75.653,          16.783,          72.274,          41.575,          50.828,          64.653,          75.257,          74.639,          13.978,           8.899,           7.197,           7.193,           7.164,           7.121,           9.379,          60.802
      77,          1.266667,          63.170,          94.807,          90.718,          89.760,          87.814,          85.837,          60.196,          65.809,          68.304,          77.272,          77.457,          78.563,          78.366,          78.399,          76.508,          58.759,          30.777,          30.741,          36.960,          31.248,          29.878,          46.943,          56.174,          47.382,          40.324,          46.924,          39.353,          38.328,          31.336,          31.327,          31.308,          36.054,          36.020,          31.878,          31.897,          80.638,          70.693,          74.350,          74.526,          16.480,          71.249,          40.905,          50.004,          63.535,          73.350,          72.586,          13.962,           8.798,           7.057,           7.039,           6.982,           6.917,           9.413,          59.829
      78,          1.283333,          63.352,          96.149,          92.257,          91.121,          89.193,          87.375,          60.094,          65.724,          68.171,          77.401,          77.615,          78.745,          78.482,          78.484,          76.565,          58.772,          30.666,          30.534,          36.620,          30.867,          29.532,          46.482,          55.611,          47.292,          40.005,          46.666,          39.050,          38.259,          31.231,          31.223,          31.198,          35.770,          35.732,          31.692,          31.668,          80.601,          69.539,          73.250,          73.337,          16.163,          70.117,          40.160,          49.010,          62.137,          71.104,          70.288,          13.901,           8.646,           6.886,           6.856,           6.792,           6.703,           9.438,          58.771
      79,          1.300000,          63.425,          97.271,          93.814,          92.626,          90.609,          88.834,          59.925,          65.561,          67.972,          77.412,          77.649,          78.773,          78.461,          78.440,          76.479,          58.709,          30.522,          30.282,          36.255,          30.480,          29.176,          45.980,          54.996,          47.189,          39.643,          46.352,          39.029,          38.100,          31.146,          31.124,          31.091,          35.463,          35.422,          31.492,          31.424,          80.565,          68.281,          72.018,          72.002,          15.800,          68.794,          39.348,          47.938,          60.618,          68.775,          67.923,          13.818,           8.481,           6.701,           6.666,           6.588,           6.488,           9.453,          57.552
      80,          1.316667,          63.406,          98.130,          95.260,          94.129,          92.069,          90.279,          59.708,          65.345,          67.723,          77.317,          77.560,          78.680,          78.336,          78.286,          76.265,          58.577,          30.321,          30.024,          35.868,          30.081,          28.805,          45.438,          54.332,          47.082,          39.273,          45.902,          38.873,          37.983,          31.035,          31.011,          30.969,          35.119,          35.070,          31.267,          31.142,          80.531,          66.858,          70.639,          70.533,          15.403,          67.523,          38.507,          46.810,          59.051,          66.394,          65.517,          13.736,           8.307,           6.517,           6.472,           6.383,           6.271,           9.460,          56.284
      81,          1.333333,          63.244,          98.549,          96.454,          95.495,          93.502,          91.723,          59.461,          65.098,          67.461,          77.157,          77.388,          78.475,          78.101,          78.029,          75.942,          58.375,          30.084,          29.721,          35.441,          29.657,          28.405,          44.840,          53.622,          46.959,          38.863,          45.561,          38.758,          37.816,          30.910,          30.876,          30.826,          34.739,          34.682,          31.029,          30.852,          80.499,          65.344,          69.173,          68.974,          14.988,          66.106,          37.594,          45.689,          57.477,          64.001,          63.102,          13.645,           8.123,           6.334,           6.279,           6.180,           6.057,           9.458,          54.892
      82,          1.350000,          63.053,          98.483,          97.244,          96.593,          94.856,          93.158,          59.187,          64.833,          67.198,          76.938,          77.139,          78.169,          77.779,          77.690,          75.509,          58.116,          29.802,          29.383,          34.976,          29.205,          27.987,          44.207,          52.860,          46.831,          38.445,          45.117,          38.511,          37.664,          30.759,          30.724,          30.668,          34.344,          34.272,          30.769,          30.547,          80.466,          63.749,          67.640,          67.359,          14.564,          64.605,          36.702,          44.586,          55.902,          61.681,          60.812,          13.536,           7.936,           6.155,           6.092,           5.986,           5.854,           9.448,          53.471
      83,          1.366667,          62.792,          98.402,          97.717,          97.339,          95.999,          94.487,          58.911,          64.542,          66.923,          76.637,          76.811,          77.775,          77.376,          77.272,          74.995,          57.808,          29.492,          29.030,          34.485,          28.742,          27.557,          43.550,          52.074,          46.697,          38.013,          44.588,          38.464,          37.446,          30.598,          30.555,          30.495,          33.918,          33.855,          30.525,          30.241,          80.435,          62.126,          66.051,          65.698,          14.136,          63.054,          35.832,          43.473,          54.351,          59.437,          58.569,          13.435,           7.739,           5.972,           5.904,           5.793,           5.651,           9.430,          52.011
      84,          1.383333,          62.475,          98.111,          97.916,          97.769,          96.861,          95.618,          58.620,          64.233,          66.630,          76.276,          76.413,          77.302,          76.897,          76.778,          74.400,          57.454,          29.170,          28.630,          33.935,          28.240,          27.078,          42.807,          51.183,          46.562,          37.516,          44.142,          38.500,          37.488,          30.754,          30.703,          30.648,          33.444,          33.371,          30.273,          29.938,          80.403,          60.491,          64.432,          64.032,          13.719,          61.567,          34.886,          42.391,          52.819,          57.277,          56.421,          13.282,           7.518,           5.782,           5.717,           5.599,           5.447,           9.405,          50.565
      85,          1.400000,          62.076,          97.614,          97.865,          97.924,          97.433,          96.503,          58.293,          63.896,          66.326,          75.863,          75.953,          76.747,          76.352,          76.228,          73.736,          57.087,          28.820,          28.271,          33.457,          27.810,          26.665,          42.149,          50.382,          46.431,          37.066,          43.672,          38.226,          37.300,          30.560,          30.513,          30.441,          32.980,          32.867,          30.001,          29.639,          80.370,          58.876,          62.797,          62.357,          13.307,          59.989,          34.011,          41.322,          51.268,          55.152,          54.297,          13.173,           7.319,           5.610,           5.528,           5.400,           5.242,           9.373,          49.104
      86,          1.416667,          61.642,          96.919,          97.567,          97.817,          97.720,          97.120,          57.958,          63.539,          66.010,          75.398,          75.445,          76.140,          75.756,          75.626,          73.033,          56.676,          28.457,          27.884,          32.948,          27.344,          26.211,          41.413,          49.496,          46.283,          36.561,          43.085,          37.977,          37.035,          30.268,          30.217,          30.142,          32.370,          32.299,          29.832,          29.377,          80.335,          57.270,          61.132,          60.670,          12.899,          58.405,          33.154,          40.287,          49.726,          53.048,          52.168,          13.075,           7.125,           5.436,           5.349,           5.210,           5.037,           9.333,          47.645
      87,          1.433333,          61.189,          96.230,          97.109,          97.490,          97.739,          97.468,          57.628,          63.174,          65.687,          74.895,          74.886,          75.481,          75.114,          74.980,          72.292,          56.264,          28.065,          27.483,          32.425,          26.877,          25.754,          40.673,          48.615,          46.129,          36.062,          42.518,          37.713,          36.756,          30.074,          30.025,          29.948,          31.920,          31.852,          29.584,          29.095,          80.296,          55.702,          59.483,          59.006,          12.498,          56.826,          32.278,          39.228,          48.157,          50.952,          50.080,          12.892,           6.873,           5.244,           5.154,           5.013,           4.842,           9.287,          46.200
      88,          1.450000,          60.670,          95.407,          96.533,          97.011,          97.532,          97.561,          57.269,          62.784,          65.343,          74.354,          74.291,          74.773,          74.415,          74.265,          71.466,          55.811,          27.679,          27.095,          31.922,          26.433,          25.319,          39.966,          47.766,          45.965,          35.593,          42.031,          37.455,          36.507,          29.891,          29.837,          29.760,          31.492,          31.426,          29.332,          28.813,          80.258,          54.179,          57.830,          57.339,          12.102,          55.059,          31.392,          38.161,          46.593,          48.916,          48.031,          12.722,           6.635,           5.053,           4.960,           4.820,           4.644,           9.234,          44.689
      89,          1.466667,          60.150,          94.451,          95.852,          96.404,          97.141,          97.428,          56.881,          62.350,          64.964,          73.754,          73.658,          73.999,          73.656,          73.511,          70.613,          55.374,          27.300,          26.720,          31.434,          26.006,          24.906,          39.296,          46.955,          45.803,          35.145,          41.548,          37.232,          36.251,          29.707,          29.650,          29.568,          31.065,          30.999,          29.068,          28.514,          80.217,          52.614,          56.055,          55.476,          11.653,          52.353,          30.555,          37.154,          45.058,          46.897,          45.986,          12.558,           6.407,           4.866,           4.770,           4.625,           4.448,           9.175,          42.686
      90,          1.483333,          59.570,          93.247,          95.007,          95.673,          96.600,          97.103,          56.493,          61.931,          64.590,          73.147,          73.024,          73.225,          72.906,          72.763,          69.786,          54.955,          26.936,          26.357,          30.956,          25.590,          24.491,          38.618,          46.132,          45.625,          34.694,          41.015,          36.993,          36.004,          29.496,          29.439,          29.351,          30.594,          30.521,          28.763,          28.159,          80.170,          50.850,          54.104,          53.687,          11.260,          51.769,          29.765,          36.126,          43.483,          44.871,          43.941,          12.396,           6.172,           4.685,           4.584,           4.434,           4.251,           9.109,          41.720
      91,          1.500000,          59.003,          91.973,          94.035,          94.799,          95.919,          96.613,          56.142,          61.544,          64.254,          72.534,          72.390,          72.463,          72.160,          72.017,          68.985,          54.541,          26.577,          26.001,          30.486,          25.166,          24.061,          37.918,          45.295,          45.430,          34.239,          40.497,          36.767,          35.713,          29.291,          29.224,          29.138,          30.171,          30.108,          28.523,          27.922,          80.108,          49.548,          52.607,          52.226,          10.974,          50.148,          28.847,          35.090,          41.877,          42.853,          41.895,          12.226,           5.927,           4.510,           4.399,           4.241,           4.055,           9.038,          40.374
      92,          1.516667,          58.457,          90.658,          92.988,          93.813,          95.101,          95.973,          55.809,          61.165,          63.938,          71.918,          71.755,          71.701,          71.419,          71.278,          68.208,          54.138,          26.229,          25.661,          30.034,          24.767,          23.665,          37.261,          44.507,          45.218,          33.792,          39.991,          36.483,          35.421,          29.086,          29.037,          28.941,          29.788,          29.723,          28.268,          27.650,          80.029,          48.151,          50.944,          50.613,          10.632,          48.945,          28.024,          34.118,          40.333,          40.936,          39.999,          12.028,           5.686,           4.333,           4.220,           4.064,           3.878,           8.961,          39.185
      93,          1.533333,          57.950,          89.330,          91.904,          92.743,          94.169,          95.194,          55.514,          60.808,          63.628,          71.340,          71.138,          70.983,          70.720,          70.580,          67.506,          53.768,          25.953,          25.394,          29.672,          24.447,          23.326,          36.645,          43.804,          44.988,          33.395,          39.587,          36.209,          35.164,          28.884,          28.818,          28.734,          29.411,          29.347,          28.019,          27.395,          79.924,          46.847,          49.411,          49.139,          10.334,          47.272,          27.345,          33.247,          38.936,          39.151,          38.175,          11.848,           5.427,           4.139,           4.043,           3.888,           3.702,           8.878,          37.931
      94,          1.550000,          57.503,          88.025,          90.808,          91.669,          93.166,          94.303,          55.268,          60.502,          63.348,          70.767,          70.559,          70.342,          70.108,          69.980,          66.923,          53.448,          25.717,          25.189,          29.370,          24.173,          23.003,          36.079,          43.138,          44.734,          33.040,          39.100,          35.997,          34.877,          28.676,          28.594,          28.506,          29.026,          28.956,          27.737,          27.098,          79.788,          45.373,          47.611,          47.341,           9.944,          45.633,          26.714,          32.436,          37.550,          37.378,          36.358,          11.666,           5.207,           3.968,           3.872,           3.715,           3.527,           8.791,          36.544
      95,          1.566667,          57.175,          86.790,          89.747,          90.596,          92.114,          93.325,          55.104,          60.269,          63.138,          70.257,          70.044,          69.792,          69.592,          69.480,          66.466,          53.155,          25.545,          25.036,          29.126,          23.929,          22.697,          35.571,          42.464,          44.438,          32.725,          38.665,          35.727,          34.545,          28.414,          28.341,          28.245,          28.631,          28.562,          27.460,          26.839,          79.609,          44.099,          46.155,          45.956,           9.707,          44.675,          26.174,          31.740,          36.214,          35.624,          34.539,          11.472,           5.000,           3.799,           3.702,           3.545,           3.351,           8.699,          35.613
      96,          1.583333,          56.966,          85.678,          88.771,          89.548,          91.053,          92.312,          55.023,          60.112,          62.985,          69.799,          69.614,          69.351,          69.174,          69.077,          66.107,          52.865,          25.427,          24.936,          28.915,          23.703,          22.426,          34.943,          41.856,          44.087,          32.418,          38.258,          35.485,          34.286,          28.173,          28.104,          28.007,          28.293,          28.239,          27.245,          26.670,          79.381,          43.215,          45.178,          45.044,           9.604,          44.182,          25.949,          31.200,          34.980,          33.916,          32.754,          11.357,           4.761,           3.652,           3.536,           3.376,           3.183,           8.602,          35.010
      97,          1.600000,          56.957,          84.657,          87.883,          88.578,          90.010,          91.260,          55.009,          60.017,          62.880,          69.421,          69.249,          68.998,          68.856,          68.775,          65.840,          52.612,          25.367,          24.919,          28.802,          23.560,          22.206,          34.500,          41.306,          43.669,          32.134,          37.900,          35.264,          34.012,          27.992,          27.922,          27.832,          28.051,          28.010,          27.098,          26.562,          79.099,          42.612,          44.502,          44.401,           9.538,          43.753,          25.831,          30.898,          34.098,          32.739,          31.692,          11.108,           4.556,           3.526,           3.408,           3.259,           3.104,           8.503,          34.543
      98,          1.616667,          56.807,          83.417,          87.025,          87.705,          89.035,          90.261,          55.039,          59.975,          62.828,          69.116,          68.956,          68.709,          68.589,          68.521,          65.632,          52.360,          25.399,          24.999,          28.812,          23.534,          22.080,          34.167,          40.963,          43.215,          31.978,          37.636,          35.108,          33.809,          27.861,          27.789,          27.707,          27.881,          27.843,          26.986,          26.471,          78.769,          42.129,          43.948,          43.862,           9.463,          43.291,          25.807,          30.978,          33.689,          31.981,          30.838,          10.941,           4.376,           3.409,           3.302,           3.172,           3.021,           8.404,          34.118
      99,          1.633333,          56.732,          82.466,          84.473,          86.162,          87.988,          89.252,          55.076,          59.941,          62.779,          68.848,          68.713,          68.468,          68.364,          68.304,          65.448,          52.131,          25.501,          25.193,          28.971,          23.645,          22.063,          34.019,          40.794,          42.728,          31.878,          37.451,          35.003,          33.662,          27.756,          27.687,          27.606,          27.740,          27.705,          26.890,          26.384,          78.402,          41.690,          43.441,          43.359,           9.377,          42.805,          25.805,          30.909,          33.108,          31.184,          30.010,          10.788,           4.225,           3.311,           3.206,           3.087,           2.938,           8.303,          33.709
     100,          1.650000,          56.575,          81.399,          82.791,          84.257,          86.576,          88.113,          55.068,          59.882,          62.715,          68.607,          68.490,          68.259,          68.158,          68.101,          65.263,          51.890,          25.635,          25.440,          29.184,          23.808,          22.080,          33.897,          40.639,          42.201,          31.847,          37.309,          34.931,          33.534,          27.662,          27.591,          27.510,          27.611,          27.577,          26.794,          26.296,          78.006,          41.253,          42.927,          42.842,           9.281,          42.283,          25.864,          30.742,          32.447,          30.400,          29.186,          10.657,           4.082,           3.222,           3.115,           2.997,           2.858,           8.201,          33.287
     101,          1.666667,          56.417,          80.672,          81.611,          82.662,          84.995,          86.755,          55.013,          59.787,          62.616,          68.361,          68.263,          68.038,          67.952,          67.896,          65.068,          51.638,          25.792,          25.718,          29.446,          24.016,          22.107,          33.812,          40.492,          41.634,          31.814,          37.152,          34.840,          33.395,          27.563,          27.494,          27.412,          27.481,          27.447,          26.697,          26.198,          77.590,          40.796,          42.394,          42.310,           9.174,          41.722,          25.938,          30.531,          31.720,          29.619,          28.358,          10.523,           3.978,           3.135,           3.024,           2.912,           2.779,           8.099,          32.852
     102,          1.683333,          56.288,          80.116,          80.797,          81.482,          83.487,          85.284,          54.929,          59.659,          62.484,          68.107,          68.027,          67.811,          67.726,          67.674,          64.863,          51.369,          25.956,          26.036,          29.733,          24.233,          22.158,          33.724,          40.338,          41.020,          31.794,          36.981,          34.739,          33.246,          27.463,          27.390,          27.306,          27.347,          27.311,          26.590,          26.098,          77.155,          40.315,          41.832,          41.742,           9.058,          41.114,          26.029,          30.257,          30.884,          28.780,          27.401,          10.376,           3.846,           3.051,           2.940,           2.823,           2.681,           7.995,          32.377
     103,          1.700000,          56.360,          78.966,          79.825,          80.532,          82.199,          83.868,          54.949,          59.606,          62.401,          67.877,          67.779,          67.568,          67.484,          67.432,          64.641,          51.094,          26.132,          26.361,          30.034,          24.457,          22.199,          33.617,          40.132,          40.344,          31.737,          36.821,          34.640,          33.095,          27.350,          27.271,          27.188,          27.205,          27.168,          26.475,          25.984,          76.699,          39.797,          41.225,          41.126,           8.931,          40.446,          26.084,          29.791,          29.895,          27.725,          26.291,          10.225,           3.694,           2.944,           2.836,           2.716,           2.572,           7.889,          31.865
     104,          1.716667,          56.199,          78.331,          79.014,          79.644,          81.087,          82.583,          54.869,          59.485,          62.261,          67.624,          67.539,          67.333,          67.243,          67.186,          64.398,          50.812,          26.318,          26.708,          30.343,          24.679,          22.230,          33.497,          39.918,          39.595,          31.662,          36.597,          34.480,          32.897,          27.218,          27.142,          27.054,          27.051,          27.011,          26.349,          25.861,          76.220,          39.230,          40.561,          40.457,           8.789,          39.709,          26.179,          29.281,          28.911,          26.635,          25.163,          10.055,           3.523,           2.835,           2.723,           2.604,           2.464,           7.781,          31.302
     105,          1.733333,          56.066,          77.842,          78.349,          78.879,          80.122,          81.445,          54.766,          59.343,          62.106,          67.357,          67.276,          67.074,          66.982,          66.924,          64.151,          50.524,          26.562,          27.057,          30.668,          24.917,          22.260,          33.385,          39.726,          38.770,          31.569,          36.361,          34.299,          32.685,          27.064,          26.986,          26.896,          26.877,          26.831,          26.207,          25.722,          75.721,          38.609,          39.838,          39.722,           8.633,          38.896,          26.331,          28.698,          27.918,          25.545,          24.026,           9.883,           3.365,           2.713,           2.605,           2.492,           2.353,           7.671,          30.686
     106,          1.750000,          55.643,          77.944,          78.155,          78.365,          79.311,          80.451,          54.529,          59.110,          61.876,          67.066,          66.998,          66.790,          66.701,          66.644,          63.887,          50.229,          26.807,          27.473,          31.000,          25.128,          22.269,          33.212,          39.524,          37.864,          31.453,          36.085,          34.098,          32.457,          26.890,          26.808,          26.713,          26.683,          26.638,          26.046,          25.566,          75.199,          37.925,          39.044,          38.916,           8.462,          38.005,          26.442,          28.031,          26.907,          24.442,          22.889,           9.706,           3.205,           2.591,           2.481,           2.372,           2.243,           7.559,          30.011
     107,          1.766667,          55.421,          77.579,          77.890,          78.069,          78.710,          79.625,          54.362,          58.918,          61.675,          66.784,          66.699,          66.494,          66.408,          66.350,          63.608,          49.917,          27.057,          27.873,          31.328,          25.341,          22.265,          33.029,          39.165,          36.858,          31.315,          35.790,          33.879,          32.211,          26.683,          26.600,          26.504,          26.467,          26.420,          25.862,          25.390,          74.648,          37.172,          38.171,          38.029,           8.273,          37.015,          26.550,          27.387,          25.955,          23.516,          22.147,           9.541,           3.056,           2.478,           2.374,           2.287,           2.187,           7.446,          29.263
     108,          1.783333,          55.228,          77.137,          77.512,          77.776,          78.279,          78.982,          54.220,          58.738,          61.477,          66.480,          66.392,          66.189,          66.093,          66.030,          63.309,          49.599,          27.358,          28.303,          31.670,          25.546,          22.253,          32.814,          38.835,          35.771,          31.168,          35.490,          33.660,          31.971,          26.456,          26.371,          26.273,          26.228,          26.178,          25.652,          25.197,          74.068,          36.335,          37.209,          37.053,           8.067,          35.940,          26.709,          26.993,          25.323,          22.956,          21.672,           9.397,           2.931,           2.398,           2.293,           2.221,           2.137,           7.333,          28.445
     109,          1.800000,          55.012,          76.713,          77.089,          77.410,          77.897,          78.474,          54.062,          58.541,          61.262,          66.170,          66.076,          65.864,          65.765,          65.695,          62.989,          49.236,          27.670,          28.783,          32.036,          25.752,          22.227,          32.599,          38.504,          34.627,          31.028,          35.187,          33.442,          31.723,          26.208,          26.118,          26.018,          25.967,          25.913,          25.424,          24.979,          73.453,          35.426,          36.173,          36.007,           7.849,          34.808,          26.801,          26.513,          24.740,          22.428,          21.231,           9.258,           2.824,           2.324,           2.220,           2.159,           2.089,           7.222,          27.569
     110,          1.816667,          54.794,          76.333,          76.700,          77.029,          77.531,          78.040,          53.874,          58.313,          61.016,          65.823,          65.731,          65.524,          65.418,          65.345,          62.658,          48.878,          27.980,          29.288,          32.404,          25.954,          22.198,          32.386,          38.084,          33.407,          30.869,          34.843,          33.189,          31.451,          25.931,          25.841,          25.739,          25.682,          25.625,          25.174,          24.738,          72.807,          34.450,          35.069,          34.894,           7.621,          33.602,          26.807,          25.893,          24.110,          21.881,          20.804,           9.127,           2.709,           2.245,           2.150,           2.101,           2.041,           7.111,          26.636
     111,          1.833333,          54.538,          75.874,          76.294,          76.647,          77.178,          77.657,          53.685,          58.085,          60.768,          65.468,          65.364,          65.149,          65.038,          64.962,          62.306,          48.487,          28.286,          29.836,          32.771,          26.141,          22.167,          32.141,          37.725,          32.113,          30.690,          34.486,          32.932,          31.170,          25.633,          25.536,          25.435,          25.374,          25.313,          24.901,          24.474,          72.121,          33.405,          33.897,          33.709,           7.380,          32.325,          26.699,          25.206,          23.490,          21.348,          20.387,           8.998,           2.598,           2.170,           2.081,           2.043,           1.995,           7.001,          25.646
     112,          1.850000,          54.314,          75.282,          75.791,          76.196,          76.785,          77.274,          53.510,          57.859,          60.514,          65.090,          64.977,          64.758,          64.639,          64.555,          61.925,          48.067,          28.618,          30.397,          33.133,          26.319,          22.145,          31.874,          37.277,          30.640,          30.528,          34.093,          32.692,          30.924,          25.295,          25.211,          25.103,          25.038,          24.975,          24.601,          24.186,          71.390,          32.285,          32.647,          32.437,           7.122,          30.891,          26.241,          24.738,          22.963,          20.869,          20.050,           8.943,           2.743,           2.123,           2.013,           1.991,           1.961,           6.892,          24.552
     113,          1.866667,          54.310,          74.028,          75.006,          75.636,          76.358,          76.876,          53.441,          57.683,          60.283,          64.687,          64.568,          64.344,          64.212,          64.123,          61.525,          47.621,          28.996,          31.002,          33.500,          26.492,          22.099,          31.606,          36.804,          28.999,          30.344,          33.644,          32.349,          30.557,          24.938,          24.837,          24.718,          24.648,          24.580,          24.253,          23.846,          70.612,          31.017,          31.236,          31.000,           6.821,          29.263,          26.032,          24.181,          22.540,          20.490,          19.739,           8.757,           2.635,           2.032,           1.949,           1.940,           1.924,           6.784,          23.317
