"EG05_017 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_017.tcf]","Time (h)","GWh2 Loc1_P [EG05_017]","GWh2 Loc8_P [EG05_017]","GWh2 Loc10_P [EG05_017]"
           1,        0.000000,         38.7089,         35.8714,         42.1559
           2,        0.016667,         38.7095,         35.8720,         42.1565
           3,        0.033333,         38.7102,         35.8727,         42.1572
           4,        0.050000,         38.7109,         35.8734,         42.1579
           5,        0.066667,         38.7115,         35.8740,         42.1585
           6,        0.083333,         38.7122,         35.8747,         42.1592
           7,        0.100000,         38.7129,         35.8754,         42.1599
           8,        0.116667,         38.7135,         35.8760,         42.1605
           9,        0.133333,         38.7142,         35.8767,         42.1612
          10,        0.150000,         38.7149,         35.8774,         42.1619
          11,        0.166667,         38.7155,         35.8780,         42.1625
          12,        0.183333,         38.7162,         35.8787,         42.1632
          13,        0.200000,         38.7169,         35.8794,         42.1639
          14,        0.216667,         38.7175,         35.8800,         42.1645
          15,        0.233333,         38.7182,         35.8807,         42.1652
          16,        0.250000,         38.7189,         35.8814,         42.1659
          17,        0.266667,         38.7195,         35.8820,         42.1665
          18,        0.283333,         38.7202,         35.8827,         42.1672
          19,        0.300000,         38.7209,         35.8834,         42.1679
          20,        0.316667,         38.7215,         35.8840,         42.1685
          21,        0.333333,         38.7222,         35.8847,         42.1692
          22,        0.350000,         38.7229,         35.8854,         42.1699
          23,        0.366667,         38.7235,         35.8860,         42.1705
          24,        0.383333,         38.7242,         35.8867,         42.1712
          25,        0.400000,         38.7249,         35.8874,         42.1719
          26,        0.416667,         38.7255,         35.8881,         42.1725
          27,        0.433333,         38.7262,         35.8887,         42.1732
          28,        0.450000,         38.7269,         35.8894,         42.1739
          29,        0.466667,         38.7275,         35.8901,         42.1745
          30,        0.483333,         38.7282,         35.8907,         42.1752
          31,        0.500000,         38.7289,         35.8914,         42.1759
          32,        0.516667,         38.7295,         35.8921,         42.1765
          33,        0.533333,         38.7302,         35.8927,         42.1772
          34,        0.550000,         38.7309,         35.8934,         42.1779
          35,        0.566667,         38.7315,         35.8941,         42.1785
          36,        0.583333,         38.7322,         35.8947,         42.1792
          37,        0.600000,         38.7329,         35.8954,         42.1799
          38,        0.616667,         38.7335,         35.8961,         42.1805
          39,        0.633333,         38.7342,         35.8967,         42.1812
          40,        0.650000,         38.7349,         35.8974,         42.1819
