"EG05_018 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_018.tcf]","Time (h)","GWh1 Loc1_P [EG05_018]","GWh1 Loc8_P [EG05_018]","GWh1 Loc10_P [EG05_018]","GWh1 Loc4_P [EG05_018]"
          91,      -70.500000,         38.8089,         35.9714,         42.2559,         40.4115
          92,      -70.483330,         38.8089,         35.9714,         42.2559,         40.4115
          93,      -70.466667,         38.8089,         35.9714,         42.2559,         40.4115
          94,      -70.449997,         38.8089,         35.9714,         42.2559,         40.4115
          95,      -70.433334,         38.8089,         35.9714,         42.2559,         40.4115
          96,      -70.416664,         38.8089,         35.9714,         42.2559,         40.4115
          97,      -70.400002,         38.8089,         35.9714,         42.2559,         40.4115
          98,      -70.383331,         38.8089,         35.9714,         42.2559,         40.4115
          99,      -70.366669,         38.8089,         35.9714,         42.2559,         40.4115
         100,      -70.349998,         38.8089,         35.9714,         42.2559,         40.4115
         101,      -70.333336,         38.8089,         35.9714,         42.2559,         40.4115
         102,      -70.316666,         38.8089,         35.9714,         42.2559,         40.4115
         103,      -70.300003,         38.8089,         35.9714,         42.2559,         40.4115
         104,      -70.283333,         38.8089,         35.9714,         42.2559,         40.4115
         105,      -70.266670,         38.8089,         35.9714,         42.2559,         40.4115
         106,      -70.250000,         38.8089,         35.9714,         42.2559,         40.4115
         107,      -70.233330,         38.8089,         35.9714,         42.2559,         40.4115
         108,      -70.216667,         38.8089,         35.9714,         42.2559,         40.4115
         109,      -70.199997,         38.8089,         35.9714,         42.2559,         40.4115
         110,      -70.183334,         38.8089,         35.9714,         42.2559,         40.4115
         111,      -70.166664,         38.8089,         35.9714,         42.2559,         40.4115
         112,      -70.150002,         38.8089,         35.9714,         42.2559,         40.4115
         113,      -70.133331,         38.8089,         35.9714,         42.2559,         40.4115
         114,      -70.116669,         38.8089,         35.9714,         42.2559,         40.4115
         115,      -70.099998,         38.8089,         35.9714,         42.2559,         40.4115
         116,      -70.083336,         38.8089,         35.9714,         42.2559,         40.4115
         117,      -70.066666,         38.8089,         35.9714,         42.2559,         40.4115
         118,      -70.050003,         38.8089,         35.9714,         42.2559,         40.4115
         119,      -70.033333,         38.8089,         35.9714,         42.2559,         40.4115
         120,      -70.016670,         38.8089,         35.9714,         42.2559,         40.4115
         121,      -70.000000,         38.8089,         35.9714,         42.2559,         40.4115
