"EG05_018 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_018.tcf]","Time (h)","GWd1 Loc1_P [EG05_018]","GWd1 Loc8_P [EG05_018]","GWd1 Loc10_P [EG05_018]","GWd1 Loc4_P [EG05_018]"
          88,      -70.550003,          0.0000,          0.0000,  0.000    ,          0.0000
          89,      -70.533333,          0.0000,          0.0000,  0.000    ,          0.0000
          90,      -70.516670,          0.0000,          0.0000,  0.000    ,          0.0000
          91,      -70.500000,          0.0000,          0.0000,  0.000    ,          0.0000
          92,      -70.483330,          0.0000,          0.0000,  0.000    ,          0.0000
          93,      -70.466667,          0.0000,          0.0000,  0.000    ,          0.0000
          94,      -70.449997,          0.0000,          0.0000,  0.000    ,          0.0000
          95,      -70.433334,          0.0000,          0.0000,  0.000    ,          0.0000
          96,      -70.416664,          0.0000,          0.0000,  0.000    ,          0.0000
          97,      -70.400002,          0.0000,          0.0000,  0.000    ,          0.0000
          98,      -70.383331,          0.0000,          0.0000,  0.000    ,          0.0000
          99,      -70.366669,          0.0000,          0.0000,  0.000    ,          0.0000
         100,      -70.349998,          0.0000,          0.0000,  0.000    ,          0.0000
         101,      -70.333336,          0.0000,          0.0000,  0.000    ,          0.0000
         102,      -70.316666,          0.0000,          0.0000,  0.000    ,          0.0000
         103,      -70.300003,          0.0000,          0.0000,  0.000    ,          0.0000
         104,      -70.283333,          0.0000,          0.0000,  0.000    ,          0.0000
         105,      -70.266670,          0.0000,          0.0000,  0.000    ,          0.0000
         106,      -70.250000,          0.0000,          0.0000,  0.000    ,          0.0000
         107,      -70.233330,          0.0000,          0.0000,  0.000    ,          0.0000
         108,      -70.216667,          0.0000,          0.0000,  0.000    ,          0.0000
         109,      -70.199997,          0.0000,          0.0000,  0.000    ,          0.0000
         110,      -70.183334,          0.0000,          0.0000,  0.000    ,          0.0000
         111,      -70.166664,          0.0000,          0.0000,  0.000    ,          0.0000
         112,      -70.150002,          0.0000,          0.0000,  0.000    ,          0.0000
         113,      -70.133331,          0.0000,          0.0000,  0.000    ,          0.0000
         114,      -70.116669,          0.0000,          0.0000,  0.000    ,          0.0000
         115,      -70.099998,          0.0000,          0.0000,  0.000    ,          0.0000
         116,      -70.083336,          0.0000,          0.0000,  0.000    ,          0.0000
         117,      -70.066666,          0.0000,          0.0000,  0.000    ,          0.0000
         118,      -70.050003,          0.0000,          0.0000,  0.000    ,          0.0000
         119,      -70.033333,          0.0000,          0.0000,  0.000    ,          0.0000
         120,      -70.016670,          0.0000,          0.0000,  0.000    ,          0.0000
         121,      -70.000000,          0.0000,          0.0000,  0.000    ,          0.0000
         122,      -69.983330,          0.0000,          0.0000,  0.000    ,          0.0000
         123,      -69.966667,          0.0000,          0.0000,  0.000    ,          0.0000
         124,      -69.949997,          0.0000,          0.0000,  0.000    ,          0.0000
         125,      -69.933334,          0.0000,          0.0000,  0.000    ,          0.0000
         126,      -69.916664,          0.0000,          0.0000,  0.000    ,          0.0000
         127,      -69.900002,          0.0000,          0.0000,  0.000    ,          0.0000
         128,      -69.883331,          0.0000,          0.0000,  0.000    ,          0.0000
         129,      -69.866669,          0.0000,          0.0000,  0.000    ,          0.0000
         130,      -69.849998,          0.0000,          0.0000,  0.000    ,          0.0000
         131,      -69.833336,          0.0000,          0.0000,  0.000    ,          0.0000
