"EG05_017 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_017.tcf]","Time (h)","GWQ1 Loc1_L [EG05_017]","GWQ1 Loc3_L [EG05_017]","GWQ1 Loc2_L [EG05_017]"
          86,        1.416667, 0.6735E-03, 0.7256E-03, 0.5858E-03
          87,        1.433333, 0.6681E-03, 0.7246E-03, 0.5821E-03
          88,        1.450000, 0.6627E-03, 0.7236E-03, 0.5782E-03
          89,        1.466667, 0.6571E-03, 0.7226E-03, 0.5742E-03
          90,        1.483333, 0.6512E-03, 0.7217E-03, 0.5701E-03
          91,        1.500000, 0.6452E-03, 0.7203E-03, 0.5661E-03
          92,        1.516667, 0.6378E-03, 0.7186E-03, 0.5603E-03
          93,        1.533333, 0.6304E-03, 0.7170E-03, 0.5533E-03
          94,        1.550000, 0.6229E-03, 0.7153E-03, 0.5458E-03
          95,        1.566667, 0.6154E-03, 0.7137E-03, 0.5375E-03
          96,        1.583333, 0.6079E-03, 0.7122E-03, 0.5286E-03
          97,        1.600000, 0.5981E-03, 0.7102E-03, 0.5151E-03
          98,        1.616667, 0.5882E-03, 0.7083E-03, 0.5010E-03
          99,        1.633333, 0.5783E-03, 0.7063E-03, 0.4870E-03
         100,        1.650000, 0.5684E-03, 0.7044E-03, 0.4729E-03
         101,        1.666667, 0.5585E-03, 0.7025E-03, 0.4589E-03
         102,        1.683333, 0.5480E-03, 0.7005E-03, 0.4438E-03
         103,        1.700000, 0.5374E-03, 0.6985E-03, 0.4287E-03
         104,        1.716667, 0.5261E-03, 0.6965E-03, 0.4137E-03
         105,        1.733333, 0.5145E-03, 0.6946E-03, 0.3986E-03
         106,        1.750000, 0.5025E-03, 0.6926E-03, 0.3835E-03
         107,        1.766667, 0.4886E-03, 0.6906E-03, 0.3666E-03
         108,        1.783333, 0.4738E-03, 0.6776E-03, 0.3496E-03
         109,        1.800000, 0.4588E-03, 0.6581E-03, 0.3326E-03
         110,        1.816667, 0.4431E-03, 0.6400E-03, 0.3156E-03
         111,        1.833333, 0.4272E-03, 0.6232E-03, 0.2987E-03
         112,        1.850000, 0.4107E-03, 0.6084E-03, 0.2809E-03
         113,        1.866667, 0.3940E-03, 0.5950E-03, 0.2631E-03
         114,        1.883333, 0.3773E-03, 0.5800E-03, 0.2454E-03
         115,        1.900000, 0.3606E-03, 0.5576E-03, 0.2276E-03
         116,        1.916667, 0.3439E-03, 0.5361E-03, 0.2099E-03
         117,        1.933333, 0.3258E-03, 0.5143E-03, 0.1905E-03
         118,        1.950000, 0.3076E-03, 0.4904E-03, 0.1710E-03
         119,        1.966667, 0.2894E-03, 0.4678E-03, 0.1515E-03
         120,        1.983333, 0.2713E-03, 0.4454E-03, 0.1351E-03
         121,        2.000000, 0.2554E-03, 0.4205E-03, 0.1213E-03
         122,        2.016667, 0.2435E-03, 0.3914E-03, 0.1071E-03
         123,        2.033333, 0.2354E-03, 0.3669E-03, 0.9306E-04
         124,        2.050000, 0.2282E-03, 0.3442E-03, 0.8054E-04
         125,        2.066667, 0.2220E-03, 0.3218E-03, 0.6893E-04
         126,        2.083333, 0.2159E-03, 0.2995E-03, 0.5776E-04
         127,        2.100000, 0.2096E-03, 0.2765E-03, 0.4788E-04
         128,        2.116667, 0.2033E-03, 0.2539E-03, 0.4129E-04
         129,        2.133333, 0.1971E-03, 0.2316E-03, 0.3865E-04
         130,        2.150000, 0.1909E-03, 0.2095E-03, 0.3802E-04
         131,        2.166667, 0.1849E-03, 0.1877E-03, 0.3758E-04
         132,        2.183333, 0.1787E-03, 0.1688E-03, 0.3712E-04
         133,        2.200000, 0.1740E-03, 0.1502E-03, 0.3668E-04
         134,        2.216667, 0.1712E-03, 0.1318E-03, 0.3625E-04
         135,        2.233333, 0.1692E-03, 0.1136E-03, 0.3583E-04
         136,        2.250000, 0.1676E-03, 0.9967E-04, 0.3542E-04
         137,        2.266667, 0.1667E-03, 0.8454E-04, 0.3500E-04
         138,        2.283333, 0.1659E-03, 0.6935E-04, 0.3459E-04
         139,        2.300000, 0.1652E-03, 0.5437E-04, 0.3419E-04
         140,        2.316667, 0.1646E-03, 0.4027E-04, 0.3380E-04
         141,        2.333333, 0.1638E-03, 0.2956E-04, 0.3343E-04
         142,        2.350000, 0.1629E-03, 0.2642E-04, 0.3305E-04
         143,        2.366667, 0.1619E-03, 0.2439E-04, 0.3268E-04
         144,        2.383333, 0.1610E-03, 0.2352E-04, 0.3233E-04
         145,        2.400000, 0.1600E-03, 0.2329E-04, 0.3199E-04
         146,        2.416667, 0.1592E-03, 0.2306E-04, 0.3165E-04
         147,        2.433333, 0.1585E-03, 0.2274E-04, 0.3134E-04
         148,        2.450000, 0.1579E-03, 0.2282E-04, 0.3134E-04
         149,        2.466667, 0.1572E-03, 0.2280E-04, 0.3134E-04
         150,        2.483333, 0.1560E-03, 0.2320E-04, 0.3134E-04
         151,        2.500000, 0.1602E-03, 0.2346E-04, 0.3144E-04
         152,        2.516667, 0.1652E-03, 0.2465E-04, 0.3183E-04
         153,        2.533333, 0.1695E-03, 0.2559E-04, 0.3221E-04
         154,        2.550000, 0.1735E-03, 0.2668E-04, 0.3258E-04
         155,        2.566667, 0.1771E-03, 0.2777E-04, 0.3296E-04
         156,        2.583333, 0.1805E-03, 0.2885E-04, 0.3333E-04
         157,        2.600000, 0.1835E-03, 0.2991E-04, 0.3369E-04
         158,        2.616667, 0.1862E-03, 0.3096E-04, 0.3406E-04
         159,        2.633333, 0.1887E-03, 0.3196E-04, 0.3442E-04
         160,        2.650000, 0.1909E-03, 0.3294E-04, 0.3478E-04
         161,        2.666667, 0.1929E-03, 0.3381E-04, 0.3514E-04
         162,        2.683333, 0.1948E-03, 0.3460E-04, 0.3550E-04
         163,        2.700000, 0.1964E-03, 0.3537E-04, 0.3585E-04
         164,        2.716667, 0.1979E-03, 0.3610E-04, 0.3620E-04
         165,        2.733333, 0.1993E-03, 0.3678E-04, 0.3655E-04
         166,        2.750000, 0.2005E-03, 0.3743E-04, 0.3690E-04
         167,        2.766667, 0.2015E-03, 0.3804E-04, 0.3724E-04
         168,        2.783333, 0.2025E-03, 0.3580E-04, 0.3758E-04
         169,        2.800000, 0.2034E-03, 0.3150E-04, 0.3792E-04
         170,        2.816667, 0.2041E-03, 0.2748E-04, 0.3827E-04
         171,        2.833333, 0.2048E-03, 0.2375E-04, 0.3862E-04
         172,        2.850000, 0.2054E-03, 0.2024E-04, 0.3897E-04
         173,        2.866667, 0.2059E-03, 0.1694E-04, 0.3931E-04
         174,        2.883333, 0.2064E-03, 0.1383E-04, 0.3966E-04
         175,        2.900000, 0.2068E-03, 0.1087E-04, 0.4000E-04
         176,        2.916667, 0.2071E-03, 0.8056E-05, 0.4035E-04
         177,        2.933333, 0.2074E-03, 0.5388E-05, 0.4069E-04
         178,        2.950000, 0.2076E-03, 0.2827E-05, 0.4103E-04
         179,        2.966667, 0.2078E-03, 0.3807E-06, 0.4138E-04
         180,        2.983333, 0.2079E-03,-0.1959E-05, 0.4172E-04
         181,        3.000000, 0.2080E-03,-0.4217E-05, 0.4205E-04

