"EG05_017 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_017.tcf]","Time (h)","GWd2 Loc1_P [EG05_017]","GWd2 Loc8_P [EG05_017]","GWd2 Loc10_P [EG05_017]"
           1,        0.000000,          0.0000,          0.0000,          0.0000
           2,        0.016667,          0.0006,          0.0007,          0.0007
           3,        0.033333,          0.0013,          0.0013,          0.0013
           4,        0.050000,          0.0019,          0.0020,          0.0020
           5,        0.066667,          0.0026,          0.0027,          0.0027
           6,        0.083333,          0.0033,          0.0033,          0.0033
           7,        0.100000,          0.0039,          0.0040,          0.0040
           8,        0.116667,          0.0046,          0.0047,          0.0047
           9,        0.133333,          0.0053,          0.0053,          0.0053
          10,        0.150000,          0.0059,          0.0060,          0.0060
          11,        0.166667,          0.0066,          0.0067,          0.0067
          12,        0.183333,          0.0073,          0.0073,          0.0073
          13,        0.200000,          0.0079,          0.0080,          0.0080
          14,        0.216667,          0.0086,          0.0087,          0.0087
          15,        0.233333,          0.0093,          0.0093,          0.0093
          16,        0.250000,          0.0099,          0.0100,          0.0100
          17,        0.266667,          0.0106,          0.0107,          0.0107
          18,        0.283333,          0.0113,          0.0113,          0.0113
          19,        0.300000,          0.0119,          0.0120,          0.0120
          20,        0.316667,          0.0126,          0.0127,          0.0127
          21,        0.333333,          0.0133,          0.0133,          0.0133
          22,        0.350000,          0.0139,          0.0140,          0.0140
          23,        0.366667,          0.0146,          0.0147,          0.0147
          24,        0.383333,          0.0153,          0.0154,          0.0153
          25,        0.400000,          0.0159,          0.0160,          0.0160
          26,        0.416667,          0.0166,          0.0167,          0.0167
          27,        0.433333,          0.0173,          0.0174,          0.0173
          28,        0.450000,          0.0179,          0.0180,          0.0180
          29,        0.466667,          0.0186,          0.0187,          0.0187
          30,        0.483333,          0.0193,          0.0194,          0.0193
          31,        0.500000,          0.0200,          0.0200,          0.0200
          32,        0.516667,          0.0206,          0.0207,          0.0207
          33,        0.533333,          0.0213,          0.0214,          0.0213
