"EG05_017 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_017.tcf]","Time (h)","GWh1 Loc1_P [EG05_017]","GWh1 Loc8_P [EG05_017]","GWh1 Loc10_P [EG05_017]"
           1,        0.000000,         38.8089,         35.9714,         42.2559
           2,        0.016667,         38.8092,         35.9774,         42.2564
           3,        0.033333,         38.8095,         35.9774,         42.2569
           4,        0.050000,         38.8097,         35.9774,         42.2575
           5,        0.066667,         38.8101,         35.9774,         42.2581
           6,        0.083333,         38.8104,         35.9774,         42.2588
           7,        0.100000,         38.8109,         35.9774,         42.2597
           8,        0.116667,         38.8116,         35.9774,         42.2606
           9,        0.133333,         38.8122,         35.9774,         42.2616
          10,        0.150000,         38.8135,         35.9774,         42.2619
          11,        0.166667,         38.8149,         35.9774,         42.2619
          12,        0.183333,         38.8149,         35.9774,         42.2619
          13,        0.200000,         38.8149,         35.9775,         42.2619
          14,        0.216667,         38.8149,         35.9776,         42.2619
          15,        0.233333,         38.8149,         35.9778,         42.2619
          16,        0.250000,         38.8149,         35.9781,         42.2619
          17,        0.266667,         38.8149,         35.9784,         42.2619
          18,        0.283333,         38.8149,         35.9788,         42.2619
          19,        0.300000,         38.8149,         35.9791,         42.2619
          20,        0.316667,         38.8149,         35.9795,         42.2619
          21,        0.333333,         38.8149,         35.9798,         42.2619
          22,        0.350000,         38.8149,         35.9801,         42.2619
          23,        0.366667,         38.8149,         35.9805,         42.2619
          24,        0.383333,         38.8149,         35.9808,         42.2619
          25,        0.400000,         38.8149,         35.9812,         42.2619
          26,        0.416667,         38.8149,         35.9815,         42.2619
          27,        0.433333,         38.8149,         35.9818,         42.2619
          28,        0.450000,         38.8149,         35.9822,         42.2619
          29,        0.466667,         38.8149,         35.9825,         42.2619
          30,        0.483333,         38.8149,         35.9829,         42.2619
          31,        0.500000,         38.8149,         35.9832,         42.2619
          32,        0.516667,         38.8149,         35.9835,         42.2619
          33,        0.533333,         38.8149,         35.9839,         42.2619
          34,        0.550000,         38.8149,         35.9842,         42.2619
          35,        0.566667,         38.8149,         35.9846,         42.2619
          36,        0.583333,         38.8149,         35.9849,         42.2619
          37,        0.600000,         38.8149,         35.9852,         42.2619
          38,        0.616667,         38.8149,         35.9856,         42.2619
          39,        0.633333,         38.8149,         35.9859,         42.2619
          40,        0.650000,         38.8149,         35.9863,         42.2619
          41,        0.666667,         38.8149,         35.9866,         42.2619
          42,        0.683333,         38.8149,         35.9869,         42.2619
          43,        0.700000,         38.8149,         35.9873,         42.2619
          44,        0.716667,         38.8150,         35.9876,         42.2619
          45,        0.733333,         38.8150,         35.9880,         42.2619
          46,        0.750000,         38.8150,         35.9883,         42.2619
          47,        0.766667,         38.8151,         35.9886,         42.2619
          48,        0.783333,         38.8151,         35.9890,         42.2619
          49,        0.800000,         38.8152,         35.9893,         42.2619
          50,        0.816667,         38.8152,         35.9897,         42.2619
          51,        0.833333,         38.8153,         35.9900,         42.2619
          52,        0.850000,         38.8153,         35.9903,         42.2619
          53,        0.866667,         38.8154,         35.9907,         42.2619
          54,        0.883333,         38.8155,         35.9910,         42.2619
          55,        0.900000,         38.8156,         35.9914,         42.2619
          56,        0.916667,         38.8157,         35.9917,         42.2619
          57,        0.933333,         38.8158,         35.9921,         42.2619
          58,        0.950000,         38.8158,         35.9924,         42.2619
          59,        0.966667,         38.8159,         35.9927,         42.2619
          60,        0.983333,         38.8160,         35.9931,         42.2619
          61,        1.000000,         38.8162,         35.9934,         42.2619
          62,        1.016667,         38.8163,         35.9938,         42.2619
          63,        1.033333,         38.8164,         35.9941,         42.2619
          64,        1.050000,         38.8165,         35.9945,         42.2619
          65,        1.066667,         38.8166,         35.9948,         42.2619
          66,        1.083333,         38.8168,         35.9951,         42.2619
          67,        1.100000,         38.8169,         35.9955,         42.2619
          68,        1.116667,         38.8170,         35.9958,         42.2619
          69,        1.133333,         38.8172,         35.9962,         42.2619
          70,        1.150000,         38.8173,         35.9965,         42.2619
          71,        1.166667,         38.8174,         35.9969,         42.2619
          72,        1.183333,         38.8176,         35.9972,         42.2619
          73,        1.200000,         38.8177,         35.9976,         42.2619
          74,        1.216667,         38.8179,         35.9979,         42.2619
          75,        1.233333,         38.8181,         35.9982,         42.2619
          76,        1.250000,         38.8182,         35.9986,         42.2619
          77,        1.266667,         38.8184,         35.9989,         42.2619
          78,        1.283333,         38.8185,         35.9993,         42.2619
          79,        1.300000,         38.8187,         35.9996,         42.2619
          80,        1.316667,         38.8189,         36.0000,         42.2619
          81,        1.333333,         38.8190,         36.0003,         42.2619
          82,        1.350000,         38.8192,         36.0007,         42.2619
          83,        1.366667,         38.8194,         36.0010,         42.2619
          84,        1.383333,         38.8196,         36.0014,         42.2619
          85,        1.400000,         38.8198,         36.0017,         42.2619
          86,        1.416667,         38.8200,         36.0021,         42.2619
          87,        1.433333,         38.8201,         36.0024,         42.2619
          88,        1.450000,         38.8203,         36.0028,         42.2619
          89,        1.466667,         38.8205,         36.0032,         42.2619
          90,        1.483333,         38.8207,         36.0035,         42.2619
          91,        1.500000,         38.8209,         36.0039,         42.2619
          92,        1.516667,         38.8211,         36.0042,         42.2619
          93,        1.533333,         38.8213,         36.0046,         42.2619
          94,        1.550000,         38.8215,         36.0049,         42.2619
          95,        1.566667,         38.8217,         36.0053,         42.2619
          96,        1.583333,         38.8219,         36.0056,         42.2619
          97,        1.600000,         38.8221,         36.0060,         42.2619
          98,        1.616667,         38.8223,         36.0064,         42.2619
          99,        1.633333,         38.8226,         36.0067,         42.2619
         100,        1.650000,         38.8228,         36.0071,         42.2619
         101,        1.666667,         38.8230,         36.0074,         42.2619
         102,        1.683333,         38.8232,         36.0078,         42.2619
         103,        1.700000,         38.8234,         36.0082,         42.2619
         104,        1.716667,         38.8236,         36.0085,         42.2619
         105,        1.733333,         38.8239,         36.0089,         42.2619
         106,        1.750000,         38.8241,         36.0093,         42.2619
         107,        1.766667,         38.8243,         36.0096,         42.2619
         108,        1.783333,         38.8245,         36.0100,         42.2619
         109,        1.800000,         38.8248,         36.0103,         42.2619
         110,        1.816667,         38.8250,         36.0107,         42.2619
         111,        1.833333,         38.8252,         36.0111,         42.2619
         112,        1.850000,         38.8255,         36.0114,         42.2619
         113,        1.866667,         38.8257,         36.0118,         42.2619
         114,        1.883333,         38.8259,         36.0122,         42.2619
         115,        1.900000,         38.8262,         36.0126,         42.2619
         116,        1.916667,         38.8264,         36.0129,         42.2619
         117,        1.933333,         38.8267,         36.0133,         42.2619
         118,        1.950000,         38.8269,         36.0137,         42.2619
         119,        1.966667,         38.8271,         36.0140,         42.2619
         120,        1.983333,         38.8274,         36.0144,         42.2619
         121,        2.000000,         38.8276,         36.0148,         42.2619
         122,        2.016667,         38.8279,         36.0152,         42.2619
         123,        2.033333,         38.8281,         36.0155,         42.2619
         124,        2.050000,         38.8284,         36.0159,         42.2619
         125,        2.066667,         38.8286,         36.0163,         42.2619
         126,        2.083333,         38.8289,         36.0166,         42.2619
         127,        2.100000,         38.8291,         36.0170,         42.2619
         128,        2.116667,         38.8294,         36.0174,         42.2619
         129,        2.133333,         38.8296,         36.0178,         42.2619
         130,        2.150000,         38.8299,         36.0182,         42.2619
         131,        2.166667,         38.8302,         36.0185,         42.2619
         132,        2.183333,         38.8304,         36.0189,         42.2619
         133,        2.200000,         38.8307,         36.0193,         42.2619
         134,        2.216667,         38.8309,         36.0197,         42.2619
         135,        2.233333,         38.8312,         36.0200,         42.2619
         136,        2.250000,         38.8315,         36.0204,         42.2619
         137,        2.266667,         38.8317,         36.0208,         42.2619
         138,        2.283333,         38.8320,         36.0212,         42.2619
         139,        2.300000,         38.8322,         36.0216,         42.2619
         140,        2.316667,         38.8325,         36.0219,         42.2619
         141,        2.333333,         38.8328,         36.0223,         42.2619
         142,        2.350000,         38.8331,         36.0227,         42.2619
         143,        2.366667,         38.8333,         36.0231,         42.2619
         144,        2.383333,         38.8336,         36.0235,         42.2619
         145,        2.400000,         38.8339,         36.0238,         42.2619
         146,        2.416667,         38.8341,         36.0242,         42.2619
         147,        2.433333,         38.8344,         36.0246,         42.2619
         148,        2.450000,         38.8347,         36.0250,         42.2619
         149,        2.466667,         38.8350,         36.0254,         42.2619
         150,        2.483333,         38.8352,         36.0258,         42.2619
         151,        2.500000,         38.8355,         36.0265,         42.2619
         152,        2.516667,         38.8362,         36.0273,         42.2621
         153,        2.533333,         38.8368,         36.0280,         42.2623
         154,        2.550000,         38.8374,         36.0287,         42.2625
         155,        2.566667,         38.8381,         36.0294,         42.2627
         156,        2.583333,         38.8387,         36.0302,         42.2629
         157,        2.600000,         38.8394,         36.0309,         42.2631
         158,        2.616667,         38.8401,         36.0316,         42.2632
         159,        2.633333,         38.8407,         36.0323,         42.2634
         160,        2.650000,         38.8414,         36.0331,         42.2636
         161,        2.666667,         38.8421,         36.0338,         42.2638
         162,        2.683333,         38.8428,         36.0345,         42.2640
         163,        2.700000,         38.8434,         36.0352,         42.2642
         164,        2.716667,         38.8441,         36.0360,         42.2644
         165,        2.733333,         38.8448,         36.0367,         42.2646
         166,        2.750000,         38.8455,         36.0374,         42.2647
         167,        2.766667,         38.8463,         36.0381,         42.2649
         168,        2.783333,         38.8470,         36.0389,         42.2651
         169,        2.800000,         38.8477,         36.0396,         42.2653
         170,        2.816667,         38.8484,         36.0403,         42.2655
         171,        2.833333,         38.8491,         36.0410,         42.2657
         172,        2.850000,         38.8499,         36.0418,         42.2659
         173,        2.866667,         38.8506,         36.0425,         42.2661
         174,        2.883333,         38.8513,         36.0432,         42.2662
         175,        2.900000,         38.8521,         36.0439,         42.2664
         176,        2.916667,         38.8528,         36.0446,         42.2666
         177,        2.933333,         38.8536,         36.0454,         42.2668
         178,        2.950000,         38.8544,         36.0461,         42.2670
         179,        2.966667,         38.8551,         36.0468,         42.2672
         180,        2.983333,         38.8559,         36.0475,         42.2674
         181,        3.000000,         38.8566,         36.0482,         42.2675

