"EG05_015 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_015.tcf]","Time (h)","GWh1 Loc1_P [EG05_015]","GWh1 Loc8_P [EG05_015]","GWh1 Loc10_P [EG05_015]"
           1,        0.000000,         38.8089,         35.9714,         42.2559
           2,        0.016667,         38.8095,         35.9774,         42.2567
           3,        0.033333,         38.8101,         35.9774,         42.2576
           4,        0.050000,         38.8107,         35.9774,         42.2585
           5,        0.066667,         38.8113,         35.9774,         42.2593
           6,        0.083333,         38.8119,         35.9775,         42.2602
           7,        0.100000,         38.8128,         35.9775,         42.2614
           8,        0.116667,         38.8137,         35.9775,         42.2619
           9,        0.133333,         38.8149,         35.9775,         42.2619
          10,        0.150000,         38.8149,         35.9775,         42.2619
          11,        0.166667,         38.8150,         35.9776,         42.2619
          12,        0.183333,         38.8150,         35.9776,         42.2620
          13,        0.200000,         38.8150,         35.9776,         42.2620
          14,        0.216667,         38.8150,         35.9776,         42.2620
          15,        0.233333,         38.8150,         35.9776,         42.2620
          16,        0.250000,         38.8151,         35.9777,         42.2620
          17,        0.266667,         38.8151,         35.9777,         42.2621
          18,        0.283333,         38.8151,         35.9777,         42.2621
          19,        0.300000,         38.8151,         35.9777,         42.2621
          20,        0.316667,         38.8151,         35.9777,         42.2621
          21,        0.333333,         38.8152,         35.9778,         42.2621
          22,        0.350000,         38.8152,         35.9778,         42.2621
          23,        0.366667,         38.8152,         35.9778,         42.2622
          24,        0.383333,         38.8152,         35.9778,         42.2622
          25,        0.400000,         38.8152,         35.9778,         42.2622
          26,        0.416667,         38.8153,         35.9779,         42.2622
          27,        0.433333,         38.8153,         35.9779,         42.2623
          28,        0.450000,         38.8153,         35.9779,         42.2623
          29,        0.466667,         38.8153,         35.9779,         42.2623
          30,        0.483333,         38.8153,         35.9779,         42.2623
          31,        0.500000,         38.8154,         35.9780,         42.2623
          32,        0.516667,         38.8154,         35.9780,         42.2624
          33,        0.533333,         38.8154,         35.9780,         42.2624
          34,        0.550000,         38.8154,         35.9780,         42.2624
          35,        0.566667,         38.8154,         35.9780,         42.2624
          36,        0.583333,         38.8155,         35.9781,         42.2624
          37,        0.600000,         38.8155,         35.9781,         42.2625
          38,        0.616667,         38.8155,         35.9781,         42.2625
          39,        0.633333,         38.8155,         35.9781,         42.2625
          40,        0.650000,         38.8155,         35.9781,         42.2625
          41,        0.666667,         38.8156,         35.9782,         42.2625
          42,        0.683333,         38.8156,         35.9782,         42.2626
          43,        0.700000,         38.8156,         35.9782,         42.2626
          44,        0.716667,         38.8156,         35.9782,         42.2626
          45,        0.733333,         38.8156,         35.9782,         42.2626
          46,        0.750000,         38.8157,         35.9783,         42.2626
          47,        0.766667,         38.8157,         35.9783,         42.2626
          48,        0.783333,         38.8157,         35.9783,         42.2627
          49,        0.800000,         38.8157,         35.9783,         42.2627
          50,        0.816667,         38.8157,         35.9783,         42.2627
          51,        0.833333,         38.8158,         35.9784,         42.2627
          52,        0.850000,         38.8158,         35.9784,         42.2628
          53,        0.866667,         38.8158,         35.9784,         42.2628
          54,        0.883333,         38.8158,         35.9784,         42.2628
          55,        0.900000,         38.8158,         35.9784,         42.2628
          56,        0.916667,         38.8159,         35.9785,         42.2628
          57,        0.933333,         38.8159,         35.9785,         42.2629
          58,        0.950000,         38.8159,         35.9785,         42.2629
          59,        0.966667,         38.8159,         35.9785,         42.2629
          60,        0.983333,         38.8159,         35.9785,         42.2629
          61,        1.000000,         38.8160,         35.9786,         42.2629
          62,        1.016667,         38.8160,         35.9786,         42.2630
          63,        1.033333,         38.8160,         35.9786,         42.2630
          64,        1.050000,         38.8160,         35.9786,         42.2630
          65,        1.066667,         38.8160,         35.9786,         42.2630
          66,        1.083333,         38.8161,         35.9787,         42.2630
          67,        1.100000,         38.8161,         35.9787,         42.2631
          68,        1.116667,         38.8161,         35.9787,         42.2631
          69,        1.133333,         38.8161,         35.9787,         42.2631
          70,        1.150000,         38.8161,         35.9787,         42.2631
          71,        1.166667,         38.8162,         35.9788,         42.2631
          72,        1.183333,         38.8162,         35.9788,         42.2632
          73,        1.200000,         38.8162,         35.9788,         42.2632
          74,        1.216667,         38.8162,         35.9788,         42.2632
          75,        1.233333,         38.8162,         35.9788,         42.2632
          76,        1.250000,         38.8163,         35.9789,         42.2632
          77,        1.266667,         38.8163,         35.9789,         42.2633
          78,        1.283333,         38.8163,         35.9789,         42.2633
          79,        1.300000,         38.8163,         35.9789,         42.2633
          80,        1.316667,         38.8163,         35.9789,         42.2633
          81,        1.333333,         38.8164,         35.9790,         42.2633
          82,        1.350000,         38.8164,         35.9790,         42.2634
          83,        1.366667,         38.8164,         35.9790,         42.2634
          84,        1.383333,         38.8164,         35.9790,         42.2634
          85,        1.400000,         38.8164,         35.9790,         42.2634
          86,        1.416667,         38.8165,         35.9791,         42.2634
          87,        1.433333,         38.8165,         35.9791,         42.2635
          88,        1.450000,         38.8165,         35.9791,         42.2635
          89,        1.466667,         38.8165,         35.9791,         42.2635
          90,        1.483333,         38.8165,         35.9791,         42.2635
          91,        1.500000,         38.8166,         35.9792,         42.2635
          92,        1.516667,         38.8166,         35.9792,         42.2635
          93,        1.533333,         38.8166,         35.9792,         42.2636
          94,        1.550000,         38.8166,         35.9792,         42.2636
          95,        1.566667,         38.8166,         35.9792,         42.2636
          96,        1.583333,         38.8167,         35.9793,         42.2636
          97,        1.600000,         38.8167,         35.9793,         42.2637
          98,        1.616667,         38.8167,         35.9793,         42.2637
          99,        1.633333,         38.8167,         35.9793,         42.2637
         100,        1.650000,         38.8167,         35.9793,         42.2637
         101,        1.666667,         38.8168,         35.9794,         42.2637
         102,        1.683333,         38.8168,         35.9794,         42.2638
         103,        1.700000,         38.8168,         35.9794,         42.2638
         104,        1.716667,         38.8168,         35.9794,         42.2638
         105,        1.733333,         38.8168,         35.9794,         42.2638
         106,        1.750000,         38.8169,         35.9795,         42.2638
         107,        1.766667,         38.8169,         35.9795,         42.2639
         108,        1.783333,         38.8169,         35.9795,         42.2639
         109,        1.800000,         38.8169,         35.9795,         42.2639
         110,        1.816667,         38.8169,         35.9795,         42.2639
         111,        1.833333,         38.8170,         35.9796,         42.2639
         112,        1.850000,         38.8170,         35.9796,         42.2640
         113,        1.866667,         38.8170,         35.9796,         42.2640
         114,        1.883333,         38.8170,         35.9796,         42.2640
         115,        1.900000,         38.8170,         35.9796,         42.2640
         116,        1.916667,         38.8171,         35.9797,         42.2640
         117,        1.933333,         38.8171,         35.9797,         42.2641
         118,        1.950000,         38.8171,         35.9797,         42.2641
         119,        1.966667,         38.8171,         35.9797,         42.2641
         120,        1.983333,         38.8171,         35.9797,         42.2641
         121,        2.000000,         38.8172,         35.9798,         42.2641
         122,        2.016667,         38.8172,         35.9798,         42.2642
         123,        2.033333,         38.8172,         35.9798,         42.2642
         124,        2.050000,         38.8172,         35.9798,         42.2642
         125,        2.066667,         38.8172,         35.9798,         42.2642
         126,        2.083333,         38.8173,         35.9799,         42.2642
         127,        2.100000,         38.8173,         35.9799,         42.2643
         128,        2.116667,         38.8173,         35.9799,         42.2643
         129,        2.133333,         38.8173,         35.9799,         42.2643
         130,        2.150000,         38.8173,         35.9799,         42.2643
         131,        2.166667,         38.8174,         35.9800,         42.2643
         132,        2.183333,         38.8174,         35.9800,         42.2644
         133,        2.200000,         38.8174,         35.9800,         42.2644
