"EG05_018 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_018.tcf]","Time (h)","GWh2 Loc1_P [EG05_018]","GWh2 Loc8_P [EG05_018]","GWh2 Loc10_P [EG05_018]","GWh2 Loc4_P [EG05_018]"
           1,      -72.000000,         38.0089,         35.1714,         41.4559,         39.6115
           2,      -71.983330,         38.0089,         35.1720,         41.4559,         39.6115
           3,      -71.966667,         38.0089,         35.1727,         41.4559,         39.6115
           4,      -71.949997,         38.0089,         35.1734,         41.4559,         39.6115
           5,      -71.933334,         38.0089,         35.1740,         41.4559,         39.6115
           6,      -71.916664,         38.0089,         35.1747,         41.4559,         39.6115
           7,      -71.900002,         38.0089,         35.1754,         41.4559,         39.6115
           8,      -71.883331,         38.0089,         35.1760,         41.4559,         39.6115
           9,      -71.866669,         38.0089,         35.1767,         41.4559,         39.6115
          10,      -71.849998,         38.0089,         35.1774,         41.4559,         39.6115
          11,      -71.833336,         38.0089,         35.1780,         41.4559,         39.6115
          12,      -71.816666,         38.0089,         35.1787,         41.4559,         39.6115
          13,      -71.800003,         38.0089,         35.1794,         41.4559,         39.6115
          14,      -71.783333,         38.0089,         35.1800,         41.4559,         39.6115
          15,      -71.766670,         38.0089,         35.1807,         41.4559,         39.6115
          16,      -71.750000,         38.0089,         35.1814,         41.4559,         39.6115
          17,      -71.733330,         38.0089,         35.1820,         41.4559,         39.6115
          18,      -71.716667,         38.0089,         35.1827,         41.4559,         39.6115
          19,      -71.699997,         38.0089,         35.1834,         41.4559,         39.6115
          20,      -71.683334,         38.0089,         35.1840,         41.4559,         39.6115
          21,      -71.666664,         38.0089,         35.1847,         41.4559,         39.6115
          22,      -71.650002,         38.0089,         35.1854,         41.4559,         39.6115
          23,      -71.633331,         38.0089,         35.1860,         41.4559,         39.6115
          24,      -71.616669,         38.0089,         35.1867,         41.4559,         39.6115
          25,      -71.599998,         38.0089,         35.1874,         41.4559,         39.6115
          26,      -71.583336,         38.0089,         35.1880,         41.4559,         39.6115
          27,      -71.566666,         38.0089,         35.1887,         41.4559,         39.6115
          28,      -71.550003,         38.0089,         35.1894,         41.4559,         39.6115
          29,      -71.533333,         38.0089,         35.1900,         41.4559,         39.6115
          30,      -71.516670,         38.0089,         35.1907,         41.4559,         39.6115
          31,      -71.500000,         38.0089,         35.1914,         41.4559,         39.6115
          32,      -71.483330,         38.0089,         35.1920,         41.4559,         39.6115
          33,      -71.466667,         38.0089,         35.1927,         41.4559,         39.6115
          34,      -71.449997,         38.0089,         35.1934,         41.4559,         39.6115
          35,      -71.433334,         38.0089,         35.1940,         41.4559,         39.6115
          36,      -71.416664,         38.0089,         35.1947,         41.4559,         39.6115
          37,      -71.400002,         38.0089,         35.1954,         41.4559,         39.6115
          38,      -71.383331,         38.0089,         35.1960,         41.4559,         39.6115
          39,      -71.366669,         38.0089,         35.1967,         41.4559,         39.6115
          40,      -71.349998,         38.0089,         35.1974,         41.4559,         39.6115
          41,      -71.333336,         38.0089,         35.1980,         41.4559,         39.6115
          42,      -71.316666,         38.0089,         35.1987,         41.4559,         39.6115
          43,      -71.300003,         38.0089,         35.1994,         41.4559,         39.6115
          44,      -71.283333,         38.0089,         35.2000,         41.4559,         39.6115
          45,      -71.266670,         38.0089,         35.2007,         41.4559,         39.6115
          46,      -71.250000,         38.0089,         35.2014,         41.4559,         39.6115
          47,      -71.233330,         38.0089,         35.2020,         41.4559,         39.6115
          48,      -71.216667,         38.0089,         35.2027,         41.4559,         39.6115
          49,      -71.199997,         38.0089,         35.2034,         41.4559,         39.6115
          50,      -71.183334,         38.0089,         35.2040,         41.4559,         39.6115
          51,      -71.166664,         38.0089,         35.2047,         41.4559,         39.6115
          52,      -71.150002,         38.0089,         35.2053,         41.4559,         39.6115
          53,      -71.133331,         38.0089,         35.2053,         41.4559,         39.6115
          54,      -71.116669,         38.0089,         35.2053,         41.4559,         39.6115
          55,      -71.099998,         38.0089,         35.2053,         41.4559,         39.6115
          56,      -71.083336,         38.0089,         35.2053,         41.4559,         39.6115
          57,      -71.066666,         38.0089,         35.2053,         41.4559,         39.6115
          58,      -71.050003,         38.0089,         35.2053,         41.4559,         39.6115
          59,      -71.033333,         38.0089,         35.2053,         41.4559,         39.6115
          60,      -71.016670,         38.0089,         35.2053,         41.4559,         39.6115
          61,      -71.000000,         38.0089,         35.2053,         41.4559,         39.6115
          62,      -70.983330,         38.0089,         35.2053,         41.4559,         39.6115
          63,      -70.966667,         38.0089,         35.2053,         41.4559,         39.6115
          64,      -70.949997,         38.0089,         35.2053,         41.4559,         39.6115
          65,      -70.933334,         38.0089,         35.2053,         41.4559,         39.6115
          66,      -70.916664,         38.0089,         35.2053,         41.4559,         39.6115
          67,      -70.900002,         38.0089,         35.2053,         41.4559,         39.6115
          68,      -70.883331,         38.0089,         35.2053,         41.4559,         39.6115
          69,      -70.866669,         38.0089,         35.2053,         41.4559,         39.6115
          70,      -70.849998,         38.0089,         35.2053,         41.4559,         39.6115
          71,      -70.833336,         38.0089,         35.2053,         41.4559,         39.6115
          72,      -70.816666,         38.0089,         35.2053,         41.4559,         39.6115
          73,      -70.800003,         38.0089,         35.2053,         41.4559,         39.6115
          74,      -70.783333,         38.0089,         35.2053,         41.4559,         39.6115
          75,      -70.766670,         38.0089,         35.2053,         41.4559,         39.6115
          76,      -70.750000,         38.0089,         35.2053,         41.4559,         39.6115
          77,      -70.733330,         38.0089,         35.2053,         41.4559,         39.6115
          78,      -70.716667,         38.0089,         35.2053,         41.4559,         39.6115
          79,      -70.699997,         38.0089,         35.2053,         41.4559,         39.6115
          80,      -70.683334,         38.0089,         35.2053,         41.4559,         39.6115
          81,      -70.666664,         38.0089,         35.2053,         41.4559,         39.6115
          82,      -70.650002,         38.0089,         35.2053,         41.4559,         39.6115
          83,      -70.633331,         38.0089,         35.2053,         41.4559,         39.6115
          84,      -70.616669,         38.0089,         35.2053,         41.4559,         39.6115
          85,      -70.599998,         38.0089,         35.2053,         41.4559,         39.6115
          86,      -70.583336,         38.0089,         35.2053,         41.4559,         39.6115
          87,      -70.566666,         38.0089,         35.2053,         41.4559,         39.6115
          88,      -70.550003,         38.0089,         35.2053,         41.4559,         39.6115
          89,      -70.533333,         38.0089,         35.2053,         41.4559,         39.6115
          90,      -70.516670,         38.0089,         35.2053,         41.4559,         39.6115
          91,      -70.500000,         38.0089,         35.2053,         41.4559,         39.6115
          92,      -70.483330,         38.0089,         35.2053,         41.4559,         39.6115
          93,      -70.466667,         38.0089,         35.2053,         41.4559,         39.6115
          94,      -70.449997,         38.0089,         35.2053,         41.4559,         39.6115
          95,      -70.433334,         38.0089,         35.2053,         41.4559,         39.6115
          96,      -70.416664,         38.0089,         35.2053,         41.4559,         39.6115
          97,      -70.400002,         38.0089,         35.2053,         41.4559,         39.6115
          98,      -70.383331,         38.0089,         35.2053,         41.4559,         39.6115
          99,      -70.366669,         38.0089,         35.2053,         41.4559,         39.6115
         100,      -70.349998,         38.0089,         35.2053,         41.4559,         39.6115
         101,      -70.333336,         38.0089,         35.2053,         41.4559,         39.6115
         102,      -70.316666,         38.0089,         35.2053,         41.4559,         39.6115
         103,      -70.300003,         38.0089,         35.2053,         41.4559,         39.6115
         104,      -70.283333,         38.0089,         35.2053,         41.4559,         39.6115
         105,      -70.266670,         38.0089,         35.2053,         41.4559,         39.6115
         106,      -70.250000,         38.0089,         35.2053,         41.4559,         39.6115
         107,      -70.233330,         38.0089,         35.2053,         41.4559,         39.6115
         108,      -70.216667,         38.0089,         35.2053,         41.4559,         39.6115
         109,      -70.199997,         38.0089,         35.2053,         41.4559,         39.6115
         110,      -70.183334,         38.0089,         35.2053,         41.4559,         39.6115
         111,      -70.166664,         38.0089,         35.2053,         41.4559,         39.6115
         112,      -70.150002,         38.0089,         35.2053,         41.4559,         39.6115
         113,      -70.133331,         38.0089,         35.2053,         41.4559,         39.6115
         114,      -70.116669,         38.0089,         35.2053,         41.4559,         39.6115
         115,      -70.099998,         38.0089,         35.2053,         41.4559,         39.6115
         116,      -70.083336,         38.0089,         35.2053,         41.4559,         39.6115
         117,      -70.066666,         38.0089,         35.2053,         41.4559,         39.6115
         118,      -70.050003,         38.0089,         35.2053,         41.4559,         39.6115
         119,      -70.033333,         38.0089,         35.2053,         41.4559,         39.6115
         120,      -70.016670,         38.0089,         35.2053,         41.4559,         39.6115
         121,      -70.000000,         38.0089,         35.2053,         41.4559,         39.6115
         122,      -69.983330,         38.0089,         35.2053,         41.4559,         39.6115
         123,      -69.966667,         38.0089,         35.2053,         41.4559,         39.6115
         124,      -69.949997,         38.0089,         35.2053,         41.4559,         39.6115
         125,      -69.933334,         38.0089,         35.2053,         41.4559,         39.6115
         126,      -69.916664,         38.0089,         35.2053,         41.4559,         39.6115
