"EG05_017 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_017.tcf]","Time (h)","GWd1 Loc1_P [EG05_017]","GWd1 Loc8_P [EG05_017]","GWd1 Loc10_P [EG05_017]"
           1,        0.000000,          0.0000,          0.0000,          0.0000
           2,        0.016667,          0.0003,          0.0060,          0.0005
           3,        0.033333,          0.0005,          0.0060,          0.0011
           4,        0.050000,          0.0008,          0.0060,          0.0017
           5,        0.066667,          0.0011,          0.0060,          0.0023
           6,        0.083333,          0.0014,          0.0060,          0.0029
           7,        0.100000,          0.0020,          0.0060,          0.0038
           8,        0.116667,          0.0026,          0.0060,          0.0048
           9,        0.133333,          0.0033,          0.0060,          0.0057
          10,        0.150000,          0.0046,          0.0060,          0.0060
          11,        0.166667,          0.0060,          0.0060,          0.0060
          12,        0.183333,          0.0060,          0.0060,          0.0060
          13,        0.200000,          0.0060,          0.0061,          0.0060
          14,        0.216667,          0.0060,          0.0063,          0.0060
          15,        0.233333,          0.0060,          0.0064,          0.0060
          16,        0.250000,          0.0060,          0.0067,          0.0060
          17,        0.266667,          0.0060,          0.0071,          0.0060
          18,        0.283333,          0.0060,          0.0074,          0.0060
          19,        0.300000,          0.0060,          0.0078,          0.0060
          20,        0.316667,          0.0060,          0.0081,          0.0060
          21,        0.333333,          0.0060,          0.0084,          0.0060
          22,        0.350000,          0.0060,          0.0088,          0.0060
          23,        0.366667,          0.0060,          0.0091,          0.0060
          24,        0.383333,          0.0060,          0.0095,          0.0060
          25,        0.400000,          0.0060,          0.0098,          0.0060
          26,        0.416667,          0.0060,          0.0101,          0.0060
          27,        0.433333,          0.0060,          0.0105,          0.0060
          28,        0.450000,          0.0060,          0.0108,          0.0060
          29,        0.466667,          0.0060,          0.0112,          0.0060
          30,        0.483333,          0.0060,          0.0115,          0.0060
          31,        0.500000,          0.0060,          0.0118,          0.0060
          32,        0.516667,          0.0060,          0.0122,          0.0060
          33,        0.533333,          0.0060,          0.0125,          0.0060
