"EG05_017 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_017.tcf]","Time (h)","GWQ2 Loc1_L [EG05_017]","GWQ2 Loc3_L [EG05_017]","GWQ2 Loc2_L [EG05_017]"
           1,        0.000000,  0.000    ,  0.000    ,  0.000    
           2,        0.016667, 0.3684E-07, 0.3560E-07, 0.3251E-07
           3,        0.033333, 0.7394E-07, 0.7146E-07, 0.6524E-07
           4,        0.050000, 0.1115E-06, 0.1078E-06, 0.9836E-07
           5,        0.066667, 0.1492E-06, 0.1442E-06, 0.1317E-06
           6,        0.083333, 0.1870E-06, 0.1807E-06, 0.1650E-06
           7,        0.100000, 0.2250E-06, 0.2175E-06, 0.1985E-06
           8,        0.116667, 0.2627E-06, 0.2539E-06, 0.2318E-06
           9,        0.133333, 0.3006E-06, 0.2906E-06, 0.2652E-06
          10,        0.150000, 0.3384E-06, 0.3271E-06, 0.2985E-06
          11,        0.166667, 0.3762E-06, 0.3636E-06, 0.3319E-06
          12,        0.183333, 0.4140E-06, 0.4002E-06, 0.3652E-06
          13,        0.200000, 0.4519E-06, 0.4368E-06, 0.3986E-06
          14,        0.216667, 0.4901E-06, 0.4737E-06, 0.4323E-06
          15,        0.233333, 0.5276E-06, 0.5099E-06, 0.4654E-06
          16,        0.250000, 0.5654E-06, 0.5464E-06, 0.4987E-06
          17,        0.266667, 0.6032E-06, 0.5830E-06, 0.5320E-06
          18,        0.283333, 0.6410E-06, 0.6194E-06, 0.5653E-06
          19,        0.300000, 0.6787E-06, 0.6559E-06, 0.5986E-06
          20,        0.316667, 0.7165E-06, 0.6924E-06, 0.6319E-06
          21,        0.333333, 0.7544E-06, 0.7290E-06, 0.6653E-06
          22,        0.350000, 0.7921E-06, 0.7654E-06, 0.6985E-06
          23,        0.366667, 0.8299E-06, 0.8019E-06, 0.7319E-06
          24,        0.383333, 0.8676E-06, 0.8384E-06, 0.7651E-06
          25,        0.400000, 0.9054E-06, 0.8749E-06, 0.7985E-06
          26,        0.416667, 0.9432E-06, 0.9114E-06, 0.8317E-06
          27,        0.433333, 0.9810E-06, 0.9479E-06, 0.8651E-06
          28,        0.450000, 0.1019E-05, 0.9844E-06, 0.8984E-06
          29,        0.466667, 0.1057E-05, 0.1021E-05, 0.9317E-06
          30,        0.483333, 0.1094E-05, 0.1057E-05, 0.9650E-06
          31,        0.500000, 0.1132E-05, 0.1094E-05, 0.9983E-06
          32,        0.516667, 0.1170E-05, 0.1130E-05, 0.1032E-05
          33,        0.533333, 0.1208E-05, 0.1167E-05, 0.1065E-05
          34,        0.550000, 0.1246E-05, 0.1203E-05, 0.1098E-05
          35,        0.566667, 0.1283E-05, 0.1240E-05, 0.1131E-05
          36,        0.583333, 0.1321E-05, 0.1276E-05, 0.1165E-05
          37,        0.600000, 0.1359E-05, 0.1313E-05, 0.1198E-05
          38,        0.616667, 0.1397E-05, 0.1349E-05, 0.1231E-05
          39,        0.633333, 0.1435E-05, 0.1386E-05, 0.1265E-05
          40,        0.650000, 0.1472E-05, 0.1422E-05, 0.1298E-05
          41,        0.666667, 0.1510E-05, 0.1459E-05, 0.1331E-05
          42,        0.683333, 0.1548E-05, 0.1495E-05, 0.1365E-05
          43,        0.700000, 0.1586E-05, 0.1532E-05, 0.1398E-05
          44,        0.716667, 0.1624E-05, 0.1568E-05, 0.1431E-05
          45,        0.733333, 0.1661E-05, 0.1605E-05, 0.1464E-05
          46,        0.750000, 0.1699E-05, 0.1641E-05, 0.1498E-05
          47,        0.766667, 0.1737E-05, 0.1678E-05, 0.1531E-05
          48,        0.783333, 0.1775E-05, 0.1714E-05, 0.1564E-05
          49,        0.800000, 0.1813E-05, 0.1751E-05, 0.1598E-05
          50,        0.816667, 0.1850E-05, 0.1787E-05, 0.1631E-05
          51,        0.833333, 0.1888E-05, 0.1824E-05, 0.1664E-05
          52,        0.850000, 0.1926E-05, 0.1860E-05, 0.1697E-05
          53,        0.866667, 0.1964E-05, 0.1897E-05, 0.1731E-05
          54,        0.883333, 0.2002E-05, 0.1933E-05, 0.1764E-05
          55,        0.900000, 0.2039E-05, 0.1970E-05, 0.1797E-05
          56,        0.916667, 0.2077E-05, 0.2006E-05, 0.1831E-05
          57,        0.933333, 0.2115E-05, 0.2043E-05, 0.1864E-05
          58,        0.950000, 0.2153E-05, 0.2079E-05, 0.1897E-05
          59,        0.966667, 0.2191E-05, 0.2116E-05, 0.1931E-05
          60,        0.983333, 0.2229E-05, 0.2152E-05, 0.1964E-05
          61,        1.000000, 0.2266E-05, 0.2189E-05, 0.1997E-05
          62,        1.016667, 0.2304E-05, 0.2225E-05, 0.2030E-05
          63,        1.033333, 0.2342E-05, 0.2262E-05, 0.2064E-05
          64,        1.050000, 0.2380E-05, 0.2298E-05, 0.2097E-05
          65,        1.066667, 0.2418E-05, 0.2335E-05, 0.2130E-05
          66,        1.083333, 0.2455E-05, 0.2371E-05, 0.2164E-05
          67,        1.100000, 0.2493E-05, 0.2408E-05, 0.2197E-05
          68,        1.116667, 0.2531E-05, 0.2444E-05, 0.2230E-05
          69,        1.133333, 0.2569E-05, 0.2481E-05, 0.2264E-05
          70,        1.150000, 0.2607E-05, 0.2517E-05, 0.2297E-05
          71,        1.166667, 0.2645E-05, 0.2554E-05, 0.2330E-05
          72,        1.183333, 0.2682E-05, 0.2590E-05, 0.2363E-05
          73,        1.200000, 0.2720E-05, 0.2627E-05, 0.2397E-05
          74,        1.216667, 0.2758E-05, 0.2663E-05, 0.2430E-05
          75,        1.233333, 0.2796E-05, 0.2700E-05, 0.2463E-05
          76,        1.250000, 0.2834E-05, 0.2736E-05, 0.2497E-05
          77,        1.266667, 0.2872E-05, 0.2773E-05, 0.2530E-05
          78,        1.283333, 0.2909E-05, 0.2809E-05, 0.2563E-05
          79,        1.300000, 0.2947E-05, 0.2846E-05, 0.2596E-05
          80,        1.316667, 0.2985E-05, 0.2882E-05, 0.2630E-05
          81,        1.333333, 0.3023E-05, 0.2919E-05, 0.2663E-05
          82,        1.350000, 0.3061E-05, 0.2955E-05, 0.2696E-05
          83,        1.366667, 0.3099E-05, 0.2992E-05, 0.2730E-05
          84,        1.383333, 0.3137E-05, 0.3028E-05, 0.2763E-05
          85,        1.400000, 0.3174E-05, 0.3065E-05, 0.2796E-05
          86,        1.416667, 0.3212E-05, 0.3101E-05, 0.2829E-05
          87,        1.433333, 0.3250E-05, 0.3138E-05, 0.2863E-05
          88,        1.450000, 0.3288E-05, 0.3174E-05, 0.2896E-05
          89,        1.466667, 0.3326E-05, 0.3211E-05, 0.2929E-05
          90,        1.483333, 0.3364E-05, 0.3247E-05, 0.2963E-05
          91,        1.500000, 0.3402E-05, 0.3284E-05, 0.2996E-05
          92,        1.516667, 0.3440E-05, 0.3320E-05, 0.3029E-05
          93,        1.533333, 0.3477E-05, 0.3357E-05, 0.3062E-05
          94,        1.550000, 0.3515E-05, 0.3393E-05, 0.3096E-05
          95,        1.566667, 0.3553E-05, 0.3430E-05, 0.3129E-05
          96,        1.583333, 0.3591E-05, 0.3466E-05, 0.3162E-05
          97,        1.600000, 0.3629E-05, 0.3503E-05, 0.3196E-05
          98,        1.616667, 0.3667E-05, 0.3539E-05, 0.3229E-05
          99,        1.633333, 0.3705E-05, 0.3576E-05, 0.3262E-05
         100,        1.650000, 0.3743E-05, 0.3612E-05, 0.3296E-05
         101,        1.666667, 0.3780E-05, 0.3649E-05, 0.3329E-05
         102,        1.683333, 0.3818E-05, 0.3685E-05, 0.3362E-05
         103,        1.700000, 0.3856E-05, 0.3722E-05, 0.3395E-05
         104,        1.716667, 0.3894E-05, 0.3758E-05, 0.3429E-05
         105,        1.733333, 0.3932E-05, 0.3795E-05, 0.3462E-05
         106,        1.750000, 0.3970E-05, 0.3831E-05, 0.3495E-05
         107,        1.766667, 0.4008E-05, 0.3868E-05, 0.3529E-05
         108,        1.783333, 0.4046E-05, 0.3904E-05, 0.3562E-05
         109,        1.800000, 0.4083E-05, 0.3941E-05, 0.3595E-05
         110,        1.816667, 0.4121E-05, 0.3977E-05, 0.3628E-05
         111,        1.833333, 0.4159E-05, 0.4014E-05, 0.3662E-05
         112,        1.850000, 0.4197E-05, 0.4049E-05, 0.3695E-05
         113,        1.866667, 0.4235E-05, 0.4084E-05, 0.3728E-05
         114,        1.883333, 0.4273E-05, 0.4119E-05, 0.3762E-05
         115,        1.900000, 0.4311E-05, 0.4154E-05, 0.3795E-05
         116,        1.916667, 0.4349E-05, 0.4189E-05, 0.3828E-05
         117,        1.933333, 0.4387E-05, 0.4225E-05, 0.3861E-05
