"EG05_016 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_016.tcf]","Time (h)","GWQ1 Loc1_L [EG05_016]","GWQ1 Loc3_L [EG05_016]","GWQ1 Loc2_L [EG05_016]"
           1,        0.000000,  0.000    ,  0.000    ,  0.000    
           2,        0.016667, 0.8703E-04, 0.8631E-04, 0.8131E-04
           3,        0.033333, 0.1773E-03, 0.1597E-03, 0.1632E-03
           4,        0.050000, 0.2720E-03, 0.2350E-03, 0.2471E-03
           5,        0.066667, 0.3694E-03, 0.3110E-03, 0.3319E-03
           6,        0.083333, 0.4683E-03, 0.3866E-03, 0.4167E-03
           7,        0.100000, 0.5976E-03, 0.4862E-03, 0.5288E-03
           8,        0.116667, 0.7171E-03, 0.5858E-03, 0.5986E-03
           9,        0.133333, 0.7234E-03, 0.6684E-03, 0.6026E-03
          10,        0.150000, 0.7213E-03, 0.6745E-03, 0.6048E-03
          11,        0.166667, 0.7090E-03, 0.6649E-03, 0.6070E-03
          12,        0.183333, 0.7179E-03, 0.6749E-03, 0.6092E-03
          13,        0.200000, 0.7263E-03, 0.6789E-03, 0.6114E-03
          14,        0.216667, 0.7340E-03, 0.6828E-03, 0.6136E-03
          15,        0.233333, 0.7412E-03, 0.6868E-03, 0.6158E-03
          16,        0.250000, 0.7482E-03, 0.6907E-03, 0.6180E-03
          17,        0.266667, 0.7546E-03, 0.6945E-03, 0.6202E-03
          18,        0.283333, 0.7606E-03, 0.6984E-03, 0.6224E-03
          19,        0.300000, 0.7662E-03, 0.7021E-03, 0.6245E-03
          20,        0.316667, 0.7715E-03, 0.7059E-03, 0.6267E-03
          21,        0.333333, 0.7765E-03, 0.7096E-03, 0.6289E-03
          22,        0.350000, 0.7813E-03, 0.7133E-03, 0.6311E-03
          23,        0.366667, 0.7858E-03, 0.7169E-03, 0.6333E-03
          24,        0.383333, 0.7900E-03, 0.7205E-03, 0.6354E-03
          25,        0.400000, 0.7941E-03, 0.7241E-03, 0.6376E-03
          26,        0.416667, 0.7979E-03, 0.7276E-03, 0.6398E-03
          27,        0.433333, 0.8016E-03, 0.7311E-03, 0.6419E-03
          28,        0.450000, 0.8051E-03, 0.7345E-03, 0.6441E-03
          29,        0.466667, 0.8084E-03, 0.7380E-03, 0.6462E-03
          30,        0.483333, 0.8116E-03, 0.7413E-03, 0.6484E-03
          31,        0.500000, 0.8147E-03, 0.7447E-03, 0.6505E-03
          32,        0.516667, 0.8177E-03, 0.7480E-03, 0.6527E-03
          33,        0.533333, 0.8205E-03, 0.7512E-03, 0.6548E-03
          34,        0.550000, 0.8232E-03, 0.7545E-03, 0.6570E-03
          35,        0.566667, 0.8258E-03, 0.7576E-03, 0.6591E-03
          36,        0.583333, 0.8284E-03, 0.7608E-03, 0.6612E-03
          37,        0.600000, 0.8308E-03, 0.7639E-03, 0.6634E-03
          38,        0.616667, 0.8332E-03, 0.7670E-03, 0.6655E-03
          39,        0.633333, 0.8355E-03, 0.7700E-03, 0.6676E-03
          40,        0.650000, 0.8377E-03, 0.7731E-03, 0.6697E-03
          41,        0.666667, 0.8398E-03, 0.7760E-03, 0.6719E-03
          42,        0.683333, 0.8419E-03, 0.7790E-03, 0.6740E-03
          43,        0.700000, 0.8439E-03, 0.7819E-03, 0.6761E-03
          44,        0.716667, 0.8459E-03, 0.7848E-03, 0.6782E-03
          45,        0.733333, 0.8477E-03, 0.7877E-03, 0.6803E-03
          46,        0.750000, 0.8496E-03, 0.7905E-03, 0.6824E-03
          47,        0.766667, 0.8514E-03, 0.7933E-03, 0.6845E-03
          48,        0.783333, 0.8532E-03, 0.7961E-03, 0.6866E-03
          49,        0.800000, 0.8549E-03, 0.7988E-03, 0.6887E-03
          50,        0.816667, 0.8565E-03, 0.8015E-03, 0.6908E-03
          51,        0.833333, 0.8582E-03, 0.8042E-03, 0.6929E-03
          52,        0.850000, 0.8598E-03, 0.8068E-03, 0.6950E-03
          53,        0.866667, 0.8613E-03, 0.8095E-03, 0.6971E-03
          54,        0.883333, 0.8628E-03, 0.8121E-03, 0.6992E-03
          55,        0.900000, 0.8643E-03, 0.8147E-03, 0.7012E-03
          56,        0.916667, 0.8658E-03, 0.8172E-03, 0.7033E-03
          57,        0.933333, 0.8673E-03, 0.8197E-03, 0.7054E-03
          58,        0.950000, 0.8687E-03, 0.8223E-03, 0.7075E-03
          59,        0.966667, 0.8701E-03, 0.8248E-03, 0.7096E-03
          60,        0.983333, 0.8714E-03, 0.8272E-03, 0.7116E-03
          61,        1.000000, 0.8728E-03, 0.8297E-03, 0.7137E-03
          62,        1.016667, 0.8741E-03, 0.8321E-03, 0.7158E-03
          63,        1.033333, 0.8754E-03, 0.8345E-03, 0.7178E-03
          64,        1.050000, 0.8767E-03, 0.8369E-03, 0.7199E-03
          65,        1.066667, 0.8780E-03, 0.8392E-03, 0.7220E-03
          66,        1.083333, 0.8792E-03, 0.8416E-03, 0.7240E-03
          67,        1.100000, 0.8805E-03, 0.8439E-03, 0.7261E-03
          68,        1.116667, 0.8817E-03, 0.8462E-03, 0.7282E-03
          69,        1.133333, 0.8829E-03, 0.8485E-03, 0.7302E-03
          70,        1.150000, 0.8841E-03, 0.8508E-03, 0.7323E-03
          71,        1.166667, 0.8854E-03, 0.8531E-03, 0.7344E-03
          72,        1.183333, 0.8865E-03, 0.8553E-03, 0.7364E-03
          73,        1.200000, 0.8877E-03, 0.8575E-03, 0.7385E-03
          74,        1.216667, 0.8889E-03, 0.8598E-03, 0.7405E-03
          75,        1.233333, 0.8901E-03, 0.8620E-03, 0.7426E-03
          76,        1.250000, 0.8912E-03, 0.8641E-03, 0.7447E-03
          77,        1.266667, 0.8924E-03, 0.8663E-03, 0.7468E-03
          78,        1.283333, 0.8935E-03, 0.8685E-03, 0.7488E-03
          79,        1.300000, 0.8947E-03, 0.8706E-03, 0.7509E-03
          80,        1.316667, 0.8958E-03, 0.8728E-03, 0.7530E-03
          81,        1.333333, 0.8970E-03, 0.8749E-03, 0.7550E-03
          82,        1.350000, 0.8981E-03, 0.8770E-03, 0.7571E-03
          83,        1.366667, 0.8992E-03, 0.8791E-03, 0.7592E-03
          84,        1.383333, 0.9004E-03, 0.8812E-03, 0.7613E-03
          85,        1.400000, 0.9015E-03, 0.8833E-03, 0.7633E-03
          86,        1.416667, 0.9026E-03, 0.8854E-03, 0.7654E-03
          87,        1.433333, 0.9038E-03, 0.8874E-03, 0.7675E-03
          88,        1.450000, 0.9049E-03, 0.8895E-03, 0.7696E-03
          89,        1.466667, 0.9060E-03, 0.8915E-03, 0.7717E-03
          90,        1.483333, 0.9071E-03, 0.8936E-03, 0.7738E-03
          91,        1.500000, 0.9083E-03, 0.8956E-03, 0.7759E-03
          92,        1.516667, 0.9094E-03, 0.8976E-03, 0.7780E-03
          93,        1.533333, 0.9105E-03, 0.8996E-03, 0.7801E-03
          94,        1.550000, 0.9116E-03, 0.9016E-03, 0.7822E-03
          95,        1.566667, 0.9128E-03, 0.9036E-03, 0.7843E-03
          96,        1.583333, 0.9139E-03, 0.9056E-03, 0.7864E-03
          97,        1.600000, 0.9150E-03, 0.9075E-03, 0.7886E-03
          98,        1.616667, 0.9162E-03, 0.9095E-03, 0.7907E-03
          99,        1.633333, 0.9173E-03, 0.9114E-03, 0.7928E-03
         100,        1.650000, 0.9184E-03, 0.9134E-03, 0.7950E-03
