"EG05_015 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_015.tcf]","Time (h)","GWd1 Loc1_P [EG05_015]","GWd1 Loc8_P [EG05_015]","GWd1 Loc10_P [EG05_015]"
          39,        0.633333, 0.6607E-02, 0.6760E-02, 0.6634E-02
          40,        0.650000, 0.6626E-02, 0.6779E-02, 0.6653E-02
          41,        0.666667, 0.6645E-02, 0.6802E-02, 0.6672E-02
          42,        0.683333, 0.6668E-02, 0.6821E-02, 0.6691E-02
          43,        0.700000, 0.6687E-02, 0.6840E-02, 0.6710E-02
          44,        0.716667, 0.6706E-02, 0.6859E-02, 0.6733E-02
          45,        0.733333, 0.6725E-02, 0.6882E-02, 0.6752E-02
          46,        0.750000, 0.6748E-02, 0.6901E-02, 0.6771E-02
          47,        0.766667, 0.6767E-02, 0.6920E-02, 0.6790E-02
          48,        0.783333, 0.6786E-02, 0.6939E-02, 0.6813E-02
          49,        0.800000, 0.6805E-02, 0.6962E-02, 0.6832E-02
          50,        0.816667, 0.6828E-02, 0.6981E-02, 0.6851E-02
          51,        0.833333, 0.6847E-02, 0.7000E-02, 0.6870E-02
          52,        0.850000, 0.6866E-02, 0.7019E-02, 0.6893E-02
          53,        0.866667, 0.6886E-02, 0.7038E-02, 0.6912E-02
          54,        0.883333, 0.6908E-02, 0.7061E-02, 0.6931E-02
          55,        0.900000, 0.6927E-02, 0.7080E-02, 0.6950E-02
          56,        0.916667, 0.6947E-02, 0.7099E-02, 0.6973E-02
          57,        0.933333, 0.6966E-02, 0.7118E-02, 0.6992E-02
          58,        0.950000, 0.6989E-02, 0.7141E-02, 0.7011E-02
          59,        0.966667, 0.7008E-02, 0.7160E-02, 0.7030E-02
          60,        0.983333, 0.7027E-02, 0.7179E-02, 0.7053E-02
          61,        1.000000, 0.7046E-02, 0.7198E-02, 0.7072E-02
          62,        1.016667, 0.7065E-02, 0.7221E-02, 0.7092E-02
          63,        1.033333, 0.7088E-02, 0.7240E-02, 0.7111E-02
          64,        1.050000, 0.7107E-02, 0.7259E-02, 0.7133E-02
          65,        1.066667, 0.7126E-02, 0.7278E-02, 0.7153E-02
          66,        1.083333, 0.7145E-02, 0.7301E-02, 0.7172E-02
          67,        1.100000, 0.7168E-02, 0.7320E-02, 0.7191E-02
          68,        1.116667, 0.7187E-02, 0.7339E-02, 0.7214E-02
          69,        1.133333, 0.7206E-02, 0.7359E-02, 0.7233E-02
          70,        1.150000, 0.7225E-02, 0.7381E-02, 0.7252E-02
          71,        1.166667, 0.7248E-02, 0.7401E-02, 0.7271E-02
          72,        1.183333, 0.7267E-02, 0.7420E-02, 0.7294E-02
          73,        1.200000, 0.7286E-02, 0.7439E-02, 0.7313E-02
          74,        1.216667, 0.7305E-02, 0.7462E-02, 0.7332E-02
          75,        1.233333, 0.7328E-02, 0.7481E-02, 0.7351E-02
          76,        1.250000, 0.7347E-02, 0.7500E-02, 0.7370E-02
          77,        1.266667, 0.7366E-02, 0.7519E-02, 0.7393E-02
          78,        1.283333, 0.7385E-02, 0.7542E-02, 0.7412E-02
          79,        1.300000, 0.7408E-02, 0.7561E-02, 0.7431E-02
          80,        1.316667, 0.7427E-02, 0.7580E-02, 0.7450E-02
          81,        1.333333, 0.7446E-02, 0.7599E-02, 0.7473E-02
          82,        1.350000, 0.7465E-02, 0.7622E-02, 0.7492E-02
          83,        1.366667, 0.7488E-02, 0.7641E-02, 0.7511E-02
          84,        1.383333, 0.7507E-02, 0.7660E-02, 0.7530E-02
          85,        1.400000, 0.7526E-02, 0.7679E-02, 0.7553E-02
          86,        1.416667, 0.7545E-02, 0.7702E-02, 0.7572E-02
          87,        1.433333, 0.7568E-02, 0.7721E-02, 0.7591E-02
          88,        1.450000, 0.7587E-02, 0.7740E-02, 0.7610E-02
          89,        1.466667, 0.7607E-02, 0.7759E-02, 0.7633E-02
          90,        1.483333, 0.7626E-02, 0.7778E-02, 0.7652E-02
          91,        1.500000, 0.7648E-02, 0.7801E-02, 0.7671E-02
          92,        1.516667, 0.7668E-02, 0.7820E-02, 0.7690E-02
          93,        1.533333, 0.7687E-02, 0.7839E-02, 0.7713E-02
          94,        1.550000, 0.7706E-02, 0.7858E-02, 0.7732E-02
          95,        1.566667, 0.7729E-02, 0.7881E-02, 0.7751E-02
          96,        1.583333, 0.7748E-02, 0.7900E-02, 0.7771E-02
          97,        1.600000, 0.7767E-02, 0.7919E-02, 0.7793E-02
          98,        1.616667, 0.7786E-02, 0.7938E-02, 0.7812E-02
          99,        1.633333, 0.7809E-02, 0.7961E-02, 0.7832E-02
         100,        1.650000, 0.7828E-02, 0.7980E-02, 0.7851E-02
         101,        1.666667, 0.7847E-02, 0.7999E-02, 0.7874E-02
         102,        1.683333, 0.7866E-02, 0.8018E-02, 0.7893E-02
         103,        1.700000, 0.7885E-02, 0.8041E-02, 0.7912E-02
         104,        1.716667, 0.7908E-02, 0.8060E-02, 0.7931E-02
         105,        1.733333, 0.7927E-02, 0.8080E-02, 0.7954E-02
         106,        1.750000, 0.7946E-02, 0.8099E-02, 0.7973E-02
         107,        1.766667, 0.7965E-02, 0.8121E-02, 0.7992E-02
         108,        1.783333, 0.7988E-02, 0.8141E-02, 0.8011E-02
         109,        1.800000, 0.8007E-02, 0.8160E-02, 0.8034E-02
         110,        1.816667, 0.8026E-02, 0.8179E-02, 0.8053E-02
         111,        1.833333, 0.8045E-02, 0.8202E-02, 0.8072E-02
         112,        1.850000, 0.8068E-02, 0.8221E-02, 0.8091E-02
         113,        1.866667, 0.8087E-02, 0.8240E-02, 0.8114E-02
         114,        1.883333, 0.8106E-02, 0.8259E-02, 0.8133E-02
         115,        1.900000, 0.8125E-02, 0.8282E-02, 0.8152E-02
         116,        1.916667, 0.8148E-02, 0.8301E-02, 0.8171E-02
         117,        1.933333, 0.8167E-02, 0.8320E-02, 0.8194E-02
         118,        1.950000, 0.8186E-02, 0.8339E-02, 0.8213E-02
         119,        1.966667, 0.8205E-02, 0.8362E-02, 0.8232E-02
         120,        1.983333, 0.8228E-02, 0.8381E-02, 0.8251E-02
         121,        2.000000, 0.8247E-02, 0.8400E-02, 0.8274E-02
         122,        2.016667, 0.8266E-02, 0.8419E-02, 0.8293E-02
         123,        2.033333, 0.8286E-02, 0.8442E-02, 0.8312E-02
         124,        2.050000, 0.8308E-02, 0.8461E-02, 0.8331E-02
         125,        2.066667, 0.8327E-02, 0.8480E-02, 0.8354E-02
         126,        2.083333, 0.8347E-02, 0.8499E-02, 0.8373E-02
         127,        2.100000, 0.8366E-02, 0.8522E-02, 0.8392E-02
         128,        2.116667, 0.8389E-02, 0.8541E-02, 0.8411E-02
         129,        2.133333, 0.8408E-02, 0.8560E-02, 0.8434E-02
         130,        2.150000, 0.8427E-02, 0.8579E-02, 0.8453E-02
         131,        2.166667, 0.8446E-02, 0.8602E-02, 0.8472E-02
         132,        2.183333, 0.8469E-02, 0.8621E-02, 0.8492E-02
         133,        2.200000, 0.8488E-02, 0.8640E-02, 0.8514E-02
         134,        2.216667, 0.8507E-02, 0.8659E-02, 0.8533E-02
         135,        2.233333, 0.8526E-02, 0.8682E-02, 0.8553E-02
         136,        2.250000, 0.8549E-02, 0.8701E-02, 0.8572E-02
         137,        2.266667, 0.8568E-02, 0.8720E-02, 0.8595E-02
         138,        2.283333, 0.8587E-02, 0.8739E-02, 0.8614E-02
         139,        2.300000, 0.8606E-02, 0.8762E-02, 0.8633E-02
         140,        2.316667, 0.8629E-02, 0.8781E-02, 0.8652E-02
         141,        2.333333, 0.8648E-02, 0.8801E-02, 0.8675E-02
         142,        2.350000, 0.8667E-02, 0.8820E-02, 0.8694E-02
         143,        2.366667, 0.8686E-02, 0.8842E-02, 0.8713E-02
         144,        2.383333, 0.8709E-02, 0.8862E-02, 0.8732E-02
         145,        2.400000, 0.8728E-02, 0.8881E-02, 0.8755E-02
         146,        2.416667, 0.8747E-02, 0.8900E-02, 0.8774E-02
         147,        2.433333, 0.8770E-02, 0.8923E-02, 0.8793E-02
         148,        2.450000, 0.8789E-02, 0.8942E-02, 0.8812E-02
         149,        2.466667, 0.8808E-02, 0.8961E-02, 0.8835E-02
         150,        2.483333, 0.8827E-02, 0.8980E-02, 0.8854E-02
         151,        2.500000, 0.8846E-02, 0.9003E-02, 0.8873E-02
         152,        2.516667, 0.8869E-02, 0.9022E-02, 0.8892E-02
         153,        2.533333, 0.8888E-02, 0.9041E-02, 0.8915E-02
         154,        2.550000, 0.8907E-02, 0.9060E-02, 0.8934E-02
         155,        2.566667, 0.8926E-02, 0.9083E-02, 0.8953E-02
         156,        2.583333, 0.8949E-02, 0.9102E-02, 0.8972E-02
         157,        2.600000, 0.8968E-02, 0.9121E-02, 0.8991E-02
         158,        2.616667, 0.8987E-02, 0.9140E-02, 0.9014E-02
         159,        2.633333, 0.9007E-02, 0.9163E-02, 0.9033E-02
         160,        2.650000, 0.9029E-02, 0.9182E-02, 0.9052E-02
         161,        2.666667, 0.9048E-02, 0.9201E-02, 0.9071E-02
         162,        2.683333, 0.9068E-02, 0.9220E-02, 0.9094E-02
         163,        2.700000, 0.9087E-02, 0.9239E-02, 0.9113E-02
         164,        2.716667, 0.9109E-02, 0.9262E-02, 0.9132E-02
         165,        2.733333, 0.9129E-02, 0.9281E-02, 0.9151E-02
         166,        2.750000, 0.9148E-02, 0.9300E-02, 0.9174E-02
         167,        2.766667, 0.9167E-02, 0.9319E-02, 0.9193E-02
         168,        2.783333, 0.9186E-02, 0.9342E-02, 0.9212E-02
         169,        2.800000, 0.9209E-02, 0.9361E-02, 0.9232E-02
         170,        2.816667, 0.9228E-02, 0.9380E-02, 0.9254E-02
         171,        2.833333, 0.9247E-02, 0.9399E-02, 0.9274E-02
         172,        2.850000, 0.9266E-02, 0.9422E-02, 0.9293E-02
         173,        2.866667, 0.9289E-02, 0.9441E-02, 0.9312E-02
         174,        2.883333, 0.9308E-02, 0.9460E-02, 0.9331E-02
         175,        2.900000, 0.9327E-02, 0.9480E-02, 0.9354E-02
         176,        2.916667, 0.9346E-02, 0.9502E-02, 0.9373E-02
         177,        2.933333, 0.9369E-02, 0.9521E-02, 0.9392E-02
         178,        2.950000, 0.9388E-02, 0.9541E-02, 0.9411E-02
         179,        2.966667, 0.9407E-02, 0.9560E-02, 0.9434E-02
         180,        2.983333, 0.9426E-02, 0.9579E-02, 0.9453E-02
         181,        3.000000, 0.9449E-02, 0.9602E-02, 0.9472E-02

