"EG05_018 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_018.tcf]","Time (h)","GWd2 Loc1_P [EG05_018]","GWd2 Loc8_P [EG05_018]","GWd2 Loc10_P [EG05_018]","GWd2 Loc4_P [EG05_018]"
           1,      -72.000000,          0.0000,          0.0000,          0.0000,          0.0000
           2,      -71.983330,          0.0000,          0.0007,          0.0000,          0.0000
           3,      -71.966667,          0.0000,          0.0013,          0.0000,          0.0000
           4,      -71.949997,          0.0000,          0.0020,          0.0000,          0.0000
           5,      -71.933334,          0.0000,          0.0027,          0.0000,          0.0000
           6,      -71.916664,          0.0000,          0.0033,          0.0000,          0.0000
           7,      -71.900002,          0.0000,          0.0040,          0.0000,          0.0000
           8,      -71.883331,          0.0000,          0.0047,          0.0000,          0.0000
           9,      -71.866669,          0.0000,          0.0053,          0.0000,          0.0000
          10,      -71.849998,          0.0000,          0.0060,          0.0000,          0.0000
          11,      -71.833336,          0.0000,          0.0067,          0.0000,          0.0000
          12,      -71.816666,          0.0000,          0.0073,          0.0000,          0.0000
          13,      -71.800003,          0.0000,          0.0080,          0.0000,          0.0000
          14,      -71.783333,          0.0000,          0.0087,          0.0000,          0.0000
          15,      -71.766670,          0.0000,          0.0093,          0.0000,          0.0000
          16,      -71.750000,          0.0000,          0.0100,          0.0000,          0.0000
          17,      -71.733330,          0.0000,          0.0107,          0.0000,          0.0000
          18,      -71.716667,          0.0000,          0.0113,          0.0000,          0.0000
          19,      -71.699997,          0.0000,          0.0120,          0.0000,          0.0000
          20,      -71.683334,          0.0000,          0.0127,          0.0000,          0.0000
          21,      -71.666664,          0.0000,          0.0133,          0.0000,          0.0000
          22,      -71.650002,          0.0000,          0.0140,          0.0000,          0.0000
          23,      -71.633331,          0.0000,          0.0147,          0.0000,          0.0000
          24,      -71.616669,          0.0000,          0.0153,          0.0000,          0.0000
          25,      -71.599998,          0.0000,          0.0160,          0.0000,          0.0000
          26,      -71.583336,          0.0000,          0.0167,          0.0000,          0.0000
          27,      -71.566666,          0.0000,          0.0173,          0.0000,          0.0000
          28,      -71.550003,          0.0000,          0.0180,          0.0000,          0.0000
          29,      -71.533333,          0.0000,          0.0187,          0.0000,          0.0000
          30,      -71.516670,          0.0000,          0.0193,          0.0000,          0.0000
          31,      -71.500000,          0.0000,          0.0200,          0.0000,          0.0000
          32,      -71.483330,          0.0000,          0.0207,          0.0000,          0.0000
          33,      -71.466667,          0.0000,          0.0213,          0.0000,          0.0000
          34,      -71.449997,          0.0000,          0.0220,          0.0000,          0.0000
          35,      -71.433334,          0.0000,          0.0227,          0.0000,          0.0000
          36,      -71.416664,          0.0000,          0.0233,          0.0000,          0.0000
          37,      -71.400002,          0.0000,          0.0240,          0.0000,          0.0000
          38,      -71.383331,          0.0000,          0.0247,          0.0000,          0.0000
          39,      -71.366669,          0.0000,          0.0253,          0.0000,          0.0000
          40,      -71.349998,          0.0000,          0.0260,          0.0000,          0.0000
          41,      -71.333336,          0.0000,          0.0267,          0.0000,          0.0000
          42,      -71.316666,          0.0000,          0.0273,          0.0000,          0.0000
          43,      -71.300003,          0.0000,          0.0280,          0.0000,          0.0000
          44,      -71.283333,          0.0000,          0.0287,          0.0000,          0.0000
          45,      -71.266670,          0.0000,          0.0293,          0.0000,          0.0000
          46,      -71.250000,          0.0000,          0.0300,          0.0000,          0.0000
          47,      -71.233330,          0.0000,          0.0307,          0.0000,          0.0000
          48,      -71.216667,          0.0000,          0.0313,          0.0000,          0.0000
          49,      -71.199997,          0.0000,          0.0320,          0.0000,          0.0000
          50,      -71.183334,          0.0000,          0.0327,          0.0000,          0.0000
          51,      -71.166664,          0.0000,          0.0333,          0.0000,          0.0000
          52,      -71.150002,          0.0000,          0.0339,          0.0000,          0.0000
          53,      -71.133331,          0.0000,          0.0339,          0.0000,          0.0000
          54,      -71.116669,          0.0000,          0.0339,          0.0000,          0.0000
          55,      -71.099998,          0.0000,          0.0339,          0.0000,          0.0000
          56,      -71.083336,          0.0000,          0.0339,          0.0000,          0.0000
          57,      -71.066666,          0.0000,          0.0339,          0.0000,          0.0000
          58,      -71.050003,          0.0000,          0.0339,          0.0000,          0.0000
          59,      -71.033333,          0.0000,          0.0339,          0.0000,          0.0000
          60,      -71.016670,          0.0000,          0.0339,          0.0000,          0.0000
          61,      -71.000000,          0.0000,          0.0339,          0.0000,          0.0000
          62,      -70.983330,          0.0000,          0.0339,          0.0000,          0.0000
          63,      -70.966667,          0.0000,          0.0339,          0.0000,          0.0000
          64,      -70.949997,          0.0000,          0.0339,          0.0000,          0.0000
          65,      -70.933334,          0.0000,          0.0339,          0.0000,          0.0000
          66,      -70.916664,          0.0000,          0.0339,          0.0000,          0.0000
          67,      -70.900002,          0.0000,          0.0339,          0.0000,          0.0000
          68,      -70.883331,          0.0000,          0.0339,          0.0000,          0.0000
          69,      -70.866669,          0.0000,          0.0339,          0.0000,          0.0000
          70,      -70.849998,          0.0000,          0.0339,          0.0000,          0.0000
          71,      -70.833336,          0.0000,          0.0339,          0.0000,          0.0000
          72,      -70.816666,          0.0000,          0.0339,          0.0000,          0.0000
          73,      -70.800003,          0.0000,          0.0339,          0.0000,          0.0000
          74,      -70.783333,          0.0000,          0.0339,          0.0000,          0.0000
          75,      -70.766670,          0.0000,          0.0339,          0.0000,          0.0000
          76,      -70.750000,          0.0000,          0.0339,          0.0000,          0.0000
          77,      -70.733330,          0.0000,          0.0339,          0.0000,          0.0000
          78,      -70.716667,          0.0000,          0.0339,          0.0000,          0.0000
          79,      -70.699997,          0.0000,          0.0339,          0.0000,          0.0000
          80,      -70.683334,          0.0000,          0.0339,          0.0000,          0.0000
          81,      -70.666664,          0.0000,          0.0339,          0.0000,          0.0000
          82,      -70.650002,          0.0000,          0.0339,          0.0000,          0.0000
          83,      -70.633331,          0.0000,          0.0339,          0.0000,          0.0000
          84,      -70.616669,          0.0000,          0.0339,          0.0000,          0.0000
          85,      -70.599998,          0.0000,          0.0339,          0.0000,          0.0000
          86,      -70.583336,          0.0000,          0.0339,          0.0000,          0.0000
          87,      -70.566666,          0.0000,          0.0339,          0.0000,          0.0000
          88,      -70.550003,          0.0000,          0.0339,          0.0000,          0.0000
          89,      -70.533333,          0.0000,          0.0339,          0.0000,          0.0000
          90,      -70.516670,          0.0000,          0.0339,          0.0000,          0.0000
          91,      -70.500000,          0.0000,          0.0339,          0.0000,          0.0000
          92,      -70.483330,          0.0000,          0.0339,          0.0000,          0.0000
          93,      -70.466667,          0.0000,          0.0339,          0.0000,          0.0000
          94,      -70.449997,          0.0000,          0.0339,          0.0000,          0.0000
          95,      -70.433334,          0.0000,          0.0339,          0.0000,          0.0000
          96,      -70.416664,          0.0000,          0.0339,          0.0000,          0.0000
          97,      -70.400002,          0.0000,          0.0339,          0.0000,          0.0000
          98,      -70.383331,          0.0000,          0.0339,          0.0000,          0.0000
          99,      -70.366669,          0.0000,          0.0339,          0.0000,          0.0000
         100,      -70.349998,          0.0000,          0.0339,          0.0000,          0.0000
         101,      -70.333336,          0.0000,          0.0339,          0.0000,          0.0000
         102,      -70.316666,          0.0000,          0.0339,          0.0000,          0.0000
         103,      -70.300003,          0.0000,          0.0339,          0.0000,          0.0000
         104,      -70.283333,          0.0000,          0.0339,          0.0000,          0.0000
         105,      -70.266670,          0.0000,          0.0339,          0.0000,          0.0000
         106,      -70.250000,          0.0000,          0.0339,          0.0000,          0.0000
         107,      -70.233330,          0.0000,          0.0339,          0.0000,          0.0000
         108,      -70.216667,          0.0000,          0.0339,          0.0000,          0.0000
         109,      -70.199997,          0.0000,          0.0339,          0.0000,          0.0000
         110,      -70.183334,          0.0000,          0.0339,          0.0000,          0.0000
         111,      -70.166664,          0.0000,          0.0339,          0.0000,          0.0000
         112,      -70.150002,          0.0000,          0.0339,          0.0000,          0.0000
         113,      -70.133331,          0.0000,          0.0339,          0.0000,          0.0000
         114,      -70.116669,          0.0000,          0.0339,          0.0000,          0.0000
         115,      -70.099998,          0.0000,          0.0339,          0.0000,          0.0000
         116,      -70.083336,          0.0000,          0.0339,          0.0000,          0.0000
         117,      -70.066666,          0.0000,          0.0339,          0.0000,          0.0000
         118,      -70.050003,          0.0000,          0.0339,          0.0000,          0.0000
         119,      -70.033333,          0.0000,          0.0339,          0.0000,          0.0000
         120,      -70.016670,          0.0000,          0.0339,          0.0000,          0.0000
         121,      -70.000000,          0.0000,          0.0339,          0.0000,          0.0000
         122,      -69.983330,          0.0000,          0.0339,          0.0000,          0.0000
         123,      -69.966667,          0.0000,          0.0339,          0.0000,          0.0000
         124,      -69.949997,          0.0000,          0.0339,          0.0000,          0.0000
         125,      -69.933334,          0.0000,          0.0339,          0.0000,          0.0000
         126,      -69.916664,          0.0000,          0.0339,          0.0000,          0.0000
         127,      -69.900002,          0.0000,          0.0339,          0.0000,          0.0000
         128,      -69.883331,          0.0000,          0.0339,          0.0000,          0.0000
         129,      -69.866669,          0.0000,          0.0339,          0.0000,          0.0000
         130,      -69.849998,          0.0000,          0.0339,          0.0000,          0.0000
         131,      -69.833336,          0.0000,          0.0339,          0.0000,          0.0000
         132,      -69.816666,          0.0000,          0.0339,          0.0000,          0.0000
         133,      -69.800003,          0.0000,          0.0339,          0.0000,          0.0000
         134,      -69.783333,          0.0000,          0.0339,          0.0000,          0.0000
         135,      -69.766670,          0.0000,          0.0339,          0.0000,          0.0000
         136,      -69.750000,          0.0000,          0.0339,          0.0000,          0.0000
         137,      -69.733330,          0.0000,          0.0339,          0.0000,          0.0000
         138,      -69.716667,          0.0000,          0.0339,          0.0000,          0.0000
         139,      -69.699997,          0.0000,          0.0339,          0.0000,          0.0000
         140,      -69.683334,          0.0000,          0.0339,          0.0000,          0.0000
         141,      -69.666664,          0.0000,          0.0339,          0.0000,          0.0000
         142,      -69.650002,          0.0000,          0.0339,          0.0000,          0.0000
         143,      -69.633331,          0.0000,          0.0339,          0.0000,          0.0000
         144,      -69.616669,          0.0000,          0.0339,          0.0000,          0.0000
         145,      -69.599998,          0.0000,          0.0339,          0.0000,          0.0000
         146,      -69.583336,          0.0000,          0.0339,          0.0000,          0.0000
         147,      -69.566666,          0.0000,          0.0339,          0.0000,          0.0000
         148,      -69.550003,          0.0000,          0.0339,          0.0000,          0.0000
         149,      -69.533333,          0.0000,          0.0339,          0.0000,          0.0000
         150,      -69.516670,          0.0000,          0.0339,          0.0000,          0.0000
         151,      -69.500000,          0.0000,          0.0339,          0.0000,          0.0000
         152,      -69.483330,          0.0000,          0.0339,          0.0000,          0.0000
         153,      -69.466667,          0.0000,          0.0339,          0.0000,          0.0000
         154,      -69.449997,          0.0000,          0.0339,          0.0000,          0.0000
         155,      -69.433334,          0.0000,          0.0339,          0.0000,          0.0000
         156,      -69.416664,          0.0000,          0.0339,          0.0000,          0.0000
         157,      -69.400002,          0.0000,          0.0339,          0.0000,          0.0000
         158,      -69.383331,          0.0000,          0.0339,          0.0000,          0.0000
         159,      -69.366669,          0.0000,          0.0339,          0.0000,          0.0000
         160,      -69.349998,          0.0000,          0.0339,          0.0000,          0.0000
         161,      -69.333336,          0.0000,          0.0339,          0.0000,          0.0000
         162,      -69.316666,          0.0000,          0.0339,          0.0000,          0.0000
         163,      -69.300003,          0.0000,          0.0339,          0.0000,          0.0000
         164,      -69.283333,          0.0000,          0.0339,          0.0000,          0.0000
         165,      -69.266670,          0.0000,          0.0339,          0.0000,          0.0000
         166,      -69.250000,          0.0000,          0.0339,          0.0000,          0.0000
         167,      -69.233330,          0.0000,          0.0339,          0.0000,          0.0000
