iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
100,         31.863,0.738956,0.721455,0.0184784,0.199219,0.000228882,99.4265
200,        173.349,1.45579,1.3302,0.363571,1.00314,0.0784454,96.8844
300,        300.000,1.20023,1.20005,0.390686,1.00171,0.113998,97.1246
400,        407.423,1.01395,0.967449,0.414001,1.00127,0.162399,97.3336
500,        501.976,0.915961,0.905325,0.41655,1.00079,0.195419,97.5598
600,        589.011,0.855472,0.845276,0.411041,1.00058,0.219086,97.7023
700,        665.605,0.700947,0.697378,0.344528,1.00157,0.198257,97.7571
800,        730.646,0.624458,0.616927,0.309967,1.0009,0.186844,97.8511
900,        789.877,0.581205,0.576123,0.292465,1.0006,0.18219,97.9077
1000,        845.505,0.55305,0.550459,0.279434,1.00041,0.180298,97.9423
1100,        898.985,0.532581,0.507375,0.268463,1.00034,0.179321,97.9853
1200,        950.876,0.516025,0.50689,0.251114,1.00029,0.181671,98.0432
1300,       1001.417,0.502384,0.502236,0.240311,1.00027,0.185455,98.1065
1400,       1050.460,0.490283,0.484258,0.23175,1.00023,0.187714,98.1416
1500,       1098.214,0.479468,0.474839,0.221405,1.00021,0.189407,98.1628
1600,       1145.156,0.46988,0.46875,0.211349,1.00018,0.19075,98.1941
1700,       1191.333,0.461207,0.456182,0.200577,1.00017,0.191483,98.234
1800,       1236.777,0.453172,0.446604,0.196548,1.00017,0.198242,98.2774
1900,       1281.384,0.445609,0.443868,0.193558,1.00018,0.20546,98.3118
2000,       1325.256,0.438079,0.437956,0.189713,1.00017,0.211365,98.345
2100,       1368.422,0.430972,0.42881,0.185989,1.00015,0.216797,98.3771
2200,       1410.992,0.424246,0.420403,0.182068,1.00015,0.221146,98.4129
2300,       1452.512,0.418096,0.416562,0.180328,1.00015,0.22496,98.421
2400,       1493.822,0.412413,0.411882,0.185349,1.00012,0.22818,98.4507
2500,       1534.214,0.407105,0.402901,0.189178,1.00014,0.236237,98.4591
2600,       1574.455,0.402062,0.399514,0.195557,1.00014,0.249619,98.4851
2700,       1614.100,0.39696,0.393367,0.192978,1.00014,0.260284,98.5037
2800,       1653.373,0.391911,0.391579,0.194183,1.00012,0.270782,98.5292
2900,       1691.997,0.387061,0.384025,0.19371,1.00012,0.279785,98.5441
3000,       1730.176,0.382354,0.377831,0.191849,1.00012,0.287506,98.5597
3100,       1767.972,0.377761,0.376803,0.189667,1.00012,0.294525,98.5789
3200,       1805.208,0.371401,0.370219,0.186874,0.994919,0.300323,98.5913
3300,       1839.939,0.328681,0.323557,0.179596,0.890076,0.300323,98.6085
3400,       1870.895,0.298906,0.297607,0.171265,0.81781,0.300262,98.6147
3500,       1899.497,0.276663,0.273373,0.166565,0.765198,0.300217,98.6292
3600,       1925.998,0.259707,0.259626,0.162354,0.725754,0.300171,98.6344
3700,       1951.188,0.246656,0.246257,0.158676,0.696152,0.30014,98.6481
3800,       1975.097,0.235743,0.233453,0.155655,0.67157,0.30014,98.6549
3900,       1998.112,0.226335,0.225204,0.152939,0.650635,0.30011,98.6672
4000,       2020.242,0.218264,0.217122,0.150253,0.632874,0.30011,98.6777
4100,       2041.477,0.211104,0.210516,0.164825,0.617111,0.300095,98.6805
4200,       2062.211,0.204771,0.204265,0.185501,0.603104,0.300079,98.6915
4300,       2082.318,0.198911,0.198679,0.206207,0.589783,0.300079,98.7009
4400,       2101.753,0.194887,0.194805,0.226761,0.581161,0.300034,98.7028
4500,       2121.092,0.192593,0.191668,0.24585,0.577301,0.300034,98.7129
4600,       2140.188,0.190442,0.18869,0.253372,0.573364,0.300034,98.7218
4700,       2158.907,0.188142,0.182183,0.22403,0.568451,0.300034,98.7232
4800,       2177.539,0.185832,0.185419,0.230362,0.56311,0.300049,98.731
4900,       2195.962,0.18356,0.183494,0.235977,0.557602,0.300049,98.7396
5000,       2214.075,0.181178,0.179553,0.230728,0.551483,0.300034,98.7444
5100,       2232.018,0.178872,0.178371,0.224487,0.545425,0.300049,98.7518
5200,       2249.751,0.176622,0.175868,0.220154,0.539383,0.300034,98.7599
5300,       2267.235,0.174436,0.172508,0.218735,0.533401,0.300034,98.7665
5400,       2284.481,0.17233,0.171887,0.21637,0.527542,0.300034,98.7719
5500,       2301.577,0.170266,0.170012,0.213287,0.521729,0.300049,98.7796
5600,       2318.461,0.168262,0.166971,0.21022,0.516037,0.300049,98.7867
5700,       2335.071,0.166349,0.164321,0.207397,0.510574,0.300034,98.7903
5800,       2351.540,0.164474,0.164271,0.20491,0.505173,0.300034,98.7958
5900,       2367.863,0.16267,0.162308,0.207748,0.499954,0.300034,98.8027
6000,       2383.987,0.160943,0.160131,0.2034,0.494934,0.300034,98.8085
6100,       2399.843,0.15925,0.157165,0.203476,0.48999,0.300034,98.8102
6200,       2415.659,0.157648,0.157238,0.201706,0.485321,0.300018,98.8169
6300,       2431.348,0.156744,0.156569,0.200195,0.482758,0.300018,98.8232
6400,       2446.928,0.155933,0.155614,0.19841,0.480484,0.300018,98.8286
6500,       2462.326,0.155158,0.155039,0.196182,0.478287,0.300018,98.8297
