 RORBWin Batch Run Summary
 *************************
 
 Program version 6.52 (last updated 1st June 2023)
 Copyright Monash University and Hydrology and Risk Consulting
 
 Date run: 08 Aug 2026 22:32

 Catchment file   : E:\Library\Automation\ryan-tools\tests\test_data\RORB\Fig6_7.catg
 Rainfall location: User defined
 Temporal pattern : ARR2016 areal temporal patterns, 200 km² standard area
 Spatial pattern  : Uniform
 Areal Red. Fact. : Based on ARR 2016 (Book 2 Chapter 4)
 Loss factors     : Constant with ARI
 

 Parameters:  kc =    10.00    m = 0.80

 Loss parameters     Initial loss (mm)   Cont. loss (mm/h)
                           12.00              1.90

 Peak  Description
   01  Calculated hydrograph:
 
 Run        Duration             AEP   TPat  Rain(mm)     ARF  PbDepth  Peak0001
   9         96 hour           0.5EY      9     79.40    0.97     0.00   32.8592 
   9         96 hour           0.5EY     10     79.40    0.97     0.00   165.521 
  10        120 hour           0.5EY      1     82.10    0.97     0.00   41.6511 
  10        120 hour           0.5EY      2     82.10    0.97     0.00   54.7571 
  10        120 hour           0.5EY      3     82.10    0.97     0.00    5.5969 
  10        120 hour           0.5EY      4     82.10    0.97     0.00   20.4162 
  10        120 hour           0.5EY      5     82.10    0.97     0.00    2.2866 
  10        120 hour           0.5EY      6     82.10    0.97     0.00   12.0239 
  10        120 hour           0.5EY      7     82.10    0.97     0.00   204.545 
  10        120 hour           0.5EY      8     82.10    0.97     0.00   37.3118 
  10        120 hour           0.5EY      9     82.10    0.97     0.00    0.8158 
  10        120 hour           0.5EY     10     82.10    0.97     0.00    8.6431 
  11        144 hour           0.5EY      1     84.00    0.98     0.00   36.8757 
  11        144 hour           0.5EY      2     84.00    0.98     0.00    0.5877 
  11        144 hour           0.5EY      3     84.00    0.98     0.00   27.5067 
  11        144 hour           0.5EY      4     84.00    0.98     0.00    7.0498 
  11        144 hour           0.5EY      5     84.00    0.98     0.00    0.0000 
  11        144 hour           0.5EY      6     84.00    0.98     0.00   33.1454 
  11        144 hour           0.5EY      7     84.00    0.98     0.00    0.0000 
  11        144 hour           0.5EY      8     84.00    0.98     0.00   61.7432 
  11        144 hour           0.5EY      9     84.00    0.98     0.00   25.3392 
  11        144 hour           0.5EY     10     84.00    0.98     0.00    5.0456 
  12        168 hour           0.5EY      1     85.30    0.98     0.00    0.0000 
  12        168 hour           0.5EY      2     85.30    0.98     0.00   18.9635 
  12        168 hour           0.5EY      3     85.30    0.98     0.00    3.0884 
  12        168 hour           0.5EY      4     85.30    0.98     0.00    2.0154 
  12        168 hour           0.5EY      5     85.30    0.98     0.00    5.0179 
  12        168 hour           0.5EY      6     85.30    0.98     0.00   17.0078 
  12        168 hour           0.5EY      7     85.30    0.98     0.00    0.0000 
  12        168 hour           0.5EY      8     85.30    0.98     0.00   27.0672 
  12        168 hour           0.5EY      9     85.30    0.98     0.00    0.3661 
  12        168 hour           0.5EY     10     85.30    0.98     0.00    4.4560 
  13         48 hour             20%      1     86.60    0.96     0.00   69.0380 
  13         48 hour             20%      2     86.60    0.96     0.00   65.2250 
  13         48 hour             20%      3     86.60    0.96     0.00   29.0927 
  13         48 hour             20%      4     86.60    0.96     0.00   143.835 
  13         48 hour             20%      5     86.60    0.96     0.00   23.7663 
  13         48 hour             20%      6     86.60    0.96     0.00   34.8301 
  13         48 hour             20%      7     86.60    0.96     0.00   74.1082 
  13         48 hour             20%      8     86.60    0.96     0.00   91.3902 
  13         48 hour             20%      9     86.60    0.96     0.00   53.5443 
  13         48 hour             20%     10     86.60    0.96     0.00   90.2371 
  14         72 hour             20%      1     95.90    0.97     0.00   90.6509 
  14         72 hour             20%      2     95.90    0.97     0.00   45.4554 
  14         72 hour             20%      3     95.90    0.97     0.00   28.1809 
  14         72 hour             20%      4     95.90    0.97     0.00   20.7854 
  14         72 hour             20%      5     95.90    0.97     0.00   25.7535 
  14         72 hour             20%      6     95.90    0.97     0.00   71.5936 
  14         72 hour             20%      7     95.90    0.97     0.00   100.077 
  14         72 hour             20%      8     95.90    0.97     0.00   54.9767 
  14         72 hour             20%      9     95.90    0.97     0.00   21.6305 
  14         72 hour             20%     10     95.90    0.97     0.00   44.3912 
  15         96 hour             20%      1    101.00    0.97     0.00   96.5834 
  15         96 hour             20%      2    101.00    0.97     0.00   28.8589 
  15         96 hour             20%      3    101.00    0.97     0.00   22.2872 
  15         96 hour             20%      4    101.00    0.97     0.00   93.3484 
  15         96 hour             20%      5    101.00    0.97     0.00   61.7471 
  15         96 hour             20%      6    101.00    0.97     0.00   36.9577 
  15         96 hour             20%      7    101.00    0.97     0.00   104.464 
  15         96 hour             20%      8    101.00    0.97     0.00   85.9349 
  15         96 hour             20%      9    101.00    0.97     0.00   71.3914 
  15         96 hour             20%     10    101.00    0.97     0.00   230.607 
  16        120 hour             20%      1    104.00    0.97     0.00   72.3668 
  16        120 hour             20%      2    104.00    0.97     0.00   93.3733 
  16        120 hour             20%      3    104.00    0.97     0.00   25.6140 
  16        120 hour             20%      4    104.00    0.97     0.00   34.1433 
  16        120 hour             20%      5    104.00    0.97     0.00    9.5302 
  16        120 hour             20%      6    104.00    0.97     0.00   33.0293 
  16        120 hour             20%      7    104.00    0.97     0.00   280.991 
  16        120 hour             20%      8    104.00    0.97     0.00   70.4773 
  16        120 hour             20%      9    104.00    0.97     0.00   15.6514 
  16        120 hour             20%     10    104.00    0.97     0.00   29.9393 
  17        144 hour             20%      1    105.00    0.97     0.00   68.7179 
  17        144 hour             20%      2    105.00    0.97     0.00    7.2727 
  17        144 hour             20%      3    105.00    0.97     0.00   52.7460 
  17        144 hour             20%      4    105.00    0.97     0.00   18.5671 
  17        144 hour             20%      5    105.00    0.97     0.00    6.5669 
  17        144 hour             20%      6    105.00    0.97     0.00   60.0686 
  17        144 hour             20%      7    105.00    0.97     0.00    3.5367 
  17        144 hour             20%      8    105.00    0.97     0.00   94.8650 
  17        144 hour             20%      9    105.00    0.97     0.00   46.1648 
  17        144 hour             20%     10    105.00    0.97     0.00   15.1608 
  18        168 hour             20%      1    105.00    0.98     0.00    0.7169 
  18        168 hour             20%      2    105.00    0.98     0.00   41.2914 
  18        168 hour             20%      3    105.00    0.98     0.00    9.6234 
  18        168 hour             20%      4    105.00    0.98     0.00    8.1158 
  18        168 hour             20%      5    105.00    0.98     0.00   12.2375 
  18        168 hour             20%      6    105.00    0.98     0.00   28.3417 
  18        168 hour             20%      7    105.00    0.98     0.00    0.0000 
  18        168 hour             20%      8    105.00    0.98     0.00   53.1684 
  18        168 hour             20%      9    105.00    0.98     0.00    9.3789 
  18        168 hour             20%     10    105.00    0.98     0.00   11.4699 
  19         48 hour           0.2EY      1     88.30    0.96     0.00   72.1854 
  19         48 hour           0.2EY      2     88.30    0.96     0.00   68.0758 
  19         48 hour           0.2EY      3     88.30    0.96     0.00   31.2577 
  19         48 hour           0.2EY      4     88.30    0.96     0.00   148.934 
  19         48 hour           0.2EY      5     88.30    0.96     0.00   26.0014 
  19         48 hour           0.2EY      6     88.30    0.96     0.00   37.4116 
  19         48 hour           0.2EY      7     88.30    0.96     0.00   77.1616 
  19         48 hour           0.2EY      8     88.30    0.96     0.00   95.0814 
  19         48 hour           0.2EY      9     88.30    0.96     0.00   56.1813 
  19         48 hour           0.2EY     10     88.30    0.96     0.00   93.7494 
  20         72 hour           0.2EY      1     97.80    0.97     0.00   93.9737 
  20         72 hour           0.2EY      2     97.80    0.97     0.00   48.0543 
  20         72 hour           0.2EY      3     97.80    0.97     0.00   30.4430 
  20         72 hour           0.2EY      4     97.80    0.97     0.00   22.9238 
  20         72 hour           0.2EY      5     97.80    0.97     0.00   27.9297 
  20         72 hour           0.2EY      6     97.80    0.97     0.00   74.6047 
  20         72 hour           0.2EY      7     97.80    0.97     0.00   104.230 
  20         72 hour           0.2EY      8     97.80    0.97     0.00   57.7079 
  20         72 hour           0.2EY      9     97.80    0.97     0.00   22.6099 
  20         72 hour           0.2EY     10     97.80    0.97     0.00   47.1451 
  21         96 hour           0.2EY      1    103.00    0.97     0.00   100.326 
  21         96 hour           0.2EY      2    103.00    0.97     0.00   31.1297 
  21         96 hour           0.2EY      3    103.00    0.97     0.00   24.5770 
  21         96 hour           0.2EY      4    103.00    0.97     0.00   97.0636 
  21         96 hour           0.2EY      5    103.00    0.97     0.00   64.6398 
  21         96 hour           0.2EY      6    103.00    0.97     0.00   38.4930 
  21         96 hour           0.2EY      7    103.00    0.97     0.00   107.882 
  21         96 hour           0.2EY      8    103.00    0.97     0.00   90.1938 
  21         96 hour           0.2EY      9    103.00    0.97     0.00   74.8479 
  21         96 hour           0.2EY     10    103.00    0.97     0.00   236.702 
  22        120 hour           0.2EY      1    106.00    0.97     0.00   75.4970 
  22        120 hour           0.2EY      2    106.00    0.97     0.00   96.8086 
  22        120 hour           0.2EY      3    106.00    0.97     0.00   27.7817 
  22        120 hour           0.2EY      4    106.00    0.97     0.00   35.5583 
  22        120 hour           0.2EY      5    106.00    0.97     0.00   10.2227 
  22        120 hour           0.2EY      6    106.00    0.97     0.00   35.0499 
  22        120 hour           0.2EY      7    106.00    0.97     0.00   288.030 
  22        120 hour           0.2EY      8    106.00    0.97     0.00   73.5335 
  22        120 hour           0.2EY      9    106.00    0.97     0.00   17.4419 
  22        120 hour           0.2EY     10    106.00    0.97     0.00   31.8417 
  23        144 hour           0.2EY      1    107.00    0.97     0.00   71.7039 
  23        144 hour           0.2EY      2    107.00    0.97     0.00    8.3404 
  23        144 hour           0.2EY      3    107.00    0.97     0.00   55.1216 
  23        144 hour           0.2EY      4    107.00    0.97     0.00   20.4346 
  23        144 hour           0.2EY      5    107.00    0.97     0.00    7.6231 
  23        144 hour           0.2EY      6    107.00    0.97     0.00   62.9652 
  23        144 hour           0.2EY      7    107.00    0.97     0.00    4.3930 
  23        144 hour           0.2EY      8    107.00    0.97     0.00   98.0403 
  23        144 hour           0.2EY      9    107.00    0.97     0.00   48.1834 
  23        144 hour           0.2EY     10    107.00    0.97     0.00   16.4895 
  24        168 hour           0.2EY      1    107.00    0.98     0.00    1.0917 
  24        168 hour           0.2EY      2    107.00    0.98     0.00   43.9403 
  24        168 hour           0.2EY      3    107.00    0.98     0.00   10.3130 
  24        168 hour           0.2EY      4    107.00    0.98     0.00    8.7691 
  24        168 hour           0.2EY      5    107.00    0.98     0.00   12.9899 
  24        168 hour           0.2EY      6    107.00    0.98     0.00   29.6061 
  24        168 hour           0.2EY      7    107.00    0.98     0.00    0.0000 
  24        168 hour           0.2EY      8    107.00    0.98     0.00   56.0471 
  24        168 hour           0.2EY      9    107.00    0.98     0.00   11.0207 
  24        168 hour           0.2EY     10    107.00    0.98     0.00   12.2017 
  25         48 hour             10%      1    104.00    0.96     0.00   101.431 
  25         48 hour             10%      2    104.00    0.96     0.00   95.6284 
  25         48 hour             10%      3    104.00    0.96     0.00   52.5934 
  25         48 hour             10%      4    104.00    0.96     0.00   199.286 
  25         48 hour             10%      5    104.00    0.96     0.00   46.2588 
  25         48 hour             10%      6    104.00    0.96     0.00   60.6338 
  25         48 hour             10%      7    104.00    0.96     0.00   105.799 
  25         48 hour             10%      8    104.00    0.96     0.00   129.170 
  25         48 hour             10%      9    104.00    0.96     0.00   80.7461 
  25         48 hour             10%     10    104.00    0.96     0.00   126.647 
  26         72 hour             10%      1    115.00    0.97     0.00   123.818 
  26         72 hour             10%      2    115.00    0.97     0.00   71.7682 
  26         72 hour             10%      3    115.00    0.97     0.00   50.8883 
  26         72 hour             10%      4    115.00    0.97     0.00   41.9386 
  26         72 hour             10%      5    115.00    0.97     0.00   47.5606 
  26         72 hour             10%      6    115.00    0.97     0.00   102.490 
  26         72 hour             10%      7    115.00    0.97     0.00   141.804 
  26         72 hour             10%      8    115.00    0.97     0.00   83.5950 
  26         72 hour             10%      9    115.00    0.97     0.00   31.9366 
  26         72 hour             10%     10    115.00    0.97     0.00   71.8232 
  27         96 hour             10%      1    122.00    0.97     0.00   135.529 
  27         96 hour             10%      2    122.00    0.97     0.00   52.8184 
  27         96 hour             10%      3    122.00    0.97     0.00   45.1805 
  27         96 hour             10%      4    122.00    0.97     0.00   132.459 
  27         96 hour             10%      5    122.00    0.97     0.00   94.0257 
  27         96 hour             10%      6    122.00    0.97     0.00   56.0855 
  27         96 hour             10%      7    122.00    0.97     0.00   140.581 
  27         96 hour             10%      8    122.00    0.97     0.00   130.612 
  27         96 hour             10%      9    122.00    0.97     0.00   107.875 
  27         96 hour             10%     10    122.00    0.97     0.00   295.559 
  28        120 hour             10%      1    125.00    0.97     0.00   105.340 
  28        120 hour             10%      2    125.00    0.97     0.00   128.946 
  28        120 hour             10%      3    125.00    0.97     0.00   48.9000 
  28        120 hour             10%      4    125.00    0.97     0.00   55.2582 
  28        120 hour             10%      5    125.00    0.97     0.00   28.8660 
  28        120 hour             10%      6    125.00    0.97     0.00   56.0118 
  28        120 hour             10%      7    125.00    0.97     0.00   355.826 
  28        120 hour             10%      8    125.00    0.97     0.00   104.312 
  28        120 hour             10%      9    125.00    0.97     0.00   37.3097 
  28        120 hour             10%     10    125.00    0.97     0.00   50.6367 
  29        144 hour             10%      1    127.00    0.97     0.00   101.752 
  29        144 hour             10%      2    127.00    0.97     0.00   22.5562 
  29        144 hour             10%      3    127.00    0.97     0.00   80.6040 
  29        144 hour             10%      4    127.00    0.97     0.00   39.2698 
  29        144 hour             10%      5    127.00    0.97     0.00   19.1752 
  29        144 hour             10%      6    127.00    0.97     0.00   92.7390 
  29        144 hour             10%      7    127.00    0.97     0.00   14.7338 
  29        144 hour             10%      8    127.00    0.97     0.00   130.040 
  29        144 hour             10%      9    127.00    0.97     0.00   70.0763 
  29        144 hour             10%     10    127.00    0.97     0.00   29.6036 
  30        168 hour             10%      1    127.00    0.97     0.00    5.5915 
  30        168 hour             10%      2    127.00    0.97     0.00   70.5592 
  30        168 hour             10%      3    127.00    0.97     0.00   22.8022 
  30        168 hour             10%      4    127.00    0.97     0.00   15.4684 
  30        168 hour             10%      5    127.00    0.97     0.00   24.7767 
  30        168 hour             10%      6    127.00    0.97     0.00   43.6116 
  30        168 hour             10%      7    127.00    0.97     0.00    1.9342 
  30        168 hour             10%      8    127.00    0.97     0.00   84.9436 
  30        168 hour             10%      9    127.00    0.97     0.00   30.3863 
  30        168 hour             10%     10    127.00    0.97     0.00   19.6402 
  31         48 hour              5%      1    121.00    0.96     0.00   132.828 
  31         48 hour              5%      2    121.00    0.96     0.00   126.082 
  31         48 hour              5%      3    121.00    0.96     0.00   75.5747 
  31         48 hour              5%      4    121.00    0.96     0.00   251.340 
  31         48 hour              5%      5    121.00    0.96     0.00   68.0162 
  31         48 hour              5%      6    121.00    0.96     0.00   85.1328 
  31         48 hour              5%      7    121.00    0.96     0.00   142.919 
  31         48 hour              5%      8    121.00    0.96     0.00   166.001 
  31         48 hour              5%      9    121.00    0.96     0.00   111.950 
  31         48 hour              5%     10    121.00    0.96     0.00   162.844 
  32         72 hour              5%      1    135.00    0.97     0.00   157.768 
  32         72 hour              5%      2    135.00    0.97     0.00   99.5301 
  32         72 hour              5%      3    135.00    0.97     0.00   74.6248 
  32         72 hour              5%      4    135.00    0.97     0.00   64.1483 
  32         72 hour              5%      5    135.00    0.97     0.00   70.3992 
  32         72 hour              5%      6    135.00    0.97     0.00   135.971 
  32         72 hour              5%      7    135.00    0.97     0.00   185.215 
  32         72 hour              5%      8    135.00    0.97     0.00   115.796 
  32         72 hour              5%      9    135.00    0.97     0.00   61.3033 
  32         72 hour              5%     10    135.00    0.97     0.00   100.182 
  33         96 hour              5%      1    143.00    0.97     0.00   173.513 
  33         96 hour              5%      2    143.00    0.97     0.00   76.6396 
  33         96 hour              5%      3    143.00    0.97     0.00   67.2978 
  33         96 hour              5%      4    143.00    0.97     0.00   171.459 
  33         96 hour              5%      5    143.00    0.97     0.00   127.526 
