"EG12_012 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG12_012.tcf]","Time (h)","H FC01.1_R.1 [EG12_012]","H FC01.1_R.2 [EG12_012]","H FC04.1_C.1 [EG12_012]","H FC04.1_C.2 [EG12_012]","H OC999.8 [EG12_012]","H OC999.9 [EG12_012]","H SGate1.1 [EG12_012]","H SGate1.2 [EG12_012]"
       1,          0.000000,     45.3990,     44.4990,     43.3490,     42.7490,     42.3000,     38.3000,     40.9990,     40.9990
       2,          0.016667,     45.3990,     44.4990,     43.3490,     42.7490,     42.3000,     38.3000,     40.9990,     40.9990
       3,          0.033333,     45.3990,     44.4990,     43.3490,     42.7490,     42.3000,     38.3000,     40.9990,     40.9990
       4,          0.050000,     45.3990,     44.4990,     43.3490,     42.7490,     42.3000,     38.3000,     40.9990,     40.9990
       5,          0.066667,     45.3990,     44.4990,     43.3490,     42.7490,     42.3000,     38.3000,     40.9990,     40.9990
       6,          0.083333,     45.3990,     44.4990,     43.3490,     42.7490,     42.3000,     38.3000,     40.9990,     40.9990
       7,          0.100000,     45.3990,     44.4990,     43.3490,     42.7490,     42.3000,     38.3000,     40.9990,     40.9990
       8,          0.116667,     45.3990,     44.4990,     43.3490,     42.7490,     42.3000,     38.3000,     40.9990,     40.9990
       9,          0.133333,     45.3990,     44.4990,     43.3490,     42.7490,     42.3000,     38.3000,     40.9990,     40.9990
      10,          0.150000,     45.3990,     44.4990,     43.3490,     42.7490,     42.3000,     38.3000,     40.9990,     40.9990
      11,          0.166667,     45.3990,     44.4990,     43.3490,     42.7490,     42.3000,     38.3000,     40.9990,     40.9990
      12,          0.183333,     45.3990,     44.4990,     43.3490,     42.7490,     42.3000,     38.3000,     40.9990,     40.9990
      13,          0.200000,     45.3990,     44.4990,     43.3490,     42.7490,     42.3000,     38.3000,     40.9990,     40.9990
      14,          0.216667,     45.6237,     44.4990,     43.3490,     42.7490,     42.3000,     38.3000,     40.9990,     40.9990
      15,          0.233333,     45.7619,     44.4990,     43.3490,     42.7490,     42.3000,     38.3000,     40.9990,     40.9990
      16,          0.250000,     45.8464,     44.5575,     43.3490,     42.7490,     42.3000,     38.3000,     40.9990,     40.9990
      17,          0.266667,     45.9071,     44.6491,     43.3490,     42.7490,     42.3000,     38.3000,     40.9990,     40.9990
      18,          0.283333,     45.9555,     44.7121,     43.3490,     42.7490,     42.3000,     38.3000,     40.9990,     40.9990
      19,          0.300000,     45.9931,     44.7739,     43.3490,     42.7490,     42.3000,     38.3000,     40.9990,     40.9990
      20,          0.316667,     46.0437,     44.8294,     43.3490,     42.7490,     42.3000,     38.3000,     40.9990,     40.9990
      21,          0.333333,     46.0928,     44.8838,     43.3490,     42.7490,     42.3000,     38.3000,     40.9990,     40.9990
      22,          0.350000,     46.1405,     44.9362,     43.3490,     42.7490,     42.3000,     38.3000,     40.9990,     40.9990
      23,          0.366667,     46.1908,     44.9906,     43.3490,     42.7490,     42.3000,     38.3000,     40.9990,     40.9990
      24,          0.383333,     46.2516,     45.0556,     43.3490,     42.7490,     42.3000,     38.3000,     40.9990,     40.9990
      25,          0.400000,     46.3118,     45.1270,     43.3490,     42.7490,     42.3000,     38.3000,     40.9990,     40.9990
      26,          0.416667,     46.3793,     45.1949,     43.3490,     42.7490,     42.3000,     38.3000,     40.9990,     40.9990
