"EG12_005 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG12_005.tcf]","Time (h)","H FC01.1_R.1 [EG12_005]","H FC01.1_R.2 [EG12_005]","H FC04.1_C.1 [EG12_005]","H FC04.1_C.2 [EG12_005]","H OC_999.1 [EG12_005]","H OC_999.2 [EG12_005]"
       1,          0.000000,     45.3990,     44.4990,     43.3490,     42.7490,     37.5990,     37.5990
       2,          0.016667,     45.3990,     44.4990,     43.3490,     42.7490,     37.5990,     37.5990
       3,          0.033333,     45.3990,     44.4990,     43.3490,     42.7490,     37.5990,     37.5990
       4,          0.050000,     45.3990,     44.4990,     43.3490,     42.7490,     37.5990,     37.5990
       5,          0.066667,     45.3990,     44.4990,     43.3490,     42.7490,     37.5990,     37.5990
       6,          0.083333,     45.3990,     44.4990,     43.3490,     42.7490,     37.5990,     37.5990
       7,          0.100000,     45.3990,     44.4990,     43.3490,     42.7490,     37.5990,     37.5990
       8,          0.116667,     45.3990,     44.4990,     43.3490,     42.7490,     37.5990,     37.5990
       9,          0.133333,     45.3990,     44.4990,     43.3490,     42.7490,     37.5990,     37.5990
      10,          0.150000,     45.3990,     44.4990,     43.3490,     42.7490,     37.5990,     37.5990
      11,          0.166667,     45.3990,     44.4990,     43.3490,     42.7490,     37.5990,     37.5990
      12,          0.183333,     45.3990,     44.4990,     43.3490,     42.7490,     37.5990,     37.5990
      13,          0.200000,     45.3990,     44.4990,     43.3490,     42.7490,     37.5990,     37.5990
      14,          0.216667,     45.6237,     44.4990,     43.3490,     42.7490,     37.5990,     37.5990
      15,          0.233333,     45.7619,     44.4990,     43.3490,     42.7490,     37.5990,     37.5990
      16,          0.250000,     45.8464,     44.5575,     43.3490,     42.7490,     37.5990,     37.5990
      17,          0.266667,     45.9071,     44.6491,     43.3490,     42.7490,     37.5990,     37.5990
      18,          0.283333,     45.9555,     44.7121,     43.3490,     42.7490,     37.5990,     37.5990
      19,          0.300000,     45.9931,     44.7739,     43.3490,     42.7490,     37.5990,     37.5990
      20,          0.316667,     46.0437,     44.8294,     43.3490,     42.7490,     37.5990,     37.5990
      21,          0.333333,     46.0928,     44.8838,     43.3490,     42.7490,     37.5990,     37.5990
      22,          0.350000,     46.1405,     44.9362,     43.3490,     42.7490,     37.5990,     37.5990
      23,          0.366667,     46.1908,     44.9906,     43.3490,     42.7490,     37.5990,     37.5990
      24,          0.383333,     46.2516,     45.0556,     43.3490,     42.7490,     37.5990,     37.5990
      25,          0.400000,     46.3118,     45.1270,     43.3490,     42.7490,     37.5990,     37.5990
      26,          0.416667,     46.3793,     45.1949,     43.3490,     42.7490,     37.5990,     37.5990
      27,          0.433333,     46.4561,     45.2654,     43.3490,     42.7490,     37.5990,     37.5990
      28,          0.450000,     46.5446,     45.3376,     43.3490,     42.7490,     37.5990,     37.5990
      29,          0.466667,     46.6340,     45.4233,     43.3490,     42.7490,     37.5990,     37.5990
      30,          0.483333,     46.7579,     45.5129,     43.3490,     42.7490,     37.5990,     37.5990
      31,          0.500000,     46.8806,     45.6049,     43.3490,     42.7490,     37.5990,     37.5990
      32,          0.516667,     47.0061,     45.6978,     43.3490,     42.7490,     37.5990,     37.5990
      33,          0.533333,     47.1748,     45.8126,     43.3490,     42.7490,     38.5711,     37.5990
      34,          0.550000,     47.3955,     45.9614,     43.3490,     42.7490,     39.1291,     37.5990
      35,          0.566667,     47.6475,     46.1224,     43.3490,     42.7490,     39.5228,     37.5990
      36,          0.583333,     47.9195,     46.2529,     43.3490,     42.7490,     39.7815,     37.5990
      37,          0.600000,     48.1986,     46.3624,     43.3490,     42.7490,     39.9735,     37.5990
      38,          0.616667,     48.4590,     46.4562,     43.3490,     42.7490,     40.1704,     37.5990
      39,          0.633333,     48.6977,     46.5295,     43.3490,     42.7490,     40.3652,     37.5990
      40,          0.650000,     48.9214,     46.5914,     43.3490,     42.7490,     40.5576,     37.5990
      41,          0.666667,     49.1397,     46.6501,     43.3490,     42.7490,     40.7558,     37.5990
      42,          0.683333,     49.3516,     46.6989,     43.3490,     42.7490,     40.9522,     37.5990
      43,          0.700000,     49.5245,     46.8061,     43.3490,     42.7490,     41.1427,     37.5990
      44,          0.716667,     49.6448,     46.9560,     43.3490,     42.7490,     41.3093,     37.5990
      45,          0.733333,     49.7222,     47.0987,     43.3490,     42.7490,     41.4591,     37.5990
      46,          0.750000,     49.7705,     47.2084,     43.3490,     42.7490,     41.5995,     37.5990
      47,          0.766667,     49.8011,     47.2798,     43.3490,     42.7490,     41.7347,     37.5990
      48,          0.783333,     49.8184,     47.3204,     43.3490,     42.7490,     41.8716,     37.5990
      49,          0.800000,     49.8290,     47.3432,     43.3490,     42.7490,     42.0114,     37.5990
      50,          0.816667,     49.8365,     47.3573,     43.3490,     42.7490,     42.1456,     38.0223
      51,          0.833333,     49.8421,     47.3674,     43.3490,     42.7490,     42.2685,     38.3863
      52,          0.850000,     49.8464,     47.3752,     43.3490,     42.7490,     42.3767,     38.7290
      53,          0.866667,     49.8490,     47.3804,     43.3490,     42.7490,     42.4705,     39.0223
      54,          0.883333,     49.8509,     47.3837,     43.3490,     42.7511,     42.5578,     39.2123
      55,          0.900000,     49.8524,     47.3863,     43.3490,     42.8031,     42.6383,     39.3241
      56,          0.916667,     49.8537,     47.3884,     43.3490,     42.8457,     42.7135,     39.4025
      57,          0.933333,     49.8548,     47.3902,     43.3490,     42.8922,     42.7833,     39.4613
      58,          0.950000,     49.8551,     47.3912,     43.3490,     42.9412,     42.8487,     39.5045
      59,          0.966667,     49.8550,     47.3913,     43.3490,     42.9827,     42.9105,     39.5374
      60,          0.983333,     49.8548,     47.3911,     43.3490,     43.0553,     42.9680,     39.5624
      61,          1.000000,     49.8544,     47.3905,     43.3490,     43.1409,     43.0199,     39.6078
      62,          1.016667,     49.8538,     47.3898,     43.3490,     43.1733,     43.0712,     39.7297
      63,          1.033333,     49.8521,     47.3880,     43.3490,     43.2204,     43.1130,     39.8712
      64,          1.050000,     49.8500,     47.3852,     43.3490,     43.2537,     43.1477,     40.0107
      65,          1.066667,     49.8477,     47.3819,     43.3490,     43.2948,     43.1755,     40.1468
      66,          1.083333,     49.8452,     47.3783,     43.3490,     43.3224,     43.1985,     40.2759
      67,          1.100000,     49.8423,     47.3743,     43.3490,     43.3493,     43.2215,     40.3734
      68,          1.116667,     49.8369,     47.3675,     43.3490,     43.3701,     43.2479,     40.4225
      69,          1.133333,     49.8305,     47.3584,     43.3490,     43.3892,     43.2720,     40.4522
      70,          1.150000,     49.8229,     47.3480,     43.3490,     43.4084,     43.2961,     40.4711
      71,          1.166667,     49.8151,     47.3366,     43.3490,     43.4283,     43.3180,     40.4834
      72,          1.183333,     49.8069,     47.3246,     43.3490,     43.4455,     43.3388,     40.4919
      73,          1.200000,     49.7979,     47.3115,     43.3490,     43.4624,     43.3587,     40.4980
      74,          1.216667,     49.7885,     47.2973,     43.3490,     43.4774,     43.3770,     40.5027
      75,          1.233333,     49.7788,     47.2826,     43.3531,     43.4922,     43.3939,     40.5064
      76,          1.250000,     49.7688,     47.2671,     43.3607,     43.5055,     43.4097,     40.5095
      77,          1.266667,     49.7583,     47.2515,     43.3678,     43.5176,     43.4239,     40.5121
      78,          1.283333,     49.7459,     47.2333,     43.3751,     43.5290,     43.4369,     40.5144
      79,          1.300000,     49.7323,     47.2122,     43.3825,     43.5390,     43.4487,     40.5165
      80,          1.316667,     49.7176,     47.1894,     43.3907,     43.5478,     43.4591,     40.5183
      81,          1.333333,     49.7024,     47.1650,     43.4005,     43.5554,     43.4681,     40.5199
      82,          1.350000,     49.6864,     47.1396,     43.4116,     43.5615,     43.4756,     40.5212
      83,          1.366667,     49.6696,     47.1130,     43.4243,     43.5658,     43.4817,     40.5223
      84,          1.383333,     49.6519,     47.0847,     43.4375,     43.5698,     43.4864,     40.5232
      85,          1.400000,     49.6332,     47.0549,     43.4508,     43.5719,     43.4895,     40.5239
      86,          1.416667,     49.6134,     47.0247,     43.4639,     43.5729,     43.4913,     40.5243
      87,          1.433333,     49.5923,     46.9922,     43.4768,     43.5726,     43.4918,     40.5246
      88,          1.450000,     49.5705,     46.9602,     43.4892,     43.5709,     43.4908,     40.5246
      89,          1.466667,     49.5474,     46.9282,     43.5049,     43.5671,     43.4885,     40.5245
      90,          1.483333,     49.5225,     46.8969,     43.5190,     43.5642,     43.4849,     40.5242
      91,          1.500000,     49.4957,     46.8647,     43.5313,     43.5589,     43.4801,     40.5236
      92,          1.516667,     49.4665,     46.8333,     43.5410,     43.5538,     43.4741,     40.5229
      93,          1.533333,     49.4346,     46.8037,     43.5448,     43.5473,     43.4672,     40.5221
      94,          1.550000,     49.3983,     46.7790,     43.5432,     43.5393,     43.4594,     40.5211
