"EG12_012 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG12_012.tcf]","Time (h)","Q FC01.1_R [EG12_012]","Q FC04.1_C [EG12_012]","Q OC_001 [EG12_012]","Q SGate1 [EG12_012]"
     106,          1.750000,          36.829,           0.130,           0.000,          61.451
     107,          1.766667,          35.805,           0.119,           0.000,          61.249
     108,          1.783333,          34.729,           0.108,           0.000,          61.038
     109,          1.800000,          33.602,           0.099,           0.000,          60.820
     110,          1.816667,          32.405,           0.091,           0.000,          60.593
     111,          1.833333,          31.143,           0.084,           0.000,          60.355
     112,          1.850000,          29.817,           0.077,           0.000,          60.107
     113,          1.866667,          28.441,           0.071,           0.000,          59.847
     114,          1.883333,          26.695,           0.066,           0.000,          59.575
     115,          1.900000,          25.043,           0.061,           0.000,          59.290
     116,          1.916667,          23.650,           0.056,           0.000,          58.992
     117,          1.933333,          22.485,           0.052,           0.000,          58.678
     118,          1.950000,          21.515,           0.049,           0.000,          58.347
     119,          1.966667,          20.729,           0.045,           0.000,          58.001
     120,          1.983333,          20.077,           0.042,           0.000,          57.639
     121,          2.000000,          19.530,           0.039,           0.000,          57.257
     122,          2.016667,          19.069,           0.037,           0.000,          53.203
     123,          2.033334,          18.628,           0.035,           0.000,          49.195
     124,          2.050000,          18.202,           0.032,           0.000,          45.236
     125,          2.066667,          17.775,           0.030,           0.000,          41.326
     126,          2.083333,          17.341,           0.029,           0.000,          37.485
     127,          2.100000,          16.905,           0.027,           0.000,          33.660
     128,          2.116667,          16.452,           0.025,           0.000,          29.869
     129,          2.133333,          15.975,           0.024,           0.000,          27.942
     130,          2.150000,          15.475,           0.023,           0.000,          27.876
     131,          2.166667,          14.961,           0.021,           0.000,          27.813
     132,          2.183333,          14.467,           0.020,           0.000,          27.743
     133,          2.200000,          13.957,           0.019,           0.000,          27.675
     134,          2.216667,          13.540,           0.018,           0.000,          27.602
     135,          2.233333,          13.199,           0.017,           0.000,          27.526
     136,          2.250000,          12.910,           0.017,           0.000,          27.445
     137,          2.266667,          12.658,           0.016,           0.000,          27.363
     138,          2.283334,          12.435,           0.015,           0.000,          27.279
     139,          2.300000,          12.204,           0.014,           0.000,          27.190
     140,          2.316667,          11.960,           0.014,           0.000,          27.101
     141,          2.333333,          11.734,           0.013,           0.000,          27.008
     142,          2.350000,          11.482,           0.012,           0.000,          26.914
     143,          2.366667,          11.272,           0.012,           0.000,          26.816
     144,          2.383333,          11.028,           0.011,           0.000,          26.717
     145,          2.400000,          10.811,           0.011,           0.000,          26.615
     146,          2.416667,          10.610,           0.010,           0.000,          26.510
     147,          2.433333,          10.420,           0.010,           0.000,          26.404
     148,          2.450000,          10.258,           0.010,           0.000,          26.295
     149,          2.466667,          10.099,           0.009,           0.000,          26.182
     150,          2.483333,           9.889,           0.009,           0.000,          26.067
     151,          2.500000,           9.663,           0.008,           0.000,          25.950
     152,          2.516667,           9.434,           0.008,           0.000,          25.830
     153,          2.533334,           9.199,           0.008,           0.000,          25.708
     154,          2.550000,           8.988,           0.008,           0.000,          25.584
     155,          2.566667,           8.768,           0.007,           0.000,          25.457
     156,          2.583333,           8.527,           0.007,           0.000,          25.330
     157,          2.600000,           8.269,           0.007,           0.000,          25.198
     158,          2.616667,           8.031,           0.007,           0.000,          25.062
     159,          2.633333,           7.819,           0.006,           0.000,          24.923
     160,          2.650000,           7.645,           0.006,           0.000,          24.782
     161,          2.666667,           7.444,           0.006,           0.000,          24.637
     162,          2.683333,           7.256,           0.006,           0.000,          24.490
     163,          2.700000,           7.070,           0.005,           0.000,          24.337
     164,          2.716667,           6.877,           0.005,           0.000,          24.182
     165,          2.733334,           6.672,           0.005,           0.000,          24.021
     166,          2.750000,           6.466,           0.005,           0.000,          23.858
     167,          2.766667,           6.248,           0.005,           0.000,          23.691
     168,          2.783334,           6.083,           0.005,           0.000,          23.519
     169,          2.800000,           5.836,           0.004,           0.000,          23.344
     170,          2.816667,           5.584,           0.004,           0.000,          23.165
