"EG12_003 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG12_003.tcf]","ID (Lowest)","Q Below","Q Above","Q Total","A Below","A Above","A Total","V Below","V Above","V Combined","h U/S","h D/S","dh","Time"
       1,"FC04.1_C",             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,     0.000,     0.000,     0.000,    43.349,    42.749,     0.600,     0.000
       2,"FC01.2_R",            70.1,             0.0,            70.1,            14.4,             0.0,            14.4,     4.869,     0.000,     4.869,    42.611,    40.652,     1.958,     1.363
       3,"FC01.1_R",            47.5,             0.0,            47.5,             5.8,             0.0,             5.8,     8.138,     0.000,     8.138,    49.855,    47.391,     2.464,     0.953
       4,"OC_001",             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,     0.000,     0.000,     0.000,    42.701,    43.632,    -0.931,     1.363
