"EG12_011 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG12_011.tcf]","Time(h)","F FC01.1_R [EG12_011]","F FC04.1_C [EG12_011]","F OC_001 [EG12_011]","F OC_002 [EG12_011]"
      74,          1.216667,L,J,X,
      75,          1.233333,L,J,X,
      76,          1.250000,L,J,X,
      77,          1.266667,L,J,X,
      78,          1.283333,L,J,X,
      79,          1.300000,L,J,X,
      80,          1.316667,L,J,X,
      81,          1.333333,L,J,X,
      82,          1.350000,L,J,X,
      83,          1.366667,L,D,X,
      84,          1.383333,L,D,X,
      85,          1.400000,L,D,X,
      86,          1.416667,L,D,X,
      87,          1.433333,L,D,X,
      88,          1.450000,L,D,X,
      89,          1.466667,L,D,X,
      90,          1.483333,L,D,X,
      91,          1.500000,L,D,X,
      92,          1.516667,L,D,X,
      93,          1.533333,L,D,X,
      94,          1.550000,L,A,X,
      95,          1.566667,L,A,X,
      96,          1.583333,L,A,X,
      97,          1.600000,L,A,X,
      98,          1.616667,L,A,X,
      99,          1.633333,L,A,X,
     100,          1.650000,L,A,X,
     101,          1.666667,L,A,X,
     102,          1.683333,L,A,X,
     103,          1.700000,L,A,X,
     104,          1.716667,L,A,X,
     105,          1.733333,L,A,X,
     106,          1.750000,L,A,X,
     107,          1.766667,L,A,X,
     108,          1.783333,L,A,X,
     109,          1.800000,L,A,X,
     110,          1.816667,L,A,X,
     111,          1.833333,L,A,X,
     112,          1.850000,L,A,X,
     113,          1.866667,L,A,X,
     114,          1.883333,A,A,X,
     115,          1.900000,A,A,X,
     116,          1.916667,A,A,X,
     117,          1.933333,A,A,X,
     118,          1.950000,A,A,X,
     119,          1.966667,A,A,X,
     120,          1.983333,A,A,X,
     121,          2.000000,A,A,X,
     122,          2.016667,A,A,X,
     123,          2.033334,A,A,X,
     124,          2.050000,A,A,X,
     125,          2.066667,A,A,X,
     126,          2.083333,A,A,X,
     127,          2.100000,A,A,X,
     128,          2.116667,A,A,X,
     129,          2.133333,A,A,X,
     130,          2.150000,A,A,X,
     131,          2.166667,A,A,X,
     132,          2.183333,A,A,X,
     133,          2.200000,A,A,X,
     134,          2.216667,A,A,X,
     135,          2.233333,A,A,X,
     136,          2.250000,A,A,X,
     137,          2.266667,A,A,X,
     138,          2.283334,A,A,X,
     139,          2.300000,A,A,X,
     140,          2.316667,A,A,X,
     141,          2.333333,A,A,X,
     142,          2.350000,A,A,X,
     143,          2.366667,A,A,X,
     144,          2.383333,A,A,X,
     145,          2.400000,A,A,X,
     146,          2.416667,A,A,X,
     147,          2.433333,A,A,X,
     148,          2.450000,A,A,X,
     149,          2.466667,A,A,X,
     150,          2.483333,A,A,X,
     151,          2.500000,A,A,X,
     152,          2.516667,A,A,X,
     153,          2.533334,A,A,X,
     154,          2.550000,A,A,X,
     155,          2.566667,A,A,X,
     156,          2.583333,A,A,X,
     157,          2.600000,A,A,X,
     158,          2.616667,A,A,X,
     159,          2.633333,A,A,X,
     160,          2.650000,A,A,X,
     161,          2.666667,A,A,X,
     162,          2.683333,A,A,X,
     163,          2.700000,A,A,X,
     164,          2.716667,A,A,X,
     165,          2.733334,A,A,X,
     166,          2.750000,A,A,X,
     167,          2.766667,A,A,X,
     168,          2.783334,A,A,X,
     169,          2.800000,A,A,X,
     170,          2.816667,A,A,X,
     171,          2.833333,A,A,X,
     172,          2.850000,A,A,X,
     173,          2.866667,A,A,X,
     174,          2.883333,A,A,X,
     175,          2.900000,A,A,X,
     176,          2.916667,A,A,X,
     177,          2.933333,A,A,X,
     178,          2.950000,A,A,X,
     179,          2.966667,A,A,X,
     180,          2.983334,A,A,X,
     181,          3.000000,A,A,X,
