"EG12_006 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG12_006.tcf]","Time (h)","SQ FC04.1_C [EG12_006]","SQ OC_999 [EG12_006]","SQ FC01.1_R [EG12_006]"
      90,          1.483333,      0.3470,     71.6234,     45.0596
      91,          1.500000,      0.4138,     71.4924,     44.8609
      92,          1.516667,      0.4218,     77.2951,     44.6433
      93,          1.533333,      0.4639,     82.6979,     44.4043
      94,          1.550000,      0.6427,     87.8836,     44.1306
      95,          1.566667,      0.7862,     87.6190,     43.8046
      96,          1.583333,      0.7420,     87.2415,     43.4142
      97,          1.600000,      0.6530,     86.8371,     42.9635
      98,          1.616667,      0.5758,     86.4329,     42.4818
      99,          1.633333,      0.5086,     86.0195,     41.9615
     100,          1.650000,      0.4505,     85.6083,     41.4030
     101,          1.666667,      0.4002,     85.1892,     40.7949
     102,          1.683333,      0.3562,     84.7581,     40.1380
     103,          1.700000,      0.3176,     84.3249,     39.4188
     104,          1.716667,      0.2838,     83.8829,     38.6287
     105,          1.733333,      0.2542,     83.4334,     37.7686
     106,          1.750000,      0.2283,     82.9777,     36.8293
     107,          1.766667,      0.2055,     82.5094,     35.8046
     108,          1.783333,      0.1854,     82.0367,     34.7286
     109,          1.800000,      0.1677,     81.5501,     33.6022
     110,          1.816667,      0.1519,     81.0430,     32.4046
     111,          1.833333,      0.1379,     80.5254,     31.1432
     112,          1.850000,      0.1254,     79.9988,     29.8166
     113,          1.866667,      0.1144,     79.4992,     28.4407
     114,          1.883333,      0.1046,     78.9825,     26.6953
     115,          1.900000,      0.0959,     78.4465,     25.0430
     116,          1.916667,      0.0880,     77.8921,     23.6495
     117,          1.933333,      0.0809,     77.3146,     22.4847
     118,          1.950000,      0.0746,     76.7143,     21.5150
     119,          1.966667,      0.0688,     76.0922,     20.7290
     120,          1.983333,      0.0636,     75.4416,     20.0768
     121,          2.000000,      0.0589,     74.7638,     19.5300
     122,          2.016667,      0.0547,     74.0574,     19.0684
     123,          2.033334,      0.0508,     73.3216,     18.6274
     124,          2.050000,      0.0473,     72.5603,     18.2018
     125,          2.066667,      0.0441,     71.7691,     17.7744
     126,          2.083333,      0.0411,     70.9552,     17.3407
     127,          2.100000,      0.0384,     70.1016,     16.9040
     128,          2.116667,      0.0359,     69.2153,     16.4515
     129,          2.133333,      0.0337,     68.2869,     15.9751
     130,          2.150000,      0.0316,     67.3129,     15.4755
     131,          2.166667,      0.0296,     66.3014,     14.9612
     132,          2.183333,      0.0279,     65.2239,     14.4668
     133,          2.200000,      0.0263,     56.6773,     13.9564
     134,          2.216667,      0.0248,     56.8229,     13.5399
     135,          2.233333,      0.0234,     33.6923,     13.1996
     136,          2.250000,      0.0222,      7.6497,     12.9092
     137,          2.266667,      0.0210,      0.0000,     12.6573
     138,          2.283334,      0.0199,     33.4163,     12.4351
     139,          2.300000,      0.0189,      8.5418,     12.2011
     140,          2.316667,      0.0179,      0.0000,     11.9603
     141,          2.333333,      0.0170,     48.8175,     11.7341
     142,          2.350000,      0.0162,      8.5418,     11.4820
     143,          2.366667,      0.0154,      8.5355,     11.2713
     144,          2.383333,      0.0147,      7.0473,     11.0282
     145,          2.400000,      0.0140,      0.0000,     10.8124
     146,          2.416667,      0.0134,      5.7696,     10.6084
     147,          2.433333,      0.0128,      0.0000,     10.4184
     148,          2.450000,      0.0122,      0.0000,     10.2598
     149,          2.466667,      0.0117,     19.9830,     10.0965
     150,          2.483333,      0.0112,      0.0000,      9.8889
     151,          2.500000,      0.0107,      0.0000,      9.6625
     152,          2.516667,      0.0102,      4.9345,      9.4336
     153,          2.533334,      0.0098,      4.9413,      9.1991
     154,          2.550000,      0.0094,      4.9375,      8.9875
     155,          2.566667,      0.0090,      0.5098,      8.7670
     156,          2.583333,      0.0087,     11.9636,      8.5271
     157,          2.600000,      0.0084,     10.6980,      8.2700
     158,          2.616667,      0.0080,      8.3137,      8.0316
     159,          2.633333,      0.0077,      4.4572,      7.8194
     160,          2.650000,      0.0074,      0.1259,      7.6434
     161,          2.666667,      0.0072,      0.0004,      7.4445
     162,          2.683333,      0.0069,      0.0004,      7.2558
     163,          2.700000,      0.0067,      0.0004,      7.0702
     164,          2.716667,      0.0064,      4.2706,      6.8772
     165,          2.733334,      0.0062,      8.7257,      6.6718
     166,          2.750000,      0.0060,     13.0347,      6.4655
     167,          2.766667,      0.0058,     13.1520,      6.2469
     168,          2.783334,      0.0056,     13.1286,      6.0832
     169,          2.800000,      0.0054,     13.1008,      5.8363
     170,          2.816667,      0.0052,     13.0705,      5.5836
     171,          2.833333,      0.0050,     13.0411,      5.3344
     172,          2.850000,      0.0049,     13.0100,      5.0820
     173,          2.866667,      0.0047,     12.8339,      4.8300
     174,          2.883333,      0.0046,      4.9443,      4.5858
     175,          2.900000,      0.0044,      9.4636,      4.3379
     176,          2.916667,      0.0043,      0.0000,      4.0974
     177,          2.933333,      0.0042,      0.0000,      3.8544
     178,          2.950000,      0.0040,     11.7113,      3.6327
     179,          2.966667,      0.0039,      2.7125,      3.4241
     180,          2.983334,      0.0038,      0.0083,      3.2490
     181,          3.000000,      0.0037,      0.0000,      3.0677
