"EG12_013 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG12_013.tcf]","Time (h)","Q FC01.1_R [EG12_013]","Q FC01.2_R [EG12_013]","Q FC04.1_C [EG12_013]","Q OC_001 [EG12_013]"
      53,          0.866667,          47.415,          50.440,           0.000,           0.000
      54,          0.883333,          47.428,          53.038,           0.000,           0.000
      55,          0.900000,          47.439,          55.123,           0.000,           0.000
      56,          0.916667,          47.448,          56.841,           0.000,           0.000
      57,          0.933333,          47.456,          58.289,           0.000,           0.000
      58,          0.950000,          47.458,          59.525,           0.000,           0.000
      59,          0.966667,          47.458,          60.596,           0.000,           0.000
      60,          0.983333,          47.456,          61.546,           0.000,           0.000
      61,          1.000000,          47.453,          62.408,           0.000,           0.000
      62,          1.016667,          47.449,          63.189,           0.000,           0.004
      63,          1.033333,          47.437,          63.897,           0.000,           0.009
      64,          1.050000,          47.423,          64.546,           0.000,           0.013
      65,          1.066667,          47.406,          65.172,           0.000,           0.018
      66,          1.083333,          47.388,          65.791,           0.000,           0.022
      67,          1.100000,          47.368,          66.361,           0.000,           0.022
      68,          1.116667,          47.330,          66.887,           0.000,           0.022
      69,          1.133333,          47.285,          67.373,           0.000,           0.022
      70,          1.150000,          47.232,          67.822,           0.000,           0.022
      71,          1.166667,          47.176,          68.228,           0.000,           0.022
      72,          1.183333,          47.118,          68.598,           0.000,           0.022
      73,          1.200000,          47.054,          68.929,           0.000,           0.022
      74,          1.216667,          46.988,          69.222,           0.000,           0.022
      75,          1.233333,          46.919,          69.479,           0.000,           0.022
      76,          1.250000,          46.848,          69.702,           0.000,           0.022
      77,          1.266667,          46.773,          69.892,           0.000,           0.022
      78,          1.283333,          46.684,          70.049,           0.000,           0.022
      79,          1.300000,          46.587,          70.177,           0.000,           0.022
      80,          1.316667,          46.482,          70.275,           0.000,           0.022
      81,          1.333333,          46.372,          70.342,           0.000,           0.022
      82,          1.350000,          46.257,          70.377,           0.000,           0.022
      83,          1.366667,          46.136,          70.379,           0.000,           0.022
      84,          1.383333,          46.008,          70.347,           0.000,           0.022
      85,          1.400000,          45.872,          70.284,           0.000,           0.022
      86,          1.416667,          45.728,          70.188,           0.000,           0.022
      87,          1.433333,          45.573,          70.062,           0.000,           0.022
      88,          1.450000,          45.414,          69.905,           0.000,           0.022
      89,          1.466667,          45.244,          69.715,           0.000,           0.022
      90,          1.483333,          45.060,          69.494,           0.000,           0.022
      91,          1.500000,          44.861,          69.243,           0.000,           0.022
      92,          1.516667,          44.643,          68.964,           0.000,           0.018
      93,          1.533333,          44.404,          68.656,           0.000,           0.013
      94,          1.550000,          44.131,          68.320,           0.000,           0.009
      95,          1.566667,          43.805,          67.957,           0.000,           0.004
      96,          1.583333,          43.414,          67.568,           0.000,           0.000
      97,          1.600000,          42.963,          67.155,           0.000,           0.000
      98,          1.616667,          42.482,          66.725,           0.000,           0.000
      99,          1.633333,          41.961,          66.278,           0.000,           0.000
     100,          1.650000,          41.403,          65.818,           0.000,           0.000
     101,          1.666667,          40.795,          65.343,           0.000,           0.000
     102,          1.683333,          40.138,          64.853,           0.000,           0.000
     103,          1.700000,          39.418,          64.347,           0.000,           0.000
     104,          1.716667,          38.628,          63.825,           0.000,           0.000
     105,          1.733333,          37.768,          63.283,           0.000,           0.000
     106,          1.750000,          36.829,          62.722,           0.000,           0.000
     107,          1.766667,          35.804,          62.132,           0.000,           0.000
     108,          1.783333,          34.728,          61.511,           0.000,           0.000
     109,          1.800000,          33.601,          60.862,           0.000,           0.000
     110,          1.816667,          32.403,          60.175,           0.000,           0.000
     111,          1.833333,          31.142,          59.451,           0.000,           0.000
     112,          1.850000,          29.815,          58.676,           0.000,           0.000
     113,          1.866667,          28.438,          57.846,           0.000,           0.000
     114,          1.883333,          26.692,          56.951,           0.000,           0.000
     115,          1.900000,          25.039,          55.980,           0.000,           0.000
     116,          1.916667,          23.646,          54.921,           0.000,           0.000
     117,          1.933333,          22.482,          53.775,           0.000,           0.000
     118,          1.950000,          21.512,          52.532,           0.000,           0.000
     119,          1.966667,          20.727,          51.180,           0.000,           0.000
     120,          1.983333,          20.075,          49.697,           0.000,           0.000
     121,          2.000000,          19.528,          48.060,           0.000,           0.000
     122,          2.016667,          19.067,          46.241,           0.000,           0.000
     123,          2.033334,          18.626,          44.248,           0.000,           0.000
     124,          2.050000,          18.200,          42.046,           0.000,           0.000
     125,          2.066667,          17.773,          39.687,           0.000,           0.000
     126,          2.083333,          17.340,          37.263,           0.000,           0.000
     127,          2.100000,          16.901,          34.793,           0.000,           0.000
     128,          2.116667,          16.451,          32.400,           0.000,           0.000
     129,          2.133333,          15.974,          30.102,           0.000,           0.000
     130,          2.150000,          15.475,          27.925,           0.000,           0.000
     131,          2.166667,          14.960,          25.894,           0.000,           0.000
     132,          2.183333,          14.465,          24.082,           0.000,           0.000
     133,          2.200000,          13.955,          22.463,           0.000,           0.000
     134,          2.216667,          13.539,          21.074,           0.000,           0.000
     135,          2.233333,          13.200,          19.928,           0.000,           0.000
     136,          2.250000,          12.908,          18.926,           0.000,           0.000
     137,          2.266667,          12.657,          18.106,           0.000,           0.000
     138,          2.283334,          12.434,          17.426,           0.000,           0.000
     139,          2.300000,          12.202,          16.830,           0.000,           0.000
     140,          2.316667,          11.976,          16.287,           0.000,           0.000
     141,          2.333333,          11.733,          15.795,           0.000,           0.000
     142,          2.350000,          11.479,          15.348,           0.000,           0.000
     143,          2.366667,          11.268,          14.939,           0.000,           0.000
     144,          2.383333,          11.025,          14.587,           0.000,           0.000
     145,          2.400000,          10.814,          14.245,           0.000,           0.000
     146,          2.416667,          10.608,          13.907,           0.000,           0.000
     147,          2.433333,          10.418,          13.577,           0.000,           0.000
     148,          2.450000,          10.256,          13.269,           0.000,           0.000
     149,          2.466667,          10.093,          12.987,           0.000,           0.000
     150,          2.483333,           9.889,          12.730,           0.000,           0.000
     151,          2.500000,           9.661,          12.477,           0.000,           0.000
     152,          2.516667,           9.433,          12.223,           0.000,           0.000
     153,          2.533334,           9.199,          11.992,           0.000,           0.000
     154,          2.550000,           8.987,          11.771,           0.000,           0.000
     155,          2.566667,           8.767,          11.572,           0.000,           0.000
     156,          2.583333,           8.529,          11.361,           0.000,           0.000
     157,          2.600000,           8.268,          11.190,           0.000,           0.000
     158,          2.616667,           8.028,          10.951,           0.000,           0.000
     159,          2.633333,           7.819,          10.710,           0.000,           0.000
     160,          2.650000,           7.644,          10.485,           0.000,           0.000
     161,          2.666667,           7.444,          10.262,           0.000,           0.000
     162,          2.683333,           7.253,          10.045,           0.000,           0.000
     163,          2.700000,           7.071,           9.813,           0.000,           0.000
     164,          2.716667,           6.876,           9.581,           0.000,           0.000
     165,          2.733334,           6.671,           9.373,           0.000,           0.000
     166,          2.750000,           6.464,           9.155,           0.000,           0.000
     167,          2.766667,           6.249,           8.957,           0.000,           0.000
     168,          2.783334,           6.080,           8.810,           0.000,           0.000
     169,          2.800000,           5.836,           8.592,           0.000,           0.000
     170,          2.816667,           5.583,           8.529,           0.000,           0.000
     171,          2.833333,           5.333,           2.122,           0.000,           0.000
     172,          2.850000,           5.082,          13.199,           0.000,           0.000
     173,          2.866667,           4.829,           1.380,           0.000,           0.000
     174,          2.883333,           4.584,           1.939,           0.000,           0.000
     175,          2.900000,           4.336,           1.106,           0.000,           0.000
     176,          2.916667,           4.095,           1.996,           0.000,           0.000
     177,          2.933333,           3.852,          15.186,           0.000,           0.000
     178,          2.950000,           3.631,           0.860,           0.000,           0.000
     179,          2.966667,           3.423,          11.828,           0.000,           0.000
     180,          2.983334,           3.247,          11.641,           0.000,           0.000
     181,          3.000000,           3.068,          12.174,           0.000,           0.000
