"EG12_003 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG12_003.tcf]","Time (h)","SQ FC04.1_C [EG12_003]","SQ FC01.2_R [EG12_003]","SQ FC01.1_R [EG12_003]","SQ OC_001 [EG12_003]"
       1,          0.000000,      0.0000,      0.0000,      0.0000,      0.0000
       2,          0.016667,      0.0000,      0.0000,      0.0000,      0.0000
       3,          0.033333,      0.0000,      0.0000,      0.0000,      0.0000
       4,          0.050000,      0.0000,      0.0000,      0.0000,      0.0000
       5,          0.066667,      0.0000,      0.0000,      0.0000,      0.0000
       6,          0.083333,      0.0000,      0.0000,      0.0000,      0.0000
       7,          0.100000,      0.0000,      0.0000,      0.0000,      0.0000
       8,          0.116667,      0.0000,      0.0000,      0.0000,      0.0000
       9,          0.133333,      0.0000,      0.0000,      0.0000,      0.0000
      10,          0.150000,      0.0000,      0.0000,      0.0000,      0.0000
      11,          0.166667,      0.0000,      0.0000,      0.0000,      0.0000
      12,          0.183333,      0.0000,      0.0000,      0.0000,      0.0000
      13,          0.200000,      0.0000,      0.0000,      0.0000,      0.0000
      14,          0.216667,      0.0000,      0.0000,      0.8724,      0.0000
      15,          0.233333,      0.0000,      0.0000,      1.8008,      0.0000
      16,          0.250000,      0.0000,      0.0000,      2.4688,      0.0000
      17,          0.266667,      0.0000,      0.0000,      2.9900,      0.0000
      18,          0.283333,      0.0000,      0.0000,      3.4291,      0.0000
      19,          0.300000,      0.0000,      0.0000,      3.7830,      0.0000
      20,          0.316667,      0.0000,      0.0000,      4.2773,      0.0000
      21,          0.333333,      0.0000,      0.0000,      4.7758,      0.0000
      22,          0.350000,      0.0000,      0.0000,      5.2782,      0.0000
      23,          0.366667,      0.0000,      0.0000,      5.8236,      0.0000
      24,          0.383333,      0.0000,      0.0000,      6.5092,      0.0000
      25,          0.400000,      0.0000,      0.0000,      7.2117,      0.0000
      26,          0.416667,      0.0000,      0.0000,      8.0269,      0.0000
      27,          0.433333,      0.0000,      0.0000,      8.9891,      0.0000
      28,          0.450000,      0.0000,      0.0000,     10.1407,      0.0000
      29,          0.466667,      0.0000,      0.0000,     11.3503,      0.0000
      30,          0.483333,      0.0000,      0.0000,     13.1022,      0.0000
      31,          0.500000,      0.0000,      0.0000,     14.9184,      0.0000
      32,          0.516667,      0.0000,      0.0000,     16.8542,      0.0000
      33,          0.533333,      0.0000,      2.5460,     19.5766,      0.0000
      34,          0.550000,      0.0000,      3.6621,     23.3379,      0.0000
      35,          0.566667,      0.0000,      4.7592,     27.8980,      0.0000
      36,          0.583333,      0.0000,      5.4861,     30.9843,      0.0000
      37,          0.600000,      0.0000,      6.7880,     33.8573,      0.0000
      38,          0.616667,      0.0000,      8.1484,     36.3338,      0.0000
      39,          0.633333,      0.0000,     10.1344,     38.4640,      0.0000
      40,          0.650000,      0.0000,     12.2037,     40.3588,      0.0000
      41,          0.666667,      0.0000,     14.7693,     42.1247,      0.0086
      42,          0.683333,      0.0000,     17.6639,     43.7717,      0.1086
      43,          0.700000,      0.0000,     20.5319,     45.0709,      0.2086
      44,          0.716667,      0.0000,     23.4336,     45.9540,      0.3086
      45,          0.733333,      0.0000,     25.9283,     46.5135,      0.4087
      46,          0.750000,      0.0000,     28.1804,     46.8586,      0.5084
      47,          0.766667,      0.0000,     30.5753,     47.0762,      0.6087
      48,          0.783333,      0.0000,     33.1387,     47.1993,      0.7087
      49,          0.800000,      0.0000,     36.2450,     47.2742,      0.8087
      50,          0.816667,      0.0000,     39.6981,     47.3268,      0.9087
      51,          0.833333,      0.0000,     43.3046,     47.3668,      1.0000
      52,          0.850000,      0.0000,     46.8592,     47.3965,      1.0000
      53,          0.866667,      0.0000,     50.0343,     47.4153,      1.0000
      54,          0.883333,      0.0000,     52.6767,     47.4282,      1.0000
      55,          0.900000,      0.0000,     54.7821,     47.4391,      1.0000
      56,          0.916667,      0.0000,     56.5156,     47.4480,      1.0000
      57,          0.933333,      0.0000,     57.9741,     47.4562,      1.0000
      58,          0.950000,      0.0000,     59.2183,     47.4582,      1.0000
      59,          0.966667,      0.0000,     60.2925,     47.4576,      1.0000
      60,          0.983333,      0.0000,     61.2434,     47.4556,      1.0000
      61,          1.000000,      0.0000,     62.1092,     47.4529,      1.0000
      62,          1.016667,      0.0000,     62.8908,     47.4488,      1.0000
      63,          1.033333,      0.0000,     63.5983,     47.4374,      1.0000
      64,          1.050000,      0.0000,     64.2472,     47.4225,      1.0000
      65,          1.066667,      0.0000,     64.8712,     47.4060,      1.0000
      66,          1.083333,      0.0000,     65.4885,     47.3885,      1.0000
      67,          1.100000,      0.0000,     66.0560,     47.3677,      1.0000
      68,          1.116667,      0.0000,     66.5809,     47.3298,      1.0000
      69,          1.133333,      0.0000,     67.0644,     47.2847,      1.0000
      70,          1.150000,      0.0000,     67.5109,     47.2316,      1.0000
      71,          1.166667,      0.0000,     67.9159,     47.1764,      0.9396
      72,          1.183333,      0.0000,     68.2854,     47.1184,      0.8396
      73,          1.200000,      0.0000,     68.6159,     47.0545,      0.7397
      74,          1.216667,      0.0000,     68.9110,     46.9880,      0.6397
      75,          1.233333,      0.0000,     69.1708,     46.9189,      0.5397
      76,          1.250000,      0.0000,     69.3972,     46.8477,      0.4397
      77,          1.266667,      0.0000,     69.5912,     46.7727,      0.3397
      78,          1.283333,      0.0000,     69.7538,     46.6841,      0.2397
      79,          1.300000,      0.0000,     69.8880,     46.5866,      0.1397
      80,          1.316667,      0.0000,     69.9937,     46.4819,      0.0397
      81,          1.333333,      0.0000,     70.0670,     46.3723,      0.0000
      82,          1.350000,      0.0000,     70.1079,     46.2573,      0.0000
      83,          1.366667,      0.0000,     70.1144,     46.1361,      0.0000
      84,          1.383333,      0.0000,     70.0882,     46.0077,      0.0000
      85,          1.400000,      0.0000,     70.0291,     45.8721,      0.0000
      86,          1.416667,      0.0000,     69.9375,     45.7280,      0.0000
      87,          1.433333,      0.0000,     69.8146,     45.5735,      0.0000
      88,          1.450000,      0.0000,     69.6591,     45.4136,      0.0000
      89,          1.466667,      0.0000,     69.4721,     45.2439,      0.0000
      90,          1.483333,      0.0000,     69.2530,     45.0596,      0.0000
      91,          1.500000,      0.0000,     69.0038,     44.8608,      0.0000
      92,          1.516667,      0.0000,     68.7254,     44.6432,      0.0000
      93,          1.533333,      0.0000,     68.4180,     44.4042,      0.0000
      94,          1.550000,      0.0000,     68.0818,     44.1305,      0.0000
      95,          1.566667,      0.0000,     67.7178,     43.8045,      0.0000
      96,          1.583333,      0.0000,     67.3271,     43.4143,      0.0000
      97,          1.600000,      0.0000,     66.9134,     42.9634,      0.0000
      98,          1.616667,      0.0000,     66.4806,     42.4817,      0.0000
      99,          1.633333,      0.0000,     66.0335,     41.9614,      0.0000
     100,          1.650000,      0.0000,     65.5712,     41.4029,      0.0000
     101,          1.666667,      0.0000,     65.0941,     40.7947,      0.0000
     102,          1.683333,      0.0000,     64.6010,     40.1378,      0.0000
     103,          1.700000,      0.0000,     64.0925,     39.4184,      0.0000
     104,          1.716667,      0.0000,     63.5677,     38.6283,      0.0000
     105,          1.733333,      0.0000,     63.0239,     37.7681,      0.0000
     106,          1.750000,      0.0000,     62.4579,     36.8288,      0.0000
     107,          1.766667,      0.0000,     61.8621,     35.8040,      0.0000
     108,          1.783333,      0.0000,     61.2393,     34.7278,      0.0000
     109,          1.800000,      0.0000,     60.5835,     33.6010,      0.0000
     110,          1.816667,      0.0000,     59.8923,     32.4033,      0.0000
     111,          1.833333,      0.0000,     59.1605,     31.1416,      0.0000
     112,          1.850000,      0.0000,     58.3799,     29.8148,      0.0000
     113,          1.866667,      0.0000,     57.5400,     28.4385,      0.0000
     114,          1.883333,      0.0000,     56.6330,     26.6918,      0.0000
     115,          1.900000,      0.0000,     55.6498,     25.0394,      0.0000
     116,          1.916667,      0.0000,     54.5824,     23.6460,      0.0000
     117,          1.933333,      0.0000,     53.4237,     22.4822,      0.0000
     118,          1.950000,      0.0000,     52.1697,     21.5128,      0.0000
     119,          1.966667,      0.0000,     50.8022,     20.7271,      0.0000
     120,          1.983333,      0.0000,     49.2984,     20.0752,      0.0000
     121,          2.000000,      0.0000,     47.6414,     19.5280,      0.0000
     122,          2.016667,      0.0000,     45.7991,     19.0664,      0.0000
     123,          2.033334,      0.0000,     43.7795,     18.6255,      0.0000
     124,          2.050000,      0.0000,     41.5593,     18.2000,      0.0000
     125,          2.066667,      0.0000,     39.2068,     17.7726,      0.0000
     126,          2.083333,      0.0000,     36.7869,     17.3393,      0.0000
     127,          2.100000,      0.0000,     34.3459,     16.9010,      0.0000
     128,          2.116667,      0.0000,     31.9854,     16.4507,      0.0000
     129,          2.133333,      0.0000,     29.7282,     15.9746,      0.0000
     130,          2.150000,      0.0000,     27.5867,     15.4748,      0.0000
     131,          2.166667,      0.0000,     25.6032,     14.9599,      0.0000
     132,          2.183333,      0.0000,     23.8371,     14.4654,      0.0000
     133,          2.200000,      0.0000,     22.2589,     13.9551,      0.0000
     134,          2.216667,      0.0000,     20.9226,     13.5385,      0.0000
     135,          2.233333,      0.0000,     19.8191,     13.1997,      0.0000
     136,          2.250000,      0.0000,     18.8460,     12.9079,      0.0000
     137,          2.266667,      0.0000,     18.0553,     12.6570,      0.0000
     138,          2.283334,      0.0000,     17.3910,     12.4337,      0.0000
     139,          2.300000,      0.0000,     16.8070,     12.2015,      0.0000
     140,          2.316667,      0.0000,     16.2695,     11.9781,      0.0000
     141,          2.333333,      0.0000,     15.7817,     11.7331,      0.0000
     142,          2.350000,      0.0000,     15.3373,     11.4785,      0.0000
     143,          2.366667,      0.0000,     14.9318,     11.2685,      0.0000
     144,          2.383333,      0.0000,     14.5829,     11.0249,      0.0000
     145,          2.400000,      0.0000,     14.2400,     10.8140,      0.0000
     146,          2.416667,      0.0000,     13.9038,     10.6041,      0.0000
     147,          2.433333,      0.0000,     13.5745,     10.4176,      0.0000
     148,          2.450000,      0.0000,     13.2654,     10.2574,      0.0000
     149,          2.466667,      0.0000,     12.9852,     10.0932,      0.0000
     150,          2.483333,      0.0000,     12.7276,      9.8892,      0.0000
     151,          2.500000,      0.0000,     12.4742,      9.6611,      0.0000
     152,          2.516667,      0.0000,     12.2223,      9.4327,      0.0000
     153,          2.533334,      0.0000,     11.9911,      9.1986,      0.0000
     154,          2.550000,      0.0000,     11.7697,      8.9879,      0.0000
     155,          2.566667,      0.0000,     11.5723,      8.7676,      0.0000
     156,          2.583333,      0.0000,     11.3591,      8.5256,      0.0000
     157,          2.600000,      0.0000,     11.1931,      8.2676,      0.0000
     158,          2.616667,      0.0000,     10.9487,      8.0288,      0.0000
     159,          2.633333,      0.0000,     10.7088,      7.8177,      0.0000
     160,          2.650000,      0.0000,     10.4837,      7.6441,      0.0000
     161,          2.666667,      0.0000,     10.2607,      7.4428,      0.0000
     162,          2.683333,      0.0000,     10.0453,      7.2529,      0.0000
     163,          2.700000,      0.0000,      9.8133,      7.0691,      0.0000
     164,          2.716667,      0.0000,      9.5828,      6.8768,      0.0000
     165,          2.733334,      0.0000,      9.3736,      6.6708,      0.0000
     166,          2.750000,      0.0000,      9.1563,      6.4647,      0.0000
     167,          2.766667,      0.0000,      8.9578,      6.2473,      0.0000
     168,          2.783334,      0.0000,      8.8106,      6.0755,      0.0000
     169,          2.800000,      0.0000,      8.5884,      5.8333,      0.0000
     170,          2.816667,      0.0000,      8.4489,      5.5817,      0.0000
     171,          2.833333,      0.0000,     15.0819,      5.3324,      0.0000
     172,          2.850000,      0.0000,      1.7141,      5.0817,      0.0000
     173,          2.866667,      0.0000,     13.6804,      4.8290,      0.0000
     174,          2.883333,      0.0000,     15.9130,      4.5847,      0.0000
     175,          2.900000,      0.0000,     12.2607,      4.3363,      0.0000
     176,          2.916667,      0.0000,     15.2087,      4.0956,      0.0000
     177,          2.933333,      0.0000,      1.0145,      3.8517,      0.0000
     178,          2.950000,      0.0000,     11.1534,      3.6313,      0.0000
     179,          2.966667,      0.0000,      2.9764,      3.4229,      0.0000
     180,          2.983334,      0.0000,      2.2004,      3.2474,      0.0000
     181,          3.000000,      0.0000,      0.2775,      3.0683,      0.0000
