"EG12_009 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG12_009.tcf]","Time (h)","SQ FC04.1_C [EG12_009]","SQ OC_002 [EG12_009]","SQ FC01.1_R [EG12_009]"
     114,          1.883333,      0.3159,     43.4455,     26.6973
     115,          1.900000,      0.3418,     43.3670,     25.0447
     116,          1.916667,      0.3724,     43.2809,     23.6514
     117,          1.933333,      0.3940,     43.1859,     22.4861
     118,          1.950000,      0.4163,     43.0829,     21.5162
     119,          1.966667,      0.4373,     42.9724,     20.7303
     120,          1.983333,      0.4536,     42.8548,     20.0780
     121,          2.000000,      0.4657,     42.7314,     19.5305
     122,          2.016667,      0.4675,     42.6027,     19.0698
     123,          2.033334,      0.4685,     42.4695,     18.6285
     124,          2.050000,      0.4670,     42.3356,     18.2023
     125,          2.066667,      0.4809,     42.1956,     17.7750
     126,          2.083333,      0.4531,     42.0537,     17.3407
     127,          2.100000,      0.4505,     41.9074,     16.9024
     128,          2.116667,      0.4622,     41.7587,     16.4523
     129,          2.133333,      0.4634,     41.6079,     15.9760
     130,          2.150000,      0.4432,     41.4528,     15.4763
     131,          2.166667,      0.4459,     41.2941,     14.9621
     132,          2.183333,      0.4387,     41.1337,     14.4677
     133,          2.200000,      0.4356,     40.9687,     13.9570
     134,          2.216667,      0.4227,     40.8011,     13.5405
     135,          2.233333,      0.4151,     40.6286,     13.1997
     136,          2.250000,      0.4095,     40.4526,     12.9103
     137,          2.266667,      0.3979,     40.2722,     12.6584
     138,          2.283334,      0.3881,     40.0899,     12.4358
     139,          2.300000,      0.3756,     39.9048,     12.2035
     140,          2.316667,      0.3705,     39.7173,     11.9599
     141,          2.333333,      0.3322,     39.5276,     11.7091
     142,          2.350000,      0.2965,     39.3345,     11.4619
     143,          2.366667,      0.2653,     39.1377,     11.2822
     144,          2.383333,      0.2381,     38.9384,     11.0390
     145,          2.400000,      0.2141,     38.7366,     10.8223
     146,          2.416667,      0.1930,     38.5318,     10.6151
     147,          2.433333,      0.1744,     38.3246,     10.4223
     148,          2.450000,      0.1578,     38.1142,     10.2621
     149,          2.466667,      0.1431,     37.9011,     10.0979
     150,          2.483333,      0.1301,     37.6850,      9.8908
     151,          2.500000,      0.1185,     37.4648,      9.6641
     152,          2.516667,      0.1083,     37.2438,      9.4343
     153,          2.533334,      0.0991,     37.0199,      9.1994
     154,          2.550000,      0.0909,     36.7926,      8.9881
     155,          2.566667,      0.0835,     36.5624,      8.7691
     156,          2.583333,      0.0770,     36.3302,      8.5266
     157,          2.600000,      0.0710,     36.0937,      8.2715
