"EG12_011 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG12_011.tcf]","Time (h)","SQ FC04.1_C [EG12_011]","SQ OC_002 [EG12_011]","SQ FC01.1_R [EG12_011]","SQ OC_001 [EG12_011]"
       1,          0.000000,      0.0000,      0.0000,      0.0000,      0.0000
       2,          0.016667,      0.0000,      0.0000,      0.0000,      0.0000
       3,          0.033333,      0.0000,      0.0000,      0.0000,      0.0000
       4,          0.050000,      0.0000,      0.0000,      0.0000,      0.0000
       5,          0.066667,      0.0000,      0.0000,      0.0000,      0.0000
       6,          0.083333,      0.0000,      0.0000,      0.0000,      0.0000
       7,          0.100000,      0.0000,      0.0000,      0.0000,      0.0000
       8,          0.116667,      0.0000,      0.0000,      0.0000,      0.0000
       9,          0.133333,      0.0000,      0.0000,      0.0000,      0.0000
      10,          0.150000,      0.0000,      0.0000,      0.0000,      0.0000
      11,          0.166667,      0.0000,      0.0000,      0.0000,      0.0000
      12,          0.183333,      0.0000,      0.0000,      0.0000,      0.0000
      13,          0.200000,      0.0000,      0.0000,      0.0000,      0.0000
      14,          0.216667,      0.0000,      0.0000,      0.8724,      0.0000
      15,          0.233333,      0.0000,      0.0000,      1.8008,      0.0000
      16,          0.250000,      0.0000,      0.0000,      2.4688,      0.0000
      17,          0.266667,      0.0000,      0.0000,      2.9900,      0.0000
      18,          0.283333,      0.0000,      0.0000,      3.4291,      0.0000
      19,          0.300000,      0.0000,      0.0000,      3.7830,      0.0000
      20,          0.316667,      0.0000,      0.0000,      4.2773,      0.0000
      21,          0.333333,      0.0000,      0.0000,      4.7758,      0.0000
      22,          0.350000,      0.0000,      0.0000,      5.2782,      0.0000
      23,          0.366667,      0.0000,      0.0000,      5.8236,      0.0000
      24,          0.383333,      0.0000,      0.0000,      6.5092,      0.0000
      25,          0.400000,      0.0000,      0.0000,      7.2117,      0.0000
      26,          0.416667,      0.0000,      0.0000,      8.0269,      0.0000
      27,          0.433333,      0.0000,      0.0000,      8.9891,      0.0000
      28,          0.450000,      0.0000,      0.0000,     10.1407,      0.0000
      29,          0.466667,      0.0000,      0.0000,     11.3503,      0.0000
      30,          0.483333,      0.0000,      0.0000,     13.1022,      0.0000
      31,          0.500000,      0.0000,      0.0000,     14.9184,      0.0000
      32,          0.516667,      0.0000,      0.0000,     16.8542,      0.0000
      33,          0.533333,      0.0000,      0.0000,     19.5766,      0.0000
      34,          0.550000,      0.0000,      0.0000,     23.3379,      0.0000
      35,          0.566667,      0.0000,      0.0000,     27.8980,      0.2890
      36,          0.583333,      0.0000,      0.0000,     30.9843,      0.4890
      37,          0.600000,      0.0000,      0.0000,     33.8573,      0.6891
      38,          0.616667,      0.0000,      0.0000,     36.3338,      0.8891
      39,          0.633333,      0.0000,      0.0000,     38.4640,      1.0891
      40,          0.650000,      0.0000,      0.0000,     40.3588,      1.2891
      41,          0.666667,      0.0000,      0.0000,     42.1247,      1.4891
      42,          0.683333,      0.0000,      0.0000,     43.7717,      1.6891
      43,          0.700000,      0.0000,      0.0000,     45.0709,      1.8891
      44,          0.716667,      0.0000,      0.0000,     45.9540,      2.0000
      45,          0.733333,      0.0000,      0.0000,     46.5134,      2.0000
      46,          0.750000,      0.0000,      0.0000,     46.8585,      2.0000
      47,          0.766667,      0.0000,      0.0000,     47.0762,      2.0000
      48,          0.783333,      0.0000,      0.0000,     47.1993,      2.0000
      49,          0.800000,      0.0000,      0.0000,     47.2742,      2.0000
      50,          0.816667,      0.0000,      0.0000,     47.3269,      2.0000
      51,          0.833333,      0.0000,      0.0000,     47.3668,      1.9705
      52,          0.850000,      0.0000,      0.0000,     47.3965,      1.7705
      53,          0.866667,      0.0000,      0.0000,     47.4152,      1.5705
      54,          0.883333,      0.0000,      0.0000,     47.4282,      1.3705
      55,          0.900000,      0.0000,      0.0000,     47.4391,      1.1704
      56,          0.916667,      0.0000,      0.0000,     47.4480,      0.9704
      57,          0.933333,      0.0000,      0.0000,     47.4562,      0.7704
      58,          0.950000,      0.0000,      0.0000,     47.4583,      0.5704
      59,          0.966667,      0.0000,      0.0000,     47.4577,      0.3704
      60,          0.983333,      0.0000,      0.0000,     47.4556,      0.1704
      61,          1.000000,      0.0000,      0.6215,     47.4529,      0.0000
      62,          1.016667,      0.0000,      4.9957,     47.4489,      0.0000
      63,          1.033333,     -0.0001,      9.4411,     47.4374,      0.0000
      64,          1.050000,     -0.0044,     13.9333,     47.4225,      0.0000
      65,          1.066667,     -0.0595,     18.4518,     47.4060,      0.0000
      66,          1.083333,     -0.1267,     22.9866,     47.3885,      0.0000
      67,          1.100000,     -0.2081,     27.5110,     47.3677,      0.0000
      68,          1.116667,     -0.2997,     32.0179,     47.3298,      0.0000
      69,          1.133333,     -0.3981,     36.4761,     47.2847,      0.0000
      70,          1.150000,     -0.4971,     40.8874,     47.2316,      0.0000
      71,          1.166667,     -0.5867,     45.2255,     47.1763,      0.0000
      72,          1.183333,     -0.6750,     49.4792,     47.1185,      0.0000
      73,          1.200000,     -0.7530,     53.6281,     47.0545,      0.0000
      74,          1.216667,     -0.8232,     57.6666,     46.9880,      0.0000
      75,          1.233333,     -0.8802,     61.5698,     46.9189,      0.0000
      76,          1.250000,     -1.0567,     65.3335,     46.8477,      0.0000
      77,          1.266667,     -1.0795,     68.9343,     46.7726,      0.0000
      78,          1.283333,     -1.0201,     72.3575,     46.6840,      0.0000
      79,          1.300000,     -0.8632,     73.8193,     46.5867,      0.0000
      80,          1.316667,     -0.6079,     73.8386,     46.4819,      0.0000
      81,          1.333333,     -0.1782,     73.7739,     46.3722,      0.0000
      82,          1.350000,      0.0000,     73.6806,     46.2572,      0.0000
      83,          1.366667,      0.0642,     73.5074,     46.1361,      0.0000
      84,          1.383333,      0.1799,     73.2842,     46.0078,      0.0000
      85,          1.400000,      0.1771,     72.9942,     45.8721,      0.0000
      86,          1.416667,      0.1973,     72.6247,     45.7280,      0.0000
      87,          1.433333,      0.2345,     72.2147,     45.5735,      0.0000
      88,          1.450000,      0.2746,     71.7404,     45.4137,      0.0000
      89,          1.466667,      0.2933,     71.2123,     45.2441,      0.0000
      90,          1.483333,      0.3093,     70.6376,     45.0596,      0.0000
      91,          1.500000,      0.3200,     70.0107,     44.8609,      0.0000
      92,          1.516667,      0.3367,     69.3523,     44.6433,      0.0000
      93,          1.533333,      0.3467,     68.6547,     44.4043,      0.0000
      94,          1.550000,      0.3471,     67.9258,     44.1306,      0.0000
      95,          1.566667,      0.3473,     67.1718,     43.8046,      0.0000
      96,          1.583333,      0.3419,     66.3992,     43.4143,      0.0000
      97,          1.600000,      0.3309,     65.6248,     42.9636,      0.0000
      98,          1.616667,      0.3217,     64.8557,     42.4818,      0.0000
      99,          1.633333,      0.3122,     64.0935,     41.9615,      0.0000
     100,          1.650000,      0.3028,     63.3414,     41.4031,      0.0000
     101,          1.666667,      0.2930,     62.5949,     40.7949,      0.0000
     102,          1.683333,      0.2811,     61.8559,     40.1381,      0.0000
     103,          1.700000,      0.2689,     61.1201,     39.4188,      0.0000
     104,          1.716667,      0.2575,     60.3900,     38.6287,      0.0000
     105,          1.733333,      0.2505,     59.6655,     37.7687,      0.0000
     106,          1.750000,      0.2307,     58.9358,     36.8294,      0.0000
     107,          1.766667,      0.2077,     58.2020,     35.8047,      0.0000
     108,          1.783333,      0.1873,     57.4608,     34.7287,      0.0000
     109,          1.800000,      0.1693,     56.7131,     33.6022,      0.0000
     110,          1.816667,      0.1533,     55.9576,     32.4047,      0.0000
     111,          1.833333,      0.1391,     55.1868,     31.1434,      0.0000
     112,          1.850000,      0.1265,     54.4041,     29.8168,      0.0000
     113,          1.866667,      0.1154,     53.6082,     28.4410,      0.0000
     114,          1.883333,      0.1055,     52.7950,     26.6958,      0.0000
     115,          1.900000,      0.0966,     51.9670,     25.0433,      0.0000
     116,          1.916667,      0.0887,     51.1187,     23.6503,      0.0000
     117,          1.933333,      0.0815,     50.2467,     22.4852,      0.0000
     118,          1.950000,      0.0751,     49.3525,     21.5156,      0.0000
     119,          1.966667,      0.0693,     48.4402,     20.7296,      0.0000
     120,          1.983333,      0.0641,     47.5129,     20.0776,      0.0000
     121,          2.000000,      0.0594,     46.5798,     19.5301,      0.0000
     122,          2.016667,      0.0551,     45.6536,     19.0692,      0.0000
     123,          2.033334,      0.0512,     44.7291,     18.6279,      0.0000
     124,          2.050000,      0.0476,     43.8121,     18.2020,      0.0000
     125,          2.066667,      0.0444,     42.9056,     17.7748,      0.0000
     126,          2.083333,      0.0414,     42.0227,     17.3405,      0.0000
     127,          2.100000,      0.0387,     41.1460,     16.9054,      0.0000
     128,          2.116667,      0.0362,     40.2927,     16.4514,      0.0000
     129,          2.133333,      0.0339,     39.4488,     15.9753,      0.0000
     130,          2.150000,      0.0318,     38.6184,     15.4755,      0.0000
     131,          2.166667,      0.0298,     37.8065,     14.9612,      0.0000
     132,          2.183333,      0.0280,     37.0061,     14.4670,      0.0000
     133,          2.200000,      0.0264,     36.2206,     13.9567,      0.0000
     134,          2.216667,      0.0249,     35.4427,     13.5402,      0.0000
     135,          2.233333,      0.0236,     34.6788,     13.1989,      0.0000
     136,          2.250000,      0.0223,     33.9226,     12.9097,      0.0000
     137,          2.266667,      0.0211,     33.1789,     12.6580,      0.0000
     138,          2.283334,      0.0200,     32.4487,     12.4351,      0.0000
     139,          2.300000,      0.0190,     31.7363,     12.2036,      0.0000
     140,          2.316667,      0.0180,     31.0363,     11.9603,      0.0000
     141,          2.333333,      0.0171,     30.3513,     11.7343,      0.0000
     142,          2.350000,      0.0163,     29.6808,     11.4823,      0.0000
     143,          2.366667,      0.0155,     29.0230,     11.2719,      0.0000
     144,          2.383333,      0.0148,     28.3814,     11.0289,      0.0000
     145,          2.400000,      0.0141,     27.7543,     10.8118,      0.0000
     146,          2.416667,      0.0134,     27.1393,     10.6104,      0.0000
     147,          2.433333,      0.0128,     26.5359,     10.4195,      0.0000
     148,          2.450000,      0.0123,     25.9469,     10.2590,      0.0000
     149,          2.466667,      0.0117,     25.3727,     10.0971,      0.0000
     150,          2.483333,      0.0112,     24.8020,      9.8890,      0.0000
     151,          2.500000,      0.0107,     24.2473,      9.6628,      0.0000
     152,          2.516667,      0.0103,     23.7054,      9.4335,      0.0000
     153,          2.533334,      0.0099,     23.1808,      9.1987,      0.0000
     154,          2.550000,      0.0095,     22.6654,      8.9880,      0.0000
     155,          2.566667,      0.0091,     22.1646,      8.7677,      0.0000
     156,          2.583333,      0.0087,     21.6775,      8.5261,      0.0000
     157,          2.600000,      0.0084,     21.2028,      8.2705,      0.0000
     158,          2.616667,      0.0081,     20.7348,      8.0313,      0.0000
     159,          2.633333,      0.0078,     20.2699,      7.8198,      0.0000
     160,          2.650000,      0.0075,     19.8189,      7.6438,      0.0000
     161,          2.666667,      0.0072,     19.3757,      7.4443,      0.0000
     162,          2.683333,      0.0069,     18.9405,      7.2569,      0.0000
     163,          2.700000,      0.0067,     18.5148,      7.0714,      0.0000
     164,          2.716667,      0.0064,     18.0945,      6.8769,      0.0000
     165,          2.733334,      0.0062,     17.6824,      6.6721,      0.0000
     166,          2.750000,      0.0060,     17.2777,      6.4666,      0.0000
     167,          2.766667,      0.0058,     16.8833,      6.2475,      0.0000
     168,          2.783334,      0.0056,     16.4946,      6.0845,      0.0000
     169,          2.800000,      0.0054,     16.1146,      5.8385,      0.0000
     170,          2.816667,      0.0052,     15.7412,      5.5861,      0.0000
     171,          2.833333,      0.0051,     15.3781,      5.3362,      0.0000
     172,          2.850000,      0.0049,     15.0190,      5.0832,      0.0000
     173,          2.866667,      0.0047,     14.6686,      4.8311,      0.0000
     174,          2.883333,      0.0046,     14.3250,      4.5867,      0.0000
     175,          2.900000,      0.0044,     13.9867,      4.3385,      0.0000
     176,          2.916667,      0.0043,     13.6525,      4.0985,      0.0000
     177,          2.933333,      0.0042,     13.3265,      3.8565,      0.0000
     178,          2.950000,      0.0041,     13.0026,      3.6326,      0.0000
     179,          2.966667,      0.0039,     12.6796,      3.4249,      0.0000
     180,          2.983334,      0.0038,     12.3623,      3.2491,      0.0000
     181,          3.000000,      0.0037,     12.0511,      3.0696,      0.0000
