"EG12_004 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG12_004.tcf]","Time (h)","Q FC01.1_R [EG12_004]","Q FC01.2_R [EG12_004]","Q FC04.1_C [EG12_004]","Q OC_001 [EG12_004]"
     107,          1.766667,          35.804,          61.832,           0.000,           0.000
     108,          1.783333,          34.728,          61.209,           0.000,           0.000
     109,          1.800000,          33.601,          60.553,           0.000,           0.000
     110,          1.816667,          32.403,          59.861,           0.000,           0.000
     111,          1.833333,          31.142,          59.129,           0.000,           0.000
     112,          1.850000,          29.815,          58.347,           0.000,           0.000
     113,          1.866667,          28.439,          57.506,           0.000,           0.000
     114,          1.883333,          26.692,          56.598,           0.000,           0.000
     115,          1.900000,          25.039,          55.614,           0.000,           0.000
     116,          1.916667,          23.646,          54.544,           0.000,           0.000
     117,          1.933333,          22.482,          53.385,           0.000,           0.000
     118,          1.950000,          21.513,          52.130,           0.000,           0.000
     119,          1.966667,          20.727,          50.761,           0.000,           0.000
     120,          1.983333,          20.075,          49.255,           0.000,           0.000
     121,          2.000000,          19.528,          47.595,           0.000,           0.000
     122,          2.016667,          19.066,          45.750,           0.000,           0.000
     123,          2.033334,          18.626,          43.728,           0.000,           0.000
     124,          2.050000,          18.200,          41.507,           0.000,           0.000
     125,          2.066667,          17.773,          39.151,           0.000,           0.000
     126,          2.083333,          17.339,          36.735,           0.000,           0.000
     127,          2.100000,          16.901,          34.297,           0.000,           0.000
     128,          2.116667,          16.451,          31.940,           0.000,           0.000
     129,          2.133333,          15.975,          29.687,           0.000,           0.000
     130,          2.150000,          15.475,          27.551,           0.000,           0.000
     131,          2.166667,          14.960,          25.572,           0.000,           0.000
     132,          2.183333,          14.466,          23.810,           0.000,           0.000
     133,          2.200000,          13.955,          22.237,           0.000,           0.000
     134,          2.216667,          13.538,          20.906,           0.000,           0.000
     135,          2.233333,          13.200,          19.807,           0.000,           0.000
     136,          2.250000,          12.908,          18.837,           0.000,           0.000
     137,          2.266667,          12.657,          18.049,           0.000,           0.000
     138,          2.283334,          12.434,          17.388,           0.000,           0.000
     139,          2.300000,          12.202,          16.804,           0.000,           0.000
     140,          2.316667,          11.978,          16.269,           0.000,           0.000
     141,          2.333333,          11.733,          15.780,           0.000,           0.000
     142,          2.350000,          11.479,          15.336,           0.000,           0.000
     143,          2.366667,          11.269,          14.931,           0.000,           0.000
     144,          2.383333,          11.025,          14.587,           0.000,           0.000
     145,          2.400000,          10.814,          14.240,           0.000,           0.000
     146,          2.416667,          10.604,          13.903,           0.000,           0.000
     147,          2.433333,          10.418,          13.574,           0.000,           0.000
     148,          2.450000,          10.256,          13.266,           0.000,           0.000
     149,          2.466667,          10.095,          12.984,           0.000,           0.000
     150,          2.483333,           9.889,          12.728,           0.000,           0.000
     151,          2.500000,           9.661,          12.476,           0.000,           0.000
     152,          2.516667,           9.433,          12.224,           0.000,           0.000
     153,          2.533334,           9.199,          11.990,           0.000,           0.000
     154,          2.550000,           8.988,          11.769,           0.000,           0.000
     155,          2.566667,           8.768,          11.573,           0.000,           0.000
