"EG12_011 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG12_011.tcf]","Time (h)","Q FC01.1_R [EG12_011]","Q FC04.1_C [EG12_011]","Q OC_001 [EG12_011]","Q OC_002 [EG12_011]"
     106,          1.750000,          36.829,           0.231,           0.000,          58.936
     107,          1.766667,          35.805,           0.208,           0.000,          58.202
     108,          1.783333,          34.729,           0.187,           0.000,          57.461
     109,          1.800000,          33.602,           0.169,           0.000,          56.713
     110,          1.816667,          32.405,           0.153,           0.000,          55.958
     111,          1.833333,          31.143,           0.139,           0.000,          55.187
     112,          1.850000,          29.817,           0.127,           0.000,          54.404
     113,          1.866667,          28.441,           0.115,           0.000,          53.608
     114,          1.883333,          26.696,           0.106,           0.000,          52.795
     115,          1.900000,          25.043,           0.097,           0.000,          51.967
     116,          1.916667,          23.650,           0.089,           0.000,          51.119
     117,          1.933333,          22.485,           0.082,           0.000,          50.247
     118,          1.950000,          21.516,           0.075,           0.000,          49.353
     119,          1.966667,          20.730,           0.069,           0.000,          48.440
     120,          1.983333,          20.078,           0.064,           0.000,          47.513
     121,          2.000000,          19.530,           0.059,           0.000,          46.580
     122,          2.016667,          19.069,           0.055,           0.000,          45.654
     123,          2.033334,          18.628,           0.051,           0.000,          44.729
     124,          2.050000,          18.202,           0.048,           0.000,          43.812
     125,          2.066667,          17.775,           0.044,           0.000,          42.906
     126,          2.083333,          17.340,           0.041,           0.000,          42.023
     127,          2.100000,          16.905,           0.039,           0.000,          41.146
     128,          2.116667,          16.451,           0.036,           0.000,          40.293
     129,          2.133333,          15.975,           0.034,           0.000,          39.449
     130,          2.150000,          15.475,           0.032,           0.000,          38.618
     131,          2.166667,          14.961,           0.030,           0.000,          37.807
     132,          2.183333,          14.467,           0.028,           0.000,          37.006
     133,          2.200000,          13.957,           0.026,           0.000,          36.221
     134,          2.216667,          13.540,           0.025,           0.000,          35.443
     135,          2.233333,          13.199,           0.024,           0.000,          34.679
     136,          2.250000,          12.910,           0.022,           0.000,          33.923
     137,          2.266667,          12.658,           0.021,           0.000,          33.179
     138,          2.283334,          12.435,           0.020,           0.000,          32.449
     139,          2.300000,          12.204,           0.019,           0.000,          31.736
     140,          2.316667,          11.960,           0.018,           0.000,          31.036
     141,          2.333333,          11.734,           0.017,           0.000,          30.351
     142,          2.350000,          11.482,           0.016,           0.000,          29.681
     143,          2.366667,          11.272,           0.016,           0.000,          29.023
     144,          2.383333,          11.029,           0.015,           0.000,          28.381
     145,          2.400000,          10.812,           0.014,           0.000,          27.754
     146,          2.416667,          10.610,           0.013,           0.000,          27.139
     147,          2.433333,          10.420,           0.013,           0.000,          26.536
     148,          2.450000,          10.259,           0.012,           0.000,          25.947
     149,          2.466667,          10.097,           0.012,           0.000,          25.373
