"EG12_003 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG12_003.tcf]","Time(h)","V FC01.1_R [EG12_003]","V FC01.2_R [EG12_003]","V FC04.1_C [EG12_003]","V OC_001 [EG12_003]"
     107,          1.766667,    6.139,    4.296,    0.000,    0.000
     108,          1.783333,    5.955,    4.253,    0.000,    0.000
     109,          1.800000,    5.761,    4.207,    0.000,    0.000
     110,          1.816667,    5.556,    4.159,    0.000,    0.000
     111,          1.833333,    5.340,    4.108,    0.000,    0.000
     112,          1.850000,    5.112,    4.054,    0.000,    0.000
     113,          1.866667,    4.876,    3.996,    0.000,    0.000
     114,          1.883333,    3.777,    3.933,    0.000,    0.000
     115,          1.900000,    3.697,    3.865,    0.000,    0.000
     116,          1.916667,    3.628,    3.790,    0.000,    0.000
     117,          1.933333,    3.567,    3.710,    0.000,    0.000
     118,          1.950000,    3.515,    3.623,    0.000,    0.000
     119,          1.966667,    3.472,    3.528,    0.000,    0.000
     120,          1.983333,    3.435,    3.424,    0.000,    0.000
     121,          2.000000,    3.403,    3.308,    0.000,    0.000
     122,          2.016667,    3.376,    3.180,    0.000,    0.000
     123,          2.033334,    3.350,    3.040,    0.000,    0.000
     124,          2.050000,    3.324,    2.886,    0.000,    0.000
     125,          2.066667,    3.298,    2.723,    0.000,    0.000
     126,          2.083333,    3.271,    2.555,    0.000,    0.000
     127,          2.100000,    3.243,    2.385,    0.000,    0.000
     128,          2.116667,    3.214,    2.221,    0.000,    0.000
     129,          2.133333,    3.183,    2.064,    0.000,    0.000
     130,          2.150000,    3.149,    1.916,    0.000,    0.000
     131,          2.166667,    3.114,    1.778,    0.000,    0.000
     132,          2.183333,    3.079,    1.655,    0.000,    0.000
     133,          2.200000,    3.043,    1.546,    0.000,    0.000
     134,          2.216667,    3.012,    1.453,    0.000,    0.000
     135,          2.233333,    2.987,    1.376,    0.000,    0.000
     136,          2.250000,    2.965,    1.309,    0.000,    0.000
     137,          2.266667,    2.945,    1.254,    0.000,    0.000
     138,          2.283334,    2.928,    1.208,    0.000,    0.000
     139,          2.300000,    2.910,    1.167,    0.000,    0.000
     140,          2.316667,    2.892,    1.130,    0.000,    0.000
     141,          2.333333,    2.872,    1.096,    0.000,    0.000
     142,          2.350000,    2.851,    1.065,    0.000,    0.000
     143,          2.366667,    2.833,    1.037,    0.000,    0.000
     144,          2.383333,    2.813,    1.013,    0.000,    0.000
     145,          2.400000,    2.795,    0.989,    0.000,    0.000
     146,          2.416667,    2.777,    0.966,    0.000,    0.000
     147,          2.433333,    2.760,    0.943,    0.000,    0.000
     148,          2.450000,    2.746,    0.921,    0.000,    0.000
     149,          2.466667,    2.731,    0.902,    0.000,    0.000
     150,          2.483333,    2.713,    0.884,    0.000,    0.000
     151,          2.500000,    2.692,    0.866,    0.000,    0.000
     152,          2.516667,    2.670,    0.849,    0.000,    0.000
     153,          2.533334,    2.648,    0.833,    0.000,    0.000
     154,          2.550000,    2.628,    0.817,    0.000,    0.000
     155,          2.566667,    2.606,    0.804,    0.000,    0.000
     156,          2.583333,    2.582,    0.789,    0.000,    0.000
     157,          2.600000,    2.556,    0.777,    0.000,    0.000
     158,          2.616667,    2.531,    0.760,    0.000,    0.000
     159,          2.633333,    2.508,    0.744,    0.000,    0.000
     160,          2.650000,    2.490,    0.728,    0.000,    0.000
     161,          2.666667,    2.468,    0.713,    0.000,    0.000
     162,          2.683333,    2.446,    0.698,    0.000,    0.000
     163,          2.700000,    2.426,    0.681,    0.000,    0.000
     164,          2.716667,    2.403,    0.665,    0.000,    0.000
     165,          2.733334,    2.379,    0.651,    0.000,    0.000
     166,          2.750000,    2.354,    0.636,    0.000,    0.000
     167,          2.766667,    2.328,    0.622,    0.000,    0.000
     168,          2.783334,    2.306,    0.612,    0.000,    0.000
     169,          2.800000,    2.275,    0.596,    0.000,    0.000
     170,          2.816667,    2.242,    0.587,    0.000,    0.000
     171,          2.833333,    2.208,    1.059,    0.000,    0.000
     172,          2.850000,    2.173,    0.116,    0.000,    0.000
     173,          2.866667,    2.136,    0.985,    0.000,    0.000
     174,          2.883333,    2.100,    1.176,    0.000,    0.000
     175,          2.900000,    2.061,    0.910,    0.000,    0.000
     176,          2.916667,    2.022,    1.165,    0.000,    0.000
     177,          2.933333,    1.981,    0.074,    0.000,    0.000
     178,          2.950000,    1.943,    0.876,    0.000,    0.000
     179,          2.966667,    1.905,    0.235,    0.000,    0.000
     180,          2.983334,    1.872,    0.177,    0.000,    0.000
     181,          3.000000,    1.836,    0.017,    0.000,    0.000
