"EG12_011 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG12_011.tcf]","Time (h)","H FC01.1_R.1 [EG12_011]","H FC01.1_R.2 [EG12_011]","H FC04.1_C.1 [EG12_011]","H FC04.1_C.2 [EG12_011]","H OC999.8 [EG12_011]","H OC999.9 [EG12_011]","H OC_002.1 [EG12_011]","H OC_002.2 [EG12_011]"
       1,          0.000000,     45.3990,     44.4990,     43.3490,     42.7490,     42.3000,     38.3000,     41.9990,     41.9990
       2,          0.016667,     45.3990,     44.4990,     43.3490,     42.7490,     42.3000,     38.3000,     41.9990,     41.9990
       3,          0.033333,     45.3990,     44.4990,     43.3490,     42.7490,     42.3000,     38.3000,     41.9990,     41.9990
       4,          0.050000,     45.3990,     44.4990,     43.3490,     42.7490,     42.3000,     38.3000,     41.9990,     41.9990
       5,          0.066667,     45.3990,     44.4990,     43.3490,     42.7490,     42.3000,     38.3000,     41.9990,     41.9990
       6,          0.083333,     45.3990,     44.4990,     43.3490,     42.7490,     42.3000,     38.3000,     41.9990,     41.9990
       7,          0.100000,     45.3990,     44.4990,     43.3490,     42.7490,     42.3000,     38.3000,     41.9990,     41.9990
       8,          0.116667,     45.3990,     44.4990,     43.3490,     42.7490,     42.3000,     38.3000,     41.9990,     41.9990
       9,          0.133333,     45.3990,     44.4990,     43.3490,     42.7490,     42.3000,     38.3000,     41.9990,     41.9990
      10,          0.150000,     45.3990,     44.4990,     43.3490,     42.7490,     42.3000,     38.3000,     41.9990,     41.9990
      11,          0.166667,     45.3990,     44.4990,     43.3490,     42.7490,     42.3000,     38.3000,     41.9990,     41.9990
      12,          0.183333,     45.3990,     44.4990,     43.3490,     42.7490,     42.3000,     38.3000,     41.9990,     41.9990
      13,          0.200000,     45.3990,     44.4990,     43.3490,     42.7490,     42.3000,     38.3000,     41.9990,     41.9990
      14,          0.216667,     45.6237,     44.4990,     43.3490,     42.7490,     42.3000,     38.3000,     41.9990,     41.9990
      15,          0.233333,     45.7619,     44.4990,     43.3490,     42.7490,     42.3000,     38.3000,     41.9990,     41.9990
      16,          0.250000,     45.8464,     44.5575,     43.3490,     42.7490,     42.3000,     38.3000,     41.9990,     41.9990
