iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
100,         31.863,0.738956,0.721455,0,0,0,99.4265
200,        194.000,2,2,0,0,0,98.7568
300,        392.000,2,2,0,0,0,99.3847
400,        592.000,2,2,0,0,0,99.5926
500,        790.000,2,2,0,0,0,99.6947
600,        990.000,2,2,0,0,0,99.7564
700,       1190.000,2,2,0,0,0,99.7973
800,       1388.000,2,2,0,0,0,99.8262
900,       1577.506,1.55021,1.51765,0.41745,1.0063,0.109665,99.7415
1000,       1702.859,1.13417,1.12549,0.500549,1.00182,0.201767,99.5502
1100,       1803.855,0.967322,0.951613,0.398254,1.00095,0.226303,99.4467
1200,       1894.754,0.886034,0.870536,0.464813,1.0006,0.289017,99.3907
1300,       1976.127,0.788648,0.774646,0.424576,0.935318,0.300278,99.3273
1400,       2050.976,0.732229,0.731707,0.383423,0.892349,0.300125,99.3157
1500,       2121.205,0.709397,0.705355,0.372681,0.88031,0.300049,99.2887
1600,       2190.698,0.702007,0.697674,0.368439,0.877274,0.300018,99.2673
1700,       2260.074,0.695401,0.687104,0.366211,0.872971,0.300034,99.2685
1800,       2328.680,0.688857,0.665874,0.394424,0.868256,0.300018,99.2647
1900,       2396.591,0.682271,0.681818,0.417618,0.868042,0.300034,99.2594
2000,       2463.409,0.686172,0.681818,0.43924,0.909363,0.299957,99.25
2100,       2531.724,0.696796,0.689655,0.364471,0.951614,0.299957,99.2377
2200,       2600.930,0.707514,0.697674,0.367126,0.987503,0.299942,99.2197
2300,       2670.934,0.705072,0.692042,0.362335,1.00014,0.293884,99.2078
2400,       2740.217,0.696455,0.682171,0.353104,1.00012,0.283997,99.2002
2500,       2808.966,0.689908,0.689655,0.341599,1.00008,0.270615,99.2006
2600,       2876.591,0.685584,0.681818,0.328461,1.00006,0.254166,99.1822
2700,       2944.773,0.68288,0.681818,0.304169,1.00003,0.231201,99.1935
2800,       3011.461,0.681454,0.674156,0.284546,1.00002,0.209152,99.1855
2900,       3078.876,0.680976,0.674157,0.287689,1,0.194748,99.1809
3000,       3146.292,0.681184,0.674157,0.285339,1,0.183929,99.1768
3100,       3213.708,0.681829,0.674157,0.280853,0.999985,0.177795,99.1715
3200,       3281.591,0.682662,0.681818,0.275925,1,0.170074,99.1784
3300,       3349.091,0.683547,0.681817,0.270752,0.999985,0.164276,99.1911
3400,       3417.273,0.684487,0.681818,0.266037,0.999985,0.160233,99.2009
3500,       3485.455,0.68548,0.681818,0.264465,0.999985,0.154343,99.2074
3600,       3553.636,0.686443,0.681818,0.255157,0.999985,0.147369,99.2111
3700,       3621.818,0.687376,0.681818,0.246323,0.999985,0.141037,99.2119
3800,       3690.000,0.688257,0.681818,0.244598,1,0.136078,99.2103
3900,       3758.182,0.689056,0.681818,0.251907,0.999985,0.129898,99.2066
4000,       3826.364,0.689792,0.681818,0.258286,1,0.122849,99.2011
4100,       3895.172,0.690477,0.689655,0.26149,0.999985,0.115662,99.21
4200,       3963.448,0.691109,0.689655,0.262985,1,0.109009,99.2207
4300,       4032.414,0.6917,0.689655,0.266678,1,0.102402,99.2297
4400,       4101.379,0.692228,0.689655,0.263077,1,0.0993195,99.237
4500,       4170.345,0.692714,0.689655,0.255478,0.999985,0.0960693,99.2429
4600,       4238.621,0.693169,0.689652,0.245407,1,0.0918274,99.2474
4700,       4307.586,0.693592,0.689655,0.239639,1,0.0869141,99.2509
4800,       4376.552,0.693973,0.689655,0.233276,1,0.0816345,99.2533
4900,       4445.517,0.694323,0.689655,0.227417,1,0.0774384,99.2548
5000,       4514.483,0.694651,0.689655,0.220459,0.999985,0.074234,99.2556
5100,       4583.448,0.694958,0.689655,0.213699,0.999985,0.069519,99.2556
5200,       4652.414,0.695245,0.689655,0.207565,0.999985,0.0651703,99.255
5300,       4721.379,0.69551,0.689655,0.202347,1,0.0622864,99.2539
5400,       4790.345,0.695754,0.689655,0.196671,0.999985,0.0586243,99.2522
5500,       4858.621,0.695988,0.689654,0.191467,1,0.0556183,99.2502
5600,       4927.586,0.696211,0.689655,0.186462,1,0.0527191,99.2477
5700,       4996.552,0.696413,0.689655,0.18132,1,0.0500031,99.2449
5800,       5065.517,0.696604,0.689655,0.176651,1,0.0474701,99.2418
5900,       5133.793,0.696785,0.689652,0.172073,1,0.0451813,99.2384
6000,       5202.759,0.696966,0.689655,0.168381,1,0.0432129,99.2348
6100,       5271.724,0.697125,0.689655,0.164902,1,0.0412903,99.2309
6200,       5340.690,0.697285,0.689655,0.160461,1,0.039032,99.2269
6300,       5409.655,0.697423,0.689655,0.157455,0.999985,0.0375671,99.2226
6400,       5478.621,0.697572,0.689655,0.153885,1,0.0358887,99.2183
6500,       5547.586,0.69771,0.689655,0.150208,1,0.0343018,99.2138
6600,       5616.977,0.697838,0.697674,0.146851,1,0.0328979,99.2167
6700,       5686.744,0.697955,0.697674,0.143814,1,0.0314941,99.2259
6800,       5755.814,0.698083,0.697673,0.140686,1,0.0302734,99.2346
6900,       5825.581,0.69819,0.697674,0.137817,0.999985,0.0291443,99.2429
7000,       5895.349,0.698307,0.697674,0.135193,1,0.0281067,99.2509
7100,       5965.116,0.698413,0.697674,0.132858,1,0.0270996,99.2585
7200,       6034.186,0.698509,0.697671,0.130798,1,0.0262451,99.2657
7300,       6103.953,0.698605,0.697674,0.12851,1,0.0252991,99.2727
7400,       6173.721,0.698701,0.697674,0.126389,1,0.0244598,99.2793
7500,       6243.488,0.698797,0.697674,0.124298,1,0.0236359,99.2856
7600,       6313.256,0.698883,0.697674,0.122192,1,0.0228577,99.2917
7700,       6383.023,0.698968,0.697674,0.120972,1,0.0222015,99.2975
7800,       6452.791,0.699053,0.697674,0.119308,1,0.0215912,99.303
7900,       6522.558,0.699128,0.697674,0.117569,1,0.0209656,99.3083
8000,       6592.326,0.699202,0.697674,0.115768,1,0.0203247,99.3133
8100,       6661.395,0.699277,0.697674,0.11409,1,0.0197449,99.3181
8200,       6731.163,0.699352,0.697674,0.112457,1,0.0191803,99.3228
8300,       6800.930,0.699427,0.697674,0.110916,1,0.0186462,99.3272
8400,       6870.698,0.699491,0.697674,0.109451,1,0.018158,99.3314
8500,       6939.768,0.699555,0.697671,0.108063,1,0.0176849,99.3355
8600,       7009.535,0.699619,0.697674,0.10672,1,0.0172424,99.3393
8700,       7079.302,0.699683,0.697674,0.107025,1,0.0169678,99.3431
8800,       7149.070,0.699747,0.697674,0.105148,1,0.0164795,99.3466
8900,       7218.837,0.6998,0.697674,0.103836,1,0.016098,99.3501
9000,       7288.605,0.699864,0.697674,0.10257,1,0.0157166,99.3533
9100,       7358.372,0.699918,0.697674,0.101334,1,0.0153503,99.3565
9200,       7428.140,0.699971,0.697674,0.100098,1,0.0149841,99.3595
9300,       7497.907,0.700024,0.697674,0.0989075,1,0.0146484,99.3623
9400,       7566.977,0.700078,0.697674,0.0977631,1,0.014328,99.365
9500,       7636.744,0.700131,0.697674,0.0966339,1,0.0140533,99.3677
9600,       7706.512,0.700174,0.697674,0.0956268,1,0.0137177,99.3702
9700,       7776.279,0.700217,0.697674,0.0945892,1,0.0134277,99.3726
9800,       7845.349,0.70027,0.697671,0.09375,1,0.0133209,99.3749
9900,       7915.116,0.700313,0.697674,0.0930176,1,0.013092,99.3771
10000,       7984.884,0.700366,0.697674,0.092453,1,0.0128479,99.3792
10100,       8054.651,0.700398,0.697674,0.0913849,0.999985,0.0126495,99.3813
10200,       8124.419,0.700441,0.697674,0.0904236,1,0.0123901,99.3832
10300,       8194.186,0.700484,0.697674,0.0894165,0.999985,0.0121155,99.385
10400,       8263.953,0.700527,0.697674,0.0884094,1,0.0119019,99.3868
10500,       8333.721,0.700569,0.697674,0.0874786,1,0.0117035,99.3885
10600,       8402.791,0.700612,0.697668,0.0865936,1,0.0116119,99.3901
10700,       8472.558,0.700644,0.697674,0.085907,1,0.0113525,99.3917
10800,       8542.326,0.700687,0.697674,0.0850525,1,0.0111542,99.3931
10900,       8612.093,0.700719,0.697674,0.0842285,1,0.0109558,99.3946
11000,       8681.860,0.700762,0.697674,0.0835876,1,0.0107727,99.3959
11100,       8750.930,0.700794,0.697671,0.0827789,1,0.0106049,99.3972
11200,       8820.698,0.700826,0.697674,0.0819855,1,0.010437,99.3984
11300,       8890.465,0.700858,0.697674,0.0812225,0.999985,0.0102844,99.3996
11400,       8960.233,0.700901,0.697674,0.0804901,1,0.0101318,99.4007
11500,       9030.000,0.700922,0.697674,0.0797729,0.999985,0.00997925,99.4018
11600,       9099.767,0.700965,0.697674,0.0791016,1,0.00982666,99.4028
11700,       9169.535,0.700997,0.697674,0.0784302,1,0.00970459,99.4037
11800,       9239.302,0.701029,0.697674,0.0777893,1,0.009552,99.4046
11900,       9308.373,0.701051,0.697668,0.0771637,1,0.00941467,99.4055
12000,       9378.140,0.701083,0.697674,0.0765381,1,0.00927734,99.4063
12100,       9447.907,0.701115,0.697674,0.0762482,1,0.00915527,99.4071
12200,       9517.674,0.701147,0.697674,0.0756836,1,0.00904846,99.4078
12300,       9587.442,0.701168,0.697674,0.0751495,1,0.00892639,99.4085
12400,       9656.512,0.7012,0.697671,0.0746002,1,0.00880432,99.4091
12500,       9726.279,0.701222,0.697674,0.0740662,1,0.00869751,99.4098
12600,       9796.047,0.701254,0.697674,0.0734863,1,0.00857544,99.4103
12700,       9865.814,0.701286,0.697674,0.072937,1,0.00845337,99.4109
12800,       9935.581,0.701307,0.697674,0.072403,1,0.00834656,99.4114
12900,      10005.349,0.701329,0.697674,0.0718689,1,0.00823975,99.4119
13000,      10075.116,0.701361,0.697674,0.0713959,1,0.00813293,99.4123
13100,      10144.884,0.701382,0.697674,0.0708618,1,0.00804138,99.4127
13200,      10213.954,0.701404,0.697668,0.070343,1,0.00794983,99.4131
13300,      10283.721,0.701436,0.697674,0.0698547,1,0.00784302,99.4135
13400,      10353.488,0.701457,0.697674,0.0693665,1,0.00775146,99.4138
13500,      10423.256,0.701479,0.697674,0.0689087,1,0.00765991,99.4141
13600,      10493.023,0.7015,0.697674,0.0684357,1,0.00756836,99.4144
13700,      10562.093,0.701522,0.697674,0.0679932,1,0.00749207,99.4146
13800,      10631.860,0.701554,0.697674,0.0675659,1,0.00740051,99.4149
13900,      10701.628,0.701575,0.697674,0.0671387,1,0.00732422,99.4151
14000,      10771.395,0.701596,0.697674,0.0667114,1,0.00723267,99.4152
