"FC01.1_R.1                          ","Node","H_","P"
"FC01.1_R.2                          ","Node","H_","P"
"FC01.2_R.1                          ","Node","H_","P"
"FC01.2_R.2                          ","Node","H_","P"
"FC04.1_C.1                          ","Node","H_","P"
"FC04.1_C.2                          ","Node","H_","P"
"Node20.1                            ","Node","H_","P"
"Node20.2                            ","Node","H_","P"
"Node21.1                            ","Node","H_","P"
"Node21.2                            ","Node","H_","P"
"Pipe16.2                            ","Node","H_","P"
"Pit10                               ","Node","H_","P"
"Pit10.1                             ","Node","H_","P"
"Pit11                               ","Node","H_","P"
"Pit11.1                             ","Node","H_","P"
"Pit12                               ","Node","H_","P"
"Pit12.1                             ","Node","H_","P"
"Pit13                               ","Node","H_","P"
"Pit13.1                             ","Node","H_","P"
"Pit14                               ","Node","H_","P"
"Pit14.1                             ","Node","H_","P"
"Pit15                               ","Node","H_","P"
"Pit15.1                             ","Node","H_","P"
"Pit16                               ","Node","H_","P"
"Pit16.1                             ","Node","H_","P"
"Pit18.1                             ","Node","H_","P"
"Pit18.2                             ","Node","H_","P"
"Pit19.1                             ","Node","H_","P"
"Pit19.2                             ","Node","H_","P"
"Pit2.1                              ","Node","H_","P"
"Pit2.2                              ","Node","H_","P"
"Pit3.1                              ","Node","H_","P"
"Pit3.2                              ","Node","H_","P"
"Pit4.1                              ","Node","H_","P"
"Pit4.2                              ","Node","H_","P"
"Pit5.1                              ","Node","H_","P"
"Pit5.2                              ","Node","H_","P"
"Pit6.1                              ","Node","H_","P"
"Pit6.2                              ","Node","H_","P"
"Pit7                                ","Node","H_","P"
"Pit7.1                              ","Node","H_","P"
"Pit8                                ","Node","H_","P"
"Pit8.1                              ","Node","H_","P"
"Pit9                                ","Node","H_","P"
"Pit9.1                              ","Node","H_","P"
"FC01.1_R                            ","Chan [R]","Q_V_","L"
"FC01.2_R                            ","Chan [R]","Q_V_","L"
"FC04.1_C                            ","Chan [C]","Q_V_","L"
"Node20                              ","Chan [Q(VPO)]","Q_V_","L"
"Node21                              ","Chan [Q(VPO)]","Q_V_","L"
"Pipe10                              ","Chan [C]","Q_V_","L"
"Pipe11                              ","Chan [C]","Q_V_","L"
"Pipe12                              ","Chan [C]","Q_V_","L"
"Pipe13                              ","Chan [C]","Q_V_","L"
"Pipe14                              ","Chan [C]","Q_V_","L"
"Pipe15                              ","Chan [C]","Q_V_","L"
"Pipe16                              ","Chan [C]","Q_V_","L"
"Pipe17                              ","Chan [C]","Q_V_","L"
"Pipe19                              ","Chan [C]","Q_V_","L"
"Pipe5                               ","Chan [C]","Q_V_","L"
"Pipe6                               ","Chan [C]","Q_V_","L"
"Pipe9                               ","Chan [C]","Q_V_","L"
"Pit10                               ","Chan [Q]","Q_V_","L"
"Pit11                               ","Chan [Q]","Q_V_","L"
"Pit12                               ","Chan [Q]","Q_V_","L"
"Pit13                               ","Chan [Q]","Q_V_","L"
"Pit14                               ","Chan [Q]","Q_V_","L"
"Pit15                               ","Chan [Q]","Q_V_","L"
"Pit16                               ","Chan [Q]","Q_V_","L"
"Pit18                               ","Chan [Q(VPI)]","Q_V_","L"
"Pit19                               ","Chan [Q(VPI)]","Q_V_","L"
"Pit2                                ","Chan [Q(VPI)]","Q_V_","L"
"Pit3                                ","Chan [Q(VPI)]","Q_V_","L"
"Pit4                                ","Chan [Q(VPI)]","Q_V_","L"
"Pit5                                ","Chan [Q(VPI)]","Q_V_","L"
"Pit6                                ","Chan [Q(VPI)]","Q_V_","L"
"Pit7                                ","Chan [Q]","Q_V_","L"
"Pit8                                ","Chan [Q]","Q_V_","L"
"Pit9                                ","Chan [Q]","Q_V_","L"
