"M05_5m_001 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_05\Complete_Model\TUFLOW\runs\M05_5m_001.tcf]","Time (h)","SQ Pipe7 [M05_5m_001]","SQ Pipe6 [M05_5m_001]","SQ Pipe5 [M05_5m_001]","SQ Pipe19 [M05_5m_001]","SQ Pipe3 [M05_5m_001]","SQ Pipe2 [M05_5m_001]","SQ Pipe1 [M05_5m_001]","SQ Pipe0 [M05_5m_001]","SQ Pipe17 [M05_5m_001]","SQ Pipe16 [M05_5m_001]","SQ Pipe15 [M05_5m_001]","SQ Pipe14 [M05_5m_001]","SQ Pipe13 [M05_5m_001]","SQ Pipe12 [M05_5m_001]","SQ Pipe11 [M05_5m_001]","SQ Pipe10 [M05_5m_001]","SQ Pipe9 [M05_5m_001]","SQ Pipe8 [M05_5m_001]","SQ Pipe4 [M05_5m_001]"
     166,          2.750000,      0.0415,      0.1015,      0.0939,      0.0866,      0.0107,      0.0105,      0.0427,      0.0214,      0.1514,      0.2690,      0.1085,      0.1443,      0.1372,      0.1223,      0.1299,      0.1148,      0.1071,      0.0850,      0.0220
     167,          2.766667,      0.0409,      0.0999,      0.0925,      0.0853,      0.0106,      0.0104,      0.0421,      0.0210,      0.1490,      0.2648,      0.1069,      0.1419,      0.1349,      0.1203,      0.1277,      0.1129,      0.1055,      0.0837,      0.0216
     168,          2.783334,      0.0403,      0.0985,      0.0912,      0.0841,      0.0104,      0.0102,      0.0415,      0.0207,      0.1466,      0.2607,      0.1053,      0.1396,      0.1327,      0.1183,      0.1255,      0.1111,      0.1039,      0.0825,      0.0213
     169,          2.800000,      0.0397,      0.0971,      0.0899,      0.0829,      0.0103,      0.0101,      0.0408,      0.0204,      0.1442,      0.2567,      0.1038,      0.1374,      0.1305,      0.1165,      0.1236,      0.1095,      0.1024,      0.0813,      0.0210
     170,          2.816667,      0.0392,      0.0957,      0.0885,      0.0816,      0.0101,      0.0099,      0.0402,      0.0201,      0.1420,      0.2528,      0.1023,      0.1353,      0.1285,      0.1148,      0.1218,      0.1079,      0.1008,      0.0801,      0.0207
     171,          2.833333,      0.0386,      0.0943,      0.0872,      0.0804,      0.0099,      0.0098,      0.0396,      0.0198,      0.1399,      0.2488,      0.1008,      0.1332,      0.1266,      0.1131,      0.1200,      0.1063,      0.0993,      0.0789,      0.0204
     172,          2.850000,      0.0380,      0.0929,      0.0859,      0.0792,      0.0098,      0.0096,      0.0390,      0.0195,      0.1377,      0.2451,      0.0993,      0.1312,      0.1247,      0.1114,      0.1182,      0.1047,      0.0978,      0.0777,      0.0201
     173,          2.866667,      0.0374,      0.0915,      0.0846,      0.0780,      0.0097,      0.0095,      0.0384,      0.0192,      0.1357,      0.2414,      0.0978,      0.1292,      0.1229,      0.1097,      0.1164,      0.1031,      0.0963,      0.0765,      0.0198
     174,          2.883333,      0.0368,      0.0901,      0.0833,      0.0768,      0.0095,      0.0093,      0.0378,      0.0189,      0.1336,      0.2378,      0.0963,      0.1272,      0.1210,      0.1080,      0.1146,      0.1015,      0.0948,      0.0753,      0.0195
     175,          2.900000,      0.0363,      0.0887,      0.0821,      0.0756,      0.0093,      0.0092,      0.0372,      0.0186,      0.1315,      0.2341,      0.0949,      0.1253,      0.1191,      0.1063,      0.1128,      0.0998,      0.0933,      0.0741,      0.0192
     176,          2.916667,      0.0357,      0.0873,      0.0808,      0.0744,      0.0092,      0.0090,      0.0366,      0.0183,      0.1295,      0.2305,      0.0934,      0.1233,      0.1172,      0.1046,      0.1110,      0.0982,      0.0918,      0.0729,      0.0189
     177,          2.933333,      0.0351,      0.0859,      0.0795,      0.0732,      0.0090,      0.0089,      0.0360,      0.0179,      0.1274,      0.2269,      0.0919,      0.1213,      0.1153,      0.1029,      0.1092,      0.0966,      0.0903,      0.0717,      0.0186
     178,          2.950000,      0.0345,      0.0845,      0.0781,      0.0720,      0.0089,      0.0087,      0.0354,      0.0176,      0.1254,      0.2232,      0.0904,      0.1193,      0.1134,      0.1012,      0.1074,      0.0950,      0.0887,      0.0704,      0.0183
     179,          2.966667,      0.0339,      0.0830,      0.0767,      0.0707,      0.0087,      0.0086,      0.0348,      0.0173,      0.1233,      0.2195,      0.0888,      0.1174,      0.1115,      0.0994,      0.1056,      0.0934,      0.0872,      0.0692,      0.0179
     180,          2.983334,      0.0333,      0.0816,      0.0755,      0.0695,      0.0086,      0.0084,      0.0341,      0.0170,      0.1213,      0.2159,      0.0873,      0.1155,      0.1096,      0.0977,      0.1038,      0.0918,      0.0857,      0.0680,      0.0176
     181,          3.000000,      0.0327,      0.0802,      0.0741,      0.0683,      0.0084,      0.0083,      0.0335,      0.0167,      0.1193,      0.2123,      0.0858,      0.1135,      0.1078,      0.0960,      0.1020,      0.0902,      0.0842,      0.0668,      0.0173
