"M05_5m_001 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_05\Complete_Model\TUFLOW\runs\M05_5m_001.tcf]","Node ID","Hmax","Time Hmax"
     1,"Pipe16.2",     40.7117,      1.1720
     2,"Pit1",     43.3424,      1.1941
     3,"Pit1.1",     43.3589,      1.2103
     4,"Pit10",     43.2071,      1.1527
     5,"Pit10.1",     43.2254,      1.1484
     6,"Pit11",     43.1680,      1.1525
     7,"Pit11.1",     43.2215,      1.1524
     8,"Pit12",     43.0552,      1.1527
     9,"Pit12.1",     43.2171,      1.1514
    10,"Pit13",     42.5530,      1.1615
    11,"Pit13.1",     43.2150,      1.1493
    12,"Pit14",     43.0312,      1.1564
    13,"Pit14.1",     43.2165,      1.1566
    14,"Pit15",     43.1680,      1.1500
    15,"Pit15.1",     43.2186,      1.1434
    16,"Pit16",     43.2259,      1.1460
    17,"Pit16.1",     43.2197,      1.1406
    18,"Pit17",     43.3597,      0.7636
    19,"Pit17.1",     43.3846,      0.7629
    20,"Pit18",     43.3968,      0.7606
    21,"Pit18.1",     43.4342,      0.7603
    22,"Pit19",     43.4075,      0.7603
    23,"Pit19.1",     43.4424,      0.7552
    24,"Pit2",     43.3354,      1.1902
    25,"Pit2.1",     43.3946,      0.7510
    26,"Pit3",     43.3213,      1.1852
    27,"Pit3.1",     43.3776,      0.7510
    28,"Pit4",     43.3285,      1.1851
    29,"Pit4.1",     43.3614,      0.7513
    30,"Pit5",     43.3340,      1.1855
    31,"Pit5.1",     43.3531,      0.7518
    32,"Pit6",     43.3639,      0.7644
    33,"Pit6.1",     43.3719,      0.7686
    34,"Pit7",     43.2583,      1.1552
    35,"Pit7.1",     43.2326,      1.1495
    36,"Pit8",     43.2452,      1.1543
    37,"Pit8.1",     43.2299,      1.1463
    38,"Pit9",     43.2214,      1.1552
    39,"Pit9.1",     43.2279,      1.1552
