RORBWin CSV Output File
Refer output file for complete listing of inputs and outputs: E:\Library\Automation\ryan-tools\tests\test_data\RORB\24hr-areal-example\Fig6_7_ aep0p2EY_du24hourtp6.out
Inc,Time (hrs),Calculated hydrograph:
     0,     0.000,    0.0000
     1,     1.000,    0.0000
     2,     2.000,    0.0000
     3,     3.000,    0.0000
     4,     4.000,    0.0000
     5,     5.000,    0.0000
     6,     6.000,    0.0000
     7,     7.000,    0.0000
     8,     8.000,    0.0000
     9,     9.000,    0.0000
    10,    10.000,    0.0000
    11,    11.000,    0.0000
    12,    12.000,    0.0000
    13,    13.000,    0.0000
    14,    14.000,    0.0000
    15,    15.000,    0.0000
    16,    16.000,    0.0000
    17,    17.000,    0.0000
    18,    18.000,    0.0000
    19,    19.000,    0.0000
    20,    20.000,    0.0000
    21,    21.000,    0.0000
    22,    22.000,    0.0000
    23,    23.000,    0.0000
    24,    24.000,    0.0000
    25,    25.000,    0.0000
    26,    26.000,    0.0000
    27,    27.000,    0.0384
    28,    28.000,    0.4892
    29,    29.000,    1.8739
    30,    30.000,    4.8614
    31,    31.000,   11.8861
    32,    32.000,   22.5168
    33,    33.000,   32.6766
    34,    34.000,   39.4756
    35,    35.000,   41.6876
    36,    36.000,   41.8566
    37,    37.000,   41.9865
    38,    38.000,   41.0134
    39,    39.000,   41.5118
    40,    40.000,   47.0585
    41,    41.000,   53.8401
    42,    42.000,   57.7039
    43,    43.000,   59.7955
    44,    44.000,   57.8685
    45,    45.000,   50.7776
    46,    46.000,   42.1671
    47,    47.000,   34.0490
    48,    48.000,   26.9591
    49,    49.000,   21.1789
    50,    50.000,   16.6351
    51,    51.000,   13.1158
    52,    52.000,   10.4040
    53,    53.000,    8.3129
    54,    54.000,    6.6934
    55,    55.000,    5.4335
    56,    56.000,    4.4478
    57,    57.000,    3.6694
    58,    58.000,    3.0493
    59,    59.000,    2.5514
    60,    60.000,    2.1485
    61,    61.000,    1.8203
    62,    62.000,    1.5509
    63,    63.000,    1.3284
    64,    64.000,    1.1434
    65,    65.000,    0.9887
    66,    66.000,    0.8587
    67,    67.000,    0.7488
    68,    68.000,    0.6555
    69,    69.000,    0.5758
    70,    70.000,    0.5076
    71,    71.000,    0.4489
    72,    72.000,    0.3982
    73,    73.000,    0.3542
    74,    74.000,    0.3160
    75,    75.000,    0.2826
    76,    76.000,    0.2534
    77,    77.000,    0.2277
    78,    78.000,    0.2052
    79,    79.000,    0.1852
    80,    80.000,    0.1676
    81,    81.000,    0.1519
    82,    82.000,    0.1380
    83,    83.000,    0.1255
    84,    84.000,    0.1144
    85,    85.000,    0.1045
    86,    86.000,    0.0956
    87,    87.000,    0.0875
    88,    88.000,    0.0803
    89,    89.000,    0.0738
    90,    90.000,    0.0679
    91,    91.000,    0.0626
    92,    92.000,    0.0577
    93,    93.000,    0.0533
    94,    94.000,    0.0493
    95,    95.000,    0.0457
    96,    96.000,    0.0424
    97,    97.000,    0.0393
    98,    98.000,    0.0365
    99,    99.000,    0.0340
   100,   100.000,    0.0317
   101,   101.000,    0.0295
   102,   102.000,    0.0275
   103,   103.000,    0.0257
   104,   104.000,    0.0240
   105,   105.000,    0.0225
   106,   106.000,    0.0211
   107,   107.000,    0.0198
   108,   108.000,    0.0185
   109,   109.000,    0.0174
   110,   110.000,    0.0163
   111,   111.000,    0.0154
   112,   112.000,    0.0145
   113,   113.000,    0.0136
   114,   114.000,    0.0128
   115,   115.000,    0.0121
   116,   116.000,    0.0114
   117,   117.000,    0.0108
   118,   118.000,    0.0102
   119,   119.000,    0.0096
   120,   120.000,    0.0091
   121,   121.000,    0.0086
   122,   122.000,    0.0082
   123,   123.000,    0.0078
   124,   124.000,    0.0074
   125,   125.000,    0.0070
