"M08_10m_EXG_002","Location","Flow","Water Level","Velocity"
"q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_08\Complete_Model\TUFLOW\runs\M08_~s1~_~s2~_002.tcf","Time","Loc1_L","Loc1_P","Loc1_P"
,        2.000000,         21.1008,         42.9506,          0.1556
,        2.016667,         20.7977,         42.9483,          0.1539
,        2.033333,         20.5171,         42.9462,          0.1525
,        2.050000,         20.1646,         42.9442,          0.1504
,        2.066667,         19.8319,         42.9423,          0.1485
,        2.083333,         19.5134,         42.9404,          0.1466
,        2.100000,         19.2001,         42.9384,          0.1448
,        2.116667,         18.8189,         42.9366,          0.1426
,        2.133333,         18.4336,         42.9346,          0.1402
,        2.150000,         17.9763,         42.9325,          0.1374
,        2.166667,         17.6116,         42.9305,          0.1351
,        2.183333,         17.1746,         42.9283,          0.1323
,        2.200000,         16.7017,         42.9260,          0.1293
,        2.216667,         16.2162,         42.9237,          0.1262
,        2.233333,         15.8115,         42.9213,          0.1235
,        2.250000,         15.4008,         42.9189,          0.1208
,        2.266667,         15.0330,         42.9165,          0.1183
,        2.283333,         14.6664,         42.9142,          0.1159
,        2.300000,         14.3714,         42.9119,          0.1139
,        2.316667,         14.0698,         42.9096,          0.1119
,        2.333333,         13.7697,         42.9075,          0.1099
,        2.350000,         13.4819,         42.9054,          0.1079
,        2.366667,         13.2518,         42.9034,          0.1064
,        2.383333,         12.9898,         42.9014,          0.1045
,        2.400000,         12.7155,         42.8995,          0.1026
,        2.416667,         12.4360,         42.8976,          0.1007
,        2.433333,         12.2065,         42.8957,          0.0991
,        2.450000,         11.9864,         42.8939,          0.0975
,        2.466667,         11.7980,         42.8922,          0.0962
,        2.483333,         11.9235,         42.8911,          0.0969
,        2.500000,         11.5869,         42.8889,          0.0945
,        2.516667,         11.1782,         42.8876,          0.0921
,        2.533333,         10.9327,         42.8861,          0.0901
,        2.550000,         10.7409,         42.8841,          0.0884
,        2.566667,         10.6339,         42.8827,          0.0882
,        2.583333,         10.4614,         42.8814,          0.0865
,        2.600000,         10.0949,         42.8794,          0.0836
,        2.616667,          9.5589,         42.8774,          0.0801
,        2.633333,          9.4616,         42.8758,          0.0789
,        2.650000,          9.2472,         42.8737,          0.0775
,        2.666667,          9.0459,         42.8717,          0.0759
,        2.683333,          8.6993,         42.8700,          0.0732
,        2.700000,          8.5614,         42.8681,          0.0721
,        2.716667,          8.4119,         42.8662,          0.0709
,        2.733333,          8.2405,         42.8645,          0.0696
,        2.750000,          8.0739,         42.8627,          0.0682
,        2.766667,          7.7538,         42.8609,          0.0659
,        2.783333,          7.6441,         42.8591,          0.0649
,        2.800000,          7.4303,         42.8573,          0.0634
,        2.816667,          7.3780,         42.8556,          0.0627
,        2.833333,          7.0515,         42.8538,          0.0605
,        2.850000,          6.9498,         42.8522,          0.0595
,        2.866667,          6.7255,         42.8504,          0.0578
,        2.883333,          6.5935,         42.8486,          0.0567
,        2.900000,          6.2739,         42.8468,          0.0544
,        2.916667,          6.0183,         42.8449,          0.0525
,        2.933333,          5.7404,         42.8428,          0.0503
,        2.950000,          5.5462,         42.8408,          0.0488
,        2.966667,          5.4038,         42.8388,          0.0475
,        2.983333,          5.1361,         42.8367,          0.0456
,        3.000000,          4.9388,         42.8345,          0.0439

