"M08_2.5m_001","Location","Flow","Water Level","Velocity"
"q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_08\Complete_Model\TUFLOW\runs\M08_~s1~_001.tcf","Time","Loc1_L","Loc1_P","Loc1_P"
,        2.000000,         21.5110,         42.9323,          0.1621
,        2.016667,         21.1385,         42.9294,          0.1600
,        2.033333,         20.7759,         42.9268,          0.1579
,        2.050000,         20.4621,         42.9243,          0.1561
,        2.066667,         20.1539,         42.9219,          0.1544
,        2.083333,         19.8621,         42.9196,          0.1527
,        2.100000,         19.4768,         42.9173,          0.1504
,        2.116667,         19.0994,         42.9151,          0.1481
,        2.133333,         18.7461,         42.9128,          0.1460
,        2.150000,         18.3564,         42.9105,          0.1436
,        2.166667,         17.9509,         42.9082,          0.1411
,        2.183333,         17.5348,         42.9058,          0.1385
,        2.200000,         17.1142,         42.9033,          0.1358
,        2.216667,         16.6692,         42.9008,          0.1330
,        2.233333,         16.2355,         42.8983,          0.1302
,        2.250000,         15.8037,         42.8957,          0.1274
,        2.266667,         15.3967,         42.8931,          0.1248
,        2.283333,         15.0324,         42.8905,          0.1223
,        2.300000,         14.6741,         42.8879,          0.1200
,        2.316667,         14.3755,         42.8854,          0.1180
,        2.333333,         14.0834,         42.8830,          0.1160
,        2.350000,         13.8227,         42.8806,          0.1142
,        2.366667,         13.5387,         42.8784,          0.1123
,        2.383333,         13.2854,         42.8762,          0.1105
,        2.400000,         13.0016,         42.8740,          0.1086
,        2.416667,         12.7444,         42.8719,          0.1068
,        2.433333,         12.5226,         42.8698,          0.1052
,        2.450000,         12.2895,         42.8679,          0.1035
,        2.466667,         12.1636,         42.8661,          0.1026
,        2.483333,         11.9143,         42.8641,          0.1008
,        2.500000,         11.6777,         42.8623,          0.0991
,        2.516667,         11.4070,         42.8605,          0.0972
,        2.533333,         11.2157,         42.8586,          0.0957
,        2.550000,         10.9783,         42.8568,          0.0939
,        2.566667,         10.7587,         42.8549,          0.0923
,        2.583333,         10.5528,         42.8532,          0.0907
,        2.600000,         10.3097,         42.8513,          0.0889
,        2.616667,         10.0572,         42.8495,          0.0869
,        2.633333,          9.7712,         42.8476,          0.0848
,        2.650000,          9.5265,         42.8456,          0.0829
,        2.666667,          9.2908,         42.8437,          0.0811
,        2.683333,          9.0611,         42.8417,          0.0792
,        2.700000,          8.8302,         42.8398,          0.0774
,        2.716667,          8.6779,         42.8379,          0.0761
,        2.733333,          8.5113,         42.8360,          0.0748
,        2.750000,          8.3303,         42.8343,          0.0734
,        2.766667,          8.1216,         42.8323,          0.0716
