"EG08_010 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG08_010.tcf]","Time(h)","V DF01 [EG08_010]","V PF01 [EG08_010]"
     164,          2.716667,    1.637,    0.000
     165,          2.733334,    1.627,    0.000
     166,          2.750000,    1.615,    0.000
     167,          2.766667,    1.603,    0.000
     168,          2.783334,    1.590,    0.000
     169,          2.800000,    1.576,    0.000
     170,          2.816667,    1.561,    0.000
     171,          2.833333,    1.546,    0.000
     172,          2.850000,    1.530,    0.000
     173,          2.866667,    1.513,    0.000
     174,          2.883333,    1.496,    0.000
     175,          2.900000,    1.480,    0.000
     176,          2.916667,    1.463,    0.000
     177,          2.933333,    1.444,    0.000
     178,          2.950000,    1.426,    0.000
     179,          2.966667,    1.407,    0.000
     180,          2.983334,    1.389,    0.000
     181,          3.000000,    1.371,    0.000
