"EG08_012 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG08_012.tcf]","Time (h)","Q DF01 [EG08_012]","Q PF01 [EG08_012]"
     164,          2.716667,           7.042,           0.000
     165,          2.733334,           6.866,           0.000
     166,          2.750000,           6.652,           0.000
     167,          2.766667,           6.445,           0.000
     168,          2.783334,           6.229,           0.000
     169,          2.800000,           6.007,           0.000
     170,          2.816667,           5.773,           0.000
     171,          2.833333,           5.543,           0.000
     172,          2.850000,           5.308,           0.000
     173,          2.866667,           5.067,           0.000
     174,          2.883333,           4.831,           0.000
     175,          2.900000,           4.623,           0.000
     176,          2.916667,           4.402,           0.000
     177,          2.933333,           4.176,           0.000
     178,          2.950000,           3.960,           0.000
     179,          2.966667,           3.754,           0.000
     180,          2.983334,           3.561,           0.000
     181,          3.000000,           3.379,           0.000
