"EG08_012 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG08_012.tcf]","Time (h)","SQ DF01 [EG08_012]"
       1,          0.000000,      0.0000
       2,          0.016667,      0.0000
       3,          0.033333,      0.0000
       4,          0.050000,      0.0000
       5,          0.066667,      0.0000
       6,          0.083333,      0.0000
       7,          0.100000,      0.0000
       8,          0.116667,      0.0000
       9,          0.133333,      0.0000
      10,          0.150000,      0.0000
      11,          0.166667,      0.0000
      12,          0.183333,      0.0000
      13,          0.200000,      0.0000
      14,          0.216667,      0.0000
      15,          0.233333,      0.0000
      16,          0.250000,      0.0000
      17,          0.266667,      0.0000
      18,          0.283333,      0.0000
      19,          0.300000,      0.0000
      20,          0.316667,      0.0000
      21,          0.333333,      0.0000
      22,          0.350000,      0.0283
      23,          0.366667,      0.5424
      24,          0.383333,      1.7554
      25,          0.400000,      3.7109
      26,          0.416667,      6.4216
      27,          0.433333,      9.8329
      28,          0.450000,     13.8674
      29,          0.466667,     17.6772
      30,          0.483333,     21.2128
      31,          0.500000,     12.5581
      32,          0.516667,      0.0000
      33,          0.533333,      0.1474
      34,          0.550000,      0.9142
      35,          0.566667,      2.5187
      36,          0.583333,      5.0207
      37,          0.600000,      8.4219
      38,          0.616667,     12.4831
      39,          0.633333,     17.0566
      40,          0.650000,     22.0690
      41,          0.666667,     27.4863
      42,          0.683333,     33.1781
      43,          0.700000,     38.9183
      44,          0.716667,     44.7538
      45,          0.733333,     50.5734
      46,          0.750000,     56.3309
      47,          0.766667,     61.9659
      48,          0.783333,     67.3457
      49,          0.800000,     72.4890
      50,          0.816667,     77.3660
      51,          0.833333,     81.9673
      52,          0.850000,     86.2891
      53,          0.866667,     90.2959
      54,          0.883333,     94.0062
      55,          0.900000,     97.4329
      56,          0.916667,    100.5872
      57,          0.933333,    103.4822
      58,          0.950000,    106.0741
      59,          0.966667,    108.4042
      60,          0.983333,    110.4784
      61,          1.000000,    112.3049
      62,          1.016667,    112.2731
      63,          1.033333,    109.7629
      64,          1.050000,    107.4934
      65,          1.066667,    105.4283
      66,          1.083333,    103.5358
      67,          1.100000,    101.7779
      68,          1.116667,    100.0246
      69,          1.133333,     98.2946
      70,          1.150000,     96.5851
      71,          1.166667,     94.8964
      72,          1.183333,     93.2211
      73,          1.200000,     91.5457
      74,          1.216667,     89.8597
      75,          1.233333,     88.1599
      76,          1.250000,     86.4555
      77,          1.266667,     84.7331
      78,          1.283333,     82.9297
      79,          1.300000,     81.0707
      80,          1.316667,     79.1355
      81,          1.333333,     77.1524
      82,          1.350000,     75.1169
      83,          1.366667,     73.0306
      84,          1.383333,     70.9007
      85,          1.400000,     68.7292
      86,          1.416667,     66.5295
      87,          1.433333,     64.2848
      88,          1.450000,     62.0587
      89,          1.466667,     59.8416
      90,          1.483333,     57.6524
      91,          1.500000,     55.4753
      92,          1.516667,     53.3196
      93,          1.533333,     51.2084
      94,          1.550000,     49.1326
      95,          1.566667,     47.0767
      96,          1.583333,     45.0445
      97,          1.600000,     43.0259
      98,          1.616667,     41.1562
      99,          1.633333,     39.4412
     100,          1.650000,     37.8459
     101,          1.666667,     36.3558
     102,          1.683333,     34.9563
     103,          1.700000,     33.6127
     104,          1.716667,     32.3048
     105,          1.733333,     31.0223
     106,          1.750000,     29.7647
     107,          1.766667,     28.5191
     108,          1.783333,     27.3816
     109,          1.800000,     26.3781
     110,          1.816667,     25.4722
     111,          1.833333,     24.6590
     112,          1.850000,     23.9101
     113,          1.866667,     23.2330
     114,          1.883333,     22.6140
     115,          1.900000,     22.0480
     116,          1.916667,     21.5381
     117,          1.933333,     21.0480
     118,          1.950000,     20.5913
     119,          1.966667,     20.1761
     120,          1.983333,     19.7984
     121,          2.000000,     19.4463
     122,          2.016667,     19.1127
     123,          2.033334,     18.7741
     124,          2.050000,     18.4189
     125,          2.066667,     18.0555
     126,          2.083333,     17.6764
     127,          2.100000,     17.2858
     128,          2.116667,     16.8693
     129,          2.133333,     16.4200
     130,          2.150000,     15.9501
     131,          2.166667,     15.4529
     132,          2.183333,     14.9382
     133,          2.200000,     14.4580
     134,          2.216667,     14.0487
     135,          2.233333,     13.6930
     136,          2.250000,     13.3760
     137,          2.266667,     13.0921
     138,          2.283334,     12.8282
     139,          2.300000,     12.5601
     140,          2.316667,     12.2938
     141,          2.333333,     12.0330
     142,          2.350000,     11.7723
     143,          2.366667,     11.5238
     144,          2.383333,     11.2952
     145,          2.400000,     11.0857
     146,          2.416667,     10.8842
     147,          2.433333,     10.7028
     148,          2.450000,     10.5177
     149,          2.466667,     10.3175
     150,          2.483333,     10.1229
     151,          2.500000,      9.8999
     152,          2.516667,      9.6824
     153,          2.533334,      9.4556
     154,          2.550000,      9.2175
     155,          2.566667,      8.9741
     156,          2.583333,      8.7285
     157,          2.600000,      8.4834
     158,          2.616667,      8.2542
     159,          2.633333,      8.0352
     160,          2.650000,      7.8240
     161,          2.666667,      7.6187
     162,          2.683333,      7.4242
     163,          2.700000,      7.2341
     164,          2.716667,      7.0423
     165,          2.733334,      6.8657
     166,          2.750000,      6.6518
     167,          2.766667,      6.4451
     168,          2.783334,      6.2291
     169,          2.800000,      6.0072
     170,          2.816667,      5.7730
     171,          2.833333,      5.5429
     172,          2.850000,      5.3083
     173,          2.866667,      5.0670
     174,          2.883333,      4.8312
     175,          2.900000,      4.6226
     176,          2.916667,      4.4022
     177,          2.933333,      4.1764
     178,          2.950000,      3.9600
     179,          2.966667,      3.7537
     180,          2.983334,      3.5610
     181,          3.000000,      3.3788
