"EG08_010 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG08_010.tcf]","Time (h)","H DF01.1 [EG08_010]","H DF01.2 [EG08_010]"
       1,          0.000000,     44.9990,     44.9990
       2,          0.016667,     44.9990,     44.9990
       3,          0.033333,     44.9990,     44.9990
       4,          0.050000,     44.9990,     44.9990
       5,          0.066667,     44.9990,     44.9990
       6,          0.083333,     44.9990,     44.9990
       7,          0.100000,     44.9990,     44.9990
       8,          0.116667,     44.9990,     44.9990
       9,          0.133333,     44.9990,     44.9990
      10,          0.150000,     44.9990,     44.9990
      11,          0.166667,     44.9990,     44.9990
      12,          0.183333,     44.9990,     44.9990
      13,          0.200000,     45.3199,     44.9990
      14,          0.216667,     45.6346,     44.9990
      15,          0.233333,     45.8898,     44.9990
      16,          0.250000,     46.0947,     44.9990
      17,          0.266667,     46.2613,     44.9990
      18,          0.283333,     46.3948,     44.9990
      19,          0.300000,     46.4888,     44.9990
      20,          0.316667,     46.5331,     44.9990
      21,          0.333333,     46.5053,     44.9990
      22,          0.350000,     46.3817,     45.1420
      23,          0.366667,     46.1049,     45.3170
      24,          0.383333,     45.8336,     45.3827
      25,          0.400000,     45.6431,     45.3836
      26,          0.416667,     46.5388,     44.9990
      27,          0.433333,     46.9426,     44.9990
      28,          0.450000,     47.2224,     44.9990
      29,          0.466667,     47.4928,     44.9990
      30,          0.483333,     47.7464,     44.9990
      31,          0.500000,     47.9766,     44.9990
      32,          0.516667,     48.1911,     44.9990
      33,          0.533333,     48.4228,     44.9990
      34,          0.550000,     48.6774,     44.9990
      35,          0.566667,     48.9337,     45.1049
      36,          0.583333,     49.1781,     45.3580
      37,          0.600000,     49.4141,     45.5894
      38,          0.616667,     49.6207,     45.7984
      39,          0.633333,     49.8024,     46.0063
      40,          0.650000,     49.9629,     46.2123
      41,          0.666667,     50.1067,     46.4083
      42,          0.683333,     50.2327,     46.5905
      43,          0.700000,     50.3377,     46.7529
      44,          0.716667,     50.4237,     46.8908
      45,          0.733333,     50.4959,     46.9991
      46,          0.750000,     50.5536,     47.0954
      47,          0.766667,     50.5980,     47.1846
      48,          0.783333,     50.6271,     47.2572
      49,          0.800000,     50.6435,     47.3216
      50,          0.816667,     50.6484,     47.3776
      51,          0.833333,     50.6425,     47.4274
      52,          0.850000,     50.6268,     47.4716
      53,          0.866667,     50.6009,     47.5105
      54,          0.883333,     50.5661,     47.5442
      55,          0.900000,     50.5229,     47.5741
      56,          0.916667,     50.4726,     47.5999
      57,          0.933333,     50.4376,     47.5878
      58,          0.950000,     50.4043,     47.5729
      59,          0.966667,     50.3744,     47.5589
      60,          0.983333,     50.3476,     47.5463
      61,          1.000000,     50.3236,     47.5351
      62,          1.016667,     50.3018,     47.5249
      63,          1.033333,     50.2809,     47.5153
      64,          1.050000,     50.2610,     47.5061
      65,          1.066667,     50.2419,     47.4972
      66,          1.083333,     50.2236,     47.4888
      67,          1.100000,     50.2054,     47.4805
      68,          1.116667,     50.1846,     47.4711
      69,          1.133333,     50.1619,     47.4610
      70,          1.150000,     50.1375,     47.4500
      71,          1.166667,     50.1123,     47.4386
      72,          1.183333,     50.0843,     47.4260
      73,          1.200000,     50.0547,     47.4126
      74,          1.216667,     50.0232,     47.3983
      75,          1.233333,     49.9901,     47.3832
      76,          1.250000,     49.9554,     47.3672
      77,          1.266667,     49.9192,     47.3504
      78,          1.283333,     49.8796,     47.3322
      79,          1.300000,     49.8366,     47.3123
      80,          1.316667,     49.7911,     47.2908
      81,          1.333333,     49.7427,     47.2683
      82,          1.350000,     49.6918,     47.2444
      83,          1.366667,     49.6382,     47.2190
      84,          1.383333,     49.5820,     47.1923
      85,          1.400000,     49.5232,     47.1640
      86,          1.416667,     49.4621,     47.1345
      87,          1.433333,     49.3981,     47.1033
      88,          1.450000,     49.3332,     47.0710
      89,          1.466667,     49.2670,     47.0382
      90,          1.483333,     49.1998,     47.0032
      91,          1.500000,     49.1315,     46.9675
      92,          1.516667,     49.0621,     46.9310
      93,          1.533333,     48.9923,     46.8918
      94,          1.550000,     48.9217,     46.8521
      95,          1.566667,     48.8500,     46.8116
      96,          1.583333,     48.7772,     46.7693
      97,          1.600000,     48.7028,     46.7234
      98,          1.616667,     48.6320,     46.6795
      99,          1.633333,     48.5654,     46.6355
     100,          1.650000,     48.5017,     46.5936
     101,          1.666667,     48.4409,     46.5507
     102,          1.683333,     48.3823,     46.5090
     103,          1.700000,     48.3247,     46.4680
     104,          1.716667,     48.2672,     46.4287
     105,          1.733333,     48.2094,     46.3894
     106,          1.750000,     48.1514,     46.3498
     107,          1.766667,     48.0924,     46.3094
     108,          1.783333,     48.0372,     46.2708
     109,          1.800000,     47.9874,     46.2346
     110,          1.816667,     47.9414,     46.1996
     111,          1.833333,     47.8993,     46.1685
     112,          1.850000,     47.8598,     46.1374
     113,          1.866667,     47.8234,     46.1096
     114,          1.883333,     47.7896,     46.0830
     115,          1.900000,     47.7582,     46.0598
     116,          1.916667,     47.7295,     46.0387
     117,          1.933333,     47.7015,     46.0183
     118,          1.950000,     47.6751,     45.9991
     119,          1.966667,     47.6507,     45.9811
     120,          1.983333,     47.6283,     45.9646
     121,          2.000000,     47.6072,     45.9493
     122,          2.016667,     47.5870,     45.9350
     123,          2.033334,     47.5663,     45.9209
     124,          2.050000,     47.5443,     45.9064
     125,          2.066667,     47.5215,     45.8915
     126,          2.083333,     47.4975,     45.8758
     127,          2.100000,     47.4724,     45.8592
     128,          2.116667,     47.4453,     45.8414
     129,          2.133333,     47.4156,     45.8223
     130,          2.150000,     47.3840,     45.8018
     131,          2.166667,     47.3499,     45.7798
     132,          2.183333,     47.3140,     45.7558
     133,          2.200000,     47.2798,     45.7302
     134,          2.216667,     47.2502,     45.7079
     135,          2.233333,     47.2240,     45.6878
     136,          2.250000,     47.2004,     45.6694
     137,          2.266667,     47.1789,     45.6528
     138,          2.283334,     47.1587,     45.6379
     139,          2.300000,     47.1379,     45.6218
     140,          2.316667,     47.1170,     45.6061
     141,          2.333333,     47.0962,     45.5908
     142,          2.350000,     47.0753,     45.5755
     143,          2.366667,     47.0550,     45.5604
     144,          2.383333,     47.0361,     45.5460
     145,          2.400000,     47.0186,     45.5318
     146,          2.416667,     47.0016,     45.5181
     147,          2.433333,     46.9862,     45.5042
     148,          2.450000,     46.9703,     45.4911
     149,          2.466667,     46.9529,     45.4781
     150,          2.483333,     46.9356,     45.4653
     151,          2.500000,     46.9157,     45.4514
     152,          2.516667,     46.8961,     45.4372
     153,          2.533334,     46.8753,     45.4225
     154,          2.550000,     46.8532,     45.4068
     155,          2.566667,     46.8302,     45.3909
     156,          2.583333,     46.8067,     45.3742
     157,          2.600000,     46.7828,     45.3579
     158,          2.616667,     46.7602,     45.3412
     159,          2.633333,     46.7382,     45.3249
     160,          2.650000,     46.7166,     45.3088
     161,          2.666667,     46.6954,     45.2929
     162,          2.683333,     46.6749,     45.2774
     163,          2.700000,     46.6545,     45.2624
     164,          2.716667,     46.6338,     45.2474
     165,          2.733334,     46.6142,     45.2333
     166,          2.750000,     46.5902,     45.2168
     167,          2.766667,     46.5666,     45.2003
     168,          2.783334,     46.5415,     45.1832
     169,          2.800000,     46.5152,     45.1648
     170,          2.816667,     46.4868,     45.1448
     171,          2.833333,     46.4581,     45.1230
     172,          2.850000,     46.4283,     45.1006
     173,          2.866667,     46.3968,     45.0753
     174,          2.883333,     46.3652,     45.0481
     175,          2.900000,     46.3364,     45.0200
     176,          2.916667,     46.3052,     44.9990
     177,          2.933333,     46.2723,     44.9990
     178,          2.950000,     46.2398,     44.9990
     179,          2.966667,     46.2079,     44.9990
     180,          2.983334,     46.1772,     44.9990
     181,          3.000000,     46.1472,     44.9990
